rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
5,pos,1,0.9821,has_leaderboard,1
4,pos,1,0.7253,has_challenges,5
5,pos,4,0.9316,has_challenges,5
1,pos,2,0.8389500000000001,has_points,45
2,neg,2,-0.7827,has_points,45
2,pos,3,0.7467333333333334,has_points,45
3,neg,1,-0.7568,has_points,45
3,pos,12,0.7557416666666666,has_points,45
4,pos,9,0.8057888888888889,has_points,45
5,neg,1,-0.3999,has_points,45
5,pos,15,0.9058333333333334,has_points,45
1,neg,1,-0.9134,has_feedback,28
1,pos,2,0.82465,has_feedback,28
2,neg,1,-0.644,has_feedback,28
2,pos,1,0.6081,has_feedback,28
3,neg,1,-0.1263,has_feedback,28
3,pos,3,0.6389333333333334,has_feedback,28
4,pos,2,0.8827499999999999,has_feedback,28
5,pos,17,0.8625529411764705,has_feedback,28
1,neg,3,-0.4619333333333333,has_social,64
1,pos,4,0.874575,has_social,64
2,neg,2,-0.76075,has_social,64
2,neu,1,0.0,has_social,64
2,pos,9,0.7376999999999999,has_social,64
3,neg,2,-0.8808,has_social,64
3,pos,5,0.77484,has_social,64
4,neg,2,-0.75825,has_social,64
4,pos,9,0.7039,has_social,64
5,neg,2,-0.57545,has_social,64
5,pos,25,0.80256,has_social,64
1,neg,1,-0.9136,has_tracking,93
2,neg,4,-0.46495,has_tracking,93
2,pos,5,0.75286,has_tracking,93
3,neg,7,-0.5406000000000001,has_tracking,93
3,pos,9,0.6978222222222222,has_tracking,93
4,neg,1,-0.985,has_tracking,93
4,pos,11,0.7713,has_tracking,93
5,neg,1,-0.7096,has_tracking,93
5,pos,54,0.8511518518518519,has_tracking,93
2,pos,1,0.9675,has_goals,8
3,pos,2,0.8188500000000001,has_goals,8
5,pos,5,0.9317399999999999,has_goals,8
1,neg,1,-0.4696,has_narrative,23
2,neg,1,-0.7565,has_narrative,23
2,pos,1,0.4889,has_narrative,23
3,neg,2,-0.39159999999999995,has_narrative,23
3,pos,1,0.6885,has_narrative,23
4,neg,1,-0.1297,has_narrative,23
4,pos,5,0.8125399999999999,has_narrative,23
5,pos,11,0.8071181818181817,has_narrative,23
4,pos,1,0.9864,has_collab,1
