rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
1,neg,4,-0.502525,has_challenges,33
1,pos,8,0.4482,has_challenges,33
2,neg,3,-0.5006666666666667,has_challenges,33
2,pos,4,0.6923,has_challenges,33
3,neg,1,-0.4277,has_challenges,33
3,pos,5,0.9103999999999999,has_challenges,33
4,pos,4,0.869125,has_challenges,33
5,pos,4,0.9226,has_challenges,33
1,neg,1,-0.2207,has_points,5
1,pos,2,0.64935,has_points,5
2,pos,1,0.8946,has_points,5
3,pos,1,0.9719,has_points,5
1,pos,1,0.8499,has_badges,4
2,pos,2,0.509,has_badges,4
5,pos,1,0.8997,has_badges,4
1,neg,6,-0.7656333333333333,has_feedback,21
1,pos,7,0.7954714285714285,has_feedback,21
2,pos,4,0.6372249999999999,has_feedback,21
3,pos,3,0.4241,has_feedback,21
5,pos,1,0.9611,has_feedback,21
1,neg,6,-0.49105,has_social,24
1,pos,5,0.70426,has_social,24
2,neg,2,-0.15655,has_social,24
2,pos,4,0.780675,has_social,24
3,pos,3,0.8715666666666667,has_social,24
4,pos,3,0.8699666666666666,has_social,24
5,pos,1,0.9526,has_social,24
1,neg,6,-0.5139,has_tracking,74
1,pos,11,0.7327818181818183,has_tracking,74
2,neg,5,-0.57708,has_tracking,74
2,pos,20,0.72492,has_tracking,74
3,neg,2,-0.62725,has_tracking,74
3,pos,11,0.845609090909091,has_tracking,74
4,pos,11,0.8236272727272727,has_tracking,74
5,neg,1,-0.6072,has_tracking,74
5,pos,7,0.7454285714285714,has_tracking,74
1,neg,4,-0.8601,has_goals,32
1,pos,7,0.6953142857142858,has_goals,32
2,neg,2,-0.46255,has_goals,32
2,pos,2,0.8029999999999999,has_goals,32
3,pos,5,0.94926,has_goals,32
4,pos,5,0.9291,has_goals,32
5,pos,7,0.8641571428571428,has_goals,32
1,neg,2,-0.9189499999999999,has_narrative,14
1,pos,6,0.5885333333333334,has_narrative,14
2,pos,1,0.8341,has_narrative,14
3,pos,2,0.8918,has_narrative,14
5,pos,3,0.8710333333333334,has_narrative,14
