rating,flair_sentiment,date,developerResponse,review,isEdited,userName,title,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
5,pos,2018-05-21 07:08:432018-07-13 09:40:32,0,"I really like this app. I love the option of being able to play different sounds at the same time. I work at night and sleeping in the daytime does provide its challenges. Using this app I can add night time sounds mixed with other sounds that I find relaxing to help me fall asleep in the daytime. This app has also helped me fall asleep faster. I use this app in my car when I am dropping off my niece at her mother's house. It makes her fall asleep and so her mother doesn't have to deal with a fuzzy 3-year old who likes to stay up late. 
Get the app. Totally worth it. The free version of it is top-notch.This -by far- is the best app of its kind. I have tried a half dozen or more offerings for meditation and background sounds. The quality of the sound recordings is superior and the selection of guided meditations is without equal. I have chronic challenges with sleep and the combination of an extensive catalog of meditations and the fantastic sound files offered within this app works so well that I am able to fall asleep quickly and stay asleep more thoroughly. Though I was originally taken aback by the asking price for this app, I now believe it is worth every penny, and more.",0,Mu5ikaddict_15fdbixler,Loving this appBest App in its Category,BetterSleep Relax and SleepBetterSleep Relax and Sleep,0,2,0,0,0,0,0,0,0,0,226,has_challenges,2
5,pos,2022-08-31 10:39:36,"{'id': 35257898, 'body': ""Hi there. Thank you for your review and for sharing your BetterSleep experience 😊. We're glad you love our app and all that we have to offer 🎼😴. We appreciate your support. Have a wonderful day! -🌿Nat"", 'modified': '2023-03-07T16:17:17Z'}","As far as I can remember this app represents great features, I remember in old days it had eye comfort wood sound and etc etc, but now it's changed and still is one of the most adorable ones, I do care about how a service can provide me best options because I have tried my best in other to be the best in my field, so I want the best, but unfortunately, I live in Iran and haven't access to pay the app for sounds, and it's really helpful, or it was, I do understand how complicated things are in developed countries but in Iran 😂😂😂😂 I can't find a good word to describe 😂 so please in some points think about some middle eastern countries like us that we don't have access to payments and even if we had we couldn't due to our economic problems but overall thanks for your hard work I have always been thankful for your app and hard work, great management sight well done 🤝❤️

What a great response dear Nat what a classy move well-done guys world-class phenomenon. Well done this is classy well done your answer made my day Nat. Well-mannered I am for one grateful to have this app and if I get to US I would definitely buy your app, have represented to others and I will we'll done guys well-done manager making this atmosphere well done 🫵🏽🫡",0,mohamadbagher,Great work,BetterSleep Relax and Sleep,0,0,1,0,0,0,0,0,0,0,238,has_points,1
2,neg,2023-02-28 20:09:552021-08-21 03:46:57,"{'id': 35167195, 'body': 'Hi there. Thank you for your review. We have added back the background audio-playing feature. To be able to play other audio at the same time as our app, you have to go to Profile > settings > Turn ON ""Play with other Apps"". If this helps, kindly update this but otherwise don\'t hesitate to send us a message via the in-app Help & Support section and we\'ll gladly assist you with this. We\'re here to help! -🌿Nat', 'modified': '2023-03-02T14:38:58Z'}{'id': 24652339, 'body': ""Hi Kiley, thanks for your review and for being with us for some time. It means a lot to us! I'm sorry to learn about these issues. The last thing we'd want is to do is cause you any stress. Please tap the in-app Help button, in section More, and we'll take a closer look at this to find a solution. We work very hard to satisfy all our users! Take care🙂 Jessika from Ipnos"", 'modified': '2021-08-23T03:16:09Z'}","*Update 2: Back to not working. I’ve update to the latest version and now I can no longer listen to music in the background. I see this was feature was removed and then reinstated. Why? New ownership? Fix it!!!!

*Update* That worked! Thanks for the response! 5 stars!! Stories, mediations, and music are all fantastic. Amazing updates that clearly show the developers listen to customer feedback. My only complaint is the latest update does not allow me to listen to binaural beats while listening to my own music via Apple Music. So amazing developers, please let me know if this is something that can be reinstated or if I’m doing something wrong!So I have been using Relax Melodies for a few years to help me sleep better with the noises as I can create my own playlists of what noises I want to hear while I am falling asleep. However, whenever I have tried to get onto the app to use it lately, free trial ads continuously pop up and whenever I try to back out, it just takes me right back into it. I also cannot even get into the sounds section to play my playlist, it just keeps me in the music which I don’t use. If you could please fix that, that would be greatly appreciated.",0,k.m.p.9kiley werner,Awesome AppContinuous ‘Free Trial’,BetterSleep Relax and SleepBetterSleep Relax and Sleep,0,0,0,0,2,0,0,0,0,0,220,has_feedback,15
4,neg,2017-11-04 06:36:542022-08-25 10:17:47,"{'id': 31683373, 'body': ""Hi there. Thank you for your review. Sorry for the trouble. There are a lot of reasons for the app getting logged out and reverting back to Free/locked content, for example a recent update, subscription glitch from the app store, an expired sub/payment issue or using the same sub on different devices... We are fully aware that it's frustrating when that happens and we're looking for potential solutions in the near future. We appreciate your patience and your support. Have a wonderful day! -🌿Nat"", 'modified': '2022-08-26T19:07:48Z'}","It's an extremely efficient app. I truly do fall asleep before many of the meditation exercises fully end. There's one or two provided each week, which is more than enough to lull me to sleep. However, if you wish to use all of the meditations, you will have to pay. Personally, I haven't looked very far into the prices because I am satisfied with what is given, but I realize that a cost to use more than two meditations per week may turn some people off.

Edit: I'm currently very disappointed. I have been using the Introductory Path to Better Sleep for months on end. Day 5 continuously lulls me to sleep. However, tonight, upon starting the app, I noticed that it is now a pro feature. I am extremely upset. That specific meditation had become a part of my routine, and due to my disability, it is uncomfortable for changes in my routine to take place. And by uncomfortable, I mean, I 
may not get to sleep for quite a few days. As I am a minor, I can not purchase Premium. So, what gives?*Update/Feedback 2* Issues with my subscription every year. After a payment the app shows that my plan is free AND deletes all of my saved favs. Since the UI has been redesigned, the ‘how to restore purchases’ instructions dont help. Currently I’m un/reinstalling. Kind of annoying bc I’m using this app when I wake up and go to sleep, times where I don’t want to be troubleshooting tech.  
***Update/Feedback* I’d really like it if some of the sounds were slower. Ex. Slime, ice in a glass, vinyl crackle. They sound like they have a fast pace if that makes sense. There doesn’t need to be so many crackles per second. Insomnia almost solved. This app provides a comprehensive tool box for using sound therapy to regulate my mood and focus. I use sounds in the AM to “wind up” for my day and was aspiring to create a PM “wind down”. This beautifully designed app provides me motivation to do so. I love using it.",0,PuppybearuniverseCaraCalifornia,"Works Well, Pay to Fully EnjoyWorth the Purchase",BetterSleep Relax and SleepBetterSleep Relax and Sleep,0,0,0,0,2,0,0,0,0,0,351,has_feedback,15
4,pos,2017-11-23 22:18:20,0,"Wonderful, versatile app that I've used successfully as white noise to get my little one down for naps and for relaxation for myself.  I appreciate that you can mix and match sounds to your hearts content, and that they continuously play.  The only change I would like to see is perhaps a bit more organization as to the categories of sounds.  I do like that you can save combinations under favorites though.  Overall an awesome choice for anyone looking to soothe a cranky baby or de-stress.",0,MaileSundquist,Perfect for baby and mom alike!,BetterSleep Relax and Sleep,0,0,0,0,1,0,0,0,0,0,86,has_feedback,15
5,pos,2023-02-14 15:49:402023-05-17 04:13:542022-05-01 09:53:272019-10-20 01:46:142017-07-15 02:06:252020-10-26 15:19:052023-08-22 01:46:062019-05-27 06:28:472023-09-16 08:26:382023-02-14 04:56:04,"{'id': 30605048, 'body': 'Hi there. Thank you for your review and for sharing your BetterSleep experience 😊. We appreciate your support! - 🌿Nathalia', 'modified': '2022-06-28T15:55:51Z'}{'id': 38480381, 'body': ""Hi there. Thank you very much for your review & for sharing your BetterSleep experience 🥰. We'd absolutely love to hear from you & get your UX feedback. You can send us a message via our in-app Help & Support feature or email us at feedback@bettersleep.com. We're here to help. Thank you for your support, much appreciated! 🌿"", 'modified': '2023-08-23T13:00:34Z'}{'id': 35255744, 'body': ""Hi there. Thank you for your review and for sharing your BetterSleep experience 😊. We're glad you love our app and that you're enjoying all that we have to offer 🎼😴. Our goal is to give you the best rest and sleep experience. We appreciate your support 🥰. Have a wonderful day! -🌿Nat"", 'modified': '2023-03-07T14:45:18Z'}","I’ve had a lifetime subscription to this app for several years and I Highly recommend. I have extremely sensitive hearing and I’m easily distracted or awakened. There’s countless combinations of sounds for every occasion. I listen to this app at night, when I need to concentrate, when I need to drown out annoying distractions, and in the background with audio books, etc. At night I listen to a combination of white, pink, and green noise, along with a hint of thunder, rain on the roof, and vinyl. Every sound can be adjusted individually, and the overall volume can be adjusted so that it doesn’t drown out music or audio books. I’m particularly impressed with the responsiveness of their customer service. From time to time over the years when I update my phone or the app, the settings get changed and I can’t figure out how to make it play simultaneously with other audio apps and they always walk me through how to fix it. They’ve even used my feedback to make immediate updates to the app. Like I said, I highly recommend! -Brian,   Plano, TXBetterSleep has been truly inspirational and transformational for me. Before I had this app, I used to listen to guided imagery recordings to help me with sleep. But noe, after using it for almost a year, I can’t think of a single app that has been as helpful or health-supporting. Before I had this app, I had never tried yoga nidra, and the guided yoga Nidra sessions and series on this app have been life-changing. I love the calming expressive voice of Aster J. Haile. My heart is constantly touched by the thoughtfulness and subtlety and care with of the yoga nidra meditations on this app.

Also, the 7 minute sleep meditations for children are fantastic. I play two of them for my son, almost every night, for a total of 15 minutes, and every night it helps him relax and go to sleep.

Some of the sleep stories are delightful too. I love the celebration of nature and old sleepy landscapes worldwide that are to be found in the stories. 

There are many amazing resources on this app, and sometimes it can be a little hard to navigate, so if there is one piece of feedback I have, it is to improve the organization on the site, to that an outline display is an option, to make specific meditations easier to find. But that is a tiny concern….

Aside from that, and most importantly: to anyone needing support and a kind voice to help with sleep, I wholeheartedly recommend this!Edit several years later:
Still use it sporadically! One of only a handful of apps that I can’t ever justify deleting because while I don’t use it regularly, the times that I do need it are during a sleep emergency.

Original:
Initially downloaded it when I was trying to find a white noise app to fall asleep to on a plane. Unfortunately I waited until we were boarding the plane before downloading the pile of random apps to test out. I think I had 3 or 4 fully loaded on my phone before we took off- what I didn’t realize is that most of them were streaming apps and therefore required WiFi/internet/whatever continuously in order to work! Relax Melodies (mostly) does not. I still use it sometimes when I have a hard time falling asleep. Two thumbs up, about to use it again.The new update is fine EXCEPT THE AUTO OFF TIMER!!! I use this app every night to sleep but it’s so good it’s hard to wake up so I set it to shut off in the morning before my alarm. But the new update doesn’t have a “time off” choice it just has a timer. So now I have to do a bunch of math every night to see how long I want the app on. Please add the time off feature back!!!!!!!

There are many relaxing high quality sounds to choose from.  I have used the various rain, night, frog and peeper sounds for many years to help myself fall asleep and stay asleep. The sounds can play continuously, uninterrupted all night. You can combine more than one sound. I also enjoy the afternoon and bird sounds during the day and morning when I'm stuck inside but would rather be outside. Love this app and depend on it nearly daily!I've used Relax Melodies for about three years now, especially when my anxiety is amped up. The sounds are soothing and many of them complement other sounds on the app, so you can layer them to great effect. I like that the app plays continuously without timing out, and there's no noticeable looping of the sounds; all this means you can find the sounds that suit you, set your volume, and have the soothing sounds transport you and your concerns elsewhere for as long as you like without the abrupt ""starting over"" gap you hear on noticeably looped sound apps. This app can help you find your zen and get into a better mood. It's always improving, it is stable, and there are often new additions (and your older favorites still remain too!). Thanks, Relax Melodies!First I wanna say how I’ve tried a lot of meditation and relaxing apps. None of which compare. This one sets the record to the all time high for best quality and customization for how you want to meditate. This is my number #1 pick. The different sounds and mixes make for an amazing experience. I really appreciate the time that was put in to making this app, it truly shows. I used this hoping to get better sleep and I got exactly what I wanted. They also have sound waves and different vibrations for anxiety relief and healing. IT ACTUALLY WORKS. Thank you to the creators. I’m happy to say I will continuously use this app. The price per year is also very reasonable for what you are getting. Totally worth it. Again, thank you.I am so grateful for this app and I can’t wait to see more people using BetterSleep. I tell everyone I know about it because it feels like a miracle that I am sleeping well again. I can’t remember the last time I fell asleep at the time I wanted to and slept through the night (I struggle with falling and staying asleep). After using this app I am getting the best sleep of my adult life. THANK YOU!!!! 🥹🙏🏻😴 

I would love to offer user experience feedback though! Is there a way users can easily submit UX feedback?I love to mix the different sounds to create an auditory story that helps me sleep, or meditate, focus, or write. Whatever my need may be. The little meditation programs are nice, and the guided stretching has been really enjoyable. Plus, the interface has really lovely art!

The addition of stories in the new update is wonderful, as well as the new ASMR sounds (though I’ll always be greedy and want more!). The great thing is I feel like the developers seem to read feedback, and take it seriously. It’s a great app, and the updates continuously improve the experience.I’ve used this app for years and cannot say enough how much I love it! It is absolutely the best to use to help calm the mind and get everyone in the family to sleep. There are various sounds, and new sounds are continuously added! I love the “water” sounds like rain and the beach, while my mother likes the train sounds best. The meditations and stories are fantastic!! And the music is also amazing! I do not have a single negative thing to say about the app! My family and I absolutely love this app! It’s the best!I want to express my appreciation for the BetterSleep App team!  They genuinely care about their product and how it helps people!  

They’ve made constant improvements and at the same time listen to the feedback of their users.  They also have a help and support message center within the app that reps respond to in a timely, friendly, and helpful way!  

Recently with one of the updates a feature that was vital to me stopped working.  I reached out and they took my feedback and made it work again!  The best customer service I could ask for!  

Thank you BetterSleep!  This app has truly improved my quality of life and helped me to handle my insomnia without medication!  I don’t know what I would do without it!",0,Brian PhilhowerCookie party monsterHands0fBlueOurlove7778Kitten Litterjared aka Biggest fan❤️sf rinse loverVoreadusLvuittofeefee1972,"Love it! Worth every penny!Wonderful… amazing value… fantastic yoga NidraVery goodLove this appRelaxing and Soothing for Frayed NervesI am blown awayI haven’t slept well in years until I started using this appSound Stories, and Sound AsleepThe BEST App!BetterSleep team is the best",BetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and Sleep,0,0,0,0,10,0,0,0,1,0,1437,has_feedback,15
1,neg,2020-03-05 13:15:27,"{'id': 14013715, 'body': ""Hello there, thank you for your review. I'm sorry to learn about this, it's definitely not expected behavior. Please tap the Help button in our app, so we can sort this out for you and find a solution! Maroussia from Ipnos "", 'modified': '2020-03-12T18:23:39Z'}","Updated review:
Is there anything worse than disrupted sleep?! Especially when it happens multiple times nightly?! For an app whose purpose is to help relax and sleep, this one has been failing for the last several months. It turns off for no reason. Just this morning, from 4-5am this morning, it wouldn’t stay on for more than 20 minutes at a time. And within the last 20 minutes (now 6:08am)) I’ve had to turn it back on 4 times!!!! 
If I knew the premium worked, I would purchase it. But there’s NO WAY I would spend money on something in which the free version is running so poorly. The last update of just 2 days ago is causing more probs than solving anything. Seems every update is getting worse!
I’ve had this app for 10 years and, alas, it looks like I may have to end my love affair with them. It was a good run! I told everyone about you. My friends. My family. They all fell for you, too. But it looks like we are done. 

Previous review when we were in our honeymoon stage:
This has been a LIFESAVER to this lifelong insomniac traveler! Hotel noises, new cities, strange scents- all of these lend to no sleep whenever I'm away from home. I had the BEST sleep in a hotel, in a noisy metropolis! I have told LOADS of peeps about this app. Even the gent at the social security office yesterday:)",0,riffgrrl,My love affair is OVER!,BetterSleep Relax and Sleep,0,0,0,0,0,1,0,0,0,0,245,has_social,7
3,neg,2021-03-22 04:32:19,"{'id': 21817326, 'body': ""Hello, thank you for your support! It means a lot to us and I'm glad you love our app :) Does the issue continue if you clear downloads within our app settings? You should be able to download content to our app in order to play it offline. Please contact us at support@ipnos.com if the issue persists. We will make sure to sort this out for you as soon as possible. 🙂 Maroussia from Ipnos "", 'modified': '2021-03-23T12:03:58Z'}","I used this app for a long time before deciding to pay for a year subscription and I didn't regret it until recently. Suddenly my internet connection is ""insufficient"" to play any of the meditations or stories. Not even the ones I've downloaded (seriously, what's the point of the download option if it won't play when you're not connected to wifi or the app has decided your signal isn't good enough???) I know it recognizes that I'm connected because the premium sounds in my custom mix will play just fine. I'm so disappointed.",0,Roxy KneeSocks,I used to love this app...,BetterSleep Relax and Sleep,0,0,0,0,0,1,0,0,0,0,93,has_social,7
5,pos,2018-10-23 01:16:532019-07-21 07:45:192023-05-13 02:46:462022-09-04 04:06:282018-07-29 05:54:01,0,"I regularly have a hard time falling and staying asleep. I would stay up if j had music on, getting distracted by my favorite songs. I would stay up if it was silent, having quiet at night leads to over thinking for me. So I turn this on like thirty minutes before I expect to fall asleep, while I check out social media and within 10-15 minutes, I'm clocked out. We also use it on my ~5 month nephew. So relaxing and peaceful. It gives something for your mind to focus on without the thought provoking nature of lyrical songs.
Update! I still use this every night and for my newest nephew whose only two weeks old! So peaceful.I am a board-certified music therapist and a Psychological Assistant so I work a lot with different types of people, primarily to help with depression, anxiety, and pain. I have used this app to explain the importance of mindfulness practice in wellness seminars and in individual therapy. I have also used it to support live guided visualization a with groups. What I love the most about it is that you can select music from your own playlist and add the sound effects (or downloaded script) over the song. When we have a personal, emotional connection to the music, it enhances the experience tenfold. I suggest this app to all my patients!I love Relax Melodies! I recommend it to everyone- seriously. My favorite thing is that you can choose to use binaural beats to focus, relax or get your brain ready to sleep! Before bed, I only have dim lights in my home for at least an hour before bed, and once I lay down and ban myself from social media until morning (necessary!) I turn this on and just let my day go. Also love the chronic pain meditation - I rarely need it anymore, but using it was vital to start eliminating my pain symptoms.I saw an ad on social media and went to download the app. Low and behold I already have it, but just the light version. Paid a little bit of money for the year and unlocked some really good sounds. I’ve been having a hard time getting my brain to relax before bed and the brown and green noise have helped tremendously. There are also a ton of other sounds, noises, and frequencies that will satisfy even the pickiest of ears. Definitely worth upgrading!I love this app so much it’s helped me fall asleep peacefully after a long stressful day and also has all different settings and allows you to choose multiple nature sounds and combined it all into one and I think that’s what I love most about it but I also use the app for meditation and they also have a meditation slide just for meditating it’s awesome best app I’ve ever downloaded even better than social media because at least with this one I can go to sleep stress free😴 NO ADS AT ALL",0,LgxmmcgnnKaren713Tara Alexandriaaaa3314#BestAppInTheWholeWideWorld!,A must have for the insomniacBEST app for mindfulness practicePre-Sleep Routine Gem 😍Very niceThe Best,BetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and SleepBetterSleep Relax and Sleep,0,0,0,0,0,5,0,0,0,0,504,has_social,7
1,neg,2022-06-06 07:17:432020-06-19 08:30:21,"{'id': 30220994, 'body': 'Hi there. Thank you for your review. Sorry for the trouble. I shared your feedback with our team. This glitch should be resolved with the app update coming later on this week. We appreciate your feedback and your patience while we resolve this. If needed, you can contact our support team at help@bettersleep.com. Thank you for your support - Have a great day - 🌿Nathalia', 'modified': '2022-06-07T15:39:38Z'}{'id': 16099177, 'body': ""Hello Cadabra, thanks for your review! Thank you so much for your support throughout the years, it means a lot to us. Glad to know that you love our app and our sounds. I'm sorry to learn about this, and I understand your concern. Our app is free with 60 sounds, meditations, bedtime stories, and more. We try to provide one of the largest libraries of free content, so we added even more in our new Retreat section. If you feel we should add more content, please don't hesitate to send us your suggestions at support@ipnos.com. We work very hard to satisfy all our users! Take care :) Maroussia from Ipnos"", 'modified': '2020-06-19T14:17:26Z'}","I got this app and shelled out $40 so that I can record my sleep. I wake up and it ends as normal just to get no information or record about my night’s sleep. Doesnt even pop up in the journal or anything. So what was the freaking point? Now I have to wait until the next night just to see if it hopefully works? How about you make sure it works the first time so that I can avoid this? ***Update*** I figured out the problem for you. If you have an alarm set and it goes off while it’s “tracking” it’ll interrupt the recording and basically delete the entire night’s data. Only issue is I NEED a separate alarm thats loud enough to wake me, so please fix this app so that it doesnt delete 8 hours worth of data just from me waking up to my clock’s alarm.When the individual sounds were accessible this was a great app. Now they are adding all sort of useless bells and whistles (not literally those sounds) and bundles and they charge you for it. Which is fine, if they take the time to put together their own mix of sounds, give it a name and charge you for that, sure. But now they have also locked all the individual sounds so you can no longer make your own good night mix without paying per sound. And they are all generic, public domain sounds fx. 
Unlock the individual sounds they way it used to be. You got good ratings and 5 star scores are from the original version.  Dont believe the hype that its a top app because of they it is right now.",0,Hurricaneal3xCadabra,Doesnt WorkWas once good,BetterSleep Relax and SleepBetterSleep Relax and Sleep,0,0,0,0,0,0,2,0,0,0,284,has_tracking,21
