rating,flair_sentiment,date,developerResponse,review,isEdited,userName,title,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
2,neg,2022-07-09 15:33:32,0,"I formerly rated this app as a 5, and the app itself is great. I have been a subscriber for YEARS and up until now I’ve been ok with the price increases because I use this app more than any other, HOWEVER now that they’ve taken away family share, I will reconsider. I am not CALM about being charged more for less. Apparently leadership at Calm has lost sight of their original core values and succumbed to the ilk of Silicon Valley greed.  I will begin my review of other options and likely not renew. 

Sadly, here was my last review…

I’ve been a Calm customer for several years and I love it! My Calm app is with me throughout the day. I start my day with the Daily Meditation (and days that I don’t, I find I’m not as positive and prepared to face challenges), I listen to the music options while I work, and often end my day with a Sleep Story. As an entrepreneur, working to get a start up business off the ground, its important for me to find ways to keep myself grounded, and some days, my Calm app is the only thing helping me do that.",0,MeldubCO,Changing my review…,Calm,0,1,0,0,0,0,0,0,1,0,202,has_challenges,10
4,pos,2019-08-23 11:29:41,0,"First I have long suffered from insomnia- while I fall asleep immediately, I wake up in the middle of the night for an hour or so with my “head running” with thought. Historically I’ve listened to the radio but Calm’s sleep stories are much more effective at quieting my head and getting me back to sleep quickly. None more so than Henry Blofeld’s explanation of the Laws (not rules!) of Cricket. I have listened to him read those laws at least a dozen times and have yet to make it through the entire ~28 minute session once! His voice, accent and sense of humor are audio-Ambien. PLEASE have Henry read more content!

The guided sessions are superb at bringing mindfulness to the myriad realities and challenges of our lives and helping us address them in our own way. They unveil revelation. I am not embarrassed to say that from some of these revelations or the relief these sessions can bring, I have been “meditated to tears” on more than one occasion. 

Nothing to date has had the impact Calm has on my perspective on life, myself, my relationships with others and on dealing with life’s issues. 

I am truly grateful to have this.",0,Mykel_63,"At the risk of hyperbole, a life changer",Calm,0,1,0,0,0,0,0,0,0,0,203,has_challenges,10
5,pos,2022-08-06 10:48:452021-02-01 23:29:192017-11-21 11:54:452022-10-17 14:53:212022-05-09 19:20:072022-02-26 23:04:432020-07-19 23:03:332021-06-10 12:49:56,0,"This app came to me at a crucial time when I was cooped up at home after an injury. Not only did it help me cope with the challenges that came with recuperation and help me sleep, it also brought me back to a practice that was once a big part of my life: meditation! And so to say that I am grateful for this app would be an understatement. 

In addition to the daily calm and daily wisdom, I have found that I can only resonate to a few favorite voices in the sleep stories that I find more soothing versus others that can sometimes sound a little too peppy in intonation, though I understand it’s just a matter of preference and my own temperament, so it’s all fair game. To each his own! 

All that said, I have a few suggestions:
1) how about a Tibetan chant option for meditation? 
2) some wisdom series recording pace tends to be a little fast—can you not alter the recording, please? It’s nice to listen to the voices in their natural cadence, but slowed down a bit, maybe? 
3) can you add more Cillian Murphy and Jerome Flynn recordings, please? (I love that you added Eva Green!) 
4) the Jay Shetty pieces are too short! I know they’re meant to be quickies but I really wish they were longer—at least with the same duration as the daily calm, which I also wish would be more like 15 or even 20 minutes. 

Thank you!!!I love the Calm app!  I recommend getting the premium content.  Calm is a tool for dealing with the challenges of life.  There is more awareness on anxiety, depression, and negative feelings.  I am hopeful for the future because this will improve people’s lives.  I gifted the app to my friends and family who also enjoy it - beautiful, inspirational meditations, music, masterclasses, teachings, body exercises, sleep stories and music and so much more!  I wish my family and I had Calm for difficult times in our lives.  I am comforted knowing we have Calm now for difficult times in the future.  I am excited to see the upcoming new content which is frequently updated and improved.  Thank you to everyone at Calm - you all inspire and help me!  You changed and improved life for my family, friends, and me!  And for many other people in the world!I’ve found this app to be a real asset in my life. My FD/EMS community has been working on trying to assess some of the more current research regarding stress injury/PTSD that effects our community. As an instructor and Lieutenant, it made focus more on actionable steps we could take and that my crew could take. Most of us are often operating in a zone of heightened stress...and that’s without the challenges of our personals lives. This past year has really pushed me to take action, to try and balance my stress response, and this app has been very helpful in my pursuit to include mindfulness meditation into my daily routine. I would say that I’m better for it and definitely recommend it.We use this app for every person in our family! I wake up to daily motivational meditations and put my children to bed using the kids sleep stories. I love falling asleep to the sounds of waterfalls or whales or any other dreamy adventure I’m hoping to find that is inspired by this app. I’ve also found motivation during the day while at work and it’s helped me overcome challenges by prompting me to shift my mindset. This versatile program is great for all!Anxiety and stress has ruled my life, but what I’ve learned recently is that your view point of these issues matters. If you see anxiety and stress as being detrimental to your health, your body tenses up. This tense state leads to more anxiety, stress, depression, and can lead to sickness. Meditation is holistic in the sense that it helps you be alright with your current state, allowing your body and mind to ease the tension. This app very much helps the mental muscles we need to be content and understand of today’s challenges.I’m an assistant principal, so one can imagine that there are many things coming at me. The Calm App has so many great resources that help me manage all of the challenges that come with the role, especially the Daily Calm. It’s time for me just to be every morning before I leave for work. And I’ve learned quotations and bits of wisdom that have helped me frame my thinking. I received some feedback on a particularly hectic day, “How are you so chill?” I responded that the Calm App plays a big role. Thanks, Calm App Team!This is a helpful tool for the day-to-day challenges of life. It brings awareness to the importance of applying mindfulness to all we do, however mundane it may appear to be at that moment. It raises consciousness and makes living be intentional. Every aspect of our life on Earth becomes equally precious by eliminating the boring and the unimportant. 
I find myself no longer trying to avoid what I used to view as uncomfortable or even wasteful. Everything and everyone has a purpose and it’s up to the individual to acknowledge that.I have been using the Calm app for more than five years. Teaching, masterclasses, music, bedtime sleep stories, and focused meditations have helped me through the years and has become a part of my morning daily ritual. The Daily Trip with Jeff Warren has been a balm in many ways to help me grow through lifes challenges. The app is well organized and it is easy to access all the different choices. Highly recommend this app.",0,nantarsmommaTeresa M3Pivotal MovementEverWild Forest SchoolTed T Zalexwmerritt123abc...Back to BasicsStudy4ever,"Love it, and some suggestions too!💕Firefighter CalmUse for the entire family!Life changing!Great App!HelpfulWonderful Meditation Teachers",CalmCalmCalmCalmCalmCalmCalmCalm,0,8,0,0,1,0,0,0,0,0,968,has_challenges,10
2,neg,2019-02-02 17:03:222020-12-01 19:23:44,"{'id': 7371878, 'body': 'Hi there, thanks for the feedback and we are aware of the bugs you have mentioned. Our team is working hard to fix them! Please reach out to support@calm.com with any comments or concerns.', 'modified': '2019-02-19T22:48:37Z'}","The Calm app is overall pretty good. I like the idea and the execution is not bad. I think there are still bugs, which is annoying, but manageable. However, when you’re asked to subscribe, there are about 10-12 different options with no details on differentiating factors. There are some that are one month and some that are one year and there are several different price points for each. How confusing! Instead, I decided to cancel after a few days of the free trial. Then, the screen that showed the date that I subscribed and the date that my trial would expire said that the subscription expiration date was “Invalid date”. This whole part of the experience turned me off. If you’re going to make such a great app, make it easy and CLEAR for people who want to subscribe and who want to cancel.If you can afford the $70 a year for Calm Premium, by all means enjoy. That’s their only price point beyond the now-bare-bones free service. They constantly change the app and remove your favorite features with reckless abandon. In a world of constant pressure and chaotic change, the one thing I would expect from an app whose name is LITERALLY CALM, is some continuity. And I suppose they’ve shown that to an extent— they continually remove useful features either permanently or place them behind a pay wall. If they had different price points or different payment plans, then I would believe they’re actually invested in one’s mental health. Instead they’ve repeatedly shown that they’re only interested in the health of their bank accounts.",0,ShesCalledDrioCrooksby,Good app. Terrible subscription.Calm is for the Wealthy,CalmCalm,0,0,2,0,0,0,0,0,0,0,267,has_points,9
5,neg,2020-10-04 21:02:09,0,"These people don’t help you to calm down or relax in fact it’s just the opposite. I tried the temporary for free method and now oh and then I decided I didn’t want to use it so I canceled and that was a year and a half ago. I’m going through my phone today looking for things like a delay and all of a sudden I see that they’ve been charging me 1495 a month for a year and a half and I cannot for the life of me find out how in the world to get rid of it. These guysRaise my blood pressure 20 points. I am going to be on the warpath for this company until I get my money back and not until I get all of it back. Good luck if you decide to go with them, I would rather deal with honest companies.
LaRué LaBex",0,Larue Alcoholic,Theives,Calm,0,0,1,0,0,0,0,0,0,0,151,has_points,9
5,pos,2020-01-27 00:56:422021-02-16 06:06:332019-03-24 13:46:302017-08-23 14:10:042023-10-03 13:10:102022-09-01 01:28:55,0,"I am a high school teacher at a high preforming high school in my area.  My students are often so stressed out and sleep deprived I feel so helpless to help them.  This year I decided to dedicate one day a week to meditating before we started class.  We do this every Thursday for the first 10-15 minutes of class. The response has been so positive from my students I am thinking of doing it two days a week next year.  The students LOVE Thursday!!  They have told me it’s the favorite part for their week.  Some students have even gotten the app for themselves.  I have heard so many times this year, “I needed that!” or “I needed to hear that today.”  After on session one of my boys said, “Man I was so upset about losing those 5 points on my English test and now I have let it go.  This really works.  What did you all think about?”  You know you are doing something right when teenagers open up and start talking.  Thank you for this product and allowing me the opportunity to give my students at least 15 minutes a week to destress, calm down, learn to love themselves and just breath! Can’t wait to see what the future has in store for me and my students as we take this CALM journey.I don’t know what I’d do without this app. I’m a life long somewhat insomniac that cannot fall asleep unless I have something that “occupies” my brain, so I can turn off all the junk I worry about. These stories are highly entertaining, and very interesting, yet calming at the same time. They’re also educational! I’ve learned many things from around the world that I didn’t know before. Most nights I’m out after 2-5 minutes, but some take longer. If I wake up during the night, I simply start a new story and I’m asleep again. I have my favorite narrators too. I find that male voices with accents other than American (with the exception of Erik Brah and Alan Sklar) really lull me to sleep. I need a deep voice lol. Females with British, Asian, Indian accents are great for me too. There’s also calming nature sounds and spa music. I’ve been using the Calm app for 2 years now and it never disappoints! Now I don’t have to reach for the Xanax anymore!I love this app and am a lifetime access subscription holder.

I love statistics. I love capturing them, analyzing them, and (hopefully) using them to some good end. This is one of the amazing aspects of the iOS sphere of products!

However, because Calm disappoints and puts me in a awkward situation due to the fact it erroneously logs Sleep Stories as Mindfulness Minutes in HealthKit.

I do not want to throw off my daily Mindfulness Minutes by logging long Sleep Stories, so I must disabled HealthKit integration in Calm. This is the lesser of evils though as by not having HealthKit enabled in Calm, I do not capture actual Mindfulness Minutes metrics from actual Calm meditation sessions.

Having the ability to log mediation minutes to HealthKit but NOT Sleep Stories minutes would encourage me to become a better practitioner of meditation using Calm. I’d be capturing accurate data to help gauge my progress (or lack thereof) of my burgeoning meditation routine.

I put in a feature request for this ages ago and it never came to be, so I’m re-voicing the request here. I’m sure I’m not the only one with this quandary.I've only been using Calm for about 6 weeks and am already completely amazed by how Tamara and her team's daily suggestions, encouragements and points of focus have so positively impacted my thought process and overall emotional and physical well being.

Four of the fundamental key lessons I've learned (mindfulness, non-judgmental thinking of self/others/thoughts/etc, carrying less ""weight"" in life, always returning to the breath), among the countless others, are already changing my life for the better day by day by day - just incredible.

There's always more to learn about mindful meditation and yourself every day...I started using Calm 3 years ago during one of the lowest points in my life. What a difference it has made for me!
The sleep stories are amazingly beautiful and effective, the guided meditations perfect for beginners or seasoned meditators and the inspirational bits just what I need when I’m feeling down. 
My favorite is the Daily Trip with Jeff. Love all his series, especially the beginner ones. He literally teaches the fundamentals of meditation in such an easy and unpretentious way. 
I am very grateful to all the creators and contributors behind this app.I first was able to try Calm through an employer subscription offered to me as an employee. It was something that took me some time to make a habit and explore, but I am so glad I did. I have since left the company that offered it and am happy to be a paid subscriber for this level of content that is regularly added and updated. Feedback points: would love more courses, music playlists and scrolling area clips.",0,amberkaymccoy*uckthisappsthormstrikeLA for LifeXpadrilecardio5679,Helping High School Students Stay CALMCalm to the rescue!Sleep Stories counted a Mindfulness Minutes ☹️There's always more...First and best thing for my mental healthWorth it,CalmCalmCalmCalmCalmCalm,0,0,6,0,1,0,0,0,1,0,866,has_points,9
2,neg,2019-11-22 23:48:10,0,"I just unsubscribed from my yearly subscription because the constant and unavoidable in app notifications were intrusive and the opposite of calming. They include banners that cannot be dismissed without actually listening to new “celebrity” meditations or sleep stories I have zero interest in and green notification badges on the music and stories tabs that alert you every time there is something new. This should be optional. These sorts of notifications are stressful, Fuel tech addiction and a constant feeling of a need to be doing something rather than just be, and are basically fueling the exact fire the app is supposed to help put out. It got to the point that I couldn’t stand to open the app. I have no interest in paying $100 a year for more unavoidable notifications. I hope the developers take this feedback into account. The ridiculous amount of stress they place on celebrity over quality of content is also off putting.",0,Rebecca74,Unsubscribed because of in app notifications,Calm,0,0,0,1,1,0,0,0,0,0,158,has_badges,1
2,neg,2021-04-29 00:01:182019-11-22 23:48:10,0,"Hello, I really like the content on your app and it has really helped me to develop my practice. However because of the issues described in the title I probably will no longer subscribe to calm next year. I am blind, and use the screen reader voiceover. I can play the videos for the content well enough with play pause, fastforward but the biggest barrier I am facing is that the mountains which you tap on in the for you tab  to bring up the settings are unlabeled. I was trying to turn off the babbling Brook sound, accessible apps need to have text labels to accompany any clickable items. I would love to resubscribe once you have resolved these issues, buttons for the mood check-in feature are also unlabeled or nonexistent. The box breathing technique does not speak anything aloud or refresh on its own. A better way to accomplish that might be to use a metronome with 44 times signature. I am happy to speak to a developer more about my feedback and suggestions for how to resolve these issues, but I think that especially since healthcare providers are starting to recommend your service to their users, many of them who use Medicaid and Medicare and are disabled the app absolutely should be more accessible. Thank you for your timely consideration and namaste. I look forward to working with you in making the meditation community more inclusive.I just unsubscribed from my yearly subscription because the constant and unavoidable in app notifications were intrusive and the opposite of calming. They include banners that cannot be dismissed without actually listening to new “celebrity” meditations or sleep stories I have zero interest in and green notification badges on the music and stories tabs that alert you every time there is something new. This should be optional. These sorts of notifications are stressful, Fuel tech addiction and a constant feeling of a need to be doing something rather than just be, and are basically fueling the exact fire the app is supposed to help put out. It got to the point that I couldn’t stand to open the app. I have no interest in paying $100 a year for more unavoidable notifications. I hope the developers take this feedback into account. The ridiculous amount of stress they place on celebrity over quality of content is also off putting.",0,Apelli0727Rebecca74,"App is in accessible for blind user, buttons unlabeledUnsubscribed because of in app notifications",CalmCalm,0,0,0,1,2,0,0,0,0,0,397,has_feedback,21
3,neg,2023-02-07 06:15:282019-08-14 10:14:36,0,"As a lifetime user of calm I have a request to make. Please allow users to make their own sleep story playlists. I have certain sleep stories that I really enjoy however, I sometimes don't fall asleep before the story is over.  Having to engage with my phone when the story ends and encounter the ""Still Awake? Choose another sleep story."" screen mentally causes me to have to become alert enough to find another of my favorite stories and completely unravels the progress I've made to try and fall asleep.  I know you have curated playlists but I have my favorites and would like to create a variety of personalized playlists according to my preferences.  I also have sleep stories for my young son and would love to create playlists that include his favorites as well, which are much different from my own.  

This would be a great selling point for me and others to share with friends and family who do not currently use Calm.  I would greatly appreciate it if you implemented this feedback.

Calm regards.I love parts of the app, but such an overwhelming number of your meditations are voiced by Tamara Levitt, and unfortunately I find her voice too cutesy or perky or something, for meditation. I can’t put my finger on the quality, I just know it’s distracting, making a huge number of your meditations unusable for me. I’d love to subscribe, as there are features I love, but it feels like enough of the app would be useless to me do to this issue, making the price point unjustifiable. What a shame you relied so heavily on one voice! I’ve had two other friends agree, sharing they opted out of your app for the same reason. Maybe others aren’t reporting back — I almost didn’t, but then I realized perhaps it would be useful feedback. Here’s hoping you increase the variety, so maybe I can rethink subscribing!",0,VonibonPossibilitiesnow,"Need customizable user playlists!Wish You Had More Voices Doing Mediation, So I’d Feel Good About Subscribing",CalmCalm,0,0,0,0,2,0,0,0,1,0,324,has_feedback,21
4,neg,2021-04-02 14:07:37,0,"This app was fabulous originally, but they have “improved” some functions so they are not easy to use any more.  For example, we listen to the same Eric Braa episodes every night, but now they have moved them out of the instant display of my faves and buried them so I have to search for them in the middle of the night.  They no longer have new Eric Braa episodes and his voice is so soothing.  The recently used episodes should appear near the top of the category list so we can find them easily, not on the home page!  Give us a way to make our own category(s). Give us a way to remove all the children’s stories from the adult content.  Give us a way to totally delete content that is a trigger for us.  And finally, in the middle of the night, a dialog sometimes pops up that I have to put my glasses on to read so I can dismiss it!  That should NEVER happen.  I wish someone would listen.  I used to give feedback on each new story, but it never did any good so I stopped.  I don’t feel they listen anymore and I’m disappointed.",0,tanglepuffs,So disappointed lately,Calm,0,0,0,0,1,0,0,0,1,0,201,has_feedback,21
