rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
2,pos,1,0.9647,has_challenges,10
4,pos,1,0.9903,has_challenges,10
5,neg,2,-0.5012,has_challenges,10
5,pos,6,0.93825,has_challenges,10
2,pos,2,0.9,has_points,9
5,pos,7,0.9684857142857143,has_points,9
2,pos,1,0.6204,has_badges,1
2,pos,2,0.80385,has_feedback,21
3,pos,2,0.9913000000000001,has_feedback,21
4,neg,1,-0.8551,has_feedback,21
4,pos,1,0.9668,has_feedback,21
5,neg,1,-0.372,has_feedback,21
5,pos,14,0.9656928571428571,has_feedback,21
1,neg,3,-0.5775666666666667,has_social,24
1,pos,1,0.969,has_social,24
3,pos,2,0.94885,has_social,24
4,pos,1,0.9753,has_social,24
5,neg,1,-0.8981,has_social,24
5,pos,16,0.8367375,has_social,24
2,pos,4,0.88475,has_tracking,30
3,pos,2,0.6792499999999999,has_tracking,30
4,neg,1,-0.3336,has_tracking,30
4,pos,6,0.983,has_tracking,30
5,neg,1,-0.6622,has_tracking,30
5,pos,16,0.9532375,has_tracking,30
1,neg,1,-0.9791,has_goals,11
1,pos,1,0.9752,has_goals,11
3,pos,1,0.8264,has_goals,11
4,pos,3,0.9729666666666666,has_goals,11
5,pos,5,0.9737,has_goals,11
1,neg,6,-0.6813166666666667,has_narrative,287
1,pos,11,0.8209272727272728,has_narrative,287
2,neg,3,-0.7501333333333333,has_narrative,287
2,pos,15,0.8996866666666666,has_narrative,287
3,neg,2,-0.58585,has_narrative,287
3,pos,30,0.84722,has_narrative,287
4,neg,2,-0.62095,has_narrative,287
4,pos,35,0.9080114285714286,has_narrative,287
5,neg,5,-0.62422,has_narrative,287
5,pos,178,0.9137241573033708,has_narrative,287
5,pos,1,0.9594,has_collab,1
