rating,flair_sentiment,date,developerResponse,review,isEdited,userName,title,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
3,neg,2023-07-29 00:35:14,0,"I don’t really vibe with the affirmations that say “one day I’ll feel happiness again” it implies I’m not currently happy and that right now I’m just miserable when that’s not the case. I don’t vibe with it because I already feel fine, so I think focusing on more gratitude is better. “I am able to achieve happiness despite any challenges” would be a better statement. It’s true, it’s encouraging, and doesn’t imply that today i feel sad and that “ONE DAY” (in the future..?) I’ll feel happy again.",0,kittydarlingxx,Some of the affs.. are weird,I am Daily Affirmations,0,1,0,0,0,0,0,0,0,0,89,has_challenges,4
5,pos,2022-11-08 01:06:032021-02-09 23:08:222020-09-16 23:38:09,"{'id': 33112708, 'body': 'Thanks so much for sharing your positive experience with our app. We’re so glad you’re enjoying it! ', 'modified': '2022-11-11T17:08:21Z'}{'id': 21073633, 'body': 'Thank you so much for the review! We are very grateful for this type of feedback and users like you :)', 'modified': '2021-02-15T19:17:19Z'}","Mental Health is very important to me, as it should be important to everyone. Whether you are going through many challenges in your life or you need a boost of confidence, this app is perfect for you! Everyday this app reminds me to love myself in someway and will help me think about my actions/emotions. Personally this app helps me think about my life through a different lens. Just remember, you are perfect the way you are and don’t give up on yourself because I promise it will get better!Don’t trust the rating...

I must confess: I am the Monkey Taps  “Junkie”!

Everything they have produced- I am a Member of.

The obviously 10-Stars Masterpiece has been unjustly “branded” as 4.9!!!
The most supportive content, the OUTSTANDING INTERFACE, the categories, the reminders- all are absolutely phenomenal!

Having a tough time? 
Has the COVID-19 breached your mental fortress?
Has the boss who laid you off shown no remorse?? 

Ffff...orget about all of the troubles!

This app is the proverbial pair of wings that was born to  lift you up high, way above the challenges of life!

Take a few sips of Purest Inspiration every morning!

You will NEVER REGRET becoming a Member!

P. S.  Have you ever received a response from the developers within the 5 minutes  after the initial contact ?
These guys are even better (faster)!

To the Developers:
Stunningly well done!  Bravo! Thanks!!!I love this app and it’s subtle reminders that help boost self confidence. I find it key for this year and the challenges I’m working through. After each notification I think about how I am each of those reminders and truly helps!",0,S_D_S_2008sonrisa arquitectoOswald18474,Helps Boosts Your Mental HealthDon’t Trust the Rating...Daily Dose of Sunshine,I am Daily AffirmationsI am Daily AffirmationsI am Daily Affirmations,0,3,0,0,0,0,0,0,0,0,278,has_challenges,4
1,neg,2021-05-25 15:24:072022-09-13 14:16:35,"{'id': 23268841, 'body': 'iOS has a limit of\xa060\xa0reminders\xa0that any app can program at a\xa0time, so once these run out you have to open the app to schedule more. Ultimately this is something we can’t fix since Apple is responsible for this restriction. We have thousands of affirmations so they shouldn’t be repeating themselves, you can contact us at hello@monkeytaps.com to assist you better. You can also create your own affirmations within the app and get them as reminders. Hope this helps!\n', 'modified': '2021-06-08T16:03:00Z'}{'id': 32156038, 'body': 'Hi there, sorry about that. You can update to the latest version of the app, the issue should be fixed. Please contact us at hello@monkeytaps.app if you encounter any other issues!', 'modified': '2022-09-21T17:44:33Z'}","I got this app because I thought I’d would be uplifting to get affirmations throughout the day. You can adjust in settings how often you get affirmations, but it doesn’t work. Some days I get zero affirmations, some days I get 3, some days I get the same 3 affirmations. In any given week I see the same affirmation multiple times. It would be better to write up 20 of your own affirmations and read them at different points in the week - this app is it reliable and there is no variation in the affirmations. What a waste.Taking a name and adding it to the bottom of affirmations that begin with “I” ruins the points. Obviously someone writes these so I am assuming it’s whoever the author is. But it’s incredibly distracting and isn’t worth paying for premium to have it there. No idea why this change was made or if there’s any user who could even want this!",0,Roo8675309Lepetitange3,Don’t waste your moneyWhy does the ios16 update add a random name to the bottom of the affirmations ???,I am Daily AffirmationsI am Daily Affirmations,0,0,2,0,0,0,0,0,0,0,161,has_points,5
2,neg,2022-04-16 19:52:50,0,"I really enjoyed using this app to get a daily affirmation in the morning. I wanted to get multiple reminders throughout the day and more categories so I started the trial. Supposedly I set the number too high and they can only schedule 60 at a time which means you have to open the app after 60 to get more. But I open the app multiple times a day and it never schedules more. I can’t even get it to schedule 12 to come consistently. I’ll get two (after I’ve opened the app) and then not hear from it again even when I open it which I see them saying in responses here will fix the problem. I’m really glad I discovered this problem during my trial and not after I’d paid for it. There are other apps (whose price points aren’t as good—I’ll admit) who can deliver consistently throughout the day, so I don’t understand why this one can’t.",0,alurarenee,Reminders don’t work,I am Daily Affirmations,0,0,1,0,0,0,0,0,0,0,160,has_points,5
5,pos,2023-04-27 20:36:302020-11-21 10:31:42,"{'id': 36686461, 'body': 'Wow, thanks for the great review! It means so much to us. We appreciate you!\n', 'modified': '2023-05-23T14:22:35Z'}{'id': 19303052, 'body': 'This review made our day! Thank you so much for sharing your experience with us.\n', 'modified': '2020-11-23T21:41:06Z'}","I have tried several personal growth, meditation, and inspiration apps. This is by far the best and the only one that stuck with my for more than a week. I rarely pay for the years subscription for anything but this made a difference in my life and my days and the way that it customized to your needs like how many days you would like positive reminders or affirmation and at what points of the day you may need them most. The chime for the alert when a positive message comes in is like “calm technology” it’s a sweet peaceful chime that you learn to recognize and instead of being another overwhelming alert text or marketing thing you feel a sense of comfort and joy when that sound come it. It reminds you to be more present in the moment and your day. So many time a message came in with just the right thing that I needed to read at a moment I truly needed it. Even my daughter recognizes the positive sound and how it uplifts me to receive them. I highly recommend this to anyone but especially to those with any PTSD, chronic pain, anxiety, depression. It makes a difference. At least it does for me.I’ve been a fan of this app for quite awhile now, but the recent addition of the widget has bumped it straight to the top of my favorites. I have the widget parked right on my primary screen, so every time I open my phone there is a wonderful affirmation. Other things I love about this app: the ability to choose themes, and edit them as desired, as well as the ability to choose focus points of the affirmations. Top notch! Thank you for making our lives a little bit better.",0,rainbow unicorn bird girlGoddessDiana,A little edge on your best lifeMaybe the Best App on My Phone,I am Daily AffirmationsI am Daily Affirmations,0,0,2,0,0,0,0,0,0,0,300,has_points,5
2,neg,2021-05-29 19:21:392023-01-27 05:23:25,"{'id': 34664570, 'body': ""Hi there! We’re sorry to hear you’ve had some issues with the app.\n\n1) If you go to Settings > General > Help, you can tap on either Suggest Improvements or Report a bug or problem to contact us. \n\n2) Our development team is currently working on resolving this. \n\n3) You can add specific words (i.e. Universe, God, or anything else that feels too spiritual) to your Forbidden Words list, so that those affirmations won't show up. \n\nIf you have any others issues or questions, please contact us at hello@monkeytaps.app so we can work with you to resolve them. \n\n\n\n\n\n"", 'modified': '2023-02-03T17:58:54Z'}","I have never selected the Pregnancy or Parenting affirmations, not for Reminders or Widgets, and I keep getting all these beautiful affirmations about giving birth and having a healthy baby. Awesome, EXCEPT I'M NOT PREGNANT and don't plan to be.  I can only assume that this is coming from my selection of affirmations for Women? I sent emails with screenshots to their feedback address. It was like conversing with a surly teenager. I'm paid for the year, but I don't think I will be renewing. Does anybody have suggestions for a better app?1) The feedback link takes you to a page with no ability to give feedback. 
2) They added a new audio feature, but there’s no way to turn it off and it kills the audio I was already listening to when I opened the app. It also asks me if I want to use the audio feature every single time I open it.
3) I’d love an option to shut off the more spiritual/“woo” types of affirmations.",0,PhilosophicallyDWyls,Can't seem to differentiate affirmations for 'Women' from affirmations for 'Pregnancy' 🙄Annoyances are outweighing the helpfulness,I am Daily AffirmationsI am Daily Affirmations,0,0,0,0,2,0,0,0,0,0,170,has_feedback,11
3,neg,2023-01-06 15:42:33,0,"This is a fantastic and beautiful app that worked great for me for about a week… until I updated it. Now the maker has put ads for their other apps in the list of affirmations, so you’ll see ads while scrolling through the affirmations. I am looking at other apps with the same functionality to see about getting a refund as I don’t think there should be ads at all once you’ve purchased an app for a year. I notified support and they basically said “thanks for the feedback.”",0,naturalprocess,Ads in the app after update on premium,I am Daily Affirmations,0,0,0,0,1,0,0,0,0,0,89,has_feedback,11
4,neg,2022-10-30 18:58:532022-03-04 13:52:44,"{'id': 32961965, 'body': ""We're glad our app has been able to lift your spirits. Is there something we can do to get 5 stars? Please let us know at hello@monkeytaps.app."", 'modified': '2022-11-03T22:15:31Z'}","I’m in the midst of a divorce. The relationship has been both physically and emotionally emotionally abusive. I have been quite depressed and working hard to boost myself back up. I downloaded the app on a whim and I didn’t expect much. The Lock Screen notifications and widgets have truly lifted my day sometimes. 

I put a big widget on my main page of apps   I thought the messages would be corny. However they have been uplifting in a way I didn’t expect.   Seeing those positive statements after so many years of negative feedback is helping me. I read the messages that tell me I am worthy of happiness and peace and it nearly brings me to tears. 

I want to rate this app five stars. I’m only holding back because a lot of the affirmations were written by the same person and they didn’t have much depth. I also had a hard time figuring out the widgets. However the quality of the affirmations has improved. It is making me feel better and reclaim my value as a person. andI can’t find a “feedback” slot, so I’m putting it here. I’d really appreciate if the affirmations came one clause at a time. I don’t take in the message if I can’t understand it. Thanks. 

(Additionally, If I disagree with one part of the statement connected by “and“ then I will disagree with the whole statement) 

Otherwise, I’ve kept it on my phone this long so!",0,Twister J#shutUP. org,Surprisingly Improves My DayI use it on my lock screen,I am Daily AffirmationsI am Daily Affirmations,0,0,0,0,2,0,0,0,0,0,246,has_feedback,11
5,neg,2020-01-10 22:07:482021-02-08 23:37:36,"{'id': 13724195, 'body': 'This review made our day!', 'modified': '2020-02-26T22:44:36Z'}{'id': 21073681, 'body': 'This review made our day! Thank you so much for sharing your experience with us.\n', 'modified': '2021-02-15T19:22:46Z'}","This is my first VOLUNTARY review... For me this app is amazing! I’ve been using it for a week and the first two days I kept getting annoyed with all the dinging 😂 (I set mine every hour between 5am & 11pm), as the days go on I actually “wait” for the Affirmations! I wake up to motivating words and throughout my day it’s almost like a continuous high and no matter what comes my way I’m not thrown off by others negativity. I am an accountant that offers additional services including Consulting and I’ve already recommended this to 3 clients 1 of which can’t stop thanking me for the recommendation and for all who read this, there will be no other $12 investment better than I am app!!!I don’t review apps.  I am not on social media for a reason.  All that negativity.  This app is the opposite.  Always an affirmation that comes at just the right moment.  You can never get enough positive feedback because humans are are hardwired to think negative thoughts about ourselves and those around us.  Counter programming, as much as you can get!  Download it now, upgrade or not. Start on your path to positivity.  Then pass it on! 🙏",0,empresslatinaStarry941,Download ASAP!It works!,I am Daily AffirmationsI am Daily Affirmations,0,0,0,0,2,1,0,0,0,0,207,has_feedback,11
5,pos,2023-09-14 02:43:412023-02-10 21:31:232021-05-28 16:26:482021-11-20 17:26:03,"{'id': 23259855, 'body': 'That’s awesome! Thank you for your feedback, it means a lot to us.', 'modified': '2021-06-08T09:04:53Z'}{'id': 26417313, 'body': 'Thanks for the awesome review! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.\n', 'modified': '2021-11-22T19:57:08Z'}","I was getting bullied in middle school and I needed some positive affirmations in my life so that way I can feel better by myself I was looking I’m looking for the right out but couldn’t find it until I ran across this one and I said why not try it because I’ve tried all the other ones but this one probably won’t be different. I was so wrong. This is one of the best apps I’ve ever went to and he gives me so much positive information about myself and I get a Reminders so I have one every single day and I can swipe up when I’m feeling bad and I can go on and I can read is a mini affirmations. I need it on continuously affirmations one of the best apps I’ve ever had love this app so much would give it five stars. Every single day helps me find out who I am.It is classically such a hard thing to get out of a negative feedback loop of self doubt and self image. This app provides a great mechanism for simulating a conflicting opinion towards the better and helps steer your thoughts back in a positive direction. You are what you think, and thinking positively about one self is such a huge part of living a happy and fulfilling life.I’ve been struggling with my self worth lately and these daily reminders have helped me so much genuinely. I read the reminders a few times in my head and sometimes aloud and go back to them throughout the day when needed. I’d recommend this app to anyone looking for positive feedback throughout their days!I really can honestly say I love this app and downloading is a no brainer! It has and continuous to change my life. Like how could you not smile and feel like you can take over the world when you see I AM pop up on your screen !! All praises to the most high God for the creators of I AM ❤️🌹

P.S
This is my first time ever writing a review on a app. 
So hopefully this helps some one DOWNLOAD!!

HOW I USE I AM 
I have a iPhone XS and put the widget of I am on my Home Screen. I chose to send 10 I am reminders to myself per day at random times that will display on the Home Screen widget and as a notification.",0,I CAN NOT BELIVE THIS!!!😡nexus32897Snack CuzYapah Princes 🌹,The best thing everGetting out of a negative feedback loopReally loving this appI love it here,I am Daily AffirmationsI am Daily AffirmationsI am Daily AffirmationsI am Daily Affirmations,0,0,0,0,4,0,0,0,0,0,411,has_feedback,11
