rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
1,pos,1,0.99,has_challenges,93
3,pos,2,0.8079000000000001,has_challenges,93
4,neg,1,-0.3389,has_challenges,93
4,pos,8,0.8407749999999999,has_challenges,93
5,neg,2,-0.42115,has_challenges,93
5,pos,79,0.8986518987341772,has_challenges,93
3,pos,1,0.7096,has_points,3
5,pos,2,0.6427499999999999,has_points,3
1,neg,2,-0.34209999999999996,has_feedback,27
1,pos,2,0.60535,has_feedback,27
2,neg,1,-0.5007,has_feedback,27
2,pos,1,0.8322,has_feedback,27
3,pos,2,0.68475,has_feedback,27
5,pos,19,0.8929842105263157,has_feedback,27
1,pos,4,0.60845,has_social,46
3,pos,1,0.7888,has_social,46
5,neg,2,-0.1711,has_social,46
5,pos,39,0.833071794871795,has_social,46
1,neg,2,-0.70205,has_tracking,82
1,pos,5,0.66876,has_tracking,82
2,neg,1,-0.9641,has_tracking,82
2,pos,2,0.7117,has_tracking,82
3,neg,1,-0.0941,has_tracking,82
3,pos,8,0.782375,has_tracking,82
4,pos,12,0.8970333333333333,has_tracking,82
5,pos,51,0.9006058823529411,has_tracking,82
4,pos,2,0.9235,has_goals,7
5,pos,5,0.83316,has_goals,7
1,neg,1,-0.7142,has_narrative,11
1,pos,1,0.296,has_narrative,11
5,neg,2,-0.47495,has_narrative,11
5,pos,7,0.8975,has_narrative,11
