rating,flair_sentiment,date,developerResponse,review,isEdited,title,userName,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
1,neg,2023-04-15 14:41:482022-09-21 15:38:02,"{'id': 36115737, 'body': 'Hi Jkdgg, sorry for the inconvenience. We provide a free trial to let our users try the premium features completely for free, before committing to pay. You can manage and simply cancel your trial after purchase at any time. If you have any problems, please feel free to contact us at justfit@enerjoy.life. Thanks.', 'modified': '2023-04-23T08:11:50Z'}{'id': 32232739, 'body': ""Dear user, so sorry. We offer a 7-day free trial to our annual subscription. You can manage and cancel your subscription on Settings or get a refund through Apple Support. If you have any question, please feel free to cus at contact.justfit@enerjoy.life. We're glad to help you but we are too busy with emails now. We will reply your email ASAP. Thanks for your understanding."", 'modified': '2022-09-26T11:30:37Z'}","I tried the app and it would be great for a normal person.  I have some challenges with bad knees and some other problems.  The app needs to be able to acknowledge multiple problems.  When I saw I couldn’t do what the app was presenting I cancelled.  It was a matter of hours from opening, purchasing the annual, and canceling.  I have yet to see my money returned.  Will I ever see my money?The questions in the initial set up are useless as they just give you a workout plan without even looking at it apparently. The 7 day ‘Free Trial’ doesn’t exist, it challenges you DAY ONE and doesn’t let you cancel if it’s not a good fit. What is the point of a trial at all if it isn’t going to do you any good?
No one responds from the app when you ask for assistance. 
Don’t waste your time or money.",0,RefundCrooked THEIVES,JkdggBeyl89,JustFit Lazy Workout FitJustFit Lazy Workout Fit,0,2,0,0,0,0,0,0,0,0,155,has_challenges,6
3,neg,2023-01-12 20:08:192023-07-08 22:50:09,"{'id': 39539057, 'body': 'Hi dear, we’re sorry for the inconvenience. If you could send a detailed account of the problem by submitting a request in the ""feedback"" section, it would really help us resolve this problem quickly. Thanks.', 'modified': '2023-10-16T10:57:24Z'}","My first 28 day workout series was great. Sure, the AI often mislabels the workouts but once you get used to that it's fine. However when I went to create a new 28 day regimen, I found out that the programming is way glitchier than that. It totally ignores the length of workout time you want and you end up with 39 minutes no matter what. I started using their preset challenges instead because they consistently are accurate re: time and include warm-up/cool down which I always want but doesn't come up on the main page sequences. I think I'm going to need to find a new app.Paid for the app, half the workouts challenges stopped loading, says “download fail”. It’s been failing for weeks. Also the heart rate says I’m in resting heart rate all the time even after I just worked out. 
3 stars bc the work outs a good and easy to follow along",0,AI is not very good. Hard to get a consistent routine from the app.Stopped working,ashleypaige7stfffp000s,JustFit Lazy Workout FitJustFit Lazy Workout Fit,0,2,0,0,0,0,0,0,0,0,158,has_challenges,6
4,pos,2023-04-14 11:55:33,0,I really downloaded this app to do the 28-day chair workout. While there are a few chair workouts and some 14-30 day challenges NONE of them is with the chair. Hopefully you can add this.,0,Slightly disappointed,babeyblu,JustFit Lazy Workout Fit,0,1,0,0,0,0,0,0,0,0,35,has_challenges,6
5,pos,2023-08-06 20:41:43,"{'id': 38178823, 'body': 'Thank you so much! It means the world to us ❤️ We will update our content and improve our app! Stay tuned! Looking forward and wish you keep fit.', 'modified': '2023-08-09T01:12:46Z'}","I haven’t worked out in years due to several injuries to my knees and to my back, and then age and life all these excuses that we use, but this was the first workout that I could actually use getting back into shape with confidence, the workouts or challenges but not stressful on joints  it was to me more like a great stretch and therapeutic experience for my body getting back in shape. I loved it",0,Haven’t worked out in years,Happy Winning,JustFit Lazy Workout Fit,0,1,0,0,0,0,0,0,0,0,76,has_challenges,6
1,neg,2023-10-26 11:35:47,"{'id': 39811318, 'body': 'Hi, Docbabs! We’re sorry for the inconvenience. We’ve already alerted the support team to this problem. Could you please send a detailed description of the problem and screenshots to contact.justfit@enerjoy.life? It would really help us resolve this problem quickly. Thanks!', 'modified': '2023-10-30T06:08:48Z'}",There is no way that the average review is 4.8!  I paid for a subscription and can’t load most of the workouts.  There is no way to contact this company OTHER THAN submitting a feedback form and then they don’t respond.,0,USELESS,Docbabs,JustFit Lazy Workout Fit,0,0,0,0,1,0,0,0,0,0,41,has_feedback,5
2,neg,2023-08-16 14:20:06,"{'id': 38367504, 'body': 'Hi, Fronchon, sorry for the unpleasant experience. You can choose bed and chair workouts in “Workouts” section. You can click the button iconed as three horizontal lines in the upper right corner of “Edit”, and change the physical limitation, workout duration, and muscle groups. Also, You could change your information in the progress Interface, and click the grey icon in the top right corner which you could set your profile (including height, start/ target weight). And we are updating our content. We will consider your requirement because it is so useful and report it to our development team.If you have any suggestions, please feel free to tell us.', 'modified': '2023-08-18T01:05:14Z'}","On the surface, this program seems great. I was excited that it asked me extensive questions regarding my preferences for working out, including type (chair vs bed vs yoga mat), and history of injuries. I requested a low impact, 15 to 20 minutes, chair workout, and what I got instead was a yoga mat program that on the first day starts out with jogging in place and jumping jacks, and soon was up to 30 to 40 minutes. When I tried to adjust the plan, there is simply no way to do it. I tried to provide feedback, and the only feedback that you can give on the feedback tab is whether or not you want to cancel the subscription. Super disappointing.",0,"Difficult to navigate, ignores preferences",Frochon1,JustFit Lazy Workout Fit,0,0,0,0,1,0,0,0,1,0,122,has_feedback,5
3,neg,2023-10-22 14:57:56,"{'id': 39719151, 'body': 'Hi, sorry for the unpleasant experience. We are glad to help you but we are too busy with emails recently. We will reply to your email ASAP. Thanks for your understanding and feedback! Looking forward and wish you keep fit.', 'modified': '2023-10-25T02:34:19Z'}",I downloaded the app to my iPhone and created my login. I then downloaded it to my iPad. The app would share info between my devices. I requested help through feedback on the app and got no response.,0,Data share between devices,Ks 981276453,JustFit Lazy Workout Fit,0,0,0,0,1,0,0,0,0,0,38,has_feedback,5
4,neg,2023-03-07 22:28:152023-09-04 15:43:30,"{'id': 35284148, 'body': 'Hi, \r\nSorry for the unpleasant experience. You can change the physical limitations and fitness level in the Plan Setting tab. Hope it helps! We are constantly optimizing, improving and testing features for our app and gathering player feedback on these so we can create an app everyone will enjoy, so thank you for letting us know how you feel about this. Looking forward and wish you keep fit.', 'modified': '2023-03-09T05:40:47Z'}{'id': 38768782, 'body': 'Hi ! We’re sorry you feel this way. We offer a 7-day free trial to users with “annual subscription” and a 3-day free trial for users without a subscription. JustFit is free to download, but you do need a subscription to unlock all the features. Thanks for your understanding. ', 'modified': '2023-09-07T02:19:29Z'}","I’m enjoying this app overall and have a basic membership for it. However, when I’m shown the work out moves, sometimes the angle and the person’s black clothing make it difficult to understand the positions.

I also wish there were ways to give basic feedback, like if a move doesn’t work for your specific needs (for example, I have an old neck injury), and needs to be not be in the workout routines. I wish I could rate overall workouts for how well they worked fir me, because some are really good, and others not so much.Hi I’ve been on this app for about a week and when I was trying to do block 2:rapid weight loss day 4 every time I tried to press start or measure heart rate it just continuously gives me the 57% ad, idk if it’s a glitch or something and if it’s happening with anyone else?",0,"Overall pretty good, can’t really customize workoutsIt’s good just one problem",kate_s_Emma Irene Dooley,JustFit Lazy Workout FitJustFit Lazy Workout Fit,0,0,0,0,2,0,0,0,0,0,153,has_feedback,5
1,neg,2022-11-22 04:06:022023-05-08 06:00:242023-02-21 01:18:022023-05-03 12:26:46,"{'id': 33357752, 'body': 'We are really so sorry for the unpleasant experience. Since JustFit has just launched, we were too busy to reply emails in time. \n\n\r\nIf you have already paid and want a refund, you can contact Apple Pay for a refund. \r\n\r\n  \r\n\r\nHere are the steps: \r\n\r\n1. Sign in to reportaproblem.apple.com. \r\n\r\n2. Tap or click ""I\'d like to,"" then choose ""Request a refund.”  \r\n\r\n3. Choose the reason why you want a refund, then choose Next. \r\n\r\n4. Choose the JustFit, then choose Submit. If you were charged for a subscription that you no longer want, you can cancel the subscription. \r\n\r\nYour comments are quite important to us so we would really appreciate it if you could update your review if we could help you solve the problems. Once again, sorry for the inconvenience. If you have any suggestions, please feel free to tell us, we will do our best to improve our app!   ', 'modified': '2022-11-25T03:43:14Z'}{'id': 36428138, 'body': 'Hi Aileksia! We’re sorry you feel this way. JustFit is free to download. And users can use some of the features and content. However, you do need a subscription to unlock all the features. Thanks for your understanding. ', 'modified': '2023-05-10T01:52:07Z'}{'id': 35003681, 'body': 'Sorry for the unpleasant experience. There are many different types of fitness videos within JustFit, and we are constantly updating our fitness content. We have workouts for different parts according to your preference in “Workouts” and can click the button iconed as three horizontal lines in the upper right corner of “Plan Setting”, and you can change the physical limitation, workout duration, Muscle groups. Please stay tuned!', 'modified': '2023-02-22T03:47:15Z'}{'id': 36358700, 'body': ""Hi MadcAtzack, we’re sorry for your unpleasant experience. We have workouts for different parts according to your preference in “Workouts” where you can find the exercises you want, and we will reply to you ASAP. If you have any other problems, please tell us, we're glad to solve your problems."", 'modified': '2023-05-06T02:27:27Z'}","The app is so-so. but the reason I gave it one star, is because it’s difficult by design to cancel before the trial period us up. I’ve already sent them 2 cancellation emails with no response. And even if you delete the app it doesn’t cancel your auto subscription. So if you just want to try it to see how it goes, it’s very difficult to get out before the trial period ends. I started trying to cancel it just after two days because I wasn’t thrilled with the app. And I still haven’t been able to cancel it. No customer support on social. No recourse if they don’t answer your email to cancel. Really disappointed with this app.I downloaded this app because of a video on social media that looked impressive and said the app was free. After filling out the initial 5-10 minute survey, I found out the app was NOT free, and didn’t even have a free version. 

Whatever, maybe there was an update since the video I saw was made? I decided to give it another chance and tried it anyways. I did the first workout, felt pretty great, and felt pretty proud of myself. But because of my heart rate, in the post-workout summary the app said “You’re not doing any activity.” 

I’m on beta blockers. Don’t need to be shamed for it. :(I truly liked the animated video commercial on my social media feed, so I downloaded the app.  I filled out all the information and it gave me options to pay. I picked the one month version and hit start for my program. It was nothing like the video I saw. Originally I picked to do my work out on a bed and the workout they gave me was all on the floor. I would like my money back.Do not purchase the full version! I purchased thinking it would be fun – seeing the videos posted on all social media. The “games” you can play with music do not exist within this app. I have emailed the company six times to get help and no one has responded.",0,Difficult to cancel before trial period is upBetter apps out thereNot what I thought it would beDO NOT PURCHASE,dontlikethisapp2022Aileksiajoefan3MadcAtzack,JustFit Lazy Workout FitJustFit Lazy Workout FitJustFit Lazy Workout FitJustFit Lazy Workout Fit,0,0,0,0,0,4,0,0,0,0,358,has_social,5
3,neg,2023-01-06 23:40:47,"{'id': 39539114, 'body': 'Hi Veronica, thank you for the feedback, and we’ll take your suggestion into consideration. We are always looking for new ways to continue improving. Please stay tuned!', 'modified': '2023-10-16T10:59:15Z'}","I have seen your app all over social media. I thought it was amazing and it made people fit, So I downloaded it and it help me for 2 days straight. But on the 3rd day it was telling me about the subscription. I didn’t want to do it and I was just trying to workout but it kept blocking me from doing it. Basically I’m just trying to say that maybe have a button where people don’t want to subscribe and just do there workouts. I understand that you probably want money from the app but some people can’t even afford or don’t want to subscribe. It’s up to the people who made this app.",0,I’m just trying to workout,Veronica Villalobos,JustFit Lazy Workout Fit,0,0,0,0,0,1,0,0,0,0,116,has_social,5
