rating,flair_sentiment,date,developerResponse,review,isEdited,title,userName,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
3,neg,2023-08-29 18:10:27,0,"I like this app overall, as someone who has serious executive functioning challenges it’s quite helpful. However, the in-app sounds (not the notifications) are too loud and annoying and there is no way to turn it off and you can hear them super loud even with the phone volume silenced. Unless this changes I will probably not renew my subscription.",0,In-app sounds are annoying,mcat913,Me Daily Routine Planner,0,1,0,0,0,0,0,0,0,0,60,has_challenges,3
4,pos,2023-04-24 13:01:322023-02-14 03:06:25,"{'id': 36651832, 'body': ""Hi! Thanks for your honest review. We're working on making the app better. Thank you for being a part of our community. If you have any questions, our support team is happy to help. :)"", 'modified': '2023-05-22T08:03:37Z'}","Unlike countless other planner apps out there you don’t have to pay to actually be able to use the app. You wont believe how happy it makes me that you don’t need a subscription to be able to plan out your life. I personally find it disgusting and discouraging that loads of other apps take advantage of the challenges neurodivergent people face when they are just trying to make their life a bit easier and more organized. This app offers so many capabilities without having to pay. You can make checklists under activities and events. It gives you suggestions of things to add to your schedule. Events/activities are very customizable. It has a list of routines to try from hot spring to-dos to work out and cleaning routines. You can set alarms, track your sleep, listen to soundscapes and meditations, and check broadcasts. Broadcasts includes a great overview of how you slept including percentages of when you woke up during the night and when you were in light sleep and deep sleep. It also has sound recordings of your night. Weather in your area and fun history facts. They also give out free or discounted membership opportunities. It’s honestly a great experience and I feel more confident and in control of my schedule than ever before!after seeing all that this app has to offer, I have recently decided to get the full experience by paying for the unlimited version. as someone with ADHD that is actively trying to find ways to work on organization and self discipline habits, i love how this has so many features that are GENUINELY helpful and enticing.

however, the ONLY suggestion that i have so far is that the timers that you can set have little challenges — which is exactly what i wanted — but i would love it even more if it could make you physically GET UP. like if it would be able to track your steps! i know this suggestion may get lost in the plethora of reviews, but i would absolutely love to see that!",0,Best App I’ve Downloaded-ADHD Win!This app is amazing!! BUT,GoodAdhdVibesAlyzia W,Me Daily Routine PlannerMe Daily Routine Planner,0,2,0,0,0,0,0,0,1,0,346,has_challenges,3
1,neg,2023-10-01 15:14:26,"{'id': 40020754, 'body': 'Hi, we’re sorry for the inconvenience. We’ve already alerted the designers to the problem. Could you please send a detailed description of the problem and screenshots to\xa0contact.meplus@enerjoy.life? It would really help us resolve this problem quickly.\xa0Thanks!', 'modified': '2023-11-09T03:49:36Z'}","In looking for personal productivity apps I found this one thanks to ads and plenty of what I now presume are fake reviews. This app has very limited routines that are difficult to configure. The content is written in poor grammar with misspellings, which points to some off shore dev team basically trying to copycat other apps. Sometimes that works, in this app, it doesn’t work. Don’t waste your time (or money) on this dud.",0,This app is a cheap knockoff,Eubuleus,Me Daily Routine Planner,0,0,1,0,0,0,0,0,0,0,75,has_points,5
4,pos,2023-03-22 04:20:05,0,"It would be really great if y’all had a dark mode. Also, it would be really nice if y’all had different layout for customizing the checklist/to do list I think that would be pretty cool and have a like streak system and you can build points based off of the streaks that you make, otherwise I’m loving what y’all are doing!",0,Great app/ Suggestions,ImagineRetro,Me Daily Routine Planner,0,0,1,0,0,0,1,0,0,0,61,has_points,5
5,pos,2023-04-12 00:53:322023-09-14 21:36:002023-10-10 23:08:35,"{'id': 36651791, 'body': 'Hi, we appreciate your positive feedback. If you have any ideas, please feel free to contact us at contact.alarmme@enerjoy.life. :)', 'modified': '2023-05-22T08:02:46Z'}","Having ADD I can truthfully say this is the best productivity app I’ve tried. So many others force you to create your routines, habits and schedules all by yourself. Most productivity apps start in a place of customization. By the time you figure out what schedule you want to choose, when you want to do it and how often you lose momentum it’s so exhausting you want to quit. The beauty of this app is that there are routine templates based on who you are and what you want to achieve and then you just add those goals/routines it to your custom one. Just the right amount of free choice but mixed so much with outlines that are pre-set you don’t have to figure a lot out. Definitely recommend - worth the hype. My only suggestion/request if possible would be to add a goal template that includes pets. When to walk them, spend time with them, take them to the vet, get them groomed. No points taken off though - this is awesome!Is cool bc you can put things and not forget  about it and you get points I think for it and u can put go to eat and when your done eating 🍴 you press the checkmark and yea is supper good.!!!! 💖OMG I am so organized and it’s so fun doing that because I have me+ and now it’s so fun to clean and do anything like take a bath I’ll get plus I’ll get points so fun I think you should download  me+",0,Awesome App!The app is nice too.Review for me+,s_hartpoetLoca lava lavajdjd my dudKatherine⭐️,Me Daily Routine PlannerMe Daily Routine PlannerMe Daily Routine Planner,0,0,3,0,0,0,0,1,0,0,259,has_points,5
1,neg,2023-03-17 05:32:142023-07-19 16:24:28,"{'id': 35467425, 'body': 'Hi Dougwas, thank you for the feedback, we’ll take your suggestion into consideration, we are always looking for new ways to continue improving. Thanks again.', 'modified': '2023-03-20T01:34:11Z'}","It’s just a checklist. This app offers nothing that iOS checklist can’t do; it’s just a library of routines— a lot of them basic— for basic people. 

I don’t pray. I don’t drink. I don’t drink coffee. I don’t have a sugar addiction. I just need help focusing. 

What does this app do? Put the buzzword “behavioral science” on— again— nothing more than a checklist. Behavioral science is about adjusting your choice architecture so that you go with the best options by default, or encouraging good habits with positive feedback. This app doesn’t do that at all. 

It’s just everything wrong with California apps:
Algeria art, royalty free stock photo testaments (believe these totally real people with no names!) to psych you up before you’ve even started, buzzwords, and— of course— a subscription fee because why not? Even though this isn’t a service, it’s just a checklist. 

Pass on this. It’s basic. It’s expensive. It’s empty. Go read about behavioral science from Richard Thaler, don’t believe these apps that have nothing to offer.The concept is good, but there is zero learning curve. You get a new app, play with it, and then have zero way of editing or deleting your routines when you’re still just trying to figure out what you need or want from it. Despite several reviews, this obvious flaw persists. It’s crap, and they immediately charge you for an underdeveloped app that has no versatility.  The help center and feedback are a joke. Deleting the app and requesting a refund.",0,It’s just a checklistMost frustrating app. Period.,Dougwastaken🤦🏼‍♀️J-ME,Me Daily Routine PlannerMe Daily Routine Planner,0,0,0,0,2,0,0,0,0,0,254,has_feedback,3
2,neg,2022-02-28 12:40:11,"{'id': 29043601, 'body': 'We’re sorry for the inconvenience. We’ve already alerted the designers to this problem. If you could send a detailed account of the problem to\xa0contact.alarmme@enerjoy.life, it would really help us resolve this problem quickly.\xa0\r\n\r', 'modified': '2022-04-08T06:43:28Z'}","The first night this worked great and I got some good feedback. Also the first night one kid came down with a stomach bug so I was up and down all night, and it tracked all the noise. Great! The second night it timed out at midnight; my screen time limits had shut it off. Changed my settings to allow this to run. The third and fourth nights it ran all night, but did not clock me sleeping at all. Today my 6:30am alarm just went off at 7:32am. I want this to work, but my free trial ends in 2 days and without getting these “glitches” working, am unwilling to pay $60 for something that works one day in seven.",0,Confusing,KBL925,Me Daily Routine Planner,0,0,0,0,1,0,0,0,0,0,121,has_feedback,3
1,neg,2023-04-29 02:01:502023-05-17 01:33:152023-01-12 01:39:392023-02-05 02:58:08,"{'id': 34297306, 'body': 'Hi Arthur, sorry for the inconvenience. we’ve already alerted the designers to this problem. We provide a free trial to let our users try the premium features completely for free, before committing to pay. You can manage and simply cancel your trial by going to your account settings on the App Store after purchase at any time. And you can get a refund through Apple support. If you have any problems, please contact us via contact.alarmme@enerjoy.life, personnel will be available to properly handle the subscription issues. Thanks.', 'modified': '2023-01-16T02:09:27Z'}{'id': 34715223, 'body': 'Hi Chuyabelle, sorry for the inconvenience. We’ve already alerted the designers to this problem. We provide a free trial to let our users try the premium features completely for free, before committing to pay. You can manage and simply cancel your trial by going to your account settings on the App Store after purchase at any time.', 'modified': '2023-02-07T02:58:51Z'}","By all of these high reviews saying this is the best app because it has a lot of templates and preloaded things.  It doesn’t.  There’s barely anything to choose from, it definitely doesn’t create routines for you like the ads show. There’s not even a full house clean template, which tbh is basic stuff.  If I want to sit down and write it all in myself there’s free apps that have the exact same functionality.  One of the routines literally has “use Pomodoro app” and “don’t use social media” as line items for the “routine.”  That’s not a routine, that’s just basic ideas.  Very disappointed and wish I could get my money back.I have been doubting this app for months as I’ve seen the ads all over social media. I finally decided that it has to be worth it and I downloaded it. I couldn’t do a SINGLE thin other than answer a ton of questions before it made me decide to pay for a month or or more with a 7 day trial. Most app that have pay features give you at least basic access at first. Nope not this app. Don’t even waste your time. I had such high hopes and I REFUSE to commit to a pay period right off the bat without even being able to have a fully FREE trial with then the option to buy.Nice app, but let’s be real here for a second, I want to save money and this app will help, except it costs money to help you save money. Sorry nope. I’m so done with apps that charge money. It’s the biggest scam, companies like Verizon and AT&T make you buy a phone and the plan. Than when you want the extras you have to pay for that, than when you want the apps you have to pay for that. I’m done. Do not pay the money to use apps. Plus any app you find on social media 99.9% you’ll end up pay something for that app. 

Complete waste of time and money. To the maker of this app, don’t bother!I saw this app on social media and thought this is what I need to help me get motivated and take care of me for a change. Disappointed that there’s not really a “free version” of it. I can’t get past either the monthly or yearly subscription page to try the app before deciding to commit. 🤦🏻‍♀️. Waste of time. Deleting the app.",0,I am honestly confused…Makes you pay right awayMy goal is to save moneyNot free. Pay for self care.,HousechamberOSUEPERArthur0515Chuyabelle,Me Daily Routine PlannerMe Daily Routine PlannerMe Daily Routine PlannerMe Daily Routine Planner,0,0,0,0,0,4,0,0,0,0,416,has_social,9
2,neg,2023-06-22 14:30:012023-07-14 04:59:05,"{'id': 37308028, 'body': ""Thank you for your feedback and for bringing the issue to our attention. We apologize for any disappointment you may have experienced with our app and the pre-made routines. We understand that customization may be overwhelming for some users and we'll work to provide more clear and approachable steps. We appreciate your feedback regarding these problems, and we'll take them into consideration for future updates. "", 'modified': '2023-06-25T02:52:00Z'}{'id': 40029842, 'body': 'Thank you for the feedback, we’ll take your suggestion into consideration. We are always looking for new ways to continue improving. We’re sorry for the inconvenience. We’ve already alerted the designers to this problem. If you could send a detailed account of the problem to\xa0contact.meplus@enerjoy.life, it would really help us resolve this problem quickly.\xa0', 'modified': '2023-11-09T10:52:46Z'}","I was incredibly underwhelmed by this app. Most of the pre-made routines are just silly. One of them, ‘Expanding Your Social Circle,’ includes the task “Try to fall in love.” With no further explanation or directions. Another, ‘Try On New Years’ Hot Springs’ is particularly odd. The title looks like a bad translation, the concept is pretty niche, and the elements in the routine are broad and (again) contain no extra help or direction. 
Overall, the routines are broken down into overly broad and generic steps. With ADHD, that can be overwhelming and more hassle than it’s worth to customize it. If you are hoping for an app that breaks down large tasks into clear, approachable, bite-sized steps, this app is definitely not for you. Certainly not worth the $40 annual subscription price.Pros:

Attractive app
Easy to use 
Useful library, workouts and meditations

Cons:
Doesn’t integrate with calendars as so many other apps do. This is an  ABSOLUTELY NECESSARY feature for individuals w/ ADHD to appropriately orient their day. This is a HUGE drawback, and will cause me not to use this particular app.

Limited emoji options for tasks; no skin tone option

Too much focus on hashtags, social media ambassadors. Focus on making a fully functional app that functions as described and for the advertised population before being concerned with “ambassadors”. 

Limited color selection; all pastels",0,Just a glorified to-do listUnfortunately not worth the price,AlyssmotRCProudie,Me Daily Routine PlannerMe Daily Routine Planner,0,0,0,0,0,2,0,0,0,0,228,has_social,9
2,pos,2023-02-28 14:20:42,"{'id': 35153971, 'body': 'Hi xxnetsrikxx, thank you for the feedback, we’ll take your suggestion into consideration, we are always looking for new ways to continue improving. Thanks again.', 'modified': '2023-03-02T02:36:54Z'}","I was really excited to use this app for keeping track of work & ME time. 
I wanted to import my Google calendar so I can schedule around it and unfortunately you can nit import your calendar. This is pretty easy to do and I’m shocked they don’t have this. If the google cal Import was available I’d been singing to the stars , would post to all my social media pages and business accounts about this app. But unfortunately they don’t offer it so really lacks for the average busy person.",0,Lacks features,xxnetsrikxx,Me Daily Routine Planner,0,0,0,0,0,1,0,0,0,0,92,has_social,9
5,pos,2023-06-13 04:09:272023-10-20 03:39:30,0,"I’m literally just trying to see all this wonderful app has to offer and I keep getting amazed and pulled into all the cool features. For 1 the little workouts on here are AWESOME. The positive affirmations made me feel so good, then the sounds are what I’m stuck on right now and I’m meditating to it . Honestly this is SOOOOOOO worth it. This is app is going to help me get OFF of my phone really off of social media but also becoming a better me in the process .This is so far the BEST zap that I’ve ever had, there’s so many cool things that help with health and as someone who has add and social anxiety, this has helped me more than any health app ever, totally recommend!!",0,30 mins in and I’m glued to the app !RECOMMEND 100%!!!!!!,VIA SMITHOverCookedBean,Me Daily Routine PlannerMe Daily Routine Planner,0,0,0,0,0,2,0,0,0,0,133,has_social,9
