rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
3,pos,1,0.6801,has_challenges,3
4,pos,2,0.95785,has_challenges,3
1,neg,1,-0.901,has_points,5
4,pos,1,0.9622,has_points,5
5,pos,3,0.8500333333333333,has_points,5
1,pos,2,0.81855,has_feedback,3
2,pos,1,0.8398,has_feedback,3
1,pos,4,0.646475,has_social,9
2,neg,1,-0.1415,has_social,9
2,pos,2,0.6779,has_social,9
5,pos,2,0.9386000000000001,has_social,9
2,pos,2,0.5234,has_tracking,16
3,pos,5,0.7741,has_tracking,16
4,pos,3,0.9592333333333333,has_tracking,16
5,pos,6,0.7699833333333334,has_tracking,16
1,neg,1,-0.4981,has_goals,47
1,pos,6,0.74035,has_goals,47
2,pos,4,0.8723000000000001,has_goals,47
3,neg,2,-0.64755,has_goals,47
3,pos,5,0.76616,has_goals,47
4,pos,3,0.8177333333333333,has_goals,47
5,neu,1,0.0,has_goals,47
5,pos,25,0.8806879999999999,has_goals,47
1,pos,2,0.47535,has_narrative,7
2,pos,2,0.5696,has_narrative,7
3,pos,1,0.9236,has_narrative,7
4,pos,1,0.9537,has_narrative,7
5,pos,1,0.8555,has_narrative,7
