rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
5,pos,3,0.9078333333333334,has_challenges,3
1,neg,4,-0.715475,has_feedback,13
1,pos,3,0.5499999999999999,has_feedback,13
2,neg,2,-0.348,has_feedback,13
2,pos,1,0.5967,has_feedback,13
5,pos,3,0.8836666666666666,has_feedback,13
1,neg,1,-0.296,has_social,8
1,pos,1,0.7239,has_social,8
2,neg,1,-0.4019,has_social,8
5,pos,5,0.9413,has_social,8
5,pos,7,0.8562142857142857,has_tracking,7
1,neg,1,-0.2732,has_goals,6
5,pos,5,0.8924,has_goals,6
1,neg,3,-0.6919666666666666,has_narrative,20
1,pos,1,0.7043,has_narrative,20
2,neg,1,-0.6249,has_narrative,20
2,neu,1,0.0,has_narrative,20
2,pos,2,0.74645,has_narrative,20
3,pos,4,0.556475,has_narrative,20
4,neg,1,-0.4015,has_narrative,20
4,pos,1,0.6708,has_narrative,20
5,pos,6,0.8338166666666668,has_narrative,20
