rating,flair_sentiment,date,review,isEdited,userName,title,developerResponse,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
4,pos,2022-11-03 18:27:49,"I love this app! Seems like at the right moment I’m blessed with something inspirational or encouraging to get me through the challenges of my day or make a great day even better! Thank you for lifting me up and making me smile!!! 😃☺️💖💓💖

My only issue is when I upgraded my cell my app didn’t come with me. I had a wonderful collection of motivational quotes I collected and now I’m left with starting over. My new motivational app doesn’t seem to send me quotes like it used to. Matter a fact, the first quote on my new cell told me….. “you’re going to always be alone!” 

What kind of motivation is that….. ⁉️that’s cruel to say to anyone…. Especially, someone who struggles with depression and anxiety!!😥 …. Well, you obviously motivated me to leave a comment! I miss my original motivation………… GOOD VIBES ONLY!",0,S1🖖🏼,Wisdom! 👂🏼😅😇,"{'id': 33112485, 'body': ""Hi there! Thanks for reaching out. We're always looking for ways to improve so we appreciate the feedback. That quote isn't in our database, but if it pops up again please send a screenshot to hello@monkeytaps.app so we can make sure it's categorized properly. "", 'modified': '2022-11-11T16:56:33Z'}",Motivation Daily quotes,0,1,0,0,0,0,0,0,0,0,146,has_challenges,7
5,pos,2020-04-13 21:38:272020-05-02 02:49:182020-09-01 19:16:142022-12-29 00:49:562021-01-16 09:03:222023-02-14 15:43:01,"If you are trying to accomplish something in your life and you come across obstacles often, this is a perfect way to keep you going! The motivation app remind you to listen to that positive voice in your mind. It also reminds you, seemingly at the perfect moments, to reach down into your core and pull out the best of yourself despite the challenges that you face.This app is on point and on time. It has it where you are sent several messages throughout the day. I recently experienced some heartbreak and challenges. Every time I found myself falling into a negative thought, there was a positive message to counter it. Thanks to whom this may concern!!I am so glad I chose to download and pay for this subscription!! The daily, multiple motivation statements have been giving me confidence to walk through many challenges that I face concerning different situations in my life!! I highly recommend it!!I love this app, it inspires me every day.  I would heartily recommend it to anyone who struggles with life’s challenges.  It has made me look at things in a much more positive outlook, and it has made me happier and stronger...This app is very inspirational and helps me get through my rough times and also helps me understand more about my emotions and life challenges and struggles..Everyone must download I encourage everyone to get thank youThis app has helped me through some really difficult times, uplifting my spirit with encouraging messages to get me through my daily challenges.",0,Nichole Sheaffer29936savageFinallydonegggmmrjessbbyjayYisraelady,A perfect additionOn pointSo Helpful!!!Motivational appLove this app!!  Everyone must HAVE..🗣Beautiful App,"{'id': 17832576, 'body': 'We make user experience and satisfaction our priority, and your review reaffirms the hard work we put in every day, thank you for your kind words!\n', 'modified': '2020-09-11T20:34:09Z'}{'id': 34071920, 'body': 'Thanks so much for recommending our app! We appreciate you!', 'modified': '2023-01-03T18:58:54Z'}{'id': 20638431, 'body': 'We are so happy that you are enjoying the app. Thank you so much for your feedback!\n', 'modified': '2021-01-25T17:35:30Z'}{'id': 34914266, 'body': 'That’s so great to hear! Thank you for taking the time to give us such great feedback. \n', 'modified': '2023-02-16T21:01:41Z'}",Motivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotes,0,6,0,0,0,0,0,0,0,0,260,has_challenges,7
5,pos,2022-04-30 19:39:482022-01-11 01:45:24,"The reminders will catch you at low points where they’re most needed. It’s a great app to get you mind right and to remind you of the better things to come ,to keep you pushing.I downloaded this app at one of the lowest points of my life and it always seemed to send the right message at the right time. I NEVERRRRR leave reviews but this one definitely deserved my time!",0,isaiah tolbertKerianicole,A must if you have trouble loving yourselfLove it!,"{'id': 27558320, 'body': 'Thanks for taking out time to rate us. It really helps us to keep going and delivering the best :)\n', 'modified': '2022-01-20T12:09:18Z'}",Motivation Daily quotesMotivation Daily quotes,0,0,2,0,0,0,0,0,0,0,72,has_points,2
2,neg,2022-02-16 04:56:34,"Quotes customization is good on phones but they recently got rid of customizing the widget that feeds to your Apple Watch complication. Really was digging this app before as it was continuous feeding of my categorized quotes. 

Now I may have Bruce lee quotes in my phone but then look down at my watch and see Marilyn Monroe quotes lol. Especially disappointing as a premium customer, I hope they fix this soon by adding the feature or those looking for a bit more personalizing will have to look for better alternatives.",0,detanimulli,Decent app,0,Motivation Daily quotes,0,0,0,0,1,0,0,0,0,0,91,has_feedback,9
3,neg,2020-12-14 21:14:242021-01-13 02:12:50,"Quotes can be hit and miss, but most of time helpful. One thing I don’t like about this app is I continuously have to “tap to keep getting reminders”. I’ve noticed lately the notifications will stop coming and not even remind me to tap, tap, tap. Fortunately I don’t get a lot of notifications so I can quickly tell when I need to press on the app to make sure I keep getting these motivational quotes! I’ve also noticed they don’t even come every hour like I scheduled it to. I’ve already paid my subscription for the year so I guess this is something I’ll have to deal with, but I definitely think I will look into using other apps that don’t need me to constantly check to get what I paid for.

Update: I wrote my initial review on Monday and by Friday I got a reminder to keep tapping. i feel like this whole tapping thing once a week can be for people who have the app for free. if i paid for the subscription i shouldn’t have to worry about making sure i get the notifications everyday. if i didn’t ask for them to stop coming then keep sending!

Update #2: Even though I tapped on the notification to keep getting the reminders they still stopped! It’s another Monday and I had to click on the app itself to start it over. I guess it’s better to click on the app itself than click on the notification to be sent to the app. It’s weird.This app is totally five stars but by the 2nd-3rd week of continuously resetting reminders just to get the quotes you love is annoying. 

I rather be asked if I want to changer the reminder time (to get the quotes) than having to continually do it or not get any quotes that I’m paying for. Again I live the app just do something about the reminder setting! Please!!!!!!!!",0,Tatiana Perry's ComputerTasha Launch,Tap To Keep Getting Reminders!!!Great App but...tired of resetting reminders,"{'id': 19862667, 'body': 'Hi there, iOS has a limit of\xa060\xa0reminders\xa0that any app can program at a\xa0time, so once these run out you have to open the app to schedule more. If you need further assistance please contact us at hello@motivation.app.', 'modified': '2020-12-18T21:33:59Z'}",Motivation Daily quotesMotivation Daily quotes,0,0,0,0,2,0,0,0,0,0,326,has_feedback,9
5,neg,2020-09-28 03:25:22,"Hi!!!
I really hope I could get some feedback on this. I suffer from a couple mental illnesses but I can’t pay for premium. I can never choose which one I want for quotes. Can you make it so that you can get like 2-3 of the topics together at once? I understand you need to make money, but I’m not allowed to pay for it.",0,Hee Hes Master,Amazing app. One suggestion,0,Motivation Daily quotes,0,0,0,0,1,0,0,0,0,0,66,has_feedback,9
5,pos,2020-03-09 15:08:402020-12-18 12:14:342020-07-13 15:59:072023-04-20 15:04:052023-10-10 17:08:36,"I’m writing this review in response to a review I recently read about the lack of features for the free version. I would disagree that this app offers nothing for free. I personally really enjoy all of the features that I’ve gotten from the app. 

As an aspiring minimalist the new black and white theme is perfect. After picking what categories of quotes I want and setting up notification schedules I find that the app serves my needs well. I usually begin and end my day with a quote notification and save the ones I really enjoy. After setting up the app I see no reason to continuously go back and fiddle with it except for changing the notification times. 

As for the premium features they’re nice but not what I want to spend money on right now but for free I am more than satisfied with the app. 

I think individuals needs a realistic expectation of what to expect for “free” in an app and understand that apps take a lot of work to develop. We have $1000 cell phones in our pockets but fuss at the thought of spending a minuscule fraction of that cost on apps that genuinely increase the functionality and the fun of these portable computers we now all carry.This application has helped me from the day I downloaded 2 weeks ago and I use it daily. My attitude towards myself, my family and the rest of the world has changed. I fall short some days and guess what, I didn’t look at the app. So it’s a continuous journey and I’m thankful for whoever made this. Thank you! 
                              AbdulI absolutely love this app! Even with the one day it made me wake up and want to just start running! The only problem I have with it is the ads. I continuously keep having the same add pop up! I have to completely exit the app and go back in☹️ can the developers try and fix this?I am going through a rough time in life, I feel motivated to put in the work to heal my body when and where I am able to. The continuous dings of motivation make a big difference. It helps me find motivation in other things as well.I’m changing my negative review to a positive one because they listened to feedback and got rid of the ugly black border. The widget looks so much better now!",0,JihmGiantAbdulzairestitchlover2000queer_disabledBribreezy629,Plenty of free optionsReview of this appAdsHealingThey listened to feedback,"{'id': 14373258, 'body': 'Thank you so much for taking the time to leave us this amazing and thoughtful review, we are so grateful for the people that can see the value on the work and effort we put into this!', 'modified': '2020-04-01T01:00:54Z'}{'id': 16817748, 'body': 'Hi there! Please contact us at monkeytaps@gmail.com so we can assist you better.', 'modified': '2020-07-22T21:37:39Z'}",Motivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotesMotivation Daily quotes,0,0,0,0,5,0,0,0,0,0,410,has_feedback,9
1,neg,2020-12-04 19:39:462023-03-07 17:00:46,"If you love historical quotes and bits of wisdom, this is not the app for that. The quotes on this app are vapid, pop culture and tween focused bits of nothing. In addition the app is very inconsistent, you are allowed to set scheduled quotes, but that doesn’t seem to work or last long. Finally the creators of this app clearly feel the need to press there own political and social messages, rather than presenting a well rounded sample of world views in there quote selection. After more than a week of not receiving a single quote (despite being scheduled for daily quotes) I was sent one by now Elliot Paige, only a day or so after declaring that she is now a man. There is nothing wrong with the quote or Paige, rather this is cheap virtue signaling. In other words, this app feeds quotes that say you need to be Woke AF and will clearly prioritize people they see in that light like Elliot Paige. So, my advice, spend you mental energy wisely, and on a better app than this.For some reason the app doesn’t allow you to listen to your music on full volume when you’re using the app. I do fitness training every day so I post daily quotes on my social media which I try to get most of them from this app. I’m up at 4 AM getting the gym ready and listening to music trying to be pumped up but while I’m looking for my quotes, my music volume is turn down all the way or cut off completely. I’ll get off the app, play my music, get back on the app and the app shuts my music down again m. Why is a Motivation app that gives us quotes regulating my music volume? Makes me hate the app",0,thabroffessorIkeMoss,Only woke quotes.Idea is good but app is trash.,"{'id': 35321943, 'body': ""Hi there! Thanks for your feedback! Since our app incorporates sounds, at the moment it won't allow a 3rd-party app to play at the same time. However, due to user feedback, our developers are working on updating that in a future release."", 'modified': '2023-03-10T20:28:42Z'}",Motivation Daily quotesMotivation Daily quotes,0,0,0,0,0,2,0,0,0,0,307,has_social,29
1,pos,2021-02-12 01:15:44,"if you are struggling with anything: social anxiety, depression, loneliness, loving yourself, inner peace, moving on.... this BEAUTIFUL app has it ALL!!!!!! i set daily reminders so it sends me an inspiring quote notification 4 times a day, and it is to cleansing to just swipe through all the quotes.❤️❤️♥️♥️♥️🦋🦋🦋🦋☀️☀️☀️☀️🧘🏼‍♀️🧘🏼‍♀️🧘🏼‍♀️
recently a loved one has been feeling really sad so i let her look through the quotes in Motivation and also the I am app the same developers made and it seemed to help her. 😊
please download this app to make your life happier!!!!",0,volleyballgirl🏐🏐🏐🏐,"this is the best app in my phone, no doubt","{'id': 21072543, 'body': 'Thanks for leaving us such a wonderful review! We make user satisfaction our priority and we are so happy to hear the work we put in helps our users.\n', 'modified': '2021-02-15T17:46:26Z'}",Motivation Daily quotes,0,0,0,0,0,1,0,0,0,0,95,has_social,29
3,neg,2023-01-14 17:48:25,"Good app, but I used to be able to make my own and post it to instagram and other social media using my author name at the bottom of it, but does not work for this version. You have to add it to collection before posting it. Please fix. I’m paying $40, I could go somewhere else.",0,Gabsjdor,"God, but…","{'id': 34388406, 'body': 'Hi there! We’re sorry to hear you’ve had some issues with the app. Please contact us at hello@monkeytaps.app so we can work with you to resolve this. \n', 'modified': '2023-01-19T21:41:10Z'}",Motivation Daily quotes,0,0,0,0,0,1,0,0,0,0,57,has_social,29
