rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
4,pos,2,0.93715,has_challenges,4
5,pos,2,0.99385,has_challenges,4
1,pos,2,0.82575,has_points,13
2,pos,3,0.6725666666666666,has_points,13
3,pos,2,0.709,has_points,13
5,pos,6,0.8714833333333334,has_points,13
3,pos,1,0.9201,has_badges,1
1,neg,1,-0.566,has_feedback,23
1,pos,6,0.8236500000000001,has_feedback,23
2,pos,4,0.555875,has_feedback,23
3,pos,6,0.8247666666666666,has_feedback,23
4,neg,1,-0.7149,has_feedback,23
4,pos,1,0.8382,has_feedback,23
5,pos,4,0.848325,has_feedback,23
1,neg,2,-0.6548,has_social,31
1,pos,7,0.7302428571428571,has_social,31
2,pos,6,0.6341166666666667,has_social,31
3,neg,3,-0.39873333333333333,has_social,31
3,pos,3,0.7699000000000001,has_social,31
4,neg,1,-0.8875,has_social,31
4,pos,4,0.8764,has_social,31
5,pos,5,0.9445399999999999,has_social,31
1,neg,21,-0.6688142857142857,has_tracking,354
1,pos,71,0.7743971830985915,has_tracking,354
2,neg,8,-0.6412875,has_tracking,354
2,pos,52,0.7755980769230769,has_tracking,354
3,neg,14,-0.48292857142857143,has_tracking,354
3,pos,45,0.8143977777777778,has_tracking,354
4,neg,4,-0.543725,has_tracking,354
4,pos,46,0.8604326086956522,has_tracking,354
5,neg,7,-0.6281857142857142,has_tracking,354
5,pos,86,0.8580813953488372,has_tracking,354
1,neg,6,-0.7418,has_goals,148
1,pos,20,0.7651749999999999,has_goals,148
2,neg,3,-0.6484333333333333,has_goals,148
2,pos,22,0.8863136363636364,has_goals,148
3,neg,5,-0.6341,has_goals,148
3,pos,15,0.7452333333333333,has_goals,148
4,neg,2,-0.57175,has_goals,148
4,pos,26,0.8029153846153847,has_goals,148
5,neg,3,-0.6221333333333333,has_goals,148
5,pos,46,0.9372456521739131,has_goals,148
1,neg,4,-0.784475,has_narrative,39
1,pos,12,0.7739250000000001,has_narrative,39
2,neg,1,-0.941,has_narrative,39
2,pos,5,0.9046200000000001,has_narrative,39
3,neg,3,-0.6585666666666666,has_narrative,39
3,pos,5,0.8182400000000001,has_narrative,39
4,pos,2,0.82835,has_narrative,39
5,pos,7,0.8842857142857142,has_narrative,39
