rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
1,neg,1,-0.849,has_leaderboard,31
1,pos,4,0.908025,has_leaderboard,31
2,pos,2,0.5492,has_leaderboard,31
3,pos,5,0.90722,has_leaderboard,31
4,pos,12,0.8777916666666666,has_leaderboard,31
5,neg,1,-0.432,has_leaderboard,31
5,pos,6,0.95295,has_leaderboard,31
1,neg,7,-0.8012142857142858,has_challenges,139
1,pos,7,0.6070857142857143,has_challenges,139
2,neg,2,-0.8762,has_challenges,139
2,pos,7,0.7362857142857143,has_challenges,139
3,neg,4,-0.30225,has_challenges,139
3,pos,18,0.8704555555555555,has_challenges,139
4,neg,1,-0.8263,has_challenges,139
4,pos,35,0.9064971428571429,has_challenges,139
5,neg,2,-0.4586,has_challenges,139
5,pos,56,0.9295017857142858,has_challenges,139
1,pos,3,0.6312,has_points,11
2,neg,1,-0.8564,has_points,11
2,pos,1,0.5849,has_points,11
3,neg,2,-0.19695000000000001,has_points,11
4,pos,4,0.64255,has_points,11
2,pos,1,0.9552,has_badges,22
3,pos,2,0.8443499999999999,has_badges,22
4,pos,4,0.929575,has_badges,22
5,pos,15,0.9311,has_badges,22
1,neg,4,-0.65025,has_feedback,57
1,pos,1,0.9287,has_feedback,57
2,neg,4,-0.762025,has_feedback,57
2,pos,8,0.7533875,has_feedback,57
3,neg,2,-0.8180000000000001,has_feedback,57
3,pos,10,0.8279099999999999,has_feedback,57
4,neg,1,-0.7706,has_feedback,57
4,pos,14,0.86485,has_feedback,57
5,pos,13,0.8613999999999999,has_feedback,57
1,neg,5,-0.55862,has_social,60
1,pos,7,0.9151571428571429,has_social,60
2,neg,2,-0.9125000000000001,has_social,60
2,pos,7,0.8713571428571428,has_social,60
3,pos,7,0.7443714285714286,has_social,60
4,pos,9,0.7750111111111111,has_social,60
5,neg,1,-0.432,has_social,60
5,pos,22,0.8961227272727273,has_social,60
1,neg,21,-0.6077714285714285,has_tracking,216
1,pos,17,0.6691941176470588,has_tracking,216
2,neg,15,-0.7403066666666667,has_tracking,216
2,pos,18,0.8370444444444445,has_tracking,216
3,neg,8,-0.37770000000000004,has_tracking,216
3,pos,31,0.8018193548387097,has_tracking,216
4,neg,5,-0.6899200000000001,has_tracking,216
4,pos,38,0.8599789473684211,has_tracking,216
5,neg,3,-0.6816999999999999,has_tracking,216
5,pos,60,0.89751,has_tracking,216
1,neg,3,-0.3949,has_goals,70
1,pos,3,0.7218666666666667,has_goals,70
2,pos,3,0.6024666666666666,has_goals,70
3,pos,6,0.8300666666666667,has_goals,70
4,neg,1,-0.9376,has_goals,70
4,pos,15,0.8314666666666667,has_goals,70
5,neg,1,-0.5006,has_goals,70
5,pos,38,0.9151131578947368,has_goals,70
1,neg,8,-0.7668874999999999,has_narrative,75
1,pos,6,0.6434,has_narrative,75
2,neg,5,-0.77358,has_narrative,75
2,pos,8,0.7457,has_narrative,75
3,neg,2,-0.16685,has_narrative,75
3,pos,10,0.82481,has_narrative,75
4,neg,4,-0.5762,has_narrative,75
4,pos,17,0.9041882352941176,has_narrative,75
5,pos,15,0.9163399999999999,has_narrative,75
2,neg,1,-0.8907,has_collab,4
5,neg,1,-0.5399,has_collab,4
5,pos,2,0.98065,has_collab,4
