rating,flair_sentiment,date,review,isEdited,title,userName,developerResponse,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
1,neg,2018-06-17 21:55:242017-12-31 08:08:30,"This app is great, it challenges all areas, makes improvements towards a variety of different skill sets, yet their free version is ultimately unavailable. The longer time spent using the free version, the more abilities that they limit. After using the app for a week, they eliminated information necessary for understanding your progress. I really enjoyed the app, but it should still have options available for those who do not wish to subscribe.I was supper excited about this app. It is well made, looked amazing and the games are awesome. But you are limited to only daily challenges and i wanted to play all day. So i purchased what i thought was a monthly subscription of $2.90 something cents only to be charged a lump sum of $34 for the entire year. That is completely unacceptable I’m trying to figure out how to get a refund.",0,BULLSH*TBuyers beware,EMMYLOLZ123498762Tink tink 50,0,PeakPeak,0,2,0,0,0,0,0,0,0,0,147,has_challenges,38
2,neg,2022-09-19 14:34:432019-04-19 03:07:572020-06-09 22:24:072019-06-10 08:51:33,"I’ve used this app for years and generally like it. My main complaint is the system that requires you to get an overall score before you can unlock new levels for games. It’s entirely possible for one area of focus to keep you from progressing in others which is extremely frustrating. I understand why this choice was made, but unless you add more content to all areas, you will reach a plateau and you won’t progress further, locking things you enjoy behind walls you can’t remove. Please either add games to all areas of focus, not just a few, so there is a better chance to raise the overall score or change that overall score as being what unlocks new challenges in each area to each area unlocks the more you progress. And no, it’s not a case of try harder. When I’ve spent hours attempting to better my score and I’ve reached a peak performance and I have limited choices in raising that score, it’s no longer only holding myself back, but the app design. I suppose a third option of lowering what’s required to unlock new content is also a tweak than a design change would also work.

I feel like I’ve paid for way more than I’m getting and that’s disappointing.I paid for yearly pro and will be deleting this shortly.  Too many games depend on a timer or a twitch reflex response.  If you want real challenges to train your mind you have to buy the extras ... after I paid the yearly fee. Just so disappointed in this.   A couple games are interesting but cease being fun with the incessant nag telling me “I can do better than this”.  Yes, I can do better, I will delete this app and find a better program on the app store.  I regret this purchase.I don’t care how good your app is. If your goal is to force me to succumb to a paywall to get better content, your goal isn’t to train my brain. Your goal is conditioning me to open my wallet.

Plus what athlete does a single drill once and leaves it? Not any respectable one. If you want to train something, you keep drilling it until you’ve improved. So if I need to play 6 days in a row to take another crack at low pop, I might as well be trying it for the first time.

I was very impressed with the quality of the challenges presented until I was handed the developer’s walls.

No thank you, go train some other people.Well redacted collection of mental challenges and puzzles, organized as mental fitness program. But almost immediately they try to hook you on a subscription (ugh) or you can choose to fork over $99. Ok compared to a physical fitness club that might not be much but for a puzzle collection I think this is excessive.",0,"Long time user, but frustratedinteresting at first, then a let down.What a jokeWell written but overpriced",Feels like a kid againVern1999.*Legend.*Artty Sie,"{'id': 32148531, 'body': 'Hi thanks, thanks for taking the time to share your feedback with us; we really appreciate it! We will take it on board for future improvements of Peak :-)', 'modified': '2022-09-21T11:35:58Z'}{'id': 15897314, 'body': 'Thank you for your feedback. We will pass this on to all the relevant teams. We are committed to providing effective brain training for our users, and this means we are continuously working on and developing Peak. In order to maximise the benefits to our users we must make part of the app - Peak Pro a subscription based service.\xa0 -Team@Peak', 'modified': '2020-06-10T09:49:46Z'}",PeakPeakPeakPeak,0,4,0,0,0,0,1,0,0,0,486,has_challenges,38
3,neg,2022-09-09 04:13:462020-10-01 21:00:002018-11-20 05:30:242019-10-25 05:13:052023-09-07 19:15:39,"I enjoy passing the time with the various challenges presented by your app. However not sure how reliable your calculated Peak Brain Score could be. I wonder what English language dictionary your Word Fresh challenge uses, it leaves a bit to be desired when a word I find in my dictionary (Merriam-Webster) is not accepted in the game (i.e. - exuberate). There have been other words less recent which I unfortunately no longer recall… with the same result. 
Thanks for the fun, tho.So I saw ads for this app on Instagram. They often showed a little deductive reasoning riddle (such as a who killed someone based off the evidence they show on screen). I downloaded it thinking that some of the games would be like them. In fact none of the games are like that. However if you are looking for small little challenges to keep your wits sharp it’s not a bad app.Enjoying the challenges one week after downloading, but has been crashing more often last two days.
Otherwise, the free version offers just enough variety of games and goals to be engaging.
Needs at least one update to address crashing.I like this app a lot. I like the challenges and different skill levels. The only thing I don’t care for is how often it freezes after completing an exercise. Why does this keep happening. Doesn’t make sense to me. I have to force to close the app. Restart it. Then go back to where I was. Please fix this.I like the mental challenges of this game but because it’s constantly comparing you with others performances, it’s a little depressing and the fact that it takes away accomplishments in the form of points plus and minus that are visible is also not inspiring.",0,Peak Brain Score?Fun teasers but not what was advertisedEngaging but buggyLove and Addicted But...A little depressing,RedProteusBalance the gameRType09Coach 67Tagni 2,"{'id': 31973254, 'body': ""Hello RedProteus,\n\nI have passed along this ticket and all of its information over to our Development Team for review and consideration. We appreciate all of the feedback and suggestions we receive from players regarding game mechanics, features or even possible improvements to the overall game. This type of feedback is handed off by Customer Service to our Development and Design Teams. In some cases that feedback is used to influence future changes, we make to Peak. We're always striving to improve the user experience.\n\nThough, as you may know, we cannot guarantee an immediate change once we receive your feedback or suggestion. The Development team is listening and taking your suggestions to heart when looking to create, implement or improve new/existing features. In order to make Peak better for everyone, we need this type of feedback that you have provided.\n\nI thank you for taking the time to message us and on behalf of the Peak Team, we hope you have a lovely day!\n\nKind regards,"", 'modified': '2022-09-12T15:45:37Z'}{'id': 18327855, 'body': ""Hi there! Our games are often too complicated to be featured in ads so we use riddles and brain training\xa0\nexercises instead. We do\xa0aim to give an accurate overview of the games when you first install the app and do the assessment at the beginning. We're very sorry to hear that this wasn't clear and we appreciate your feedback!"", 'modified': '2020-10-07T13:32:28Z'}{'id': 11474349, 'body': 'Hi there! We are very sorry that you encountered this issue, this should not be happening. Could you please send us a message to support@peak.net? This way we will be able to support you further. Thanks a lot! The Team@Peak', 'modified': '2019-10-25T16:37:47Z'}{'id': 38815625, 'body': 'Hi Tagni, thanks for taking the time to share your feedback with us; we really appreciate it! We will take it on board for future improvements of Peak :-)', 'modified': '2023-09-09T09:21:50Z'}",PeakPeakPeakPeakPeak,0,5,1,0,0,0,1,1,0,0,298,has_challenges,38
4,neg,2021-01-07 08:22:212020-12-20 15:37:382018-06-16 22:36:39,"The games are great!  I have been playing them for three weeks now and I enjoy the challenges of each one I have played.   But the scoring makes no sense at all. It said I was in the 100th percentile on a game tonight and I played it again and did even better!  But then it said I was in the 23rd percentile!  It’s like that all the time. Scores are inaccurate and don’t transfer correctly to my totals. I got it for the good holiday price of $19 for a year though, and I enjoy playing so, oh well.I despise ads so I paid for the full year. Well worth it. But we need more coordination games. Why are there only two? And the emotion games aren’t fun. It would be great to have new challenges on here. I can’t see myself paying for this again if there aren’t any cool updates with added games.A fun challenging app. But w/ some of the challenges I know FOR SURE I got the right answer but it says “wrong” negatively effecting my score and raises doubt in the many other times where I think I may be wrong or maybe hit the incorrect button.",0,Fun games but scores are inaccuratePaid subscriber - make more gamesWrong answers sometimes,Auntsuzabellepotent menagerieLewi 74,0,PeakPeakPeak,0,3,0,0,0,0,2,0,0,0,205,has_challenges,38
4,pos,2019-07-14 07:01:492018-11-27 19:29:17,"The app works flawless for me. There are a number of mini-games or challenges you can do everyday. At the end of a session (5games in a row) you get presented with a summary, how you compare against others in your age, gender etc group. It also gives you a detailed overview of your areas of strength and weaknesses. 

If it really improves and helps your brain, I don't know. I certainly get better with the scores of the challenges but I have not seen any real life changes, yet. But definitively a better use of your time then most activities we do on our phone everyday.Great game! It really challenges you and gets your mind going! The only flaw is that you have to wait until the next day to do more exercises, unless you upgrade to pro. I would like it if everyone was able to keep practicing, but I guess they have to make their money somehow.",0,Good little Brain TeasersWorth the try!,mbglobetrotter👸🏾😌💅🏾,0,PeakPeak,0,2,0,0,0,0,1,0,0,0,161,has_challenges,38
5,neg,2022-03-01 14:45:582021-01-16 16:06:362020-04-11 21:47:19,"I love the game and it’s challenges. Unfortunately, from time to time it has bugs. The last one is related to the commercial for Monopoly: the X sign to close the window does not work and you have to close the whole game and restart to complete the daily sequence.I look forward to my daily challenges each day. I would like it if they updated some of the games though. Maybe I play too much but there are no new pixel puzzles, castle blocks, slide puzzles. I’ve done them all. It would be nice to release brand new ones for each game.I enjoy the variety of challenges,  HOWEVER there have been bugs that need to be fixed.  I have loved playing it daily, but all of a sudden it has lost my lost all my days and now does not open.",0,Love Hate gameFavorite AppPlease update and fix,Ellicott citylcj24601Rough Ride,"{'id': 28345955, 'body': 'Hi there, thanks for taking the time to share your feedback with us; we really appreciate it! I will forward your comments to our Product Team to take your feedback on board for future improvements of Peak!', 'modified': '2022-03-02T23:46:32Z'}{'id': 14681083, 'body': ""Hello! We're very sorry about this problem, this should not be happening at all. We are currently investigating this with our teams to make sure that this problem is fixed as soon as possible.\nSorry for the inconvenience caused in the meantime and thanks for your patience."", 'modified': '2020-04-15T11:14:52Z'}",PeakPeakPeak,0,3,0,0,0,0,0,0,0,0,143,has_challenges,38
5,pos,2018-05-27 19:37:502018-06-19 18:29:412018-02-16 16:01:152023-06-02 05:59:262018-06-19 19:48:592019-07-24 02:30:412022-04-01 11:44:272020-06-23 14:25:432019-10-12 12:38:552022-03-01 21:45:432022-02-18 16:48:012022-07-06 17:23:532018-01-02 14:58:512019-01-09 23:19:392018-02-10 16:01:552022-02-04 15:46:192017-10-24 04:06:582020-10-19 02:52:192019-10-16 02:17:15,"I am addicted to this app! I think it surpasses all the other “brain training” apps by miles! I do have subscriptions to Luminosity as well as Elevate. But Peak is the only app that has kept my attention. It has a great assortment of games to train things like memory, mental agility, focus, problem solving, emotion, coordination, and my personal favorite language. Peak’s games are diversified and so much fun to play. I can spend hours training. I love playing the different challenges to raise my peak brain score! If iTunes would let me I'd give them 10 stars!! If you're looking into purchasing a brain training app this is definitely the one to get! Pro is worthy every penny!!!!As a new mom and quitting my job to be a stay at home mom I felt like I became dumb. My brain seriously was in survival mode! Once my child turned 2 I was searching for something to stimulate my brain differently on a daily basis and I came upon this app. I tried it for a month without the subscription. And then paid after feeling a difference. I’m in my 3rd month and I feel sharper and smarter and look forward to the challenges of the different types of games! Thank you for this app! I still have mommy brain at moments but I feel so much better than I did before!Edited to say that I’m in Month 10 of my pro subscription and I still play consistently. I really enjoy the challenges and love watching my progress. Still having trouble with British/American English differences stumping me. (E.g. in word alike, it took a few minutes to remember that torch is flashlight not blaze in BE. 

The other fantastic thing for those who travel a lot is that you don’t need WiFi to play. It’s a big help on flights to be able to play in airplane mode. 

I’m definitely renewing my subscription in a few months.I am 76 y.o., post 5 strokes and post Covid 19! So as you can see I have challenges physically, mentally and emotionally. Peak has helped me so much, once I was able to remember that I had it on my iPad! That was a good day even tho I saw a much lower Peak brain score than previous. I track improvement and can see actual evidence of new neuropathways being created. I am hugely encouraged. The brain is amazing! Thank you Peak! Now if I could only get this excited about my physical exercises.Totally enjoy these games and the increasing challenges they present as you work to improve your brain. I don’t like to spend any money on app upgrades but happily spent the low cost in this one to open some more options. I mean we spend more on a dinner out, but this lasts a whole year! I find that as I watch my stats I can even tell when I have not been feeling well due to a sag in scores. I highly recommend this app if you truly want to refine some cognitive skills.I ‘play’ my Peak workout everyday and then some more games I like the best. I enjoy it and I can feel the brain power developing. So many games to choose from in the full version but even the free was a delight for me. I’m over 70 and believe me it is a part of my busy day as a missionary school teacher in Nepal
Still playing, still enjoying, it has so many challenges it stays new!I've tried a number of popular brain training apps. By far Peak is the best. The games change up daily based on my progress. The scoring of challenges is graphed out comparing me with others my age. I consider Peak one of my must do daily health routines. Highly recommend. Just finished my 366 day streak of playing!If it was FREE- there wouldn’t have been ANY negative reviews!!

Truly! 

The rating system here is completely  out of whack! 
Not free?      Bam 💥- 1 star!
Can’t open? Bam 💥-1 star!
What is it???

I am glad it is not free!

 A Premium App  like this MUST compensate its creators for the continuous updates, seamlessly beautiful interface, and a superior content !

Look! It’s not going to make a genius of Einstein out of you! But, it will tickle your brain, make you smile and entertained! 

The  App Customer Support responds to all messages immediately! Try communicating your challenges to them before “jumping the gun” of the negative reviews!

To the Developers:
Exceptionally well done! Bravo!!!A great set of Brain Games! Constantly evolving to offer new challenges. I like that you can track your progress , the different levels and the individual challenges as well. I wish the instruction for some of the challenges were a bit clearer, but after a play or two you figure it outAlthough “Peak” steadily — at times frustratingly — challenges my quite damaged brain (via a life-altering C19 battle in late Fall, 2020), it’s that very fact which I appreciate, and am so grateful for. “Peak” does not lower its standards, nor expectations, at any point. Those standards give me hope.Peak challenges every practical ability that one can have.  It provides an excellent means to develop latent abilities and sharpen skills now in use.  

I strongly recommend this unique game in which one can do alone, family or groups.I’ve been playing Peak for several years, and love it. The games are fun, and it really helps with muscle memory.

I would love to see some new challenges added. What is the plan for releasing new games?I absolutely love this app! In fact I loved it so much I upgraded to the monthly subscription. I genuinely enjoy the mental exercise of this app as well as the array of challenges it presents. I work in Emergency Medicine and it helps me maintain my mental dexterity between emergencies and at home while I’m stagnant.I like the variety games and the challenges they present. I really appreciate the feedback at the end of the games that show how I’ve progressed or digressed and where I fit regarding the population of people who utilize these games.Peak is the most fun and mind boggling game ever and what I love most is that you get to do different types of mind challenges but the thing is it just feels like you’re playing a game and not working out your mind.I enjoy playing daily, trying to beat my own high scores and records, and to meet new goals and challenges.I really enjoy this app.  The games make me think through different problems and concepts, and it's nice to exercise my brain in a different way from my usual challenges.I love doing the challenges where it says I did better than 99% of people in my rank. It helps me gain confidence in myself, because I honestly think I’m an idiot.This app is quite truly great! It always challenges my brain in so many different ways and I love it! Bravo goes out to the entire Elevate Team! Please keep up the great work! 👍🏻🙌🏻💪🏻👍🏻👍🏻",0,"Amazing app!Mommy Brain Sufferer!Update: 10 months pro and still loveI’m getting better!Super fun!GreatBest Brain Fitness AppSERIOUSLY????Great Brain Tease!A Peak life experience…Peak, a Real ValueFun games!AMAZING!Good FeedbackPeakLove this app and its many games!A fun appExtremely funAwesome app!",lildiamond_11autumnairMelissa LakesideChristenemaryJT 3468andrecatladySpesch2sonrisa arquitectoHoney 2MrsCBPJimsagKristen802Dallasskjcoopboymomlovee100ahj1980SwwwwwstAtombomb98Tanner25Cook,"{'id': 36906139, 'body': 'Hello there! Thank you for taking the time to review us :-) we are happy that you are enjoying Peak!', 'modified': '2023-06-04T05:35:43Z'}{'id': 28357085, 'body': 'Hello! Thank you for taking the time to review us :-)', 'modified': '2022-03-03T11:00:32Z'}{'id': 30788191, 'body': 'Hello Kristen802! Thank you for taking the time to review us :-) we are happy that you are enjoying Peak!', 'modified': '2022-07-08T11:27:15Z'}{'id': 27905996, 'body': 'Hello ahj1980! We are happy that you are enjoying Peak! Thank you for taking the time to review us :-)', 'modified': '2022-02-07T22:49:24Z'}",PeakPeakPeakPeakPeakPeakPeakPeakPeakPeakPeakPeakPeakPeakPeakPeakPeakPeakPeak,0,19,0,0,2,0,5,1,0,0,1213,has_challenges,38
1,neg,2021-04-29 19:19:562019-08-25 20:06:282022-12-17 20:00:41,"Do yourself a favor and don’t get sucked into this game. I started playing a few months ago I had 130 day playing streak and then I missed a day and now I’m on an 80 day streak. The game is rigged so that no matter how well you do on each game it will find ways to deduct points until you subscribe and then you’ll be a superstar for doing the exact same thing. Such a scam, and it’s so not affordable! Please do yourself a favor and stay away from this horrible app! These sad people are only money hungry and are trying to convince you that you are stupid unless you pay. Literally.so i was looking for a good brain training app (bonus points for apple watch accessibility) and honestly i was so excited when i saw this app. i download the app (not pro) and open the app. this was so fun and the games were great but after i finished the daily workout the games were pro only. plus, i know to have such a good app and lots of those games cost a ton of money so the developers have to make pro cost a lot but seriously do you expect me to pay 35 dollars?! so here i am actually trying to “train my brain” and i have to pay money so that i can play one of the “great brain training games” again? it just doesn’t make sense. bc now i have to wait a whole day until i can do anything again. i would advise not to get this app but everyone has different opinions so... all in all the games are actually really fun and challenging but the pro thing is just really annoying. but oh well, not like one review is gonna do anything...Many of the games are fun to play when they come up in rotation. Pay no attention to that score because half the word games are testing how well you can text rather than any other skill. What really disappoints me is recent developments that have limited the access to games without watching extended commercials. While the games are fun, this is a company that couldn’t care less about its customers. Monthly cost is close to premium movie channel.",0,Horrible Scoring Geared Only To Subscribers!🤦‍♀️Good games. Bad philosophy.,Ldbryant55papayabitesbropeacehammer123,"{'id': 22609054, 'body': 'Hi there! Oh no! Sorry that you encountered this issue. :-( Would you mind sending us a message to support@peak.net or if you can, via our help section in the app? This way we can get your account info and we will be able to support you further. Thanks a lot!', 'modified': '2021-05-04T08:35:37Z'}{'id': 33811403, 'body': 'Hi peacehammer123! Thanks for taking the time to write a review for us. We are happy to hear that you like our games, but we are very sorry to hear that you\'re not enjoying the philosophy of Peak. Would you mind explaining to us what you mean by ""we have limited access with recent developments""? Do you mean the switch a while back when we introduced ads to the free version? You should be able to unlock more games by watching ads if you are in the free version. To keep providing a free version for Peak, we\'re trying to find ways to monetise the app with ads to enable us to keep working on the app without our users having to buy Peak Pro. If this is not the case for you and you cannot unlock games by watching ads, we are happy to look into this for you. You can reach us at support@peak.net, and one of our CS agents will help you. Regarding our word games, you can find what each game trains when you click on a game and scroll to ""Helps you train"". We also have more information about our language category when you click on ""Me"" -> click on the little cogwheel in the top right corner and scroll to ""The Science Of Peak"". While we do not intend to help train texting speed or how well people text with our language games, this might be a welcome side effect 😁. We base our pricing on other similar brain training apps on the market, so if you look to train your brain, you will find that Peak is priced fairly when you compare our app to our competitors. We care a lot about our customers, so we are sad to hear that you feel otherwise; please feel free to send us an email with your suggestion on what we can improve in the app to change your mind (if you like). We wish you a happy festive season! 🎄', 'modified': '2022-12-19T16:09:27Z'}",PeakPeakPeak,0,0,3,0,0,0,2,0,0,0,385,has_points,29
2,neg,2020-03-22 00:56:502020-12-20 20:56:252021-04-06 17:46:32,"Games only change when you move up a level. However, the scoring doesn’t work once you reach a certain score. I completed a “workout” that consisted of 3 games. I got my highest score ever in 2 of them (both in the same category) and my overall score dropped 2 points in that category. This happens every time I get a slight rise in my score. I have to figure it’s because they don’t have a higher level” and this no way for me to progress, so they artificially drop me down,  but there’s no way to reach out to customer service to check. My subscription expires this month and I won’t renew unless it’s fixed or I get a responseHaving participated in daily exercises through Peak, Elevate, and Luminosity, Peak is best overall. It’s categories for training make it highly engaging and have made progress noticeable. 

The only thing that isn’t clear is that Peak score gives inconsistent points - for example, on a day with no games on ‘focus’, I’ve noticed I get negative points, which seems odd? On a similar note, my Peak score progress is really skewed because it doesn’t give me any chance to play games for ‘coordination’ and ‘language’. I’m guessing it’s because I haven’t purchased Pro.

The major issue with Peak is the abundance of ads. After reaching a certain milestone/duration with the app, it triggers ads after every game that last anywhere from 5-60 seconds each. If you want to replay, same thing. 

And after having the app for about a month of play I’ve been getting it before and after games. I don’t value the game enough to buy it, but if you’re willing to pay this game would be worth not having ads.Added new games a year ago that still don’t count toward points.   You have a couple bad games and your points slide.  There should be a practice mode for games to get used to. I play on phone and some games are harder than on computer.  I keep it because I enjoy a few games but usually don’t bother with the rest of it.",0,"Once you hit a certain level, it’s boringExcellent app, overly excessive adsFrustrating",Not really mathtreisaaaJavakw,"{'id': 14259528, 'body': 'Hi there! We are very sorry that you encountered this issue, this should not be happening. Could you please send us a message to support@peak.net? This way we will be able to\xa0support you further. Thanks a lot! The Team@Peak', 'modified': '2020-03-26T08:41:23Z'}{'id': 19956767, 'body': 'Hi there. Thank you for taking the time to leave us a review. We value all the feedback we receive and we will pass this on to our product teams. Please contact us at support@peak.net so we can clarify why your Focus Category got impacted. Thank you -Team@peak.', 'modified': '2020-12-23T12:28:24Z'}{'id': 22209785, 'body': 'Hi there. Thank you for taking the time to leave us a review. We value all the feedback we receive and we will pass this on to our product teams. For further queries or support, please contact us at support@peak.net. Thank you -Team@peak.', 'modified': '2021-04-13T07:40:32Z'}",PeakPeakPeak,0,0,3,0,0,0,2,0,0,0,358,has_points,29
3,neg,2017-11-07 21:48:172018-08-08 10:41:322023-02-17 03:31:192022-04-27 20:46:062022-06-07 20:15:462023-09-07 19:15:39,"I was enjoying the brain training a lot, even though you can only play games once and have to watch a lot of ads to play games that aren't in your daily workout. (GAME TRICK: if you have a bad round pause and restart before the game is over and you don't have to watch an ad!) I liked playing the games so I decided I'd pay so I could play more. The paid games really aren't that fun or feel like I'm fine tuning any skills. One of the games is like playing asteroid (while fun, kind of mindless and defeats the purpose of the app). Also, as soon as I paid for it (2.92 a month, not that big of a deal) my scores seemed to drastically drop - lost almost 100 points on my peak brain score and dropped down 10% on the percentile. Thought I was doing great, now kind of feel like an idiot (in more ways than one).The concept of Peak is a good one but it is executed poorly, in my opinion.

The main issues I have with it are:

- Games: Some of the games are poorly explained. For example, because of the tutorial video, I played a Language game under the impression I could only make 3-letter words, resulting in a very low score. You are also not informed that the games increase in difficulty when you rank up, or how the game changes once you do.

- Scores: Maybe I’m just salty (?) but I have a 14 day streak and my scores are incredibly low... I think? You are not told if you want high numbers or lower but I’m assuming higher is what you should aim for. I don’t consider myself a genius but I believe my mental abilities are at least average and yet my brain map never even comes close to that of my age group’s. My Peak brain score has never cracked 300 (and it appears to be out of 1,000) and  additionally, at the end of each workout, I sometimes lose points in categories I never played a game in on that day. The issue is that nothing is explained: why did I lose or gain XXX points? What does my brain map and Peak brain score mean? What is good, what is bad, and how can I improve?5.32.0 - this version doesn’t give me the option to replay a game all the time like the previous versions. Seems like this is a bug because the screen goes white with just the score, not stats given, app hangs, must restart app and no option to replay the last game. Some days it doesn’t even tell me my score for the day. Yesterday it gave me -11 points for emotion, but none of my games that day were from the emotion category. Clearly not enough testing before this release. Wish I could revert.Many of the games’ scores rely on luck or a particular perspective (e.g. any of the word association games depend on the user associating the same set of words, or the blimp spelling game relying on spawning usable letters). Also, despite blowing past the target scores you can still lose points if you have an off day - *plus* it’s highly disproportionate. I might double the target score, but if it’s 5% lower than yesterday I’ll still lose 10 points off my category score.

I can’t attach a screen caps, but I just got three new high scores and two rank ups for a grand total of +9 across four categories. 

Yesterday I lost 10 points in one category for scoring about 15% lower on one game (out of three I played in the category) than I did previously. 

It’s nonsensical.Peak was great until my score dropped 40 points every time they have me play a new game even though the instructions specifically say new games won’t drop your score. I was at 670 now 602 because I’m forced to play new games. I love the new games but not when they drop my score and not when I never see that game again to potentially increase my score.I like the mental challenges of this game but because it’s constantly comparing you with others performances, it’s a little depressing and the fact that it takes away accomplishments in the form of points plus and minus that are visible is also not inspiring.",0,"Don't pay for itGood Concept but needs better ExecutionBuggy version on otherwise great appFine, but not greatScore change with new gamesA little depressing",jessracSupercalifragalisticexp.......Bonfiam[septimus]Fun but way too slowTagni 2,"{'id': 34941199, 'body': 'Hi Bonfiam! Would you mind sending us a message to support@peak.net? This way, we will be able to support you better. Thanks a lot!', 'modified': '2023-02-18T12:07:57Z'}{'id': 29532865, 'body': 'Hi [septimus]! Would you mind sending us a message to support@peak.net? This way, we will be able to support you better. Thanks a lot!', 'modified': '2022-05-03T12:57:36Z'}{'id': 30258245, 'body': 'Hi! Would you mind sending us a message to support@peak.net? This way, we will be able to support you better. Thanks a lot!\xa0', 'modified': '2022-06-09T09:24:20Z'}{'id': 38815625, 'body': 'Hi Tagni, thanks for taking the time to share your feedback with us; we really appreciate it! We will take it on board for future improvements of Peak :-)', 'modified': '2023-09-09T09:21:50Z'}",PeakPeakPeakPeakPeakPeak,0,1,6,0,0,0,5,0,0,0,744,has_points,29
