rating,flair_sentiment,date,developerResponse,review,isEdited,userName,title,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
1,neg,2020-03-02 17:57:442016-12-17 02:52:212021-02-02 05:59:382018-07-21 15:20:342019-08-12 19:50:30,"{'id': 30034560, 'body': 'Thank you for the feedback Swift. We are currently working to add improvements to the PF App. We appreciate your support as we work to make our app better for you and all our members! ', 'modified': '2022-05-29T20:30:50Z'}{'id': 10148385, 'body': 'Thanks for the feedback! You can still access your account information through your MyiClub account online: https://www.myiclubonline.com/iclub/members. Also, you\'re still able to track your workouts in our app by clicking ""Add Activity"" that can be found at the bottom of the screen. Although the photo-based stats capture feature has been discontinued, we\'re 100% committed to giving you a connected experience that includes digital workout tracking. Please stay tuned as we continue to make updates to the app to enhance your mobile experience!', 'modified': '2019-08-13T12:31:49Z'}","I’ve missed out on two 25-point bonuses due to Perks Points not registering my check-in. To start March, my check-in did not register last night either. The front desk makes a note in your acct that you were “not fully checked in” and missing points, but you never get them. Moreover, Perksville never responds to concerns. Their auto-reply only states that they are experiencing high volume, so if you lose points, it will never resolve. 

I spent two hours in club, weightlifting, treadmill, and massage. I checked into the club AND the massage table, and not one check-in registered my presence in club or awarded my 5 points! Yeah, I get my workout, but I want my t-shirts! Incentive programs need to work. I am Black Card member and can appreciate the cost of PF as compared to other gyms, but I have a free gym option on the AF Base that has a cardio room and a weight room with power racks. In PF, I am paying for convenience and the “brand” to work. 
Call me lame, but perks often compel me to stop by the gym and “actively” recover. 
Please debug your Perks.You have to log in to about 4 or 5 different screens within this app. And once you finally do that, you don't really get any functionality. PF Store takes you to the web page. Can't manage points. Can't manage your account. You can ""track"" workouts, but the data is worthless. 

The ONLY thing this app provides is the ability to have your membership barcode on your phone. That's it. Everything else you can get to more easily from your internet app on your phone.It just seems like you don’t really want people to use the app.

Why can’t I use the app as an active log of activity at PF. Why do I not see how many days of the week and for how long i was at PF. The QR should post on a calendar for the activity scanned for us to track progress. Maybe I need to see what time I last tanned because there is a 24 hour restriction. Why can’t I track my points and see how many points for each product.I love my planet fitness. I do. It's too bad the only thing this app is good for is not carrying around the key tag. I have no way of recording my actual workouts with it. There is no place to take notes to record my weight lifting activities.
I would say it might be useful to keep track of reward points but those are pretty useless since I was never given points for the 3 friends I referred and who named me as their referral. Maybe that can only be done through the app too. Who knows.The new update has eliminated the check in points. It is not user friendly. Bring back the old app or at least fix this one! I’ve lost all my check in points. There’s no longer a fitness tracker. Not happy about this. I hope the developers are paying attention.",0,Nef. V.Jen44_65swiftcakesweightliftingrecorderFyrdawg00,"Perks Points BuggyToo many logins, not enough actual useSufficientLove gym. Hate app.The new update is awful",Planet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness Workouts,0,0,5,0,0,0,0,0,0,0,520,has_points,18
2,neg,2020-01-30 12:34:572021-02-15 17:08:582019-08-18 16:13:04,"{'id': 13372075, 'body': 'Thanks for your review! This is a great point (pun also intended) and something we will look into bringing back in future updates. Thanks again!', 'modified': '2020-02-09T01:51:41Z'}{'id': 21199439, 'body': 'Thank you for the feedback on the Watch app! We are always looking for ways to continue to improve the experience of members like you. We will definitely keep your concerns in mind. Thanks again!', 'modified': '2021-02-22T03:02:16Z'}{'id': 10242130, 'body': 'Your Perkville Points can still be accessed via https://pf.perkville.com/login/. Also, you can track your calories by entering your height and weight in your profile. Please stay tuned as we continue to make updates to the app to enhance your mobile experience! ', 'modified': '2019-08-19T16:42:22Z'}","I understand the points are done by a separate company at a separate website called perkville which requires a separate login to go to separately and spend separate time to view. 
But the PF app USED to still track the points. 
If a separate entity is managing points we don’t need to see all of what is going on under the hood to make it all work, there should still be a way to have the points show up in the app. It’s not rocket science, figure it out.
The points tracking was primarily what I used the app for, it was there and  then removed. 2/5, would be a 1/5 but the extra point (pun intended) is for the effort with everything else there that looks great but I don’t use.I mainly only use this app for checking in and seeing how crowded the gym is. For those cases, it works great but the Apple Watch companion app is frustrating so I have to dock points.

On paper, it should let me check in without whipping out my phone but I’m repeatedly getting a “Connection expired” error - forcing me to use my phone anyways. I’ve also encountered another weird problem where it doesn’t recognize the orientation of my watch and flips the display upside down. 

I was willing to cut some slack because the Watch app is new-ish but please dedicate your team to squashing these bugs.Seems the new version (8.0 has less capability than the previous: cant see reward points, can’t customize calories burned when I load a new exercise. 

Not much point to providing inaccurate data.",0,Damon.CliffJ Q Vdmgdiver,Doesn’t track pointsFix Apple Watch AppNew version?,Planet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness Workouts,0,0,3,0,0,1,1,0,0,0,272,has_points,18
3,neg,2021-09-23 16:11:122019-08-30 15:50:192020-01-23 03:16:34,"{'id': 25424046, 'body': 'Thank you for taking the time out to review our PF App! We appreciate the feedback as we are always working to make our app the best! ', 'modified': '2021-09-30T17:22:36Z'}{'id': 13291692, 'body': ""We appreciate your feedback! Both of these are great ideas and we're looking into implementing them in the future. Thank you again for your feedback!"", 'modified': '2020-02-04T15:59:23Z'}","It gets the job done I can access my card in the most convoluted way. I don’t like that I can’t sync my classes with my google calendar tbh if I could I think it would make me way more likely to show up(I’m going to anyway) but I don’t need more emails and the notifications I have set up now send just emails. The fitness target is kind of lame. All you do is hit a circle and theirs no tips or anything thst pops up afterwards. There’s just a lot of spam and sell points but the usefulness is lack luster.The new update does not have a rewards points tracker anymore. I was looking forward to maybe earning a point or two through completion of the new workout videos on the app. Will update my review once the point system is at least added back to the app so I can keep up with how many points I have. Other than that, I have deleted my workout app and have been using the PF app videos instead. Nice update, keep updating.I like to using the app to keep track of my points and that’s gone. Would also like to see an app for the Apple Watch. Even being able to check I. Would be nice.
Update: points still gone. One feature I would love to see is Apple Watch support for your pass.",0,Momoko126Nice kensHD100th03FatBoy,It’s okayReward Point Tracker???Don’t like the loss of not seeing your points,Planet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness Workouts,0,0,3,0,0,0,0,0,0,0,237,has_points,18
4,neg,2023-03-12 10:37:312020-08-27 12:44:58,"{'id': 35456966, 'body': 'Thank you for the feedback, prucc!', 'modified': '2023-03-18T20:07:29Z'}{'id': 17738723, 'body': 'Thanks for your review! These are all great ideas that we will keep in mind for future updates in the app. We appreciate your feedback!', 'modified': '2020-09-07T14:09:36Z'}","I love the gym here, but the app is useless to me. The key tag for the Apple Watch dose not work at all and within the app should go with the workout you do for a plan. It would be nice to open the app say I want to increase muscle index, loose weight, or even yoga and automatically come up with a schedule of how many reps weight and set goals without watching a video, according to your weight height and level you choose. 

At home or in gym and again with the watch please include this to Apple Watch with time frames and plans it would be much better then a video that you can barely see when your at the gym all you have is a 2x5” screen nothing to connect too and a million other ppl around. Also like Dunkin’ Donuts or gas stations apps should be points to encourage more time at the gym for a free shirt towels drinks etc instead of discounts only to a lot of places most people don’t care for. Setting goals and point system would be niceThe app works well- it’s intuitive and well designed. Not hard to find your way around. I only have a few recommendations/requests:

1. I would love if it synced with Apple Health. At this point, it seems a bit silly to have a health tracker app that doesn’t sync with your health app on your phone. Could we make that a priority?

2. Include Planet Perks inside the app. It makes sense to me, maybe under the profile button, to have a tab or area that tells you how many planet perk points you have earned. 

3. For the different exercises that you can log, can we change the data on non-cardio exercises, so that it doesn’t log minutes spent, but sets and reps instead? It doesn’t make much sense to log the amount of minutes I spent bench pressing, instead of the sets and reps.

Thank you!",0,pruccdhsieh88,"Planet fitnessApp works well, a few recommendations",Planet Fitness WorkoutsPlanet Fitness Workouts,0,0,2,0,0,0,0,1,0,0,337,has_points,18
5,pos,2021-07-31 03:04:462018-07-07 19:39:532019-04-19 12:39:402019-05-22 04:58:322019-06-27 19:33:39,"{'id': 24475602, 'body': 'Thanks for your feedback! ', 'modified': '2021-08-12T19:43:22Z'}","I give the app a 5/5 BUT it could have more stuff added. It’s great for checking the crowd meter, watching tutorials, etc. Something to add could be Perkville points under the Perks section. It would make keeping up with those much easier!After you get the app, log into the rewards area. After you do that, you gets points ever time you check in. You can get points for lots of things. Then you can use the points for free beverages, T-shirts, and other stuff.I can do everything on the app, from checking into the club to keeping up with my workouts and my points. Really enjoying it.I like going. Works around my schedule. I love that tanning is included. And i like tracking workouts and reward points on the app.I don’t have to keep a key tag and I get points for all my check ins. Now adding work outs, love it!!",0,Bri K. F.Tweeter TotterGeorgeOdemAkashfordAidan214,PerksUse app to get points!The App Makes My Gym Visits A Breeze!Planet fitnessGreat app,Planet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness Workouts,0,0,5,0,0,0,1,0,0,0,157,has_points,18
1,neg,2023-02-19 23:32:12,"{'id': 35175483, 'body': 'Thank you for the feedback, Steve! \n', 'modified': '2023-03-03T02:44:58Z'}","You cannot turn off the notifications from the app. You will get notification from messages sent from PF to your inbox. I prefer to keep the app on my Home Screen for easy checkin and a subconscious reminder to workout. I do NOT want “badges” notifications from the app.

I raised a support ticket and it was closed telling me to refer to the iOS documentation which is of absolutely no help. THE APP DOES NOT SHOW UP IN THE NOTIFICATION AREA OF iOS SETTINGS.",0,Steve Hager,Cannot mute notifications,Planet Fitness Workouts,0,0,0,1,0,0,0,0,0,0,85,has_badges,2
3,pos,2022-06-30 20:36:51,"{'id': 30680131, 'body': 'Thank you for the feedback. We are currently working to add improvements to the PF App. We appreciate your support as we work to make our app better for you and all our members! \r\n', 'modified': '2022-07-02T20:31:34Z'}","i recently switched from vasa to planet fitness due to location/driving distance. 

i really like the vasa app because it shows how many check ins i’ve had per month. it’s nice to keep track of my fitness and they give you free little badges or encouragement when you get more check ins. 

please make something like this!!",0,evictoriao,Vasa has a better app,Planet Fitness Workouts,0,0,0,1,0,0,0,0,0,0,57,has_badges,2
1,neg,2021-09-11 11:42:542019-08-18 15:57:152023-09-17 17:55:022019-09-16 14:16:552022-07-07 14:55:312020-02-05 03:22:062020-06-14 22:50:50,"{'id': 25027045, 'body': 'Thank you for sharing this with us! Currently, our app does not support third peripherals such as the Apple Watch. We thank you for the feedback as we continue to grow the PF mobile app! ', 'modified': '2021-09-10T14:52:28Z'}{'id': 10185072, 'body': 'Oh no! If you would like your data transferred over, please feel free to open a ticket through the Support link in the app and the mobile team would be happy to assist!\r We appreciate your feedback. Please stay tuned as we continue to make updates to the app to enhance your mobile experience!', 'modified': '2019-08-15T13:39:59Z'}{'id': 39018761, 'body': 'If you’re having any troubles connecting your Apple Watch to the PF App, please contact our support team here https://planetfitness.app.link/support. Thank you!', 'modified': '2023-09-20T02:03:57Z'}{'id': 30552563, 'body': ""We are aware of the update concerns plaguing the PF App, Bemore. We're working around the clock to get our app running smoothly for you and all our members. We thank you for your patience as we work to bring you the best version of our App! \r\n"", 'modified': '2022-06-25T18:13:15Z'}{'id': 13372251, 'body': ""We're so sorry to hear about the negative experience you've had with the feedback responses! Syncing with iOS health and activities and showing the payment history/pending payments are things we will definitely look into for future editions. We appreciate your feedback and are again sorry for your previous experiences receiving responses to your concerns!"", 'modified': '2020-02-09T02:28:46Z'}","Joined about 3 months ago. Super equipment, very clean, and never too crowded. Love the experience at the gym. Pros - it will track when I’ve checked into the gym - it will generate a QR that allows me to check in at the desk Cons - it wont display utilization of the PF black card amenities such as tanning booth, massage chairs, etc… - it wont record my activity without me manually entering the information - it doesn't interface with the Activity App on my iPhone (which will automatically record my activity) - the apple watch’s PF app functionality is worthless, doesn't work for check-in, and gives me a message to have my iPhone in close proximity. (I have a cellular enabled apple watch and would like to not have to carry my iPhone into the gym). I received the following response to this review. Really makes me wonder if the developer really knows what they are doing. There is a PF app that installs on my watch with the installation of the PF app on my iPhone. 

 Dear THOMAS, Planet Fitness Holdings, LLC responded to your review of Planet Fitness Workouts Planet Fitness Holdings, LLC ""Thank you for sharing this with us! Currently, our app does not support third peripherals such as the Apple Watch. We thank you for the feedback as we continue to grow the PF mobile app! ""I am not going to go into much detail, no need in repeating what’s already been said in the last week or so about the recent update. Tons of 1 star reviews lately and angry customers say it all.  I just hope someone important at Planet Fitness is paying attention to the their unhappy customers, because it is clearly obvious the redesigned app was created by people who don’t  value customer feedback, customer service, ease of use and the ability to capture workout data.  This new app make me think it was created by people who never stepped one foot into a gym.  Nor did they think it was important to seek out the opinion of the folks who do.  The post release tech support has been nothing but insulting to the customer as well.  Hey folks this episode let’s you know what Planet Fitness thinks of you......Not Much.....just keep sending in your $10 or $20 a month and keep quiet.Like many others I was hoping to not bring my phone into the gym since the developer has enabled Apple Watch support to display your club pass. Unfortunately, the Apple Watch app does not function without your phone being nearby and connected. I find it appalling that in response to this feedback, the developer has replied to multiple reviews saying, “Currently, the PF Mobile App does not support third-party peripherals such as the Apple Watch.“ If the app doesn’t support the Apple Watch, why did you develop and include Apple Watch functionality into the app? I hope the devs realize this answer makes no sense whatsoever. Please add functionality into the Watch app to access the club pass over the internet instead of requiring the phone to be nearby.I like the look of new app. Thought it would be great till I went to log my interval treadmill work out. It’s horrible! Please take this feedback and the many others I reviewed and fix this. This app has such potential. You need to add treadmill back in and account for interval training across all equipment. Just putting intensity and time of workout doesn’t do the job especially when the equipment doesn’t show the intensity choices you have listed! Also removing the capture feature was a bad idea. But adding workout was great.Update.  Never works.  Local can’t help.  No one cares. Junk!!!!!!

It works maybe 10% of the time has nothing to do with my Wi-Fi has nothing to do with the local Wi-Fi or Wi-Fi at planet fitness. The app continuously crashes you can delete it add it again delete it add it again it will not matter I provided feedback/resolution to the app via Planet Fitness with no corrections. Therefore I can never use the app for anythingI had two requests; sync with iOS health and activities and show the a history  of payments or pending payment.  

For both I received the same answer, that the app had a bug and it is now fixed.  Of course it does not sync with iOS and of course it does not show the payment history.  

Does anyone read the feedback?  It is very condescending.  Sad.I’m a member. Went 5 times a week. Now I can’t get a simple answer, or any feedback at all. My only question is are the rates going up once the gym opens up. That’s all. Completely ignored. Very direct and simple question and meaningful to alot of people. I still get nothing. No answer. No plan. No honesty. Feeling very disrespected. Jmediak",3,ThomasT2DanD LionthenameisGDlbarBemoreBoston NotLABichespilennonsky9,"Love the gym, but the app leaves a lot to be desiredThis App Is Now Absolutely HorribleWhy is there even an Apple Watch app?Missed some major featuresIt never worksLousy feedback responseQuestions",Planet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness WorkoutsPlanet Fitness Workouts,0,0,0,0,7,0,0,0,1,0,824,has_feedback,9
2,neg,2020-01-27 23:19:28,0,"I don’t personally find the app very useful. I had some ideas to improve it, so I contacted Planet Fitness. They said to leave feedback in the app. The app has a character limit, so I asked how to leave detailed feedback. They just closed the ticket.",0,tuxbob,Gym is fine. App is useless.,Planet Fitness Workouts,0,0,0,0,1,0,0,0,0,0,47,has_feedback,9
4,neg,2022-05-26 18:02:59,"{'id': 30031894, 'body': 'Hello friend. If you have comments related to a recent visit or experience, please contact your home club directly through this link: https://www.planetfitness.com/about-planet-fitness/contact-us or let them know during your next visit! They would love your feedback. Thank you for being a member of our Planet and using the PF App!\r\n', 'modified': '2022-05-29T14:12:23Z'}","App is simple and easy to use. However, the crowd meter seems to not be accurate and the days of the week are not in sequential order.

Also a club feedback section would be useful to report issues with machines, etc",0,Galloooo,Crowd meter,Planet Fitness Workouts,0,0,0,0,1,0,0,0,0,0,41,has_feedback,9
