rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
1,neg,1,-0.6617,has_points,18
1,pos,4,0.7177,has_points,18
2,neg,2,-0.6689,has_points,18
2,pos,1,0.7684,has_points,18
3,neg,1,-0.7869,has_points,18
3,pos,2,0.49605,has_points,18
4,pos,2,0.9085000000000001,has_points,18
5,pos,5,0.7658400000000001,has_points,18
1,pos,1,0.7062,has_badges,2
3,pos,1,0.9616,has_badges,2
1,neg,1,-0.5233,has_feedback,9
1,pos,6,0.8236166666666667,has_feedback,9
2,pos,1,0.7939,has_feedback,9
4,pos,1,0.7003,has_feedback,9
1,neg,30,-0.51809,has_social,68
1,neu,2,0.0,has_social,68
1,pos,16,0.43246875,has_social,68
2,neg,6,-0.6989166666666667,has_social,68
2,neu,2,0.0,has_social,68
2,pos,4,0.460325,has_social,68
3,neg,1,-0.3472,has_social,68
3,pos,3,0.6473,has_social,68
4,neg,1,-0.0772,has_social,68
4,pos,1,0.7579,has_social,68
5,neg,1,-0.7717,has_social,68
5,pos,1,0.1901,has_social,68
1,neg,8,-0.6528625,has_tracking,58
1,pos,15,0.7147,has_tracking,58
2,neg,1,-0.5975,has_tracking,58
2,pos,5,0.7856799999999999,has_tracking,58
3,neg,1,-0.5145,has_tracking,58
3,pos,13,0.7112384615384616,has_tracking,58
4,pos,6,0.6143666666666666,has_tracking,58
5,neu,1,0.0,has_tracking,58
5,pos,8,0.905625,has_tracking,58
1,neg,1,-0.4847,has_goals,21
1,pos,4,0.8048,has_goals,21
2,pos,1,0.9674,has_goals,21
3,pos,4,0.879775,has_goals,21
4,pos,5,0.89076,has_goals,21
5,pos,6,0.8490000000000001,has_goals,21
1,neg,11,-0.6995818181818182,has_narrative,59
1,pos,16,0.571075,has_narrative,59
2,neg,6,-0.3458666666666667,has_narrative,59
2,pos,7,0.8226714285714286,has_narrative,59
3,neg,1,-0.7853,has_narrative,59
3,pos,6,0.6985666666666667,has_narrative,59
4,pos,6,0.7574166666666667,has_narrative,59
5,pos,6,0.7442666666666667,has_narrative,59
1,pos,1,0.9442,has_collab,1
