rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
3,pos,1,0.3818,has_points,1
1,neg,1,-0.7457,has_feedback,13
1,pos,3,0.7030333333333333,has_feedback,13
2,neg,1,-0.1984,has_feedback,13
2,neu,1,0.0,has_feedback,13
2,pos,1,0.2481,has_feedback,13
3,pos,1,0.8337,has_feedback,13
4,neg,1,-0.3641,has_feedback,13
4,pos,1,0.3716,has_feedback,13
5,pos,3,0.9643333333333333,has_feedback,13
5,pos,1,0.908,has_social,1
1,neg,11,-0.5715818181818182,has_tracking,81
1,pos,11,0.5189090909090909,has_tracking,81
2,neg,5,-0.6008,has_tracking,81
2,neu,1,0.0,has_tracking,81
2,pos,15,0.5917533333333334,has_tracking,81
3,neg,3,-0.5917333333333333,has_tracking,81
3,pos,12,0.42339166666666667,has_tracking,81
4,neg,2,-0.48,has_tracking,81
4,pos,10,0.74759,has_tracking,81
5,neg,1,-0.296,has_tracking,81
5,pos,10,0.7174400000000001,has_tracking,81
1,pos,1,0.9392,has_narrative,13
2,neg,1,-0.6124,has_narrative,13
2,pos,1,0.6059,has_narrative,13
3,neg,1,-0.3457,has_narrative,13
4,pos,2,0.83485,has_narrative,13
5,neg,1,-0.6199,has_narrative,13
5,neu,1,0.0,has_narrative,13
5,pos,5,0.85992,has_narrative,13
