rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
3,pos,1,0.7006,has_leaderboard,4
4,pos,3,0.8189000000000001,has_leaderboard,4
1,neg,2,-0.9434,has_challenges,14
1,pos,4,0.8083,has_challenges,14
2,pos,1,0.3324,has_challenges,14
3,neg,1,-0.34,has_challenges,14
3,pos,1,0.8979,has_challenges,14
4,pos,3,0.9457,has_challenges,14
5,pos,2,0.9171499999999999,has_challenges,14
1,neg,8,-0.5875,has_points,80
1,pos,23,0.7171652173913045,has_points,80
2,neg,1,-0.8519,has_points,80
2,pos,15,0.8610666666666666,has_points,80
3,neg,2,-0.79805,has_points,80
3,pos,11,0.7212727272727273,has_points,80
4,pos,10,0.9045,has_points,80
5,neg,3,-0.4078333333333333,has_points,80
5,pos,7,0.8766285714285714,has_points,80
1,neg,4,-0.651675,has_feedback,28
1,pos,12,0.8160833333333333,has_feedback,28
2,pos,2,0.91385,has_feedback,28
3,pos,4,0.8597,has_feedback,28
4,neg,1,-0.6847,has_feedback,28
4,pos,3,0.9153333333333333,has_feedback,28
5,pos,2,0.9109499999999999,has_feedback,28
1,neg,3,-0.488,has_social,19
1,pos,6,0.5270666666666667,has_social,19
3,pos,3,0.7771333333333333,has_social,19
4,pos,3,0.9807,has_social,19
5,pos,4,0.9753000000000001,has_social,19
1,neg,10,-0.58091,has_tracking,56
1,pos,13,0.8559769230769232,has_tracking,56
2,neg,3,-0.6665,has_tracking,56
2,pos,11,0.6297909090909091,has_tracking,56
3,neg,2,-0.5597000000000001,has_tracking,56
3,pos,3,0.6925333333333333,has_tracking,56
4,neg,1,-0.8622,has_tracking,56
4,pos,4,0.8882749999999999,has_tracking,56
5,pos,9,0.9180555555555555,has_tracking,56
1,neg,1,-0.9812,has_goals,29
1,pos,8,0.7808875,has_goals,29
2,pos,3,0.9148666666666667,has_goals,29
3,neg,1,-0.4423,has_goals,29
3,pos,4,0.961375,has_goals,29
4,pos,4,0.9573,has_goals,29
5,pos,8,0.94905,has_goals,29
1,neg,2,-0.8657999999999999,has_narrative,21
1,pos,4,0.705475,has_narrative,21
2,neg,1,-0.8759,has_narrative,21
2,pos,4,0.768075,has_narrative,21
3,pos,4,0.577675,has_narrative,21
4,neg,1,-0.5413,has_narrative,21
4,pos,2,0.94535,has_narrative,21
5,neg,1,-0.8248,has_narrative,21
5,pos,2,0.72915,has_narrative,21
4,neg,1,-0.5704,has_collab,2
4,pos,1,0.9878,has_collab,2
