rating,flair_sentiment,date,review,isEdited,title,userName,developerResponse,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
5,pos,2023-07-10 21:52:47,The only feature missing is a leaderboard of the highest scoring products for each category. Then it would be perfect.,0,Great tool to open your eyes,xhvnter,0,Yuka Food Cosmetic Scanner,1,0,0,0,0,0,0,0,0,0,20,has_leaderboard,1
2,neg,2022-05-29 02:00:11,"This app is amazing the only reason why I don’t give it 5 stars is because it doesn’t give bad points for foods with seed oils (for example: canola oil, cottonseed oil, sunflower oil, vegetable oil) these oils are highly HIGHLY processed and highly inflammatory to the body.

Any food containing seed oils shouldn’t have a high rating. 

Only use coconut olive and avocado oil! Please! Your body will thank you!

Please devs make the changes and add a warning when seed oils present!",0,Missing a huge bad ingredient,E1639,0,Yuka Food Cosmetic Scanner,0,0,1,0,0,0,0,0,0,0,84,has_points,2
4,neg,2023-11-01 00:11:50,"The app works great for finding healthy products, but I find that it tends to have some issues with the nutritional value. Foods are dropped dozens of points because they are “(a bit) too caloric”. Not everyone is a middle aged obese woman trying to lose weight—as someone who wants to GAIN weight and eat MORE calories, more is better for me (assuming it’s not processed junk). The app also makes some very strange decisions, often rating low and then replacing good foods with ones that are much less healthy but have better ratings (ex: recommending my protein bar with 21g of protein and 190cal that has 2g of sugar and a small amount of additives [according to the app it claims that the bar has 220cal] be replaced with a bar that is 20 points higher but has 210cal, 12g of protein, and significantly higher amounts of sugar and salt [13g of sugar, 260mg of salt]). There is additionally no way to know the exact nutritional information (no nutrition facts label). The app also fails to scan items that have small barcodes, which can be problematic.",0,"Good, few problems",hgg did dyshdg,0,Yuka Food Cosmetic Scanner,0,0,1,0,0,0,0,0,0,0,187,has_points,2
5,pos,2022-05-19 21:46:402020-10-19 09:25:582022-07-12 13:52:222023-02-24 21:31:27,"Kudos to your small team for doing such a great job with this app! I very much enjoy it so far.

I would recommend adding a “Rate this app” somewhere within the app to bump up your 5 star ratings, it would also be helpful for users to submit ideas/feedback to help you make the app even better. Free labor force, use it :)

One thing I would love to see is the ability to put in diet restrictions. For example if I’m celiac and also allergic to other things, I could put those into my profile. Then as I start scanning food items, you guys could warn me if it contains something I’m allergic to. My sister is the one that’s celiac and it’s always difficult to buy her snacks and food because I’m always worried about buying the wrong thing. She is more careful since she deals with it everyday, but I don’t have any idea since I could basically eat a shoe and be totally fine. I would definitely use that feature if I had it, when picking up snacks at the store.

Cheers!What I like:
- it explains everything in a way that even people not an expert in nutrition or chemical field can understand easily. 
- the database is huge that I can almost find everything so far. 
- user interface is cute and color tone is also very nice that I enjoy using it.

What I wish to be improved:
- Taiwan is not supported to use it. What a pity! Cosmetics and life style are super trending in Taiwan now. Please support it soon 
- When sending mail within App, it requires iOS user to use default Apple mail app. I use gmail all the time and I don’t want to re-install Apple mail only to send the feedback/report problem. Please support send message via installed mail app or within app directly.

Well done team! Thank you for making this app!This is a great app and has been very helpful in guiding us to be able to lead a healthier lifestyle.  I submitted feedback on an item that seemed to have an error and I received a quick response.  The issue was fixed immediately.  Greatly recommend!! 👍🏼My go to app when shopping. Instant feedback that I trust 100%. My health has overall improved since using Yuka!",0,Great app in general and very user friendly!Very informative and easy to use. Please support it to be used in Taiwan!Excellent app and great customer serviceAwesome,Awesome!$&!&:!!!wasabilyÑonguiFalls 4ever,"{'id': 29964904, 'body': 'Thanks very much, we are delighted that you like the app and that you find it useful :) We really hope that with Yuka, we can contribute to changing things.\n\nWe have also developed a Premium version of our app. This paid version helps us to finance the app and keep it independent. It also means you can access the following functionalities:\n- offline scanning\n- a search bar so that you don’t need to scan your product to find it \n- personalised alerts on allergens and undesirable elements (gluten, lactose, palm oil, vegan/vegetarian diets)', 'modified': '2022-05-25T15:14:05Z'}{'id': 18649853, 'body': 'Thank you :)\n\nThe app is currently only available on app stores in France, Belgium, Switzerland, Luxembourg, Spain, United Kingdom, United States, Canada and Australia. We apologize for any misunderstanding and disappointment this may have caused.\n\nAt the present time, our team is not large enough to operate in multiple countries.\n\nHowever, we plan to gradually expand internationally :)\n\nYou can write us directly from the application.', 'modified': '2020-10-22T19:29:45Z'}",Yuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic Scanner,0,0,0,0,4,0,0,0,0,0,396,has_feedback,4
2,neg,2023-06-29 11:40:58,"I would appreciate if you work with doctors like dr Gundry, dr Peter Osborne, dr Jockers,  a lot of wholelistic medical practitioners. I would also like if you expanded your products to more items that are sold at sprouts and Whole Foods.. the reason I’m not so happy with the current app is because the rating is a little confusing because some doctors say fat is not bad and that is you change your diet to eat more natural things that some added sodium isn’t bad and other things. So I’m conflicted with the opinion of the and the information that doctors are talking about in thier books and they provide facts and research to back up thier claims so the app can be confusing. I hope the app will add a ability to categorize items and create separate list. Also a profile to edit and share on social media. So hopefully they consider more information and expand so I can come back and edit my review to more stars.",0,Disabled veteran,N2MDesigns,"{'id': 37884238, 'body': 'Hello,\n\nThank you for your feedback. \nEach food product is rated according to three criteria:\n\nThe nutritional quality is attributed a possible 60% of the score. The calculation method is based on the recommendations of Professor Serge Hercberg within the framework of the French National Health Strategy proposed by the State and validated through the implementation of the Nutri-Score. This method takes into account the following nutritional criteria: calories, sugar, salt, saturated fats, protein, fiber, fruits and vegetables.\n\nAdditives represent 30% of the product score. We base this on numerous sources conducted to study the harmful effects of food additives.\n\nOur framework for the analysis of additives is based on current scientific research. We take the following into account:\n\n\nThe scientific opinions of official bodies such as the European Food Safety Authority (EFSA), the French Agency for Food, Environmental and Occupational Health & Safety (ANSES), and the International Agency for Research on Cancer (IARC).\nAll of the independent scientific studies on the subject.\n\n\nThe organic composition represents 10% of the score. This is a bonus granted to products considered organic, ie those with an official national or international organic label. \ufeffThey avoid chemical pesticides which can pose a health risk.\n\nWe appreciate your comment and, as we continue to expand in the US, we will also keep fine tuning the app so we can best adapt it to our different users!\n\nHave a great day, Briana\n', 'modified': '2023-07-25T07:39:56Z'}",Yuka Food Cosmetic Scanner,0,0,0,0,0,1,0,0,0,0,170,has_social,8
5,pos,2022-10-13 11:21:572021-05-01 13:21:042023-06-23 22:22:512022-12-28 06:27:422023-01-15 17:45:182023-06-07 13:45:012022-08-04 03:52:15,"Thank you, Merci!!! my sister told me about this app the other day so I instantly downloaded it and now I’m a barcode monster! I have gone around my house and gotten rid of so many beauty products that are probably the source of all of my allergies! I feel so grateful for the work that you have done and also overjoyed that you are not being led by big companies! Please stay real for the people! I did a little research and realized that you are French and even though I was born in America and live back here now, I spent 15 years in France and that is where a part of my soul resides! Your work is truly appreciated and NEEDED today! I am telling everyone about your app and spreading it on social media. Thank you again for creating this! Everything we do can make this world a better place if what we do is for the good of ourselves and for the good all! It’s so important to bring awareness! Bless you!!i’ve always been extremely cautious about what I put into an on my body I tried looking up certain words I see ingredients that I know aren’t natural and I would have to figure out if it is safe one by one. this app put everything right in front of your eyes it explains every single ingredient in detail and also let you know in a clear and simple way how much of a risk it is for your health (good, low risk, moderate risk) and also says out of 100 how healthy it is for your body. i’ve been wanting to write in a journal every ingredient I can find and if they are bad for you but now I can just pull it up on my phone whenever I need to know! this app is amazing and I truly do hope that they get more subscribers. I will definitely be promoting it on my social media‘s more people need to be aware of the benefits from this app🤍I saw people using this app on social medias and since im trying to be more conscious about what i pit on and in my body this app has been my best friend when im out shopping and has encouraged me to read the labels more often and on my own!
I highly recommend this app for multiple reasons, it could lower the chances of harsher chemicals being used in our everyday products if there sales go down and hopefully help companies stop cutting so many corners. 
In order to have good works you need healthy workers! So be more consious of your body and take care of it❤️ It will thank you in the long run.
Also not only products but making your own diy products made of natural ingredients will cut down costs and skin issues and intestinal issues. Reading lables of healthier products will give you a good example of what ingredients to buy!After hearing it recommended on social media, I decided to download Yuka to try it for myself. Honestly this app is a huge eye-opener! 

Naturally, after I downloaded the app I went around my kitchen and bathroom scanning my food/makeup. I was horrified to learn that so many of the ""organic"" and ""cleaner"" options were just as bad, if not worse, than the regular products! (This would also explain a lot of my allergy issues!) 

I like that it offers healthier alternatives that arw similar to what you were already using. Plus it's super comforting to know exactly what you're putting into your body. This is definitely something I would reccommend trying and keeping in your phone.I found this app through a facebook page I follow to try and be healthier and I am amazed but shocked at the same time more people dont know about this app! EVERYONE should know about this app. I have been telling all of my friends and family about it because everyone deserves to know what they are putting into their bodies and I love how this is an independent app so no greedy people trying to make money off of it for their own personal gain. Please continue to stay amazing and I will keep posting on my social media and everywhere I can because this app deserves so much more awareness ❤️I’m thoroughly thought I was Eating Healthy Good Food. Being a Truck Driver by Day, cycling 75 miles weekly! Having Little Time to Read the back of every item, then when you Do, there’s still ingredients, not listed!
Premium Membership includes Search Engine box, History, works offline , once a connection is restored it updates what was not included to your History. INDEPENDENT -no big Brother-
Game Changer!  Why haven’t you Downloaded it Already?My sister-in-law showed me this app, and since day one, I've been forever changed and blown away. This app makes it so much easier to look up products you have or thinking of buying. It would take me forever to read and look up each ingredient in anything, and this is just one scan away. I am telling everyone on my social media to get this app ASAP! Know what you are ingesting and putting on your body.",0,Fabuleux!!! Fabulous!!!id give this infinite stars if i couldLove this app!Game Changer!Download NOW!BEST ON IOS !Life saver,loveizlawJkajsjsoodkwkpTylerIggyKyky872Vañe123Chicago centralNatiB.C,"{'id': 32649415, 'body': 'Thank you so much for these kind words! We love to hear from our users, you all mean the world to us 🙏🏼 Yuka is and will remain a 100% independent app! Thanks to our Premium users we are able to steer clear of any sort of partnership so that we remain completely transparent and unbiased for our users 🫶🏼', 'modified': '2022-10-18T15:50:42Z'}{'id': 22584613, 'body': 'Thank you soooo much for your support! Your message makes us really happy! Best :)', 'modified': '2021-05-03T07:19:44Z'}",Yuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic Scanner,0,0,0,0,0,7,0,0,1,0,887,has_social,8
1,neg,2022-01-21 06:46:482022-06-30 19:21:472021-07-19 22:53:592022-01-22 18:56:142023-05-10 05:20:512022-02-23 13:07:17,"PLEASE people I am begging you, do not download this. The basis of this app seemed to be confusing to me because I did not understand how they were ascribing these “scores” to food products. I looked on the website and found that they use a nutritionist who is French to review their sources. I have not been able to find any related education, and I know that the term nutritionist is not regulated in the US. Registered dietitians is the only term that can be regulated.I went ahead and downloaded the app, and found that many of the articles that are sourced from companies and organizations with bias. And they claim not to have bias? So that doesn’t make sense. Many of the articles had even been taken down, and some were not even peer reviewed.. So please take this information with a grain of salt. The demonization of preservatives and processed foods for no reason needs to stop, especially when they are causing people to have unhealthy relationships with food.First of all, if you use this app to determine what you consume or what products you use, then you probably don’t eat or use anything.

Yuka will mark safe ingredients such as preservative (which are literally needed to keep products safe and usable) as moderate risk or hazardous. And in food, they will mark sodium or sugar as hazardous (which obviously it’s not healthy in high amounts but definitely nowhere near hazardous????)

This app doesn’t consider percentages in cosmetics or skincare so they just slap “hazardous” on everything if the resource they used concluded that the ingredient might be unsafe in very high concentrations, even if it’s harmless in concentrations used. It’s very over exaggerated and inaccurate…

Maybe the app is not bad if you don’t look at product scores, or for people who have very specific diets, but scores and safety markings are trash and completely inaccurate and random.I’ve been into nutrition for years and I’ve used many apps for tracking food, finding alternative foods to ones that aren’t as healthy. This app CLAIMS it will do that, however it doesn’t. It misleads and conflicts with other very reliable apps which are backed by doctors and nutritionists. I deleted Yuka after four days of use. Not only was it inaccurate, but many foods are missing.I’m working on my dietitian degree and when someone in my family started using this app, I checked it out. 

To be blunt, the recommendations are terrible and make no sense. High sugar, highly processed foods are recommended and score higher the low or no sugar foods. And there seems to be an extreme weighting towards sodium content over everything else.

Do not use this app if you care about your healthAs someone who was way ahead of this curve i was so excited to see an app like this. Sadly, if you use this YOU WILL GET SICK AND DEVELOP DISEASE. 
An app that recommends synthetic sugars(sugar free).. No!!!! It scores everything poorly that contains 1g or sugar or salt. 
Your body needs salt! Have the developers lost their mind! I can’t wait to see a lawsuit!!!
BEWARE PLEASE!!!! Delete this app off your phone! GIVE YOURSELF 3-5yrs  and you’ll regret it’s advice. 
T O X I X !!! Wake Up!!!!!!I’m not trusting an app that gives bad scores over products that dermatologists and certified professionals have constantly recommended. The Cerave is apparently toxic and so is Olapex? No thanks! I rather trust the word of one who has the proper education, worked years in the industry with a range of clients than an app.",0,"PSEUDOSCIENCEToo over exaggerated and simply inaccurateInaccurate, misleading and conflictingComplete waste of timeTOXIC. THIS APP WILL MAKE YOU SICKTrust the experts!",HDJDDDHDJJEJRNCS-EricBucksL❤️verYUMmmmmm!Self-Starter 25Moonfemmeidkputmyreviewup,"{'id': 27630214, 'body': ""Hi!\nIn France, a nutritionist is a specialist of food and nutrition. \nWe have worked with many nutrition specialists but also scientists specialized in food additives. \n\nAll our scientific sources are quoted in the application and are accessible.\n\nDon't hesitate to contact us directly if you have more questions (team@yuka.io)"", 'modified': '2022-01-24T14:07:50Z'}{'id': 30743220, 'body': ""Hello,\n\n\r\n\r\nYuka analyses the intrinsic quality of products, regardless of the quantity consumed. This is why our rating system, based on government recommendations, is calculated based on 100 g of product. \n\n\r\n\r\nThe purpose of the evaluation is to adjust the quantity consumed. The goal is not to ban products, but by being aware that a product is rated poorly, to adjust the quantity consumed.\n\nThen, Yuka does not take into account the quantity of an ingredient for several reasons:\n\n1) this % is almost never indicated by the brands,\n2) some ingredients, and in particular endocrine disruptors, are problematic even in small quantities,\n3) some ingredients, even if they are in small quantities, are present in a large number of products, which means that exposure to high quantities can quickly be reached.\n\nTo finish, don't hesitate to contact us by email at team@yuka.io if you have more questions about our project or our way to analyze products. \n\r\n\r\n\r"", 'modified': '2022-07-06T08:50:55Z'}{'id': 24095626, 'body': 'Hello,\n\nEach product is rated according to three criteria:\n\n1 - The nutritional quality is attributed a possible 60% of the score.  The calculation method is based on the recommendations of Professor Serge Hercberg within the framework of the French National Health Strategy proposed by the State and validated through the implementation of the Nutri-Score.  This method takes into account the following nutritional criteria: calories, sugar, salt, saturated fats, protein, fiber, fruits and vegetables.\n\n2 -Additives represent 30% of the product score.  We base this on numerous sources conducted to study the harmful effects of food additives.\nOur framework for the analysis of additives is based on current scientific research.  We take the following into account:\n- The scientific opinions of official bodies such as the European Food Safety Authority (EFSA) , the French Agency for Food, Environmental and Occupational Health & Safety (ANSES), and the International Agency for Research on Cancer (IARC).\n- All of the independent scientific studies on the subject.\n\n3 - The organic composition represents 10% of the score. Products considered organic are those bearing the USDA label.\n\nWhen you scan a product and it comes up as ""unknown"", you can add it directly using the app. To do this:\n\n1) Select the product from your history then click the button ""Fill in the information"".\n2) Follow the instructions in the app and take photos of the product information  requested.\n\nIf the button ""Fill in the information"" does not appear, this means that it is probably a product that Yuka cannot rate (alcohol, food supplement, etc.).\n\nThe product score will then be calculated automatically. The product is then saved in the database and can be accessed by other users.\n\nI hope that answers your question.', 'modified': '2021-07-23T16:10:18Z'}{'id': 27630506, 'body': ""Hi!\nWe are sorry to know that you don't like our app.\nYou can know more about our scoring methods here: https://help.yuka.io/l/en/category/y53emhnexh-scoring and also know everything about our recommendation system here: https://help.yuka.io/l/en/article/s71arvkw6u-selection-recommendations\n\nIf you need more details, contact us: team@yuka.io ; we are always happy to discuss with users of the app. "", 'modified': '2022-01-24T14:18:40Z'}{'id': 28297291, 'body': ""Hi, \nWe are sorry to read that you're desappointed with our app.\nAll the level of impact we give to ingredients are based on strong scientific sources, all available in the app.\nYou can also better understand our cosmetic scoring method consulting our website: https://help.yuka.io/l/en/category/chol7fvpng-cosmetic-scoring "", 'modified': '2022-02-28T13:53:39Z'}",Yuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic Scanner,0,0,0,0,0,0,6,0,0,0,608,has_tracking,48
2,neg,2023-10-31 19:29:022023-06-17 14:55:012023-06-11 07:30:502023-02-09 05:40:092023-03-15 14:52:092022-10-14 19:22:40,"I just downloaded Yuka and used it for the first time in the store. I was looking at granola cereals. I scanned Purely Elizabeths berry crisp, ancient grain granola to which Yuka attributed a poor score (too much saturated fat and too much sugar 7 g). I should add that all the ingredients in Purely Elizabeth are organic. They use coconut oil, which is a medium chain fatty acid, recognized as one of the better type of fat to consume.

Instead, it suggested that I buy Quaker Simply Granola which is non-organic and contains 13 g of sugar per servings compared to 7 g for P.E. - and a bunch of nasty seed oils such as canola and soybean.

So maybe this is just a glitch. But at the moment I am underwhelmed.It’s a fine app, but if you want to use it to determine the safety of something, you can’t go by the health score. It takes into account many dieting factors like sugar and calories, which I would assume most people would already be aware of. I’ve had foods with no dangerous additives labeled as “bad” and given very low health scores, simply because they had “too many calories” for the generic person they thought might be eating them. Makes the app more difficult to use than it should be, but the concept is there.Arizona fruit punch is scoring as “good” when it contains high fructose corn syrup as the second ingredient. One week a hair product scored a “bad” 0 for harmful/hazardous additives and scored “great” the next week. Now the app doesnt list all the ingredients. It was much better before!! It was a full 5 stars!! Not sure when it changed. It was so helpful before to learn what to look out for and figure out whats important to you. Not anymore. :(So I was loving being able to use the free scanner, which made everything seem legit, but when I paid for it, and was able to search products, you would get multiple different scores with the same product! I don't trust it now.Scanned a shampoo that is known to be without bad ingredients and it came up rated poor. It listed an ingredient phenoxyethanol that isn’t even a listed ingredient on the bottle. Then another scan of a body wash that scored excellent with FRAGRANCE in the ingredient list. Misleading app!These can contain up to 3000 ingredients, so I’ve read.  Ingredients which they don’t have to disclose to us.  I try my best to avoid products with parfum/fragrance in it so I wonder why they are given high scores on this app.",0,"1st try and underwhelmedToo much about diet, not safetyRatings changedWish I didn't pay for itFalse ingredientsParfum/fragrance",celine jeanne marieglitchykittentibnvds???I dknt m keNieJrlimacast123,"{'id': 38447478, 'body': 'Hello,\n\nEach food product is rated according to three criteria:\n\nThe nutritional quality is attributed a possible 60% of the score. The calculation method is based on the recommendations of Professor Serge Hercberg within the framework of the French National Health Strategy proposed by the State and validated through the implementation of the Nutri-Score. This method takes into account the following nutritional criteria: calories, sugar, salt, saturated fats, protein, fiber, fruits and vegetables.\n\nAdditives represent 30% of the product score. We base this on numerous sources conducted to study the harmful effects of food additives.\n\nOur framework for the analysis of additives is based on current scientific research. We take the following into account:\n\n\nThe scientific opinions of official bodies such as the European Food Safety Authority (EFSA), the French Agency for Food, Environmental and Occupational Health & Safety (ANSES), and the International Agency for Research on Cancer (IARC).\nAll of the independent scientific studies on the subject.\n\n\nThe organic composition represents 10% of the score. This is a bonus granted to products considered organic, ie those with an official national or international organic label. \ufeffThey avoid chemical pesticides which can pose a health risk.\n\nI hope this helps clarify!\n', 'modified': '2023-08-22T07:21:23Z'}{'id': 37336048, 'body': 'Hello,\n\nMy apologies for the issues. There may be a technical error as well.\nPlease reach out to us at: team@yuka.io so we can further review these issues and help improve your experience!\n\nHave a great day, Briana', 'modified': '2023-06-26T13:20:38Z'}{'id': 34841986, 'body': ""Hello,\n\nMy apologies. \nWhen products come up with different ratings, this might be due to:\nthe fact that there are different versions of this product in circulation, with different compositions. Please note that for every product you scan, you can compare the ingredients' list on the product with the list you find in the product sheet, in order to see which is the right rating of the product you have.\nThere might also be that one of the two ingredient's lists is outdated. In order to be able to check if we have the most recent composition, we'd need to know which is the concerned product: the easiest option is to send us an up-to-date screenshot of the products concerned.\n\nI hope this brings more clarity. Don't hesitate to send us the screenshots so we can provide you more information at: team@yuka.io\n\nWarm regards, Briana"", 'modified': '2023-02-13T15:57:56Z'}{'id': 35659549, 'body': ""Hello,\n\nMy apologies for the disappointment.\n\nIf you'd like, please send over a screenshot of the above-mentioned products to the following email address: team@yuka.io\n\nI am happy to further look into this and answer your concerns.\n\nKind regards,\nBriana"", 'modified': '2023-03-29T15:22:33Z'}{'id': 32648767, 'body': ""Hello! Thank you for your feedback!\nWe're currently reviewing the rating for this ingredient for the US market, assessing the legislation and scientific studies published on the health impact of this ingredient. Currently, we do not have the necessary data to grade this ingredient as poor/bad. My apologies!"", 'modified': '2022-10-18T15:27:09Z'}",Yuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic Scanner,0,0,0,0,0,0,6,0,0,0,444,has_tracking,48
3,neg,2023-09-30 00:43:592023-08-10 02:32:232022-10-26 10:58:152022-11-14 03:47:46,"Basically the app makes a lot of assumptions about nutrition that I, and research of the science of nutrition, don’t agree with. For example, the app will give butter (which recent studies and human consumption for thousands of years have proven it lowers the risk of heart disease and obesity) a low score because of saturated fats and then gives something with seed oils, rampant with oxidized omega 6 which is the fat that clogs your arteries, a higher score. The app also assumes that for example, salt is bad for you. As a ranch hand for a while I understand how dumb of a statement that is. Because if you don’t provide salt blocks to cows they start licking dirt in a desperate attempt to find salt and then die. Salt is a necessary nutrient. Period. Because of all of this, I use the app purely for looking into additives and chemicals, and not for nutritional advice, which an app like this should focus on anyway, because different people need different nutrients, and lots of people are turning to different lifestyle diets to accomplish their goals which according to this app are very unhealthy. (For example I exclusively eat beef, butter, dairy, broccoli, and Diet Pepsi 😂)I think it’s cool that this app alerts you to potentially harmful additives… but the fact that a product gets a poor score based on fat content is one thing based on old ideas. It is metabolically healthier to eat cheese than carb-loaded Triscuits, yet this app is suggesting them as a replacement 🤦‍♀️
It’s also telling me that 1.5 tbsp of one thing is too caloric (40 calories), but that 1 tbsp of another thing is calorically ideal (120 calories — like, huh?). 
Ideally, the app would have controls where users can set the type of diet/lifestyle they lead (i.e. keto, paleo, SAD), so that scores are more personally accurate.When I scanned an item that is poor, I chose to try their recommendations on the bottom which have great scores. Then I scan the recommendations and they end up also having poor scores. This has happened multiple times and therefore I feel like I can no longer trust Yuka. So sad because I was happy to have an app that can help me stay away from bad chemicals.I can scan products and see how they score, but the other functions aren’t working. None of the flagged ingredients are highlighted in full ingredient list or called out on main screen to click on. No recommendations are listed and can’t add a category. Just goes to blank screen when I try.",1,"The app is good in a lot of ways, but….Outdated ideas + contradictionsYuka makes recommendations and then when I scan those recommendations they are considered poor.Features aren’t working",Rake28488292SarahGXGTheodoraDimitramrs-davi,"{'id': 32548799, 'body': 'We apologize for this problem. Could you please send us an email to team@yuka.io and tell us which products are in question? We will then be able to check them.\nData reliability is very important to us, and we do everything we can to ensure that the information is completely reliable.\n\r\nThe information submitted by users is, first of all, secured via an automatic management system within the app through image and text recognition.\n\r\nAfter this stage, a double verification process of products added to the app takes place:\r\n\r\n- Verification by Yuka staff: two people work full-time on managing the database, and they deal with checking contributions and correcting them where necessary.\r\n\r\n- Verification by other users: Yuka users can correct an error directly in the app, or flag it to the team members for correction. Errors passed on to us are corrected within 24 hours.  \r\n\r\nIt should be noted that a certain number of product files cannot be edited by users. These are product files that have been verified by our team members, or whose information has been submitted by the relevant companies (this information corresponds to the information on the product labels, and therefore does not present any conflict of interest).\r\n\r\nFinally, if a user enters incorrect data then that user is banned straight away, and can no longer use the app on his/her phone. Fortunately, this very rarely happens!\r\n\r\nI hope this answers your question. \r', 'modified': '2022-10-13T08:39:47Z'}{'id': 33198205, 'body': 'Hello,\n\nOur apologies for the issue. This was due to an in-app bug that has now been corrected. \n\nYou may go ahead and update your app directly through the AppStore. You can also do so by clicking on the following link: https://apps.apple.com/app/yuka-food-cosmetic-scanner/id1092799236 \n\nWe would like to reassure you that no product’s grade was affected by this bug. The product information sheet should now display correctly. \n\nPlease feel free to contact us should you have any questions.\n\nhave a nice day, Valentin.', 'modified': '2022-11-16T14:20:20Z'}",Yuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic Scanner,0,0,0,0,0,0,4,1,0,0,440,has_tracking,48
4,neg,2022-07-29 19:04:412023-07-23 03:48:292022-11-04 01:10:01,"This app had me super excited at first… very user friendly and not swayed by big manufacturers! 🙌🏼 however I just recently realized that it does not recognize “fragrance” as toxic or “bad”… so tons of products like body washes, shampoos, lotions etc that contain synthetic fragrance (which if you’ve done any research on this topic you’d know and agree you don’t want that blanket ingredient in anything you use!) are being shown as “good” or even “excellent” when “fragrance” is not regulated and can be hiding thousands of different toxic chemicals… I still give it 4 stars because it is very helpful when scanning food items! I hope they make a change with the way other products are scored though.This would be perfect if calories didn’t factor into the score.I’m using this to check the quality of ingredients, not as a diet app. 

Including the calories in the score doesn’t make sense to me because:
- I might be eating this as meal (my 260 calorie oatmeal says it has too many calories but it’s my entire breakfast so…) 
- I might not eat the serving size.
- 500 calories of clean food without chemicals and additives shouldn’t get a bad rating for being too caloric when a similar product with more additives scores better just because it’s less calories.I love this app but I went back to look at something I bought. The score was incredibly lower than I remember. I bought the product and I wouldn’t have if I knew it scored in the bad range.",0,"I wanted to love this app…Call out harmful additives, not serving sizesConfused","drakengypsyBTRFQPHI12344&/!,&","{'id': 33036187, 'body': 'Hello! My apologies for the confusion, would you mind sending us a screenshot of the product in question so that we may look into it? \nteam@yuka.io \nWe appreciate all feedback, especially regarding the data base, it helps us ensure the information shown is up to date and reliable! ', 'modified': '2022-11-08T08:32:42Z'}",Yuka Food Cosmetic ScannerYuka Food Cosmetic ScannerYuka Food Cosmetic Scanner,0,0,0,0,0,0,3,0,0,0,261,has_tracking,48
