rating,flair_sentiment,date,developerResponse,review,isEdited,userName,title,App_Name,has_leaderboard,has_challenges,has_points,has_badges,has_feedback,has_social,has_tracking,has_goals,has_narrative,has_collab,word_count,Element type,Mentions
5,pos,2020-02-10 16:13:40,0,"Quite the slick app, and very useful. In my opinion, an app doesn’t have to sing and dance, but it must emulate the main portals in terms of information AND not be buggy. This app meets these points and more. The Cigna app team is also well versed with installs and walked me through the initial hurdles will quickly. Well done.",0,TheoC.,Cigna APP,myCigna,0,0,1,0,0,0,0,0,0,0,61,has_points,1
1,neg,2023-03-15 14:53:26,"{'id': 35490709, 'body': 'Hello. I would like to begin looking into your messages and would be glad to assist via secure email. Please email me at LetUsHelpU@cigna.com and include your iTunes alias. -CM \r\n', 'modified': '2023-03-20T20:02:15Z'}","I have little notification badges all over the place in this app that do absolutely nothing. I apparently have 1 important claim message that I can’t see.  There are no unread messages anywhere else, and no unread messages online. But that little “1” in the message area of claims never goes away. Same thing in prescription claims. There I have an IMPORTANT message (according to the app) but if I click there, it’s empty. ¯\_(ツ)_/¯ 
Also, perhaps this isn’t the app’s fault but where do I see my current deductible status??? This is the first insurance company I’ve had that refuses to make my spending easy to see. I can’t believe we are still forced to use whatever awful insurance company our job decides to provide us with in this country. What a joke the whole thing is. Especially this app.",0,Yosaphbridge,I’m App Notifications are Broken,myCigna,0,0,0,1,0,0,0,0,0,0,141,has_badges,1
1,neg,2023-10-31 11:54:252021-04-16 15:24:132019-07-09 20:05:472018-11-05 14:55:432023-07-10 16:21:582018-08-30 16:46:40,"{'id': 39877181, 'body': 'Hello, I would like to help look into the experience you are having with our app and help you obtain your id cards. Please write to us at LetUsHelpU@Cigna.com. With care - Nick', 'modified': '2023-11-01T20:17:24Z'}{'id': 22340313, 'body': ""Hello. I'm so sorry for the trouble you've experience at the app and when reaching out to Cigna. Please email me at LetUsHelpU@cigna.com. I would like to look into these for you. -CM"", 'modified': '2021-04-20T02:16:27Z'}{'id': 9620408, 'body': ""Hello. I'm so sorry to hear you and your husband had trouble at the app and thank you for your feedback. If you'd like me to look into this for you, please email me at LetUsHelpU@cigna.com. I would be glad to help. -CM"", 'modified': '2019-07-11T22:25:12Z'}{'id': 5831617, 'body': ""I'm sorry about the trouble you're having with the mobile app. Please email me at LetUsHelpU@cigna.com and I can look into the issues you are experiencing to see what I can do to resolve them. -BMS"", 'modified': '2018-11-06T17:41:20Z'}{'id': 37683970, 'body': ""Hi Joseph. I can imagine how frustrating those unwanted calls are and I'd like to look into these for you. Please email me at LetUsHelpU@cigna.com and include your iTunes handle. I can help. -Carrie"", 'modified': '2023-07-14T18:26:04Z'}{'id': 4891708, 'body': ""I'm sorry for the negative experience you've had regarding our mobile app. Please email me at LetUsHelpU@cigna.com and I can assist you with your concerns. -BMS"", 'modified': '2018-08-31T17:14:30Z'}","This app is terrible. I can’t even get my insurance cards off of here. I probably am going to get rid of CIGNA all together. I’ve been paying my insurance for the last three months and I can’t even access my insurance cards to go to the doctors. I’ve tried it on the website. I’ve tried it on the app now I feel like I’m just wasting my money. Don’t waste your time with this app. It is the worst app ever!!! I went to a health fair, and the CIGNA rep couldn’t even access my insurance cards on the app or the website I also contact CIGNA through the website as well as the app and never got any feedback from them. I downloaded this app 10 times still no change. The rep said maybe it’s just a glitch. Whatever it is I’m done with CIGNA.The app is often slow and one can deal with that but customer support AKA personal guides have been 0% helpful, only if I could rate or give them feedback, I can’t because neither the app nor the support will let you do that. 
Takes them weeks to provide approval for MRI, often to be simply denied even when specialists order it, Personal Guide Shelly will say “2 business days call tomorrow to check” while next day Jeph will say “sorry I understand but it takes 5-7 business days” 
One can assume they’re just being dishonest, and probably employ “wear them out” tactics to save money and deny care that’s needed urgently.Vision ID card throws an error as I am trying to open and add it to my Apple wallet. I use iPhone6s , iOS 12.3.1. It works fine on web.
There is no feedback or message option to submit my feedback about it.
Chat option doesn’t work too as it throws an error after I type a message and hit send.
My husband is running into the same problem with vision card on his iPhoneX, in addition to that he can’t even add any of these cards (medical, dental, vision) to his Apple wallet. 
I hope this review helps your app performance.I’ve used this app for awhile now without issues. But I tried to login just now and get a black screen. Tried updating the app and same issue. I can login to the website fine. Also, on your “app support” page (in the App Store) you should have a feedback form so people don’t have to leave poor reviews to report a bug. Thanks!This app would be great if I didn’t regularly get follow up calls from Cigna reps the early morning after opening the app. 

I don’t want to adjust my plan. I don’t want to be solicited to. I don’t want to give feedback on my current plan to help guide future plans and offerings from Cigna.I can’t make payments on the app, when I try to open certain sections it’s a white screen. When it asks how I’m liking the app and click the submit feedback it takes to another white screen. A lot of short comings in the app, not as easy or convenient as other apps.",0,JacoleflBHSLIVE.COMwhatiswrongwiththeappLys 777JosephAscfxzrewqtyuoohfdddddd,"Worst app ever!!!Customer support is useless and untrustworthyApp doesn’t work properlyNo longer workingAfter I use the app, I get rude follow up calls from salesy Cigna repsConfusing",myCignamyCignamyCignamyCignamyCignamyCigna,0,0,0,0,6,0,0,0,0,0,534,has_feedback,8
5,pos,2020-02-09 19:16:432018-07-24 17:24:17,0,Love how Cigna is working on making this app much better. Still have a ways to go on what’s available but 100% better than just 2 years ago. Keep listening to the feedback development team!I work for Cigna and love the app and the company! This is way better then calling a call center bc it’s immediate feedback from the live chat! Who doesn’t love a one stop shop!,0,Princessesx3VonDaDon,Getting much betterBest App with live chat!,myCignamyCigna,0,0,0,0,2,0,0,0,0,0,70,has_feedback,8
1,neg,2020-03-30 21:46:512019-01-09 05:30:352018-10-30 12:17:032023-01-27 02:17:492021-05-21 13:25:242020-02-03 00:25:42,"{'id': 14366772, 'body': ""Hello, I'm terribly sorry to hear that you've been having trouble with the mobile app. I'll be happy to help. Please email me at LetUsHelpU@cigna.com - JW"", 'modified': '2020-03-31T15:45:26Z'}{'id': 5117545, 'body': ""Hello, I apologize for the inconvenience.  Protecting your information is very important to us. We utilize a secure mailbox to communicate securely. Please email me at LetUsHelpU@cigna.com, I'd be glad to help assist . - JW"", 'modified': '2018-09-19T11:28:15Z'}{'id': 34571628, 'body': ""I'm so sorry that you've been having issues with Cigna and the app. I'd like to help you with this. Please email me at LetUsHelpU@cigna.com and include your profile name. Thank you - CR "", 'modified': '2023-01-30T17:49:17Z'}{'id': 22982151, 'body': 'Hello, I sincerely apologize for the frustrations that you have experienced with the mobile app. Please email me at LetUsHelpU@Cigna.com so that I can look further into your concerns. -SNS', 'modified': '2021-05-24T15:42:38Z'}{'id': 13270368, 'body': ""Hi John, I'm sorry your having trouble accessing the app with the Face ID option and the slow loading. I'll be happy to look into this for you. Please email me at LetUsHelpU@cigna.com - JW"", 'modified': '2020-02-03T16:35:44Z'}","This app deserves ZERO stars. None of the features work and all I get is a “oops, something went wrong”. The live connections with Physicians let’s you set up appointments, but doesn’t tell you that you have to download a third party app until it’s your turn in line to speak with a doctor and you only have 2 minutes to do it and of course that isn’t enough time because the third party app asks for all types of information, so you end up missing your appointment you’ve been waiting hours for. This app is trash, don’t use it. You’re better off going to an urgent care because this app will have you doing all sorts of random stuff EXCEPT for the actual appointment you signed up and paid for. RIDICULOUS!Stop making us update the app in order to access our ID cards!

It's frustrating that I have to have to update the app just to display myID card. When out of Wi-Fi range and cellular connection is poor, having to download 100+ megabytes just to use the app to display an ID card is ridiculous. 

I was at a new pharmacy today picking up my prescription when the pharmacist asked me for my insurance card. I pulled out my phone and tried to bring up the CIGNA app, the first thing I encounter is The update app message. I must've spent about 15 minutes waiting for the app to download due to poor Internet connection. 

I also added my ID card to my Apple wallet but there seems to be missing information from the card on my Apple wallet as well. So that didn't help either.If you need support on this app you must give your social security number to an outsourced call center with no consumer protection. This company does not care about our security or American Jobs.
Update:Also, when you leave a bad review they contact you every few days asking you to take down the review. The goal being to annoy you. Luckily i have an email filter that has removed over a dozen emails of them asking me to “update” my review. Shady.When I enrolled I have different addresses for my dependents (divorcee) but in spite of that all the things are being mailed to me, like their ID cards. If there was an option to select to use the addresses I entered I missed it.

I’m any case, just wanted to thank Cigna for creating ever more things for people to fight about. Horrible company, horribly outdated technology…

And now for the app review.

Extremely slow.  Mind numbingly slow, even on a fat pipe internet connection.  Pages do not have loading indicators so it seems like it has loaded and it was nothing, but if you wait long enough eventually something may appear.

Please give us socialism!  I am sick of this capitalist health care.Each page takes 8-20 seconds to load. Logging in, opening my prescriptions page, before I even do anything. App looks well designed and is intuitive but is practically usable because of the slowness. I’m on an iPhone XS with great WiFi connection and speed, it shouldn’t be this slow.App never loads if using FaceID.
With password it can take minutes to get the app loads. Search works very slow as well no matter what type of connection is used (WiFi or cellular)",1,VuhnessahbluepiaaClaude99999GaltzoFunkemunkyJohn Wuh,TrashID card held hostage while waiting for new app to downloadSecurity concerns and harassmentBuggy serviceWorlds Slowest AppApp loads very slow FaceID doesn’t work,myCignamyCignamyCignamyCignamyCignamyCigna,0,0,0,0,0,6,0,0,0,0,568,has_social,8
2,neg,2022-10-31 17:44:20,0,"I just got a notification that my Cigna ID is now digital. I logged into my app and discovered yes it is, but only through the app. Come on, do better. Don’t make me login to my app and navigate to the ID. Put it in my wallet in my iPhone! 

Why am I complaining? Many times network connections aren’t great in doctor’s offices.",0,CurtisFinney,Digital ID doesn’t use Apple Wallet ☹️,myCigna,0,0,0,0,0,1,0,0,0,0,64,has_social,8
3,neg,2021-09-28 19:20:51,"{'id': 25478847, 'body': ""Hello, I'm terribly sorry to hear that you're having trouble logging into the mobile app. I'll be happy to help. Please email me at LetUsHelpU@cigna.com - JW"", 'modified': '2021-10-04T11:32:41Z'}","Edit: looks like the app has issues when the wifi is on. Surprisingly everything works if you are using the network connection. If you have login issues, try disconnecting the wifi.

Previous message:
It is terrible. Almost every time I try to log in fails. Sometimes it works and when that happens, I set up face ID but it is a waste of time because after some time it stops working and I am back to the beginning. I found that if you use password autocomplete fails always. If you write it sometimes works. I end up using the browser because it works at the first attempt.",0,Sanxenxo y no Sangenjo,Continuous problems with login,myCigna,0,0,0,0,0,1,0,0,0,0,107,has_social,8
1,neg,2021-07-09 15:29:38,"{'id': 23856083, 'body': ""Hi Josh. I'm sorry for any trouble caused by the paid designation on the app. I' like to look into your concern and see what  I can do to help. Please email me at LetUsHelpU@cigna.com. -K.S."", 'modified': '2021-07-10T19:01:32Z'}","I use the app exclusively and have found it surprisingly easy to use. However, the MyClaims page says claims are “Paid” when money is still owed on it. When I brought this up to a myCigna representative, George (who was very helpful), his response was to go onto the browser website where there are enhanced tools for tracking payment. I would just rather the claim says something like “processed” or “filed” instead of “paid”.",0,Josh Zajaczkowski,My Claims page Identifies Paid Incorrectly,myCigna,0,0,0,0,0,0,1,0,0,0,74,has_tracking,7
4,pos,2019-03-06 01:15:19,0,Overall this is a pretty good App. Does a good job tracking deductibles and out of pockets. Locating in network providers works well. One big improvement needed is in Pharmacy coverage where in coverage lookup it doesn’t actually tell you how many pills are covered under plan. It just refers you to Customer Service. This should be improved,0,Omax444,Overall pretty good,myCigna,0,0,0,0,0,0,1,0,0,0,58,has_tracking,7
5,pos,2018-02-22 09:34:292020-06-30 00:25:462018-10-27 17:40:582017-09-10 22:53:482018-08-11 13:51:44,0,"This app really make looking at your insurance coverage fun and easy. The ID card feature if awesome, so I never have to carry the car with me and I can print it from anywhere. Tracking deductibles and pay out cost are also calculated in this app. I’m satisfied 😍This app is so easy to use and to find care in network.  The deductible and co-pay tracking is excellent.  I have had several health issues beginning in early January 2020.  Coverage has been excellent and speaking to Cigna nurses have been very supportive. 

Thank you Cigna!Really enjoy the app. It’s easy to understand and use.  One question/suggestion is if there are plans in the near future to link apple iwatch programs to incentives for tracking purposes?  Would be super awesome.Great for tracking your progress on health and spending !!!I love how you track expenses and even get tracking numbers on Pharmacy shipping. ❤️",0,Nanceideewale3019sports girl 21مقداد بچه ابادانYaimara,User FriendlyI love the Cigna AppGreat siteAll you need in one place!!!Very helpful,myCignamyCignamyCignamyCignamyCigna,0,0,0,0,0,0,5,0,0,0,157,has_tracking,7
