,Tracking,Challenges,Goals,Competition,Narrative,,,,,
Apps with positive mention,20,16,19,6,20,,,,,
Total avg positive sentiment/app,15.981,13.776,16.422,4.716,15.105,,,,,
Average positive sentiment,0.799,0.861,0.864,0.786,0.755,,,,,
Apps with negative mention,14,9,15,2,17,,,,,
Total avg negative sentiment/app,-8.676,-4.777,-8.540,-1.070,-10.630,,,,,
Average negative sentiment,-0.620,-0.531,-0.569,-0.535,-0.625,,,,,
Total mentions in reviews,1649,428,1037,98,737,,,,,
"Total Number [negative, positive]","[282, 1361]","[43, 385]","[53, 983]","[18, 80]","[115, 618]",,,,,
,,,,,,,,,,
,,,,,,,,,,
,Badges,Feedback,Collaboration,Social,Points,,,,,
Apps with positive mention,7,20,5,20,18,,,,,
Total avg positive sentiment/app,5.726,15.874,4.858,15.803,13.987,,,,,
Average positive sentiment,0.818,0.794,0.972,0.790,0.777,,,,,
Apps with negative mention,2,17,2,16,9,,,,,
Total avg negative sentiment/app,-1.257,-9.572,-1.286,-8.882,-4.963,,,,,
Average negative sentiment,-0.629,-0.563,-0.643,-0.555,-0.551,,,,,
Total mentions in reviews,44,368,9,684,274,,,,,
"Total Number [negative, positive]","[2, 42]","[63, 303]","[3, 6]","[122, 557]","[42, 232]",,,,,
