date,review,rating,isEdited,userName,title,developerResponse,App_Name
2023-05-09 17:46:27,"I just retired in December ‘22 so January ‘23 was the beginning of my foray into Medicare.  I chose Aetna Medicare Advantage as it provided the best low cost option for me.  I had to chose the HMO since I didn’t want to spend all of my retirement dollars on benefits.  I have to say I have been pleased.  I have had to pay some out of pocket fees for special doctor visits, but there is no monthly premium, no fees for generic drugs and low out of pocket maximum.  What’s not to like? Thank you Aetna for providing a plan for those of us who cannot afford the higher cost plans which I was able to afford when working.",5,False,crazee21,Very Pleased So Far,,Aetna Health 
2022-02-10 14:13:58,"I’m looking for a cardiologist and I’ve been using the app for a while. A few cardiologists are listed as 2 specialties—Cardiology and Cardiovascular Disease Physician. Those that are have an ! In their info that says they’re In Network but ‘certain providers may be out of network for certain specialities at this location: Cardiology’. How can that be? Functionally those two specialties are the same thing. All a Cardiologist does is Cardiology, how can he be listed as out of network for a location for the only thing he does there? The doctors office themselves says they take Aetna insurance all the time, but then what does that ! mean? 

On the website it says nothing about out of network specialties for any provider and it even lets me use the price estimation tool for that location. Aetna needs to get their information correct one way or another, most people can’t waste time or money accidentally going to an appointment for a provider that’s actually out of network because the app and website have different info. 

Calling is no help either, I’ve gotten 2 opposite answers from 2 different people, but the second person emailed me a provider list as proof showing the doctor I want to see as In Network as a Cardiovascular Disease Physician. Do I have to check every doctor I want to see 3 times now to average out the answer? I don’t even trust the Provider List I was given at this point.",1,False,LeahD1215,Provider In-Network Info Doesn’t Match,,Aetna Health 
2019-05-14 19:28:22,"Aetna failed to process my payment to provider twice. I placed payment for two of my claims using this Aetna mobile app. They both failed. I’ve got past due notice from the provider after I made payment. I called them to explain that I made payment via Aetna mobile app already and had a receipt. Then, a few days later, I’ve got refund for this payment, it was almost month later since I made a payment. I called the provider and apologized this late payment which was not my fault and sent a check them immediately. Now, another claim, I paid for the claim on Mar 19, 2019. Today, on May 14, I’ve got past due notice from the provider. So far, I didn’t see refund logged for the claim on the Aetna mobile app, so I thought my payment was processed and sent to the provider successfully. I called Aetna, I was on hold for a few minutes, and this is what they said: They, Aetna, sent my payment to the provider on May 25, 2019, 6 days after I made a payment via Aetna mobile app. However, the provider never cash it, hence my payment was automatically refunded. Then, why the refund wasn’t shown app soon? And, why payment process didn’t work? Why the provider never cash my payment, is it their fault or Aetna’s fault?  My conclusion: I will never use Aetna mobile app to make my payment to provider. I will use my HSA account, the provider’s online payment system, or send a check!",1,False,earth on cirs,Do not use Aetna App to make a payment,"{'id': 8707139, 'body': ""Hello, cirs. Thanks for your post. We care about your Aetna Health app experience. I work on Aetna’s support team. If you’ll email our support mailbox, I’ll be happy to help you. That shouldn't be happening and we can help you with this issue. Our email address is AetnaHealth-AppSupport@aetna.com. Thanks! Rick G.."", 'modified': '2019-05-16T17:08:21Z'}",Aetna Health 
2022-04-02 16:06:24,"The Aetna app has been consistent in two areas for the last several years, consistency in lack of redesign for the app and consistent poor performance.  The app has not changed in years, it provides little to know real useful information without diverting you back to the web based platform, which is an exercise in how many times you can login despite being logged in on the app and the three previous tabs opened in your browser.   The answers provided by Aetna are akin to a poorly written mystery novel, you know something happened and you owe some amount of money to someone but you are never really sure.  Do not worry, there is a link that will explain it too you; nope it’s just another tab asking you to log in again.   The one true feature of this app and Atena’s entire platform is security.  No one can login that many times unless it is the user and secondly you can never get actual useful information about your healthcare coverage to utilize it in the best way possible, which lets be honest is the real goal of Aetna.  My only wish is that employer moves away from them, as for the app abandon all hope ye who enters.",1,False,TrueSpleen,Still the poorest and most inefficient health insurance app,,Aetna Health 
2022-06-01 21:41:23,"Nice App for searching Network providers and also easy access to check all the claims. Some providers details needs to be updated as after the Pandemic there are lot of changes occurred. The Payment system is 50% good & 50% bad , as it takes almost 30 days and more once you pay by Credit Card in the App however the providers doesn’t get the money immediately. It will be better if the App provides Payment details / links  for providers and not AETNA Payment department which pays provider through a third party agent. I strongly disagree the payment mode as once we received a Letter from Provider stating that they had handed over to a third party to chase our payment whereas we had paid 2 months ago via our Credit Card. The issue was that we were not notified about the payment return back to our Credit Card after a month which is not our fault. This App is only good for searching Network providers.",3,False,Smat68,User friendly App helps navigating your providers & bills,,Aetna Health 
2019-05-23 12:34:27,"Most recent issue: I lost my job and needed a document stating my last day of coverage, which was about 1 week away. Aetna could not produce a digital version, mail and fax were the only option. They absolutely would not help in my effort to get new coverage in a week, and could only say “I’m sorry” to the fact that their terrible infrastructure was going to leave me without coverage for a month. They don’t seem to understand that there are humans on the customer side of their business. 

UX failure: I cannot search for a doctor (there is no search bar). Cannot filter doctors. The only way you can find a doctor is to walk in front of the office building because it’s based on location with no other way of functioning. From a UX, and general usability position this app is dumb and pointless. What’s worse is when I had to call, the person took 10 min to do the search I could do myself, then they could only provide me with a phone number. Then after that the doctor office themselves won’t book appointments on Friday at all. I feel like I just warped into 1983.",1,True,Not-Mozart,Doesn’t function well. Infrastructure is 20th century.,"{'id': 8010778, 'body': 'Hello Not-Mozart, Thanks for your post. We care about your Aetna Health app experience. I work on Aetna’s support team. If you’ll email our support mailbox, I’ll be happy to look into the issue. Our email address is AetnaHealth-AppSupport@aetna.com. Thanks! Rick G.', 'modified': '2019-04-01T22:06:04Z'}",Aetna Health 
2021-09-18 12:03:13,"Overall you’ve finally come close to getting it right!!! However normally I use your Mail-order Pharmacy for my medications. For one offs and emergency fills I’ve always used Walmart on Hope Church Rd. For whatever reason you have defaulted my local Pharmacy to Medley, whom I’ve never used, let alone heard of. Each time I try and price a medication you default me to Medley. Can’t you fix this??? Related to Pharmacy issues being a heart patient I’ve always kept Nitroglycerin Spray on hand for its convenience. But when I try and price it, your App/Site gives me an error that pricing isn’t available. I’ve asked about this multiple times and have been requested to attach a screenshot. Problem is you won’t accept screenshots or embedded images. Go figure. Lastly someone dropped the ball and I’m out of my 40 mg Furesomide and although the app says it’s available there doesn’t seem to be a way to request it. 

Thanks, 

Jack Collins",3,False,ifubai,Issues with App/Website,"{'id': 25208004, 'body': 'Hello, ifubai. Thanks for your post. We care about your Aetna Health app experience. I work on Aetna’s support team. If you’ll email our support mailbox, I’ll be happy to look into the issue. Our email address is AetnaHealth-AppSupport@aetna.com. Thanks! Cindy K.', 'modified': '2021-09-20T12:58:39Z'}",Aetna Health 
2022-04-11 19:01:31,"My experience is based on Aetna Dental PPO. Dont know how useful it is for other coverages. I give it two stars: one for being able to access my ID card, one for being able to view claims.  For determining my specific coverages it is as useless as their website.  For instance, my Plan Summary page tells me that it pays 80% of “Major Services”.  It doesn’t say what those services are or what my annual limit is.  It tells me to look at Plan Documents for specific coverage information.  When I go to Plan Documents I am greeted by an empty page that says I have no plan documents.  The Plan Summary page has an option labeled Spending Details.  When I click that link it takes me to a blank page that tells me to go to the Plan Summary (the page I just came from) to view my spending details.  Majority of the app is just a copy of the dysfunctional website, even though the website urges you to get the app to see all the details of your coverage.  PATHETIC",2,False,Helinoob,Sadly just like the website for Dental,,Aetna Health 
2023-07-03 05:45:08,"I am a diabetic and had all just about in control using Tresiba and Mounjaro. It was a hard road suffering through Trulicity and Ozempic before finally having Mounjaro do well with my body.  Had brought my A1C from 11 to 7.9 and changed to Aetna from another insurance.  I had no idea that an insurance company would decide it just dd not like what I was taking.  After so months of steady improvement, Aetna decided it did not want me on Mounjaro citing I had to take four of the five they requested first.  I explained this was the third of the five that they were asking for though my body at 6 months of Mounjaro was doing great.  Why switch something that is working? Long story short, they would not cover my medicine and then declined the one they said I had to take. Three months of fighting them and yes my A1C is climbing up again and I feel really bad.  The only thing I can see here is their dollar was more important then their member.  When do insurance companies now tell doctors what they need to prescribe to their patient?",1,False,ssfano,Dollar before member,,Aetna Health 
2021-12-06 19:02:19,"I recently had a baby. We met our deductible and out of pocket maximum during that time. We received bills in the mail amounting to over $4k over our out of pocket max. I called customer service eight times and was told something different every time and no one could resolve the issue. We have insurance for a reason. We pay a good amount for our premium and we have a high deductible and max oop. We are willing to pay our max oop, which is no issue. Unfortunately, no one at Aetna can do their job and guide us in the right direction, so now two of my bills went to collections. No one seems to care and no one is being held accountable. When I asked to speak to a supervisor the reps said they don’t have one. How is that even possible? It’s not. There is always someone above someone and always someone in charge. This is causing me a lot of stress and anxiety. Stay away from Aetna! Also, the app is terrible! It doesn’t give us all of the information we need to navigate our claims properly.",1,False,R.Ouk,Aetna error/terrible customer service,,Aetna Health 
