date,review,rating,isEdited,title,userName,developerResponse,App_Name
2020-06-24 13:55:11,"All Trails is such a great resource for anyone who loves to hike! I use the app for all my hiking! I love the record feature that allows me to track my progress on any hike, and I love even more that I can put my phone on airplane mode so that I’m not using data while on my hike and still use the record feature! I always check out the All Trails reviews from other hikers before heading out, and usually find that other hikers have great insight/feedback about trail conditions. The only feature I don’t love about All Trails is the rating technique that is used for hiking trails. Trails are rated as either easy/moderate/hard and I have found through my experience that trails aren’t very consistently rated. I’ve hiked some trails that were rated as hard and the hike felt easy. I’ve hiked some rated as moderate and the hike felt hard. I understand that rating trails is a challenging component of hiking due to different levels of experience and fitness, however I would love to see an option where hikers who have completed the hike are able to submit their feedback on how challenging the hike was from 1-10. I think, overall, a 1-10 scale for how challenging a hike is would be extremely beneficial. Overall, I absolutely love All Trails and use the app daily! I recommend it to anyone and fully support what they are doing! Keep up the great work, All Trails!",5,False,All Trails is the best for anyone that loves to hike!,krazykendall13,,All Trails Hike Bike Run
2018-10-11 08:03:53,"Removing the check-in was a bad idea.  Hiding it in the “...” was worse, didn’t know it was there and my history is now not accurate, and now I have to make up a name for each recording on the fly.  Waste of time.  Please put check-in back where it belongs, it’s a critical feature, and right map loads with the name of the trail on the saved history. 
I also agree with the other user about trail hopping.  In New England many trails connect but are listed separately.  If you are no longer on the same one you started it appears you are just going rogue on the map.  How about auto loading the newly entered trail?
Also being able to edit history would be helpful. There’s been a couple times where I started driving home and forgot to hit pause and save.  And why the “pause” button when the trail is complete?  It’s a weird way to “finish” or “end hike”. 
Big issue with crashing during use lately.  Thought I was recording and it had crashed once phone was put away.  If I didn’t stop to take a pic early i would have gone pretty far without noticing. Stinks for tracking distance 😐. Overall I do love and use and recommend this app almost daily to find trails and track my history. Can’t live without it but its been acting weird lately.",5,False,Few issues lately. Oct 2018,daniG1973*,,All Trails Hike Bike Run
2020-05-05 18:58:57,"I’ve been using AllTrails for a couple months now and I love it. It is a 5 star app by far, yet that is not my rating for it. There are a few quirks I have with the UI, but they are not worth mentioning as they are minor and do not effect the app use whatsoever. 
My only real issue, which caused my 4 star rating (which killed me to do so), is the fact that you CANNOT LAUNCH THE APP WITHOUT A CELLULAR OR WIFI CONNECTION!! It is ridiculous, plain and simple. I am a Pro subscriber to AllTrails. I did this solely so I could download trail maps prior to going in case I lost service on the trail. That feature works beautifully. But let’s say you download your map, head out to your trail, arrive and go to open app to use the map that is already saved on your phone. Guess what?? Unless you have service, you can’t open the app! So it’s essentially useless. The last thing I want to do is have to add “open AllTrails prior to leaving home” to my to do list to get ready. 
AllTrails, lets be real for a minute. Hiking, biking, exploring, etc. are all off the grid things! Chances are you won’t have service if you are in a remote location. Fix this issue!! Make an offline version of your app so that paid users who have already downloaded maps can actually use them!
With that said, this is an amazing app that is worthy of 5 stars. It is just failing miserably in one particular area that is critical to its use.",4,False,Great app with one major flaw,EvoRacer37,"{'id': 15142515, 'body': ""Hi there - we're sorry to hear you are having trouble launching the app in low-signal areas. We'd recommend setting your phone to airplane mode to help get the app launched. One you open the app, you can access downloaded maps by tapping Plan then Maps. If you are still running into issues, please reach out to us at support@alltrails.com so that we can help troubleshoot!"", 'modified': '2020-05-06T23:37:13Z'}",All Trails Hike Bike Run
2021-04-08 11:45:32,"Hello! Pro member here and have some concerns. The app keeps crashing while I’m in the middle of 20-30 mile hikes. This is dangerous when you rely on AllTrails to alert you when you’re off course and have a lifeline feature engaged so your husband can track your progress from work! I am also frustrated because when it crashes, it also leaves me with gaps in my recordings till I figure out that it’s not working. I prefer to be enjoying the surroundings and not constantly checking if the app is recording and connected. I have been a Pro member over a year and have had no major issues till recently. Just sent an email to AllTrails about this concern. Thought maybe leaving a review would get a quicker response. A few notes to eliminate user error when the crashes occur - My phone battery has plenty of charge. No other apps are open on my phone. It literally has an error message that something went wrong. AllTrails please help! Please fix! Also, I’m discovering that some of the maps underestimate mileage up to a few miles. Have been planning on those underestimates because they’re unreliable when planning how much daylight a hike may require and the quantity of supplies to bring.",5,False,Crashing on Course,Spencer99Jones,"{'id': 22196680, 'body': ""Hello - Thanks so much for the feedback and so sorry about this! As a first step I would suggest deleting and reinstalling the app on your phone and then seeing if this problem persists while out on a hike. If so, it would be helpful if you could please send us a log file by going to your profile in the app, then to 'settings' then to 'email us' which will automatically attach the log file to your email. That will help our mobile development team investigate the issue. Thanks in advance! "", 'modified': '2021-04-12T16:01:28Z'}",All Trails Hike Bike Run
2018-08-07 23:51:09,"I love it! I’ve moved to a new town about a year ago and I’ve only ever known my town hiking spots. So to move somewhere new and not know anywhere to go was frustrating! I love bringing my dogs hiking and even better to find spots they can swim or frolick in the water. BUT once I go somewhere I feel accomplished and ready for the next. So to find so many varieties and close by places to hike is amazing! Whatever town I’m in I just look up what’s around. Whenever I’d Google placed to go there was NOTHING. Or very short and disappointing places. This app is great because it will give you direction right in the app instead of trying to Google Maps it yourself. You can map your rout and GPS where you are to ensure you stay on track and don’t get lost. I’m so much more comfortable going alone when I can see where each path leads and about how long it should take me. People also are great at providing pictures and comments of the trails so it is so easy to find. My biggest annoyance is not being able to find the place to begin with! GPS is all good and dandy but sometimes it will just bring you to the location but the location isn’t clarified. So by people uploading their photos let’s you get a visual of what you’re looking for. Overall, the best app!",5,False,Never Ending Trails,mopfdt,,All Trails Hike Bike Run
2023-09-20 15:49:40,"There are a lot of great things I love about AllTrails, but over a year ago, they they removed the incredibly useful and logical (and in my case, most used) feature that allows customers to rearrange the order of trails within our saved lists. But the way it is now, if you have a list of 5-10 trails and you want to build or adjust a trip/trail itinerary based on current conditions, you cannot move a trail from the middle of the list to the top of the list. It truly makes no sense as to why this incredibly useful functionality was ever removed from the app. Please bring this back as soon as possible! It’s not even a feature request as it already existed perfectly within the app for several years before confusingly being removed. Imagine if you made a playlist of your favorite songs and you could literally never change the order of them ever again after they’re put on the list. Very frustrating. Updated response to developer: while I agree those search and filter functions can certainly be useful, it is still equally as useful to have the ability to have manual, individual control over specific list order (again, especially when designing a trip/trail itinerary based around current fluctuating weather conditions). Seems like having all of the options available would be the most beneficial to all customers, not just one function or the other.",1,True,Incredibly useful feature removed :/,zillownope4445533,"{'id': 34753669, 'body': ""Thanks for the feedback on this change! We've added a new filtering option within these lists, as well as the ability to search specifically by name. The goal was to simplify the experience by using these tools to rearrange and find content, rather than having to manually adjust the order.\xa0I'll be happy to share your feedback on this with our Product team. \n"", 'modified': '2023-02-08T15:58:37Z'}",All Trails Hike Bike Run
2020-07-24 00:01:53,"I have been using the app for hiking and mountain biking. It´s very valuable and makes you feel really  confident and worry free, that you are following the right trail and that you will get home safely. Although, I have found 2 things, which need improvement : 1) I was recording my day hike and when I got back to my car, I wanted to save the hike, review it etc. But, there was no cell phone signal, which typically there isn’t, when you hike, so the application wouldn’t let me finish the process of saving/reviewing/adding comments. Then I drove back to town and wanted to finish this process. But the application, was basically asking me, if I want to continue recording, if I said “no”, the only choice it gave me, was to clear the data. Of course, I don’t want to add car drive to my hiking trip ...., 2) The other improvement is related to it. I think, if one is recording hiking trip and then forgets to save it, when gets back to car, the application should automatically detect, that obviously one is not hiking anymore, since the speed is > 10 miles/hour. It should then, ideally, ask you, if you want to make the car ride part of your recording or not. Actually, this happens to me a lot, that I forget to stop recording or that I’m not able to save the trip, because of missing cell phone signal.",4,False,"Good app, but ...",mt_shasta_hiker,"{'id': 16915056, 'body': 'Hi there - thanks for the feedback. The app will still be able to save your recording even offline. If you do see this again, please contact support@alltrails.com. In regards to stopping your recording, if you have accidentally driven off, you can adjust your recording on our website by following the steps at the bottom of this article: https://support.alltrails.com/hc/en-us/articles/360019244411', 'modified': '2020-07-28T04:14:46Z'}",All Trails Hike Bike Run
2020-07-24 09:54:48,"I absolutely LOVE this app!! I hike alone 90% of the time and I love this for finding new trails, staying in trail and keeping someone in the know of my whereabouts. I love the pictures, reviews and recordings submitted by real people so I can understand whether it’s something I think I could handle or not. The only downsides I’ve come across so far are 1) when you’re flipping through submitted photos, you can tap in the white area near the persons name who submitted it in order to see how long ago it was (ie a month, week, year etc) BUT! Be careful!! I’ve accidentally hit “suggest hide” on a couple photos and you can’t undo that!!!! Super frustrating!!! I’m not trying to flag or hide anyone’s photos! I just wanna know when it was taken. I’m sorry people! 2) when you’re looking for trails in your area using the map, you have to zoom in/out to the perfect spot for the trail markers to pop up. They disappear really easily if you zoom in or out too much in the slightest or if you move the map position even a tiny bit. I feel like those are both easy fixes. 
I recommend any outdoorsy people download the app. It’s fun to pick hikes for each other when you live states away and then chat about them after you’ve completed them! I love this app!",5,False,MUST HAVE APP!,OriginalRedlayce,,All Trails Hike Bike Run
2021-04-21 05:15:32,"I am a generally happy all rails pro subscriber - it’s made my COVID-inspired outdoorsiness possible! But the new UI is ...oh, not good. I loved the simple Record button. Now when I manage to find the button through Navigate (which is not the right word! I’m not navigating, just starting to walk from wherever I am and want the app to capture it), and press Pause, doesn’t leave it paused. .The old version often stopped my recording when I only wanted to pause -  and I couldn’t get back in and tell it Nope, so I would end up with two hikes split up because I couldn’t opt to continue where I left off. But,the new design is worse, because not only is it completely unintuitive to even find the button to start a recording, now if you don’t press and *hold* to stop/save, and simply hit pause (perhaps because you don’t care if you save the recording), it just seems to keep recording. So I wound up with a ~80mi hike the other day because it captured my entire drive for the day after I had thought I stopped the recording, and the walk itself was maybe half a mile. So now I had to delete the entire hike, which is not a huge deal but now my iPhone health app thinks I was some kind of superwoman for a single day and will forever compare me to it, unfavorably. 
I love this app. But please get some more experienced ux folks to review these designs.",2,False,Love the features. Old UI was iffy. New UI is bad.,Euphorbia Monstrose,"{'id': 22425331, 'body': ""Hey there - thanks for the feedback and sorry to hear you are unhappy with the app's new UX and so sorry to hear that you find this update disappointing. We realize that product updates are inevitably challenging, but we hope that you’ll grow to enjoy the new experience. We certainly appreciate your feedback and will relay it to our broader team. If you have any other questions or concerns around Navigator please reach out to support@alltrails.com\n"", 'modified': '2021-04-23T16:07:22Z'}",All Trails Hike Bike Run
2019-09-08 17:07:46,"I love this app and have been using it for years now. It is by far the best GPS tracking app I can find. The maps are detailed and accurate and the descriptions and directions are excellent. Over the years some great upgrades have been made, some of my favorites include being able to download tracks for offline use, marking distance and elevation along a specific track, and being able to create a map by selecting certain trails. 

There are still some frustrating faults with this app, however. For example, in order to record and keep a GPS recording a track a hike has to be part of an existing trail which can get annoying when I do infrequent or bushwhacking hikes. Having an option to keep tracks privately would be very helpful.

One upgrade I would love to see is the ability to edit or add to a track after I finish. Many times in the past I have forgotten to end a track and drove away, the result was an inaccurate GPS track. Also as the app currently is I can’t track multi-day trips, I can pause a track when I stop for lunch, but if I stop for the night my progress disappears. I would like to be able to add to a completed or paused track to be able to record multiple day trips.",5,False,Long time user,Alinkem,,All Trails Hike Bike Run
