date,review,rating,isEdited,title,userName,developerResponse,App_Name
2023-01-03 14:11:29,"I have never reviewed an app before but really feel compelled to for Balance. 2022 was unfortunately a very terrible year for me due to personal loss, mental health, and a soul crushing ending to a 10+ years long relationship, and as usual it seemed like all of these things hit at the same time. I was struggling so badly and really didn’t think I was going to make it through at times. While trying to get medical help, I found the free year of Balance offer somewhere and figured it couldn’t hurt to try at that point, though I’d never really been a big believer in meditation.
 
I am so happy to admit how wrong I was- this app helped my emotional health so much before and after I got the additional help I needed.  The sleep modules in particular were so helpful- Ofosu’s voice alone is so calming and peaceful, and the meditations really help my mind stop wandering until it can relax and I can fall asleep. There are so many great non-sleep modules as well for different situations - it seems like there’s something there anytime I need it. Sometimes I go in knowing I will feel emotional, but sometimes it sneaks up on me in an unexpected and beautiful way too. I just purchased the lifetime plan- even though I don’t rely on this as a crutch like I used to, it has become something I want to do instead of something I have to do to get though the day.",5,False,This app helped me through the worst year of my life.,Calyne22,,Balance Meditation Sleep
2020-11-26 22:30:49,"This app is beyond amazing! I love it so much. All of the single meditations are like little bites of joy when you need it, or a helping hand for the soul if things are rocky. I was already using another well-known app pretty regularly, but the set-up of this one is just perfect. You can choose to follow along with a plan or open the app up for a quick single meditation based on your specific need at the time. And the best part is, you can choose the duration of time that works specifically for you. Usually it’s 5 or 10 minutes but with some, they go down to 3 minutes or up to 15. I cannot say enough good things about this app. Thank you for being so kind and generous with your software during this wild time; it does not go unnoticed. I will happily sign up for the paid subscription to this beautiful app when the time comes. 
❤️🤸‍♀️

Some kind suggestions:
I would love to see more single meditations added on a regular basis, or different variations of the same ones. For instance, with the concentrate meditation, I was surprised that it didn’t include visualization. On that note, I would LOVE to see an entire guided plan for visualization practice/learning how to visualize. It would be cool if there was a log to see which meditations you did on which days. Also, different breathing techniques included in different meditations — I adore the ‘energize’ single. That’s all for now. Thank you again, you beautiful humans! xoxo",5,False,• • A M A Z I N G • •,Fitnesslovey,,Balance Meditation Sleep
2023-05-15 14:47:47,"I had been hearing the many benefits that meditation has to offer, but hadn’t ever tried it. I was skeptical at first but I downloaded the Balance application just to see what all the fuss was about. I was absolutely amazed that after only one session, I felt so calm, relaxed and just better in general. I guess I wasn’t aware of exactly how tense and stressed I was. I have since recommended this app to all of my family and friends and they too are very impressed. With all the things we have going on day to day, we tend to forget to take care of ourselves and we don’t realize how important self are is. The Balance app does just that, it helps you balance and manage those day to day stresses and make life more manageable and enjoyable. There’s truth in the saying “you need to stop and smell the roses,” and this wellness app helps you do that! I love the fact that Balance makes a personalized program to suit each individual’s needs based on how you answer questions within the app. There are also “singles” you can do that are helpful if you’re feeling a certain way or having trouble sleeping or focusing etc…I’m not usually one to write a review on an application but I highly recommend this app to everyone!! If you are open to exploring the benefits that meditation has to offer and want balance and wellness in your life, then this is the app for you!!",5,False,Best and favorite app by far!!,PracticallyPerfect99,,Balance Meditation Sleep
2019-12-22 13:56:59,"I’ve wanted to build a meditation practice for a long time.  After trying numerous apps, I just gave up.  I either fell asleep each time or my mind wandered constantly.  I just couldn’t get it.

When I received an email to try this new Balance app, I thought to myself, “just try one more time.”  I’m so glad I did.  I now have a streak of 34 days, and find myself taking moments throughout the day to just close my eyes and use the skills I’ve been learning without using the app.  It’s changing my life.  I pay more attention to what I’m doing.  I find that I listen better in conversations.  Just an overall improvement in my awareness and peace in general.

This app worked for me because it started off with short sessions and easy skills and builds from there.  I now find myself wanting to do the longer sessions.  I love that this program builds on the success of each session and gives you multiple techniques for your meditation toolkit.  Initially, I was disappointed that each meditation didn’t have some soothing spa music.  Now I’ve come to welcome the silence because I can really hear myself.  This is a fantastic app and I can’t wait to see where it goes from here.  Please know that I’ve never written an app review in my life, so this is the highest compliment I can possibly give.  Thank you for making meditation so accessible and easy to develop into an everyday practice.",5,False,"Finally, a meditation app that works for me!",Jared Leal 75,,Balance Meditation Sleep
2022-08-17 16:43:34,"If you’re looking for a pretty, consumer-driven app that’ll charge you for their good looks and trendy appeal, this is not it. It’s obvious that this company actually has a true passion for helping people, judging by the work they’ve put into it and their free one year subscription! Their methods are evidence-based, no frills, and straight to the point so you can focus on learning and progressing your meditation practice without the type of trendy mind-clutter you get from Calm. Of all the meditation apps I’ve tried, Balance is the most user-friendly. It’s well-organized, tracks your progress across different skill sets, and although it’s evidence-based, it won’t overwhelm the lay person with scientific details. Though if you do prefer more scientific explanations, I would recommend pairing this app with FitMind. I find that they complement each other quite well. (FitMind also has accessible options for those who can’t afford their prices). 

Running this type of business requires hard work, and providing one year of it for free is unheard of in this broken capitalist society. Thank you Balance, for making this invaluable service accessible to everyone. As a broke grad student this means the world to me, and I promise I’ll get a job when I graduate so I can give you my money.",5,False,Eternally grateful for this app,Polkadot515,,Balance Meditation Sleep
2023-04-02 23:39:01,"Halfway through my graduate school program and the tragic death of my mother, dealing with my father’s grief, as well as my own, my stress level was so high, it put me in the hospital. I discovered Balance through Instagram. I’ve always been reluctant of “meditation” but after my first session, I cried because almost everything I was suppressing was slowly revealed. Suddenly, I realized that there was now someone who was willing to listen, had the patience to wait until I was ready, help me through the chaos, and made me realize that my emotional needs are not being met by those closest to me. In the past seven years, I’ve been taking on the problems of those who can’t seem to handle their own, and I have been neglecting myself in the worst way. Sometimes, I didn’t think I was going to make it. I underestimated the power of taking a few moments to myself to focus, re-center, to be selfish for 10 minutes or less, and to know that if I am not functioning properly, everything else goes by the wayside. What an incredible difference Balance has made in only two sessions! Honestly, I find myself looking forward to the next session because it’s a place that I find solitude. My mom always said, “A person who really loves you, will guard your solitude.”",5,False,An Incredible Difference,Karie Summerfield,,Balance Meditation Sleep
2022-06-18 07:46:28,"Okay so this review might be kinda long but I swear just read it. I have to say, this app is perfection. I play the meditations when I want to sleep if I seem to be having insomnia or even if I’m not having sleep problems because it makes my sleep that much better. I use Leah’s voice (there’s a male and female voice so you can choose what one you want)  and anyway it works like a charm every night. I loved it so much that I played it for my sister one night and she actually fell asleep in minutes. The vibrated meditations are super calming too, and keep my mind at ease since I usually visualize things as I’m thinking (especially at night). I haven’t tried every meditation but some let you answer a few quick questions before you start to make it even more personal, one example being the frustration meditation (I think that’s what it’s called). One time I was absolutely LIVID because of someone, and the meditation really gave me some perspective and calmed me down in the heat of the moment. Thank you so much to Balance for the free year, I’ll definitely be purchasing it when I can, and I have sent a link to get the app to my sister so she can continue to fall asleep in minutes.",5,False,"The best for sleep, waking up, or calming down :) I love it",olivia939,,Balance Meditation Sleep
2022-02-07 23:36:21,"As someone who never mediated and was uninformed regarding this topic, I couldn’t see how just simply closing your eyes and sitting in silence could have any benefits….And that’s true because it doesn’t, because that’s not what mediation is at all. It’s actually way more layered and complex than I had ever imagined. I was so wrong about all of it. The idea of meditating seemed counter intuitive through the lens of anxiety and adult ADHD, both of which have kept me in constant motion from task to task. So I figured meditating would just increase my anxiety and make me more restless so I made up facts about it to myself and never tried. The barrier to entry is always what makes trying new things hard but for mediation Balance was a seamless and relaxingly simple experience. I started out with only 3 mins a day and instantly felt my stress, anxiety, restlessness dissipate, while my focus and mood improve drastically. Honestly I used to think the only way to feel this kind of relaxation and lowered anxiety was from a few drinks…..it’s great to know there is a much better, healthier and sustainable option. 10/10 I would recommend Balance to everyone and I’ve suggest it to everyone I care about.",5,False,I genuinely thought meditation was Nonsense,vthap,,Balance Meditation Sleep
2020-09-24 14:35:41,"I enjoy this app a lot. I’ve been a subscriber of Headspace for years and like it, but Balance is more engaging for me. I like that it has a small element of gamification that shows you your “levels” and experience in certain meditation techniques. I find the guy’s voice really relaxing. I also like that it is personalized, asks questions about where you are at on your meditation journey, and shares little bite sized information tidbits about how certain techniques are beneficial for us and why.

Engaging, modern, interactive app that looks clean, easy to navigate, intuitive, and I even like the little sounds when you expand an information tidbit. It feels like a mediation app that’s been brought up to today’s standards of ease of use, personalization, data and being fun to use. I’ve struggled to keep to a habit with meditation but I find Balance makes me *want* to MAKE time for it, rather than maybe doing it if I have time for it. 

I have ADHD and get bored easily. I tried Balance when accidentally stumbling on an article about it when looking up smart health gadgets. Liked the idea of it. Really glad I did. This is now my primary meditation app instead of Headspace.",5,False,"Personalized, smart meditation. Best app I’ve used",UlfhedinnErmana,,Balance Meditation Sleep
2020-03-25 02:59:57,"I’m writing this review after a week of using balance. I’m just a week I’ve noticed a lot has changed within myself. Not big changes yet but I’m sure with more use that will change. I feel more positive. I also feel more motivated after each meditation. It encourages me to do chores around the house before it becomes a problem vs back then when I let the dishes get ridiculously stacked and the house get really dirty. I’ve used the S.O.S. single about 2 times now. Both times I was crying and feeling so much anxiety and stress. Both times I was having an anxiety attack, and both times I felt better and calm after taking the S.O.S. meditation session. I suffer and yes I do mean suffer, from depression and anxiety. I’m currently also coming off my meds with decreased dosage. This app came at the perfect time. I’ve had high stress due to covid-19 as well. I rarely do anything at the house because I have so little energy and intense mental drainage. Life feels almost impossible at times but thank God this app came into my life because oof I’d be lost without it. I recommend trying it for at least a week and really relying on the singles for a week to get a taste of what this app can do for you. Definitely worth it.",5,False,Amazing!,Squares12345,,Balance Meditation Sleep
