date,review,rating,isEdited,title,userName,developerResponse,App_Name
2023-09-21 07:21:24,"Clean simple functional and useful. This is a great app, easy to use and my reminders help keep me on track",5,False,Clean simple functional and useful,EthanSteeljvdq,,Blood Pressure App Health Body
2023-09-02 22:53:04,"I’ve been looking a different BP apps for while. This one was talked about online, so I thought I’d give it a try. Bad decision! I’m not even sure if I ever was able to get my BP with this app. There were so many commercial interruptions not to mention every page has a commercial residing on it. I have no problem with commercials but let’s keep them to a reasonable level. There is zero user friendliness and going from page to page feels awkward.",1,False,Poorly designed,Snoodlebocker,,Blood Pressure App Health Body
2023-10-06 23:41:21,"It just keeps wanting me to download one app after another. The last one was an app to clean my device AKA app to infect my device with no telling what so I’ll have to pay someone to scam me. 
Something like this may be available in the future to check blood pressure but not any time in the near future and certainly not this app.",1,False,You may not want to download,disappointedNdallas,,Blood Pressure App Health Body
2023-09-21 07:23:24,My husband's blood pressure profile. This tool will allow us to clearly check the factual situation of blood pressure! Thanks!,5,False,My husband's blood pressure profile,SilverJaguaratwg,"{'id': 39169201, 'body': 'Thank you for supporting our application! Stay tuned for more updates and improvements.', 'modified': '2023-09-27T07:32:37Z'}",Blood Pressure App Health Body
2023-09-21 07:56:35,Big thanks for your help and support,5,False,Big,miajohnsonxizl,"{'id': 39169233, 'body': 'Thanks for the 5 stars!', 'modified': '2023-09-27T07:33:46Z'}",Blood Pressure App Health Body
2023-10-22 21:03:48,"Not a bp app, just a series of advertisements. Please remove it from the App Store. This is not what it says it is. There is no blood pressure app in it. Take it off the App Store or explain why they can advertise a blood pressure app that is just a bunch of unrelated ads. All it does is record blood pressure that you record on real device. Watch the video, it’s not true.",1,False,Fake,jdegugl1,,Blood Pressure App Health Body
2023-11-02 07:14:32,But it was good news,5,False,Have a great night sleep,ahmedabdo---jobs,,Blood Pressure App Health Body
2023-10-16 18:41:52,"Extremely difficult to navigate through the bombardment of ads. I understand a free app needs to have ads, but this was ridiculously extreme.  Never even managed to take a blood pressure reading.",1,False,Useless,Grandpa Cliff,,Blood Pressure App Health Body
2023-10-29 17:13:50,"They give you the impression that you can take your blood pressure with this app. You can’t. It is just riddled with advertisements. Instead, you’re easily pressing the wrong button then sent to endless ads.",1,False,Scam,tomaso75,,Blood Pressure App Health Body
2023-10-28 13:03:13,What a coincidence all the 5 stars reviews were on 21 Sep..! Locks like someone is manipulated the reviews. Why is a scam..! Because the app is not a app. just they pushed you to download an others app free full of advertisement. The app is just made a data base for sell your information,1,False,SACAM SACAM SCAM,Kasquito,,Blood Pressure App Health Body
2023-10-05 04:10:45,"It does not read your blood pressure, it only allows you to enter pressure taken from a device. The interface you are presented with is trying to confuse you into purchasing other unrelated apps.",1,False,Scam,Flentz56,,Blood Pressure App Health Body
2023-09-17 02:28:35,"It shows you being able to take your pulse, and it would then calculate you BP, all you can do with this app is put the readings you did yourself.  It should also be noted that it is riddled with ads.",1,False,False,Medpatch,"{'id': 39169183, 'body': ""Hello there! Thank you so much for taking the time and effort to update your review. We appreciate your doing a favor for us. Certainly, we are here to help you, so let us know if you have any questions or requests.\nLet's stay in touch. Have a great one! Kind Regards, Team BetterMe"", 'modified': '2023-09-27T07:32:01Z'}",Blood Pressure App Health Body
2023-09-07 21:03:38,"Constant ads on every screen that are all deceptive. Couldn’t find how to take a reading within the first 2 minutes, deleted.",1,False,Too many adds can’t find measurement,Bobbyalias,,Blood Pressure App Health Body
2023-10-21 12:59:22,"Adds after adds after adds to download different apps, never got to where I needed to be. Deleted after 3 minutes, waste of time.",1,False,Garbage!,שמוליק גולן,,Blood Pressure App Health Body
2023-11-12 02:38:15,"This app has misleading ads, collects you personal data, and doesn’t read your blood pressure as the advertising implies.  No thanks!!!",1,False,"Terrible app, full of ads and doesn’t read bp",JockoCocko,,Blood Pressure App Health Body
2023-10-31 21:02:50,This app does not “read” blood glucose as the intro video implies. It allows you to record readies obtained else where WHILE bombarding the user with trick links to download other apps. Do not download.,1,False,Did not do what it said,Scott Willy,,Blood Pressure App Health Body
2023-10-12 02:33:58,"This app is pure junk. The advertising on Facebook leads you to believe that the app can actually take your BP. In truth, this is a third rate tracker that pushes about a dozen other useless apps. Do not download this junk.",1,False,Bait and switch add machine,Plchacker,,Blood Pressure App Health Body
2023-11-11 21:30:24,This app doesn’t work.   Ads keep popping up that look like the app to trick you into clicking there.  This app doesn’t measure anything.  Do not download this app.,1,False,Total garbage,RobK1267,,Blood Pressure App Health Body
2023-09-03 15:05:41,I just downloaded it and have not been able to use because it takes to all kinds of add on apps,1,False,Too many add on apps,Lalalandd569724,,Blood Pressure App Health Body
