date,developerResponse,review,rating,isEdited,title,userName,App_Name
2020-10-23 16:41:01,"{'id': 18589958, 'body': ""Hey Rebecca!\n\nThank you so much for your feedback! We've fixed this bug, we hope it won't annoy you anymore. Please let us know if you still face any inconveniencies via support@basenjiapps.com. "", 'modified': '2020-10-20T08:28:11Z'}","I downloaded this a track my moods as I quit smoking. It’s so nice!! I’m back to download on my new phone, because this app is so pretty and easy to use. I was able to retrieve all my input without creating an account. I’m so grateful for that! Thank you.
When you delete a message there seems to be no way to restore it; there is no trash file. I think I like that. Yes, I’m okay with that.
I love the cute little face on the weather-inspired-mood icons. Every day, the app sends me a reminder to make a note, at a time that I set for the day. I love this feature. I don’t do it often, and it doesn’t mind.
I also like that I can include activities going on and I can create personalized activities! It really helps to see what else is effecting my mood.
The only complaint I have: it sends me a quote every day. The SAME quote every day for 4 months now. I can’t find where to switch it up or switch it off. Edit: They have stopped sending the same quote everyday...they have stopped sending any quotes at all. I thought the idea of daily quotes was neat, but the same one everyday was silly. I'm glad they fixed that. Thanks!",5,True,Really really nice,Rebecca Ruano,Breeze Mental Health
2021-07-20 17:21:07,"{'id': 24097495, 'body': 'Thanks for loving Breeze and providing us with such detailed feedback! We’re sorry to hear you disagree with our current price. But this is how our pricing policy is structured. It’s important to note that key features are available for free. They include journaling your mood, tracking what influenced it, seeing basic stats on your days, and accessing the first course and test. This set allows you to make progress and improve your mental health. As for premium content, it’s available when you buy a subscription and helps free content stay so. We understand that price is one of the most important aspects when it comes to choosing the app. Since you love Breeze, please feel free to contact us at support@basenjiapps.com, and we’ll be happy to tell you about our special offers and promotions.', 'modified': '2021-07-23T19:48:19Z'}","Now I’m gonna start off by saying that this app is great! I love the very inclusive and caring feel it gives for people who struggle with mental health, addiction, recovery, etc. BUT this is the downside. We have to pay. Now I know the developers have to make money somehow but that’s what ads are for. I don’t want to pay for a subscription for self reporting tests and mood trackers. Respectfully I feel like if the devs truly cared about improvement for individuals and their struggles they would make all resources in this app easily accessible and this could also be a non profit app. Not everyone is gonna have money for this subscription. I know I don’t, regardless of having a job I have other expenses to take care of so this app would just be a waste of space if I can’t use it to its full potential. I’m not saying the company and people who developed this app shouldn’t get what they earned but like I said before there are ways of making apps free and using ads to gain profit. I would much rather have a great free app and deal with ads rather than having what could’ve been a great app that I unfortunately can’t use because I can’t afford it. I understand nothing in this world comes for free but taking care of myself and health shouldn’t come with an expense. I hope y’all take my response into consideration cuz I really did like this app. Y’all just gotta make it inclusive for everyone and anyone who needs it not just people who can afford it.",1,False,In app subscription.,Jaci Jackzzzzz,Breeze Mental Health
2023-02-22 13:51:18,"{'id': 35054161, 'body': ""Thank you so much for sharing your thoughts about the app with us! Your feedback has details both about its pros and cons, which is very important to us. Please note that according to the app's structure, there are sets of free and paid features. Breeze's key functionality is free — it contains most of the app's features and allows you to journal your mood, track what influenced it, see basic stats on your days, play relaxing games, and access the first course and test. A paid subscription helps these features stay free and gives you access to premium content that consists of other tests and courses. Since you like the app, please feel free to contact us at support@basenjiapps.com to learn about our special offers and promotions — we'll be glad to tell you about them!\n\n"", 'modified': '2023-02-24T11:49:40Z'}","I honestly enjoy the app, it’s calming and has fun activities to help my boredom. And when tracking your mood it has plenty of options to click which I’m grateful, it just makes it much easier. But… almost everything on the app you can’t do unless you decide to purchase the monthly subscription, WHICH IS SO ANNOYING. I haven’t bought the subscription yet because I have yet to be paid but I’m not totally sure I want to. It gives me a gift in the morning when I log in for the day but it’s always the subscription over and over again asking me to purchase the stupid free trial (WHICH IS ONLY A WEEK LONG, then $8 something monthly) There is the “don’t show again” button which is definitely helpful. But not even just that, you can only do several (if even that) of the tests/quizzes without purchasing the subscription. I’ve only been able to do 1 while being ftp!! And there’s so many tests and quizzes on top of that, so why can’t you make a little more than a handful free to do?! It also feels like I’m having the one WEEK free trial shoved down my throat anytime I’m on the app. So in conclusion, if you can’t or don’t want to buy the monthly subscription just don’t buy the app. There’s very limited you can do if you do decide to download this and not purchase anything.",3,False,only good if you spend money,panda boy4211,Breeze Mental Health
2022-03-08 02:18:19,"{'id': 28465253, 'body': ""Thank you so much for taking your time to leave this detailed feedback. We're going to enrich premium content with other tests and courses.\n\nAs for the existing tests — yes, you can easily find them online since we took well-known tests. If you've found any typos, please feel free to email us screenshots at support@basenjiapps.com — we'll truly appreciate your help.\n\nSpecial thanks for talking about both pros and cons. We're going to grow better, and your feedback will help us to find the right direction. "", 'modified': '2022-03-09T08:36:19Z'}","I’m generally a pretty easy person to please and I really don’t mind paying for apps. But I was very disappointed in the premium version of this app. The aesthetics are very nice, yes, but there is very little substance to the app. As of now, there are only 19 tests, most if not all of which can be found online. The tests are riddled with typos, and some questions make no sense at all. There is also a disappointing number of courses, and they really only explore issues at a very surface level. A paragraph and a few lines of text (at BEST) is what constitutes a lesson. From the high price and advertisements I’ve seen, I was expecting a lot more substance. I have been diagnosed with a few mental issues which are moderate to severe, and I’ve been in therapy for a while. If you’re considering getting this app and have tried therapy before, it will be a waste. If you’ve never tried therapy, you may get something out of the lessons but it will be very shallow. I recommend checking out other online resources. The ONLY redeemable feature of this app is the mood tracker. I like how you can easily see how your mood fluctuates, the ease in tracking activities related to your moods, and the ability to add a photo to the day is a nice touch. And this feature is absolutely free. In short, free version - worth it. paid version - absolutely not.",2,False,Don’t waste your money on this app,melz_vs_flatearthers,Breeze Mental Health
2023-01-08 04:58:07,,"This app is really well designed and an overall great idea and nice features! The aesthetic is extremely nice and I can tell the devs worked really hard to give the users a nice experience. However, with that being said, the paid subscription feature is extremely ridiculous. Over $8 a week is a bit much if you ask me… I feel like the addition of a paid subscription at all is a poor choice considering it’s a MENTAL HEALTH app, designed to make people feel better. It completely goes against what the app is preaching. What makes it worse is that there are little to no free features without the subscription, so the app is almost useless without it. (Pretty much all the tests are locked and most other features are unavailable as well.) The daily mood thing is nice, and I like how it tracks how you feel each time you fill it out but that’s just about the most useful thing on there without the subscription. I feel as though the subscription should just be removed completely, because it seems really selfish of the devs to add such a thing. I understand that they might need money, but the high price they’re asking is just not right. At the very least, price should be much, much lower than it is…",3,False,It has great potential! But has a major issue…,Emma Swan_Pig,Breeze Mental Health
2023-08-12 03:53:13,"{'id': 39128622, 'body': ""We apologize for any inconvenience you've faced with the data loss issue. We recommend reaching out to our support team at support@bsnj.co for further assistance and guidance regarding your situation. Your feedback is important, and our support team will work to provide the best possible assistance they can."", 'modified': '2023-09-25T14:49:47Z'}","The app was great until it randomly deleted all of my information. I typically used the app to log my good days so I could come back and re live those memories, and I loved how you could even add a cute little picture to your note, it really took me back and I could visualize and remember the day I was looking back on. Sometimes you forget about those little sweet moments, so I liked to be able to jot them down and keep them. Unfortunately one day I opened the app and everything was gone. I’m talking like a good couple months to a year of days and experiences I wrote down. It was so disappointing I don’t know what happened, I don’t recall there being a “delete everything” button. I didn’t purposely try to erase anything. I just use the app like normal every time when adding all my stuff. When I say everything was gone I mean EVERYTHING. Even the activities and emotions you can choose that it automatically starts with. I’ll have to go back and re add every positive and negative emotion choice and all the possible activities. Because now there is nothing to choose from. I liked how in the beginning how it already had those and I could add more if I wanted. So now I’m not sure if I want to keep using this anymore because like what’s the point of using it and adding everything back if all my data is going to get randomly erased again.",1,False,I am unsure how to feel,feeling=disappointed,Breeze Mental Health
2021-10-09 17:38:31,"{'id': 25607936, 'body': ""We're sorry to hear that. 😟Our team will be looking for ways to solve this problem, we really want to make your experience with the app great. If you like the functionality, feel free to contact us at support@basenjiapps.com, so we can share special offers and promotions with you."", 'modified': '2021-10-11T08:30:57Z'}","I feel part of the reason so many are upset is due to advertising on the apps end, I occasionally run across advertisements that say try for free, and sure I may not expect it to be free, however when you show a specific test, or someone using a specific feature thats locked behind a pay wall, i'd say there is an issue. Putting a try for free while also placing someone taking a test that you'd have to pay for is poor advertising, sure maybe you get someone to download it but it ends up being frustrating and misleading. Considering the app focuses on helping, it can be a huge let down for people to download an app, and realize they can't afford it and it's way too costly. I have downloaded this in the past, but not for the free features, and due to the features locked behind money I was fairly quick to uninstall. I only came back today due to an ad that was very misleading. Fix your ads for this because this app is not as free as you make it out to be. Once you do that i'm sure it'd be a lot better, because at the moment when I clicked it there was a lot of try for frees all over the site, when you only have a small amount actually accessible to people. I would likely retract my bad rating and review if that problem was actually fixed.",1,False,Misleading advertisement,Hjjohnson,Breeze Mental Health
2023-03-06 22:28:30,,"Some of the quizzes are great, but others are not. when it ask you about how your work effects you, how on earth am I as a disabled person who can’t work supposed to answer those kind of things? It assumes everyone can work, which is a bunch of boloney! Also, add some quizzes for abusive familial and friend relationships too. Not everyone has experienced a relationship, especially people like me who is autistic and has trouble with social cues, which makes it harder for people to like me. Not saying that is the case for every autistic person, but for me, my social cue issues come off too weird for people to want to be with me as a partner. A lot of people need help figuring out if their family or friends are abusive to them, so those would really beneficial kind of quizzes. Not everyone wants a relationship with people in a romantic way anyways. 

I do like other quizes such as the masculine and feminine psych test, which helped me feel affirmed with the result of androgynous. I also liked the ADHD and depression/anxiety tests, and so forth.",3,False,Not inclusive to disabled people in quizes,hiddenblossom48,Breeze Mental Health
2022-11-18 06:09:18,,"This app was not a breeze for me. I really love the concept of this app. I think it’s a brilliant idea and can truly help others gain new perspectives, even benefit themselves! However, the payment factor is an unfortunate one. Not to mention, they’re expensive. You’re paying 8.49 a week so around 50 dollars 💵 per month. Have fun with that one. I understand the developers have to make money somehow and if they’re reading this, they’ve probably already seen a lot of the views have a similar saying. I honestly downloaded this app for the QUIZZES. I like taking such along the topics. However, only ONE quiz that I found, out of around 16 of them, is for FREE. Most of the other lessons weren’t for free either and pretty much all you can do is record/track your day, play about for games (which was my favorite part, and that’s honestly all that I can think of. The only reason I’m giving this game 2 stars is just because of the idea and game concepts. If they allow more quizzes to be free and other features, I think more people would stay around longer (as most you can just take along.) Either way, I appreciate them reading these reviews and responding back. Please have a lovely day!",2,False,Payments are necessary for a lot of the content,KittycatWild,Breeze Mental Health
2021-07-12 14:13:09,"{'id': 23873815, 'body': ""Thanks for sharing your feedback with us. We're truly sorry to hear about the problems, and we'd love to solve them. Your comment helps a lot. Also, if you have some screenshots to share, feel free to email us at support@basenjiapps.com. Thanks for helping us be better!"", 'modified': '2021-07-12T07:52:32Z'}","This app doesn’t make any sense, there are typos everywhere. For example, the pre-loaded markers for “what are you doing” when you submit a mood (e.g. “sad”) have some normal things like exercise and eating, but also some that are not even activities like, “travel tips.” The quizzes have questions that aren’t comprehensive by any means, which would be ok if they made any sense. The questions are sometimes not just poorly worded, but actually nonsensical. I hope no one uses these quizzes to figure out if they have signs of anxiety etc. I don’t know where they got these assessments but they appear autogenerated or something. For example, it will say “how often do you feel sad?” And then the options will be “not at all, mildly - it didn’t impact me.” The subscription is incredibly expensive for what this app is, which leads me to believe this is a scam. I used it for free for one day before canceling. I recommend using a different app.

Update: I received a response asking for screen shots. I sent one screen shot to the developer, however the issues I’m citing above are so blatant and everywhere that it’s difficult for me to believe this is a bug. I would encourage anyone considering this app to exercise caution.",1,True,This app is a scam.,Maggiecook,Breeze Mental Health
