date,review,rating,isEdited,title,userName,developerResponse,App_Name
2021-09-06 15:54:36,"I have tried so many different diet apps, and this is my favorite one by far. It’s so user friendly/simple yet detailed without being confusing or overwhelming. Plus it is by far the fastest tracker, lightning fast to enter in all your foods/meals. It is also extremely accurate as far as calories, and the data base is huge. The recipes are great too. I had used the free version quite a bit, which is really nice yet pretty basic on its own. (There are absolutely no annoying ads or invasive pop-ups in the free version and it’s a great experience.) I decided to go ahead and get premium though, and am glad I did. I’ve had a lot of success with losing weight and feel really motivated. Not to mention I plan to continue to track most days even after I’m done losing because they automatically adjust everything (calories/any activity) to help you maintain once you’re done. That to me is where I would gain again, was I’d stop being as mindful of tracking once I lost weight so this is very helpful. If I had one suggestion to the developers it would be to possibly add in the ability to implement intermittent fasting into the program if you should choose to. I use another Ap to track my fasting times. It would be great if this combined that option. One example is that it says I “skipped recording calories” for some meals when in actuality I was fasting at the time. This is not that big of a deal, and definitely still 5 stars despite this. It would just be even nicer.",5,False,My Favorite Diet Ap,Essenceofclarity1970,,Calorie Counter My Net Diary
2022-08-21 13:43:50,"In general, I HATE apps, but I wanted to lose some weight and this one looked, at least, interesting.
But MyNetDiary turns out to be incredibly useful, even in ways I wouldn't have expected. It's really intuitive, and provides an enormous database of both fresh and packaged foods--impressive because I'm gluten-intolerant and eat a lot of pretty obscure brands of bread, etc, and I wouldn't expect that many people would have ever heard of them.
Logging what I've eaten is actually kind of fun, and I even do it when I've binged on too many calories and would usually just not bother counting them because I'd be too embarrassed at my lack of self-discipline. And I love the very precise breakdown of all of the nutrients, which is important to me because I'm also a vegetarian (yes, I am a pain to feed!) and now I have a better idea about how to get more protein and various other nutrients that I need because of my weird diet.
And tracking my water intake is really helpful, too, as I've gotten a little lax about drinking enough (water!), and now I'm more motivated about that, too.
Sorry--long review (I also hate writing reviews, so the fact that I did this one should tell you how impressed I am with this app!).  Very soon I should be back to my ideal weight, and probably a lot healthier than I've been in a while (oh, yeah--the app also works with my Apple watch to keep track of my activity and workouts...awesome).",5,False,Really Well-Designed,ngbev,,Calorie Counter My Net Diary
2021-05-15 14:51:39,"I am actually an app junky. When I'm looking for a particular app, I download a few of them simultaneously to compare which ones I like the best. I was using My Fitness Pal for years and did a premium trial which I was enjoying. The cost of their premium subscription really made me look at other apps. When I came across MyNetDiary it took me a few weeks to really go through the information because there's so much. I noticed a deal for the premium subscription so I thought I'd try it out. Since subscribing I have deleted my meal plan app, my grocery shopping app and my water tracking app. Because this app has it all! With this app I can customize pretty much everything - my macro nutrient percentages, water intake goals and alerts, micro nutrient goals, workout calories (connects to Apple watch) groceries list, diet specific recipes and Soo much more. 
The one thing that is a slight downside is the barcode scan doesn't have a very large database and many items I scan are not read. The upside to this is that you can manually add the nutrition information and pictures and upload them, therefore adding to the database. Customer support is very quick. I had an email reply within minutes. There is still a lot more information in the app that I haven't even looked into yet. I am overly happy with this app both as a free version and paid version.",5,False,This app is AMAZING!!!,Vidstitchluva,,Calorie Counter My Net Diary
2022-07-16 13:18:12,"I like that I don’t have to pay to use just the basic features which is perfect for me. I like that it gives you recipe ideas if it notices you skipped a meal. I love the way you can easily log or scan in foods and almost all seem to be there which a grade of how healthy the choice you made is...or most importantly- NOT! This helps me to actually learn the right portion sizes and make better decisions on what I’m actually putting in my body. Calories aren’t as important to me because I seem to always lack in that but the food choices I’ve been making or were eating are coming up C’s & D’s. With this app I now pick only A’s & B rated food choices! Maybe a C food choice like 1 chocolate chip cookie if I’ve been good!lol But in following this app you can monitor not only the food your eating but exercising, steps you’ve made, amount of water you should be drinking,etc. you can even choose a body system by joining groups but I prefer not to. I’ve been using this app since Jan 8th and I’ve already lost 6 lbs. I forgot to weigh myself the day I started so my starting weight was actually taken 6 days after starting this diet system. Anyway, love, love this app...super easy to use and it’s really nice keeping up and keeping track of what I’m actually putting in my body! Thanks!!! : )",5,False,I just love this app!,shawrl007,,Calorie Counter My Net Diary
2019-10-05 15:53:16,"I’ve been underweight my entire life and have had a lot of health issue because of it. Seeing a nutritionist and having this app have been two of the most effective tools I’ve had on my journey. I’ve had it for three weeks and am now only two pounds away from no longer being critically underweight! I love it because it’s not an overwhelming barrage of precise details for me to enter and see. It’s simple to use and displays my progress in a clear, visual way. At a glance, I can see how far I am on my daily goal and how well I’ve been doing for the entire week. Entering food takes so little time that I can enter it right after eating without any disruption to what I’m doing. The only things I would change about the app is its mindfulness of the user’s goals. I don’t really mind seeing tips on how to loose weight while using the app, but it would be awesome if the messaging changed according to which direction the user wanted the scale move. It would also be great if the app had a “pre-tracking” feature. Sometimes I pack my meals the day before. I don’t know if I’ve packed enough to meet my goals, but I also don’t want to enter them into the app if I haven’t eaten them yet. Right now I’m using a different app to keep track of it separately, but it would be nice if I could keep it in this one, then easily count it as eaten when the time came. Even so, this is a great app, and I’m thankful for it and the progress it’s helped me make.",4,False,"Simple, Visual, Effective",HidalgoM,,Calorie Counter My Net Diary
2023-01-11 01:42:40,"I think I’ve tried all the meal tracking apps- even some that don’t exist any longer. This is my Goldilocks app. I have a variable activity level from day-to-day and (with premium) I can just carry my iPhone with me al day and the tracker makes sure I’m on point for calories. Logging is faster than any other I’ve tried (and accurate). I like the menu planning. I haven’t figured out how to smoothly incorporate the grocery list. I like that I get a nutrition summary in my inbox with no effort on my part. It was easy to see that, yep, and multivitamin would be a good idea for me. 

I don’t use the preplanned menus. I am AIP/ lots of food intolerances so it doesn’t work for me. I also am not a snacker, so the existing menus are too fussy. I have grabbed recipes to log with several times. I haven’t cooked with any, but I haven’t seen anything that seems off. (I’m a “retired” chef). 

I don’t have a lot to lose- around 20 pounds- but I went ahead and paid for a year to keep me on track for maintenance. After that, I’m not sure. Some simple AIP or super basic no-fuss grain free (paleo?) menus would make it worth continuing the subscription. I appreciate the lack of ads and upselling (coming from a trial of a popular app “program”, it is a breath of fresh air).",5,False,Both free and premium are good,MamaBean4,,Calorie Counter My Net Diary
2020-01-29 07:48:46,"So I have my ""MyFitnessPal"" and ""Sworkit"" app in sync with each other and with my Apple Health app; I tried syncing ""MyNetDiary"" together with my Health App since it wouldn't let me sync with any other app and I went through with allowing access to my Health App which (AGAIN) synced with ""MyFitnessPal"" and ""Sworkit"" and is documented on the Health app; I completed a workout from the app Sworkit and since it's in sync with ""MFP"" it was documented on MyFitnessPal saying how much calories I burned (Perfect), I went into my Health App it again, showed how much calories I burned and for how long my workout was. I go into MyNetDiary and my exercise box was empty and not showing that I had worked out or anything, not only that, I documented my food on MFP and it didn't even show up on MND. I will say it again if I didn't write it before, MyNetDiary showed that it was in Sync with my Health app and I made sure everything was selected when asked for permission so I don't understand why my workout/exercise didn't show up on MND nor my food until I had to manually type it/search it. Is it because of the other apps being in sync? Is it because I didn't manually insert the info directly from the Health app? Please help me, I used to use MND long ago and I liked it then, if you could please partner up with MFP and Sworkit so I can sync them from the MND app or help me understand why it's not showing up.",4,False,Not in sync,PrincessDash22,,Calorie Counter My Net Diary
2018-10-16 14:42:35,"My teenage daughter (who does NOT need to lose weight but likes to be mindful oh the nutrients she puts into her body) of all people introduced me to this app and I couldn’t be happier with it! Even just using the unpaid, free, version is ridiculously helpful and helps me be more mindful of my food options! I’ve been using this app for somewhere around 2 weeks and I’ve already lost 8 pounds simply because I’m able to see the calories that are hidden in foods I’d typically eat as a snack or something! I can not recommend this app enough for anyone who either wants to lose weight or simply wants to be more conscious and conscientious of the foods they eat! My “calorie bank” for the day is far more generous than I would give myself, were I trying to diet on my own! I can eat anything my little heart desires as long as I’m reasonable about it! (I went way over yesterday since it was my birthday and I wasn’t even pretending to try and keep myself on track!)

As a woman who had an eating disorder as a teenager and who still struggles with those impulses to this very day (more than 15 later), this app is helpful in showing me excited where my calorie are coming from and EXACTLY how many I have consumed!",5,False,Even the free version is extremely helpful!,Marionsmom,,Calorie Counter My Net Diary
2022-01-16 02:46:47,"I have tried several apps and thought that this one might be perfect for what I wanted to use the app for. I needed calorie counting and tracking of percentages of carbs, fats, proteins. I was/am looking to lose weight. I signed up and entered all the required information. I wanted to loose 10 pounds. When I looked at my calorie requirements I saw the app had me at 809 calories which I thought was odd as the other apps I tried out would never allow anything under 1200 calories. I had also been advised by a trainer that that was too low. I reached out and never got a straight answer. I was basically told it was ok. Then after alerting them the app jumped up to a required 1226 I think then that jumped up over 1300 and then all the way up to 1500. I have reached out several times as I really wanted to give them the opportunity to correct what I felt must be a glitch and I never got a solid explanation or resolution. It’s a good counter though so for a free app it’s great. I wouldn’t pay attention to the calorie requirements as I know I will not lose weight at 1300 or 1500 calories. I was willing to upgrade with it working properly however that is not the case. For what it is worth they did not ignore my questions. I think it has potential for sure. I do wish it worked better as I think it would be ideal.",3,False,I want to love this app!,losingmyzenonnickname,,Calorie Counter My Net Diary
2022-12-01 17:40:40,"I got tired of the advertising and shrinking features of a competitor app so switched to MyNetDiary and am so glad I bit the bullet. It has so many features that have made tracking easier. I went for the paid version, which is very reasonably priced, but the free version is also great. There are no unverified food entries, so you don’t have to comb through a long list of inaccurate or incomplete foods to find what you want. 

One of my favorite features is that I can send them screen shots of my meal kit nutritional info and they verify and add it to the database within hours.  I was having to enter the information manually every week with my old app.  I also love that they let you edit a food item (not a recipe) to add or subtract an ingredient. So, for example, if you are eating out but asked for a substitution in your entree or maybe didn’t eat the bread, you can just enter the whole entree and subtract a food from it. No need to enter each item individually. I also really like the calorie cycling feature so that I can lower my calorie budget for early in the week and give myself more of a buffer on the weekends. 

This is a great app!",5,False,Thoughtful features that make tracking so much easier!,Lisa_H_66,,Calorie Counter My Net Diary
2022-12-15 00:21:14,"I Don't usually write reviews, but this just made me want to. Had it for about 2 weeks now and although I haven’t lost much, I feel a lot better. I feel more in control of what I eat and keeping track has helped me in so many ways. Not only do I feel physically better because I’ve been able to look and see what I need nutrition wise, but mentally I feel better too because I’m not worrying if what I’m eating is too much or too little i just can look and know, enough to go to the gym and not feel embarrassed by not really knowing what I’m doing yet (which is silly i ever felt that way because I’m there for me nog anyone else). I’m not a whole lot overweight so I didn't really get this with losing weight being my biggest reason, mostly I just didn’t feel good and knew something was off, I thought I was taking care of myself but seeing my progress physically and mentally over the past two weeks having made some changes based on the tracking this app has provided, I know I wasn't. Im genuinely so grateful for this app and know I’m going to continue to progress as I learn new things about taking care of myself every day!",5,False,Feels better,only killing time,,Calorie Counter My Net Diary
2019-03-04 23:11:23,"I have lost 39 pounds since I started using this app. I like that I can log in my activity. Tracking foods is easy. I like all the charts & helpful hints. I have health issues & will go back to the gym eventually. But I log all my housework & animal chores. It all adds up. If you eat over your calories do a little physical labor to keep you on target. I have a long term goal & it will take me a year to reach it. My health issues complicate matters but this app keeps me focused & positive. There are also chat groups to encourage one another. No meetings or rigorous exercise required. You just eat less & move more. This app is fun & easy. You can store your favorite foods to make your charting easier. What are you waiting for? Try it!

Addendum 3/4/19. I went off program for surgery, rehab from it & for 2018 holidays until today. I’m so disappointed to see that macronutrients & the breakdown of the fats, carbohydrates & protein percentages that are counted as you add your food intake are now gone from the free app. Now you have to pay $8.99 per month to get this additional information. I’ve referred a lot of people to this app but now they will learn what I told them was free is no longer available. Basically now the app just counts your calories. I will purchase the app because I need to get back on track & reach my goal. So I changed my rating from 5 star to 2. It works but now you pay for it.",2,False,Keeps me honest,Dragonflyla7,"{'id': 7606412, 'body': 'Sorry about the troubles, we do hope you feel better after the surgery! We are glad MyNetDiary has helped you lose 39 pounds in the past. Could you email support@mynetdiary.com - we would be happy to help you further and provide you free premium membership.', 'modified': '2019-03-06T16:07:06Z'}",Calorie Counter My Net Diary
