date,developerResponse,review,rating,isEdited,userName,title,App_Name
2019-03-23 21:10:41,"{'id': 7875862, 'body': ""Hi Jane, \n\n \n\nWe're delighted to hear that you enjoy using your Fitbit Charge 3 and love its features such as reminders to move and challenges! \n\n \n\nAs for your concern with heart rate tracking, please note that our Fitbit devices calculate steps differently from other machines. PurePulse LEDs (light-emitting diodes) on your Fitbit device reflect onto the skin to detect blood volume changes, and finely-tuned algorithms are applied to measure heart rate automatically and continuously. The heart-rate icon you see on the display tells you if you're in 1 of 3 heart-rate zones.\n\n \n\nIt's also worth noting that if you're doing an activity where your wrist is moving vigorously and non-rhythmically, the movement may prevent the sensor from finding your heart rate. If this happens, try relaxing your wrist and staying still briefly (about 10 seconds), after which you should see an accurate heart rate reading. For more on what impacts heart rate accuracy, please see: http://help.fitbit.com/articles/en_US/Help_article/1565#ImpactsAccuracy. \n\n \n\nHope you'll also like the other features your watch has to offer! \n\n \n\nBest,\n\nFitbit Support"", 'modified': '2019-03-24T15:05:49Z'}","I am absolutely hooked on my Fitbit! I bought the Charge 3 and I hate taking it off. I love the notifications it sends if I haven’t moved from my desk each hour, I love the fact you can challenge other friends and colleagues to weekend, or weekly challenges as well as track your own performance. It’s got me more motivated than any exercise book, or personal trainer. The only downside I find is that it’s not 100% accurate. My resting heart rate on an ECG machine compared to my Fitbit has a difference of 10 beats per minute...that’s a big number when you’re trying to work in fat burn mode or/and cardio. In addition, when I train with other people my steps are pretty much the same but when we e all walked a 12km walk (as we’ve done consistently this week), my Fitbit comes up with almost 2km less than the others! The only time it’s accurate is if I walk with my GPS on my phone and then sync the data after my walk/run. In addition the calorie counter has very limited good options and scanning them and sending them off is too time consuming. I find I’m using the “My Fitnesspal” app to monitor my food intake...please look at their app and try and make the Fitbit calorie counter more user friendly. Apologies for mentioning the bits that need “tweaking”,  but it’s constructive feedback that I feel is important. All in all I am so chuffed that I have a Fitbit as its now become a way of life for me! Thank you to the Fitbit team of developers ☺️",4,False,Jane - Eastern Cape,Awesome...but needs a little tweaking 😉,Fitbit Health Fitness
2022-12-27 07:26:29,,"Love ❤️ Love ❤️ Love this application. Helps to meet great new friends and family. Also enables you to workout 🏋🏻‍♀️ with people from around the world 🌎 at your own pace but yet they motivate and inspire you to reach and even exceed your personal goals. Enjoy Fitbit and have been a member now for 9 years but it only gets better and better. Sure there are many different trackers and different types of watches and fitness trackers but for the best bang for your buck buy a Fitbit. They have many different styles and various price ranges, it’s a terrific way to meet new people and also enables you to grow through hard-work, inspiring you to attain your fitness goals and to even exceed them. Fitbit was purchased by Google since January 14, 2021 and under their auspices it has only grown and become a stronger, more easily attainable Fitness Tracker with a wonderful Fitbit Family and a strong 💪🏼 Fitbit Community consisting of friends and family from around the entire world 🌎. If you’re looking to lose a few pounds or just to keep track of how well your doing with your hiking 🥾, biking 🚴🏿‍♀️, walking 🚶🏻‍♀️ and running 🏃🏻‍♂️ even swimming then this is the best application that you will ever need. Truly fun and easy to use also has a Fitbit device for every member of your family. From your kids to your own personal device Fitbit is the best and most truly beneficial application/tracker on the market.",5,False,@earlofberl,Fitbit,Fitbit Health Fitness
2022-04-09 16:59:29,,"The newest replacement I got, barely connects to my phone. I have to tell it to sink and a lot of times it doesn’t do it so I have to close out the app and come back in.  It constantly tells me that the zip battery is dying even when I’ve replaced it A few days or a week before and continues to tell me that although sometimes it will keep working anywayFor many, many  weeks. For some reason they don’t make the clip on zip anymore and that’s quite annoying since I don’t want to wear a watch I find it uncomfortable, expensive and in the way  Zip needs a less expensive model. Some of the models have so many things I don’t care about  Also the app used to clearly tell you what times you were getting exercise now it’s kind of a loose, vague timing. I found it useful when I got up a number of times in the middle of the night and lost a lot of sleep   

Older review below. 
The zip is difficult to see when it’s on you as part of her work and it doesn’t link up efficiently with your phone sometimes there’s a big delay sometimes it doesn’t check in then you have to go sync it. I liked the one that looked just like a little gem, No it’s synced up efficiently you couldn’t really read it and excepted lights which I never could remember which light meant which and it wasn’t specific. Otherwise it works and it makes you do exercise which is its purpose.",4,False,Techie 1111,Useful,Fitbit Health Fitness
2023-04-28 04:47:27,,"Honestly I love Fitbit and have since I was in college. It was recommended to us by a professor of mine in the athletics department and I adore it. I am a volleyball player and I always have my Fitbit on. The app has been a tremendous help through the years and actually helped save my life twice when my heart rate was notably out of control and though I had been feeling very sick, it wasn’t until I saw that that I told my husband to get me to the hospital. Saved me from going into septic shock so that was cool. The app has also helped me with tracking calories, weight goals, periods, fertility, sleep, and more. The app actually helped us get pregnant with our first child (I have PCOS and was having a difficult time but the app really helped me figure out timing and consult a physician about the trends). What I’m saying is, I would recommend the Fitbit app and best Fitbit watches over pretty much every other product I have seen that is similar. Yes, even the A***e Watch and whatever new thing G****e has come out with. Best bang for your buck and there are a lot of apps that link up with the Fitbit app (and products) to improve your experience and help you meet your goals. I’m not paid by Fitbit to say this stuff but hey, if you’re out there reading this Fitbit, I’m just saying that I wouldn’t be sad about a job offer (jk. Mostly. Maybe.) Thanks for coming to my Ted talk",5,False,Thea Greek,Easy biometrics at your fingertips,Fitbit Health Fitness
2018-10-26 05:10:31,"{'id': 5614068, 'body': ""Hi there,\n\n \n\nWe're sorry for the inconvenience. \n\n \n\nFor us to help get your Flex 2 syncing again, please give these sync troubleshooting steps a try: https://help.fitbit.com/articles/en_US/Help_article/1866. If it's a no go, get in touch with us at contact.fitbit.com. We'll be more than happy to take a closer look. \n\n \n\nBest,\n\nFitbit Support"", 'modified': '2018-10-22T20:15:53Z'}","Previous comments earning the app 3 stars a week ago: First time that the app has failed in over a year. So averaged out the number of stars to give it— with this week being 1 star and rest of year is 5. Since the latest update my Flex 2 wont sync. Ironic timing since I actually managed to finally do some serious exercising every day this week. I think the tracker is still storing data since I’m still getting silent alarms and notifications when wearing it. I hope it’s storing everything til bugs are fixed. Please!

Update with 5 stars to go with it:  I was so surprised that the developers responded to the problem I posted about syncing, and for that alone, I’d give the app 5 stars for customer service. But better yet, the FitBit help page that they directed me to had the solution. It was at end of webpage after a long list of things to try, most of which everyone probably does. At the end of the “try this” suggestions, the one about how to reset the actual tracker did the trick. I never knew there was a little button on the charger itself for this purpose. Anyways, my Flex 2 tracker miraculously synced after I reset it, and it had stored a full week of data, exercise, sleep patterns, etc, which appeared happily in the app.   The developer’s reply to my initial review has the link to follow for how-to. Thanks so much for being repsonsive!",5,True,noaccountname,So much for bug fixes.... and they were fixed!,Fitbit Health Fitness
2023-09-30 01:49:08,,"Very disappointed with the UI changes. The colors and icons are no longer vibrant and fun, they are desaturated and blend together. Since the different information all looks to be nearly the same color now, it’s not as quick or easy to scroll through and check different metrics at a glance like I could do before. Some info has been completely removed, like the remaining battery life on my device, or the predicted total number of calories left for the day that used to be visible on the main page. And the new graphics feel excessively large, while the important aspects of them (like the icon to show you’ve reached your goal in a category) are humorously miniature in comparison. Not only that, but chronic bugs remain unfixed and unaddressed, like how the app freezes when trying to open the barcode scanner to enter a food item of that is the first thing you try to do after opening the app; or how, when viewing the “zone minutes” section, if you have logged exercise for the day, the heart rate data shows an artifactual massive spike in heart rate around 12-1am (and this spike only generates/appears after exercise has been logged, and is only shown in that section of the app- there is no corresponding HR spike when viewing the general heart rate data). I love the idea of fitbit but with each new change, many of which have been downgrades/removal of features lately, it feels less and less like the fitness tracker that I used to love.",2,False,Decompression,Disappointed with new UI; Bugs remain unaddressed,Fitbit Health Fitness
2022-07-26 22:35:20,,"In 2013, I bought a Zip and used it to track steps, which encouraged me to improve and increase my activity, culminating in an 8K walk/run in September 2013. I had been using different apps for diet and, although I was maintaining weight, I wasn't losing. In May 2014, I decided to put all my activity and diet into one program. I compared a few and ended up with the Fitbit program. By September 2014, I had lost 20 pounds. A miracle as far as I'm concerrned after so many years of trying. Most important, I feel healthier. I recently changed to the Fitbit One as a tool for my next goal....the next 10 pounds and to help me with my sleep cycle, which I have found to be amazing. The best thing out of all of this is that all the tools are together, complete with trends, journal, archives, and incentives. I have read some of the other reviews and find that one-dimensional observations of a multi-dimensional program lack the information and experience needed to be fair. If you buy a product knowing that it does not link with an app you are using, why buy it? Because the product, even as a stand alone, is good. In any program, the key is the user, whether the product integrates with an app or not. So, I have stated on the Facebook page that I am happy with the product and program and I reiterate that here. Fitbit rocks!!! Thank you!!!",5,False,Maggie's Shuffle,Fitbit program,Fitbit Health Fitness
2022-03-19 12:56:02,,"This app is useful. It tracks water, food, steps, zone minutes, miles walked, and it has so many other cool features. One of my favorite things to do on the app is track sleep. It worked fine at first. It was accurate. However, now it's not becoming accurate. This week, it's said I got: Three hours and four minutes, three hours and fifty-three minutes, three hours and thirteen minutes, and today it's saying I got four hours and three minutes. Yesterday, I went to bed at 11:04 and woke up at 5:37, yet it said I got three hours and thirteen minutes of sleep. I'm pretty sure that is more than 6.5 hours of sleep. It's frustrating. It's happened four times this week. I'm not doing anything different than I used to. I wear it to sleep and I make sure it's not too loose or tight. I wake up, check the Fitbit app, and it's saying I didn't get a good night's sleep at all. I talked to my father about it (who also has a Fitbit), and he said the app glitches sometimes. My mother has a Fitbit as well, but as of recently, it's not been glitching for either of them. I am not doing anything different from them. I don't know if it was because of a new update or something, since it never happened before this week. Please fix, this app is so useful for calculating sleep and I want it to do it right.",5,False,cakelover418,Great except for one thing...,Fitbit Health Fitness
2019-05-22 20:42:11,"{'id': 8823777, 'body': 'Hello there,\n\n \n\nWe appreciate you for taking the time in sharing your thoughts and feedback as well as showing how we can help improve our clock face feature.\n\n \n\nThe best way to go about it is through our community page: https://community.fitbit.com/t5/Feature-Suggestions/idb-p/features. Let our Product team hear from you about how we can get this to you.\n\n \n\nIf you have further questions, please reach us at contact.fitbit.com.\n\n \n\nRegards,\n\nFitbit Support', 'modified': '2019-05-23T18:48:55Z'}","I love my FitBit Versa and the FitBit app, but my one complaint would be the overwhelming number of clock faces to choose from and no real way to filter through them. The categories are broken down to only a few, at most, and the search feature isn’t really all that reliable for what you’re truly trying to search for. For example, when searching for “beach” it only shows a few options, but IF you have a large amount of free time to search through the extensive library one by one, you happen to come across several more while browsing. Maybe having a “tag” feature for clock face developers to add search keywords would be nice. It would also be nice if there was a feature to filter clock faces by which ones are free from those that you have to buy.

I’m also not fond of the calorie link option that FitBit incorporates with the MyFitnessPal app. It would be nice for a setting to be provided to select whether you only want workout calories that you’ve burned to automatically link to your MyFitnessPal app versus your overall calorie burn for the day. I’m one who only likes to log my calorie burn for workouts and not the entire day. 

Those are overall my only two complaints. For the most part, the FitBit app is great, with the exception of these couple of things, but I’ve also only owned my Versa for less than a week, so I’m still exploring the app.",4,False,Mssmith0516,"FitBit app is pretty good, minus some frustrations",Fitbit Health Fitness
2022-10-09 20:41:54,,"I was able to improve my health with FitBit. With the SLEEP feature, I could check if my sleep was fitful or peaceful. That helped me adjust my habits to go to bed sooner, develop a quiet time, reading/listening to music, and to not have a heavy meal right before bed. I kept up with my exercise needs and intensity by monitoring the type of exercise and length ing my workouts. It helps that Fit bit is waterproof because I like water aerobics. The  FitBit also accounts for numerous of steps walked per day. Many people aspire to 10,000 steps per day but as a 75 year old sedentary woman who was overweight and hated exercise, I chose to start at 3,000 steps. Of course, that goal could be raised, but I pretty much stayed at that goal. Through diet and better choices in food, activities, and better sleep hygiene, I was able to go from 338 pounds down to 206, my goal for my tall, large framed body. I’ve managed to keep my weight within 206 and 211 for over a year. This success is attributed to my acceptance of the understanding that calories in equals exercise out. It is NOT easy but I am glad I did. Good luck to you and you might like to try a FitBit to help your progress. And no, FitBit did not compensate me or even know about me until I press the send button. This device worked for me and I hope it can work for you.",5,False,footework,A Perfect Tool,Fitbit Health Fitness
