date,review,rating,isEdited,title,userName,developerResponse,App_Name
2022-04-14 05:02:59,I downloaded this app a few hours ago logged in with my Apple ID & continued to use the app a few hours later I got a notification saying that someone is trying to login my Apple ID now look I’m not sure if this apps security system is weak but it’s a big coincidence that a few hours after I sign in this app with my Apple ID I see someone in a different country trying to log in… good thing I have 2 step verification set up just a heads up to anyone who plans to use this app !,5,False,APPLE ID LOGIN,beisb38838dbje,,InPulse Heart Rate Monitor
2023-09-17 09:06:56,"So, I saw an ad on a social media app (the one that has the name relating to a clock), and saw an ad for an app that can measure my blood oxygen level, and my heart rate. I knew that this made no sense, but I wanted to check out how bogus it was. Of course, it immediately needed payment info, hoping I would forget about in when the free trial ran out. And just because I wanted to see how accurate it was, I measured my BPM (it said 26, I’m at 90), then I tried a bag of chips, and it read 123, and said I had “low energy levels”, after these tests it wanted access to my health app (never allow applications like this have access to you info, their selling it). I can also see that the creators are obviously botting their reviews, and deleting real ones. Also, their little ad campaign of “this app is saving thousands of lives a year” is so scummy. Whoever made this app is honestly an awful person. Sure, we all need to get some cash, even if it may be in a morally questionable way, but this is just overkill. Boring reviews, pushing lies in your ads, and taking advantage of people who aren’t tech savvy, and immediately asking for payment info (which I haven’t actually found a way to cancel payment)",1,False,"Wild false advertising, and unscientific",Mollusk3087,"{'id': 39339412, 'body': ""Hello! We're sorry to hear about your concerns and want to assure you that we take user feedback seriously and are committed to providing a positive experience for our users. Firstly, regarding privacy concerns, we do not sell or use users' information outside of the app itself. We understand the importance of user privacy and adhere to strict guidelines to protect it. Secondly, while we offer a subscription with additional features, our app can be used for free with certain limitations. We do promote the subscription within the app, but it's not mandatory to enjoy the basic functionalities. In terms of reviews, it's important to note that developers do not have the authority to delete reviews unilaterally. Apple strictly regulates the reviews section, and any deletion or modification requires confirmation from Apple. We encourage honest and constructive feedback, and we're always working to address concerns and improve the app. If you are having trouble canceling your subscription, I recommend reaching out to our support team for assistance at support@aiby.com. They can guide you through the cancellation process and ensure that your subscription is canceled as per your request."", 'modified': '2023-10-05T12:41:32Z'}",InPulse Heart Rate Monitor
2023-10-21 04:45:54,"i’ve been using this app for a while, and i was perfectly fine with the restrictions that came with not paying for premium, i had the necessary info for my own health. today i go to do my night check of my pulse, as i’ve been using this app to track important info while i try to work on getting appointments for important diagnosis, but suddenly, all this basic but super important info that i’ve been tracking aside from just my heart rate is locked behind a pay wall that i can’t afford. important notes that i was going to show my doctor completely blocked off. no warning either, had i any warning i could’ve at least gotten screenshots of what i’d tracked before it went behind a paywall. don’t get this to track your heart’s health unless you have spare money to throw around, if you’re trying to keep track of your health for cheap, this isn’t a good option anymore.",1,False,Disappointed.,spiderhex,"{'id': 39680689, 'body': 'Hello! We appreciate you taking the time to write a review for us. Please get in touch with us at support@aiby.com so that we can investigate and find a solution to this problem. Your needs will be better met by our support team.\n', 'modified': '2023-10-23T10:56:59Z'}",InPulse Heart Rate Monitor
2023-10-25 01:36:36,"Misleading advertising and fake features — a combination for a sleek-looking cash grab that takes advantage of those wanting information vital for maintaining their health. Firstly, absolutely does not measure your blood pressure. Any app available for your phone without the proper equipment to compliment it is quite physically impossible. Advertisements ran for this app literally say it is able to measure blood pressure, making it both completely incorrect and misleading. Secondly, the app DOES offer a feature to measure your pulse… however, it’s not only inaccurate, but it seems the number is pulled from thin air. Somehow the app is able to “read” the exact same pulse rate by both following the directions or by placing the camera literally anywhere else on your body (or even just hovering your finger over the camera without actually even touching it). Do not waste your time, storage, or money on this.",1,False,InFake,Loughdough,"{'id': 39757247, 'body': 'Hello! You are correct that our app does not directly measure blood pressure. Instead, it provides tools and features for users to manually input and track their blood pressure readings, helping them monitor their health over time. Please note that we have never advertised our app as capable of directly measuring blood pressure in the first place. Our advertisements specify that our app can monitor blood pressure. In regards of the pulse measurements, kindly note that our app is based on contact photoplethysmography. You may find this information in the FAQ section of the application. The algorithm detects variations of light absorption caused by arterial blood-volume pulsations. However, this method may result in inaccurate readings if you try to measure the light on non-living objects. Just drop us an email at support@aiby.com if you require any assistance. We will be happy to help you.', 'modified': '2023-10-26T13:41:12Z'}",InPulse Heart Rate Monitor
2023-08-13 18:16:48,"This app DOES NOT monitor blood pressure directly. My wife’s first language is not English and she purchased this app that says “monitors blood pressure” to…well, to monitor her blood pressure! So, in this instance, it depends on the meaning of the word ‘monitor.’ For this type of monitor, you could simply take your blood pressure and write it down in a notebook as opposed to being scammed into a $40 recurring subscription. I see in other reviews how the developer responds by saying “we’ll review the language in our description… blah blah blah” when they could simply post a disclaimer (as many similar apps do) stating: this app does not read blood pressure directly. Period. If you do mistakenly purchase this app, you need to go to your subscriptions and immediately cancel it, otherwise next year will roll around and you’ll be scammed once again.",1,False,BUYER BEWARE!,Outraged631,"{'id': 38665734, 'body': ""Hello! You are correct that our app does not directly measure blood pressure. Instead, it provides tools and features for users to manually input and track their blood pressure readings, helping them monitor their health over time. While using a simple notebook is certainly an option, our app provides a wide range of additional features and benefits. We'll concern adding a disclaimer, though note that we never advertise that our app can measure the blood pressure in the first place."", 'modified': '2023-09-01T14:15:56Z'}",InPulse Heart Rate Monitor
2023-04-13 20:29:17,"The app states that it ""monitors"" your blood pressure. Which is a purposely vague statement. The app doesn't monitor your blood pressure. You may measure your own blood pressure physically (via a machine, a clinic, etc). Then you may choose to enter your data manually (which is error prone, but that's beside the point). Maybe the app tells you if the data is high or low or something? But that hardly constitutes ""monitoring"" in my book.  
 
Maybe I'm a sucker because obviously how can an app measure pressure. But I was impressed with the heart rate measuring feature and thought maybe there's some way to estimate it.
 
Devs: use the words ""allows you to track/journal/log your blood pressure"" instead. Until then, 1 star, false advertising. Apple should reject them from the App Store.",1,False,Does not actually monitor blood pressure,j1mmie,"{'id': 36351396, 'body': 'Hello! Thank you for sharing your feedback. We apologize for any confusion caused by the wording in our app description. The app does not measure blood pressure directly as it requires specialized equipment. However, it does allow users to log and track their blood pressure readings manually, which can be helpful for monitoring and managing their health over time. We will take your comments into consideration and work on improving the wording in our app description to make it more accurate and clear. Thank you for your input.', 'modified': '2023-05-05T13:57:58Z'}",InPulse Heart Rate Monitor
2023-05-26 08:11:44,"literally at first i was like “oh cool an app that can actually help me with my crippled self” and i thought it actually worked you know? cuz i’d be inside and my heart would be like 77 or something, then i’d go outside and run, and it would be way higher. so i was like “woah it must be real if it knows my heart is beating faster.” well i started experimenting more with the app, and my heart rate was completely normal, and it said i was at 150 SOMETHING. I was like “what” so i got a red blanket and put my phone camera against it, and IT ACTUALLY STARTED MEASURING THE BLANKET SAYING IT WAS AT AN 86. LIKE IS IT JUST THROWING NUMBERS UP THERE WHEN IT SEES RED?! I WOULD ALSO BE LIKE EXTREMELY TIRED AND IT SOULD SAY FULL ENERGY BUT YOUR HEART IS OVERWORKED. LIKE WHAT?! 

Don’t waste your time or money with this. Literally making people pay for a dumb app that false advertises. it’s not worth it.",1,False,FALSE ADVERTISEMENT.,bre<3❤️,"{'id': 36960578, 'body': 'Hello! Thank you for taking the time to leave us a review. Kindly note that our app is based on contact photoplethysmography. You may find this information in the FAQ section of the application. The algorithm detects variations of light absorption caused by arterial blood-volume pulsations. However, this method may result in inaccurate readings if you try to measure the light on non-living objects. Just drop us an email at support@aiby.com if you require any assistance. We will be happy to help you.', 'modified': '2023-06-06T15:00:24Z'}",InPulse Heart Rate Monitor
2020-08-20 03:23:04,"My grandmother has AFIB(an underlying heart condition) and I was going to test out this app to see if it worked so she could check her heart rate on-the-go, but unfortunately after sitting there for a few minutes I came to the conclusion that this app does not work. I never got an end result and the entire time I was sitting still the numbers fluctuated from 68 BPM up to around 93 BPM. I know that I do not have any underlying heart conditions, therefore the fact that this fluctuated nearly 30BPM in a matter of seconds multiple times told me this app was a misleading waste of time. The developers of this app should be ashamed of themselves for not only making people pay an ungodly amount of money for a subscription to keep up with their heart rate on an app that doesn’t even work. This should be a for if entrapment and thievery!! ABSURD",1,False,Absolute TRASH,iTheTodd,,InPulse Heart Rate Monitor
2023-06-16 10:37:32,"They claim to be a heart rate and blood pressure monitor, but it doesn’t check blood pressure…it only records like a journal after you input the information. That isn’t a “monitor”. I cancelled app within 24 hours and asked Inpulse for a refund, they told me to contact Apple, which I did to no avail so I appealed their decision and appeal was denied because I didn’t have a “valid “ reason. So scrutinize every word but most importantly read ALL the reviews before you purchase an app because you evidently don’t get your money back even if app doesn’t do what they advertised. Ad also stated just a small amount per month, but they charged the entire year up front. So for using it once and discovering it wasn’t what it said I paid $44. Thanks Inpulse and Apple.",1,False,Beware! Misleading advertising.,Donnan1313,"{'id': 37274299, 'body': ""Hello! We apologize for any confusion or frustration you experienced with our app. We are sorry that the description may have led to some misunderstanding about the functionality of the blood pressure monitoring feature. Regarding the refund, as app developers, we do not have direct control over refund requests, and they are typically handled by the respective app store (in this case, Apple). We appreciate your feedback and will take it into consideration to improve the app's description and clarity."", 'modified': '2023-06-22T14:58:17Z'}",InPulse Heart Rate Monitor
2023-05-19 03:43:21,I’m very impressed with this app I didn’t even think it could be done. But I even test it out myself by feeling my own pulse and putting a 1 minute timer and it’s very accurate. I will say idk how much the phone affects it I have an iPhone 14pro max so this app for that phone works really well. If that’s not your experience then it could be the phone but I hope that it’s good on all phones. Great app for tracking heart rate on the go,5,False,Actually tells heart rate!,listen 123456,"{'id': 36961020, 'body': ""Hello! Thanks for the awesome review! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.  If there is anything we can do for you, don't hesitate to reach out to us at  support@aiby.com"", 'modified': '2023-06-06T15:22:03Z'}",InPulse Heart Rate Monitor
