date,developerResponse,review,rating,isEdited,userName,title,App_Name
2022-12-07 11:57:20,"{'id': 33332248, 'body': ""Sorry to hear of the trouble! Please send us an email via reviews@loseit.zendesk.com so we can look into what’s going on here. The more detail you can provide about what exactly you are experiencing (including screenshots if that helps demonstrate the problem), the quicker we'll be able to troubleshoot!"", 'modified': '2022-11-23T16:17:17Z'}","First, I will say that this app is really wonderful. I started using it about 10 years ago and it helped me lose about 40 pounds in the first year. It just made me very conscious of what I ate, in part with just keeping track of it by entering it, and in part, it was helping me understand where all the calories came from. It was actually very easy to lose the weight by knowing what piled on calories, and what I could fill up on without worrying. I got to my goal, and I have kept at that stable weight for the past nine years and I think it’s great. And my eating is much healthier in addition to being at a good weight. The second thing is that the technical support is great. The app was very easy to use, but over the last few months, it became very sluggish and frustrating. I didn’t think to actually reach out to customer support but instead I wrote a review with only two stars instead of 5 that I’d previously rated it, complaining about it. Well, technical support reached out to me and asked for some information, and then they just made a suggestion - that I make sure all my data was backed up online, which it was without doing anything, and then delete and reinstall the app. I did that, and it completely fixed the problem. I don’t think I’ve ever had an app technical service person reach out to me proactively from a review, start a dialogue, and then give me a solution to fix the problem. Kudos to you guys!",5,True,Sockmunki,"Fantastic app, and great support!",Lose It Calorie Counter
2023-02-04 17:57:30,,"Weight loss is a personal journey. Everyone does it for their own reasons. Whenever I get to a point where I don’t  like the way I fit into clothes or the way I look in the mirror, I know I can go to LoseIt!, start tracking, and achieve my goals.  Every time I use this app I end up eating less and I’m way more conscious of my food choices, which end up being much healthier. Even my skeptical trainer says the app is good. I paid for the premium this time around so I can track my protein and cholesterol/saturated fat. My only wish is that I could track grams of calcium in food since I have osteoporosis. My only criticism is that sometimes the portions aren’t correct even when scanned(bag of Trader Joe’s beef jerky is not 90 cal, it’s 360cal), and it’s much better to weigh or measure your food and use that number as portion size than the number of something in a serving (13 shrimp weigh more than the serving size in grams - 10 shrimp was the actual number corresponding to the 85 grams for the serving).  It’s important to compare the portion size to the actual size (that corresponds to the calories listed in the serving on package and LoseIt!), and be honest with yourself about portion size if you want this to work. This is true in all weight loss apps. Overall, I love this app and the data provided gives me exactly what i need to keep motivated. I am sure that LoseIt! will be with me for a long time!",5,False,Mochamoo2,It’s the one that works for me!,Lose It Calorie Counter
2019-03-31 00:11:38,,"I’ve been using Lose It! for about 3 weeks now and have already lost about 6 pounds. The idea of just having to scan a barcode is super easy and it’s hard to forget to log your meal because you always gotta eat! Plus, being a student on the go all of the time and having sports makes it difficult to actually use workout apps but this app is so simple and easy to use. And, if you’re in a hurry and couldn’t log a meal the day before you can always go back and edit your past days if you left something out and it will still process the info. One thing to be careful of however is not eating. There was one time where I knew I was going out and knew I was going to be over my calories and was tempted to skip breakfast but skipping meals is not a good thing to do!!! It’s okay to be over your calorie budget a little, never feel inclined to always meet the goal. Having this app made me realize what I was putting into my body(I have the free version but it still displays macros which is super helpful.) This app combined with the app ActivityTracker is the perfect duo! Enter in the distance you walked at the end of the day from ActivityTracker on Lose It! and you’ll get calories added onto your calorie budget! I DEFINITELY recommend this app as I recommend it to all of my friends and anyone I know who is looking to lose weight and I hope you become as satisfied with Lose It! as I am! :)",5,False,Jei G,Great!!!,Lose It Calorie Counter
2020-09-14 13:13:59,,"I've struggled with weight issues for my entire life. Even though other popular fitness apps like ""YourExerciseBuddy"" get the limelight, Lose It! just works without all of the hype and corporate sponsorships. I actually enjoy using this because it is easy to tracks calories, macros, and meals. The food database is deep and the ability to scan barcodes is wonderfully helpful. Shared meals and recipes from other users help to fill in gaps as well. It also syncs easily with my Apple Watch and Health kit to incorporate workouts and data. 

If I had to choose anything to critique it would be this: (1) When searching for food or restaurants in the database, you have to repeat the search term each and every time you make a selection. This is a pain when adding multiple items from one place like Panera Bread or Jimmy John's. I end up copying and pasting the term but saving the previous search would be most helpful. And (2) having the ability to edit the time and date that one enters their blood sugar would be nice. I often check my sugars throughout the day but can't input my numbers into the app until later and it is creating a false timeline of data. 

Other than those two (small) things, I love this app and give it full marks of support and total recommendation. The weight that I've lost and the muscle I've gained is proof that this works.",5,False,Abd4253,"Simple, easy to use, and effective.",Lose It Calorie Counter
2022-06-27 17:01:26,,"Newest Review as of Monday, June 27, 2022:

Okay so as you can see in my old review LoseIt was a really good app that just needed some minor adjustments.. But now? It has since become the new hangout spot for underage kids asking adults how to starve themselves. I used to love interacting in the groups but now it seems like every other post is filled with an underage teen ranting about how they just binged & tried to make themselves throw up. I thought this app was for 18+..? It truly is a drag to be in groups now. These days I just log my food & weight then close the app. This is truly the new hangout spot for underage kids with eating disorders.

My old Review: I’ve lost 38+ pounds since using the Lose It App! I love everything about this app although I do have a few suggestions I’m hoping the developers will take into consideration. 1. Expand the food data base. 2. For the “Recipes” category, you should be able to create folders so you can organize your recipes. (Ex: You can create a folder for breakfast recipes, lunch, dinner, etc) That would really take creating recipes to the next level. 3. Under “My Food”, you should be able to add different foods. I wanted to add Wyman’s Just Fruit to my food catalog but there was no option to. 4. When creating recipes, there should be an option to move your added ingredients into any order you want. Get those changes going and my rating will be a 5 star!",4,False,SundayaMartin04,From Amazing to New ED Hangout?,Lose It Calorie Counter
2019-07-09 10:57:14,,"After my second child my weight just stayed. I was told by my OB that at my sons one year birthday the weight that you have then tends to become your new average. My son was six months old and my weight was not budging, I knew I had to do something but didn’t know how or have the energy to do something complicated. 
I found out about loose it through reading a blog about calorie deficiency. I knew this seemed like the most logical & healthy way to loose weight and start a better lifestyle but the idea of tracking everything was off putting and seemed to hard. This app (I’m using the free version) is amazing! I’m down approx 3lbs in a week and a half and I’m not hungry. I’m not eating in a way that is not sustainable and the tracker makes it so easy to log and to see what is cased my day to be a success or a failure. I might also add that I started the week of vacation over 4th of July & I still saw success even with going over a few days. Because the tracker makes you aware of what you’re eating even when you “cheat” you’re aware of when and by how much. 
If you’re thinking about trying to loose weight & are not sure how to start I would highly recommend trying this app. It holds your hand, steps you through & links you to community for support.
Good luck to anyone starting- here’s to a healthy, happy lifestyle & leaving Fad diets in the dirt!",5,False,happyhealthymamaof2,So helpful & easy,Lose It Calorie Counter
2023-03-14 16:54:17,,I’ve been using this app on and off for years.  I love that I can put in my own recipes.  It’s great at basic calorie tracking and I paid for extra features this year so I can track carbs and other things.  Unfortunately it does not track added sugar.  It only tracks sugar as a whole.  So fine I have to keep track elsewhere by hand.  I can find another tracker next year.  But where my frustration comes is from selecting food.  Let’s say I eat 1/4 cup of granola.  I ate it hours ago and want to quickly add it.  I find my granola but my choices are all grams.  I don’t know off hand and don’t want to try and do a bunch of conversions at work.  So I look for my granola in cups.  I scroll through 10 possibilities and then notice they all have different calorie counts for the same amount and supposedly the same item.  I select my granola finally thinking I should have the right item and calories count but wow those carbs look extra high.  I have to double check the product or find it online.  Things I don’t always have time to do. And then I discover the calories are correct but the carbs are wrong.  So I end up creating my own food.  This has become a constant issue and I double check everything.  This was not an issue when I first started with loose it.  But I have noticed you can upload your item for everyone.  The database is too convoluted and no one appears to be checking what people upload.,3,False,luem,"Was happy, now not so much",Lose It Calorie Counter
2021-12-19 15:17:26,,"I hardly ever write reviews; even for apps that I really like. But I just had to make an exception here 😌. This app is by far, the most complete, accurate, intuitive, and consistent app out there for tracking, er well, let’s see… JUST ABOUT EVERYTHING!!! I really did not want to have to install 50,000 different apps; “good” ones, but while they may be good at what they do, they do not do everything that I need them to do, therefore, I had to toggle back and forth between apps just to log what I needed to track 😩. One of the best features (and there are many)  is the smart food scanner. With it, I can not only barcode scan, but scan the nutrition label and it will read/ copy the label info into the app! When I’m done logging my meal(s), I can even document a picture of what I ate. Couple of other cool features: it has a water-intake tracker, it has a place for special notes, it speaks to my smartwatch, there’s a place to log VARIOUS types of exercises; the list goes on and on. And while this might seem like it would be visually overwhelming, it’s not! The layout and the ease of use are amazing! 🙌🏽🙌🏽🙌🏽 Listen, I swear I don’t work for these people 😂 and I don’t know a soul that does, but folks I’m telling you I’ve been using this app for almost a year and it has been consistently on point! 💜👍🏽😊",5,False,G-gal ,This IS truly the one!,Lose It Calorie Counter
2022-11-11 05:32:01,,"I really think you need to reconsider the new ads you’ve added in. I have been using this app since at least 2012 and what I tend to do it pay for the premium and then after it runs out, the next time I have extra cash I pay for another year. But the great thing about this app is that the free version is still completely functional so I was ok going without premium for a few months at a time. Having ads in a free version is totally understandable but there is a huge difference between banner ads and the new, usually unskippable ads that you’ve added in and it completely breaks this app in my mind. It might be tolerable if you had different subscription options aside from just one yearly cost all at one time. For a lot of people it’s easier to have lower monthly fees than one big yearly fee. 

Apps that use ads like what you’ve added are usually an INSTANT delete for me but because I’ve been with this app for SO long and love it so much I really don’t want to delete it. However, having this specific type of ads in also makes me never want to pay for premium again and just find another app to use out of spite. This type of intrusive ad says we really don’t care about providing our customers with a quality product anymore, we’re just going use them to make us more money with every ad that gets accidentally clicked while someone is trying to make it go away. This app would be 5 stars from me without this new addition.",2,False,TashieMarie,I (normally) love this app,Lose It Calorie Counter
2018-01-18 19:16:21,,"Best app I ever used for steady weight loss!!!... it’s very encouraging to see that even when I feel like I dropped the ball and had a bad day, as far as having eaten to much, that the app doesn’t give up on me but rather motivates me to keep going and not give up on myself! This App TRULY gives me hope and a practical game plan daily. It divides my calories up per meal (4 meals) and suggest the allotted calories it recommends.... and hey! I know this thing is just an app/calculator but if you let it it can be so much more. Lastly, this app Allows you to take pics of your food daily/each meal, scan bar codes (way easier logging on the run and jetting out the door!). It’s not crazy complicated either. I love it! Honestly, when I can afford premium I am all about it!!! It teases you a bit and gives you examples of premium App privileges but it’s not to pushy either. From what I can see, premium offers dietitian planned meal plans, recipes, GROCERY LISTS & SUGGESTIONS ON WHERE TO SHOP!!! (Yes!!!... so much easier while raising a family) Ok, so enough said! This app speaks for itself. Try it! Work It! Love it! & Lose it! P.S. if I created this App I would have called it My Body Accountant or My Personal Body Life Coach! or how about My Bestie? 😄 (seri doesn’t hold a candle to this app) ....That is how good it is! 👍🏻😊🍇🥂Cheers!!!...all ya happy Losers out there 😜 (lol)",5,False,ebear37,WoW! I am a happy Loser! Are You?,Lose It Calorie Counter
