date,developerResponse,review,rating,isEdited,title,userName,App_Name
2023-10-18 14:46:34,"{'id': 39868100, 'body': 'Hi, we appreciate your positive feedback. If you have any ideas, please feel free to contact us at support@meplus.zendesk.com. :) \n', 'modified': '2023-11-01T10:41:18Z'}","I just downloaded this app and overall I see some great reviews and a few tweaks that people have recommended. I love that the developer is responding and working on resolutions. But 1  thing that is irritating to me is the complaints about the cost. I'm not sure if you all realize that there is alot of time and effort by people behind the scenes that make this app even  possible. They deserve to get paid for their work which includes ongoing updates and changes to the app.. This is their job!  A lot of you feel like because it's a wellness app it should be free? What?! Do you know how much it would cost to go to a therapist that can also provide you tools to use? It's baffling that people want the developers to run this app for free because it's a ""wellness app"" but you buy starbucks and order doordash, and pay for tv apps, concert tickets and other unnecessary things but complain a app that averages out to be $3.33 a month for something that actually helps you. Just think about that for a second.",5,False,Grow up people,Takeshac,Me Daily Routine Planner
2023-09-10 17:03:53,"{'id': 39577291, 'body': ""Thank you for your feedback! We greatly appreciate your input. Rest assured, our team is already working diligently to address this issue, and you can expect it to be resolved in an upcoming version. Your support means a lot to us, and we're committed to providing you with the best experience possible. If you have any more suggestions or encounter any other issues, please feel free to let us know. We're here to help!"", 'modified': '2023-10-18T01:53:49Z'}","This app is really great. It’s super organized, color coded, pleasing to to the eyes, and motivating. But there are two things that I really want to be fixed. First, every habit I create shows up under “any time of the day”, and since it specifically says that, I assumed that I could change it to “morning”, “afternoon”, “night”, etc. But when I pressed “edit” on any habit, there’s nowhere for me to change that. So then I looked up a tutorial on how to change that in this app, and on the tutorial person’s screen, there was clearly a section where they could change it to “morning, “afternoon”, or “night”. And in the comments there were a lot of people who couldn’t figure out how to change this either. I would love to be able to put a time of day on my habits! It would just make it easier to complete them, so please fix this because I don’t think I’m the only person who wants this to be fixed. Secondly, after I create a habit, it doesn’t show up. Some of the habits I create just take a second to show up, but some never did. I created the habit “homework” twice. I reloaded the app, I waited, and I created it again and it’s still not there. That’s more of a minor thing, but it’s still pretty significant. If you could change these things I would really appreciate it and it would make the app so much better. Thank you so much! Please fix these, mostly the first one!",4,False,PLEASE FIX THIS,unikittydude,Me Daily Routine Planner
2023-10-26 22:31:38,"{'id': 39868088, 'body': ""Thank you for your detailed feedback. Here's a concise response:\n\nWe understand your frustration with scheduling limitations and will work on making it more flexible for users.\n\nThe ability to choose specific dates for monthly tasks is a valuable suggestion, and we'll consider implementing it.\n\nWe'll explore options for easier checklist modification and cursor movement.\n\nAdding specific times for tasks is a great idea, and it would enhance the app's functionality.\n\nYour insights are highly appreciated and will guide us in making the app more user-friendly and efficient. Thank you for sharing your suggestions! 🙏"", 'modified': '2023-11-01T10:40:33Z'}","Overall the app is most of the time easy to use. But there are some annoyances 1. I was trying to set up tasks to be on Sundays. Then I realized I forgot something on my checklist or need to modify, I can’t. Today is Thursday and it blocks me and says to focus on today. Well I now have to wait for that day to modify that habit. 2. Choosing a month for setting up monthly tasks. If someone wants to put a task like change furnace filters or have a medical device that has to be changed on, let’s say, 3 month cycle. It is kind of the same problem as my comment above. If they just complete that task two weeks ago and it’s a every three months, it would be nice to pick the date the schedule needs to go off of. 3. Modifying the checklist. You misspell a word or need to correct typos within a sentence, you have to delete everything to get to the spot that needs corrected. It would be nice if we can move the cursor to that spot and also have the option to move them in a different order. 4. Someone mentioned, putting a specific time of day…. Yessss. That would be soo helpful because we can easily set up notifications to help the habit. I don’t think your price is unreasonable. If you do the math, it’s 3.33 a month. Cheaper than majority of the app subscriptions out there.",4,False,Great app but needs some tweaking,Npaverico,Me Daily Routine Planner
2023-07-05 23:10:12,"{'id': 37886269, 'body': 'Thank you for the feedback, we’ll take your suggestion into consideration, we are always looking for new ways to continue improving. Thanks again.', 'modified': '2023-07-25T09:06:16Z'}","Well, to begin, this app is a great app. I feel like it has helped an amazing amount of people. But, I feel as if there were some things that could’ve been added to reviews and other things such as details in the App Store and an app. First off, I would like to mention that the app age rating is 4+. First off I would really not recommend this for four year old. I also would not recommend this for any body younger than 13 just because if I had a child, I would not want my child to use an app and pay for some thing without me knowing. This but you just can’t trust younger children sometimes. Also, I feel like some of the prices are a little too high. 
People who are trying to get out of the depths of their despair, or lack of motivation, or anything else, sometimes they don’t have the money and that would just make me feel as if my capability to better myself all depends on if I can afford it if I didn’t have the money to use this app. Although, I understand that you are small business and that you’ll need the money. Even though I do not use this app anymore just because of the prices, that doesn’t mean this app isn’t well. The questions are very simple but also important and greatly affect how this app assists people in life. I hope this app can continue to help people, and help everybody live a better life.",3,False,Some few problems,Upset paying customer,Me Daily Routine Planner
2023-04-24 13:01:32,"{'id': 36651832, 'body': ""Hi! Thanks for your honest review. We're working on making the app better. Thank you for being a part of our community. If you have any questions, our support team is happy to help. :)"", 'modified': '2023-05-22T08:03:37Z'}","Unlike countless other planner apps out there you don’t have to pay to actually be able to use the app. You wont believe how happy it makes me that you don’t need a subscription to be able to plan out your life. I personally find it disgusting and discouraging that loads of other apps take advantage of the challenges neurodivergent people face when they are just trying to make their life a bit easier and more organized. This app offers so many capabilities without having to pay. You can make checklists under activities and events. It gives you suggestions of things to add to your schedule. Events/activities are very customizable. It has a list of routines to try from hot spring to-dos to work out and cleaning routines. You can set alarms, track your sleep, listen to soundscapes and meditations, and check broadcasts. Broadcasts includes a great overview of how you slept including percentages of when you woke up during the night and when you were in light sleep and deep sleep. It also has sound recordings of your night. Weather in your area and fun history facts. They also give out free or discounted membership opportunities. It’s honestly a great experience and I feel more confident and in control of my schedule than ever before!",4,False,Best App I’ve Downloaded-ADHD Win!,GoodAdhdVibes,Me Daily Routine Planner
2023-04-22 12:12:14,"{'id': 36123973, 'body': 'Hi BreBre_OfficiaI, we really understand your opinion. But as we’re a small developer, we currently rely on user support to help us improve quality and content. We’re doing our best to keep improving and adding new features, so we can earn that support. Thank you for your understanding. If you have further suggestions, please feel free to contact us at contact.alarmme@enerjoy.life.', 'modified': '2023-04-24T02:20:04Z'}","Don’t get me wrong when I was downloading this app I was super excited to finally get to be myself again instead of being stressed over school. What I was most excited for was finally being able to have a routined schedule and better sleep. When I got into the app and filled out the little intro quiz and then tried to add stuff to my calendar you need a subscription. I think it was kind of annoying because it’s $35 dollars a year which is a lot! There is then the sleep tracker which I used the first night I had the app and I was super excited to hear the noises and stuff in the morning and it makes you believe that you’ll be able to listen to them. I was very disappointed when I could not. The only thing I liked about the app was that I got to listen to rain when I was falling asleep otherwise I wish I could find another app like this that doesn’t need a subscription for every single feature on the app. Would be better if it were cheaper and to have it only be for some features not all of them and not the main ones like the calendar, sleep tracker, meditation, etc. because those are the main ones people use to try to better themselves and having to pay for that it’s outrageous.",3,False,Controversial app,BreBre_OfficiaI,Me Daily Routine Planner
2023-07-27 03:10:42,"{'id': 39577295, 'body': ""Thank you for your feedback! We greatly appreciate your input. Rest assured, our team is already working diligently to address this issue, and you can expect it to be resolved in an upcoming version. Your support means a lot to us, and we're committed to providing you with the best experience possible. If you have any more suggestions or encounter any other issues, please feel free to let us know. We're here to help!"", 'modified': '2023-10-18T01:54:12Z'}",This app is really helpful and I really like it but some thing that I would like is every time I want to go to the sleep thing and listen to like the songs that I make. It always says I have to pay for it and I would really like if it would be free so it’s easier to do and I don’t really like the fact that I can’t just listen to it and for some reason it just sounds weird why that should cost money other than that I think it’s a really good app but it would make me a lot more happy if it had that where are you don’t have to pay because even if it is not a lot of money I feel like for some people it is not fair because I know so many people that needs this app and it can help them but they can’t afford it and I all of them are like me and want to hear the sounds for fun and just to have and we all agree for something like that should not need a price and I also feel like people with ADHD and more but I say ADHD because I have it and people with it including me feel like it’s using people with these things because they either think they need to pay because it will help or they should pay because it will make them do better and half of these things make no sense why you need to pay for them,2,False,Love it it’s great but,key key kaia,Me Daily Routine Planner
2023-08-14 22:24:38,"{'id': 39577299, 'body': ""Thank you for your feedback! We greatly appreciate your input. Rest assured, our team is already working diligently to address this issue, and you can expect it to be resolved in an upcoming version. Your support means a lot to us, and we're committed to providing you with the best experience possible. If you have any more suggestions or encounter any other issues, please feel free to let us know. We're here to help!"", 'modified': '2023-10-18T01:54:26Z'}","ok - i LOVE this app. i find it straightforward, helpful, fun, and it has helped me SO much with my productivity, organization, and routine. i love everything about this app EXCEPT — i really don’t like the new feature where when you click on one of the items in the to-do list, it doesn’t just disappear like it used to. now, it flips over, shows some “motivational” or “inspirational” or clever little phrase for 2-3 seconds, then either flips back over and takes another 2-3 seconds to completely disappear or it disappears on the flip. i HATE this. i find it incredibly satisfying when i complete a task and can click on it and POOF! it’s gone. so satisfying. having to wait 4-6 seconds for some silly little phrase robs me of that experience, is irritating, and makes the app less enjoyable to use. i would have given this app 5 stars if it wasn’t for this annoying feature in the update.

Hopefully on the next update this goes away. i get that the attempt was to make the app more fun, and it’s a cute idea in theory, but this is not the way. keep it simple!!",4,False,dislike the new update,ADHD Kat,Me Daily Routine Planner
2023-07-15 21:28:12,"{'id': 37886256, 'body': ""Hi User! Thanks for your honest review. We're working on making the app better. Thank you for being a part of our community. If you have any questions, our support team is happy to help. :)"", 'modified': '2023-07-25T09:05:52Z'}","I have adhd and struggle with getting things done but this app helps so much. You can plan out your day or you can just make a list of things that you need to get done. It’s free, add free, and you can also pay only 1.70$ a month for premium wich is very affordable. You can also set goals like do this this this many times today and you can create your own step by step checklist. With my adhd I often can’t get things done because I can’t focus or because I don’t know where to start or I’ll get stressed by all the stuff I have to do but with this app I can just do things step by step, little by little. I I’ve had this app for not even two days but my mental health is already improving and I’m genuinely so much happier and more productive. So for anyone looking at the reviews seeing if they should get it or not, this app is a ten out of ten and you should definitely get it. Big thanks to the creators of this app for improving my lifestyle.",5,False,"Great app for adhd, ocd, add, ect.",broWHYALIMIT?!,Me Daily Routine Planner
2023-08-20 18:17:32,"{'id': 39577302, 'body': 'Hi there, thanks for the feedback! Sorry for any misunderstandings, you can manage and simply cancel your trial by going to your account settings on the App Store after purchase at any time. And you can get a refund through Apple support.  If you have any problems, please feel free to contact us at support@meplus.zendesk.com. Thanks!', 'modified': '2023-10-18T01:54:54Z'}","I wanna start off by saying this is a great app, but there are a few problems. First of all, it is extremely battery consuming. If you are at a low percentage while using the app your device will die extremely quickly. Now, this isn't a huge problem but it gets super annoying. Another thing, if you set a task for an upcoming day and make a mistake, you CANNOT change/delete it until the day comes. It's super irritating and i see it as a huge issue. I have deleted and redownloaded the app multiple times due to this just so i could change the task. Finally, I dislike how you can only set a goal on a task for one thing, confusing, i know, but let me explain. If I were to set a task on stretching, I can set a goal to do it twice a day, or 10 minutes a day etc. Which is a great feature in itself but  you could only choose one or the other. There have been multiple times where i wanted to do a task for 10 minutes, twice a day, but it was not possible! I love this app but these few things really get to me and i would love for these problems to be solved!! Thank you for reading 🩷",3,False,Great!! But...,S0meRandomPers0n,Me Daily Routine Planner
