date,review,rating,isEdited,userName,title,developerResponse,App_Name
2023-10-04 00:16:41,"So in times where I was feeling down or low in general, this app was very helpful. Sometimes I would look at it whenever I felt like I didn’t know what to do in a situation regarding my life, future, however you may call it….but I can say that this is a good app for anyone who may be drifting through motions of sadness, self-doubt etc. Now there are many quotes here in which I believe were gathered throughout history that many famous & influential people, personalities, individuals across all nationalities, religions etc. who were by societal norms successful and contributed in their own lives in a different manner to their personal circumstances and areas of focus. 

Regardless, they still rose above any obstacle that may have encountered in their path because we all need help regardless of how we may view ourselves at any moment. This is just my own personal opinion of what I believe is a very good approach for self care in this regard. Now that’s not to say that there are also many alternatives like books, community, human connection or other social interactions & hobbies to name few. But for those who may have trouble understanding how they might feel in relationships, life, where they may fit in this huge world, isolation along with loneliness and depression can swallow them up but I would like to say that I’m at least thankful for the support and encouragement. Thank you.",5,False,Donashello,A Thoughtful Outlook,,Motivation Daily quotes
2021-04-13 22:34:28,"Huge “Thanks” to the Devs for creating this app! I started out with just the free version to see how much I liked it - and even that was entirely sufficient! However, decided to go Premium when I saw all the additional perks that come along with it - and that I must say is EVEN MORE worth it!You can absolutely create this app and manage it two I help you in all sorts of facets of life the good the bad and sometimes the ugly. Plus, the ability to add teams and then change fonts and then share it with your friends and family membersEither via Facebook or other social media or through a text message, what a great thing to be able to share a positive message with someone. Or better yet what a great thing to be able to find some thing to say to someone when you just don’t have the words to say yourself, just buy clicking one topic in clicking the thousands of quotes available until you find exactly what you want to say!!Not to mention the fact that you can even add your own so if you have a favorite saying of yours that you want to pop up on your widget, then you can put it in the app and time it to come up whenever you want to becauseThey give you the ability to set reminders for clothes whether it be three times a day or minute to minute. This is an awesome app and so grateful for it each and every day. Thanks so much!!!!",5,False,ArtemisPlatinum,Absolutely Love This App!,"{'id': 22263686, 'body': 'We love to see this type of feedback, thank you for taking the time to leave us a review, it means a lot!\n', 'modified': '2021-04-15T14:01:12Z'}",Motivation Daily quotes
2020-06-28 10:15:49,"This app has helped me get through so many tough times, setting the reminder is a magnificent tool to help through stressful situations. Whenever I need encouragement to continue living my life and keep a positive mind set, the app throws the perfect quote for the situation in the perfect moment. The staff is wonderful and very compassionate. There isn’t a whole lot I would change about the app. There is one feature I would like to enhance a bit, maybe being able to set specific quotes for certain times during the day, to really drill the most effective quotes that are personal to me in at specific times daily, also being able to have the same variety of quotes notifying me daily too though. Thank you so much I highly recommend this app to anyone trying to be their best version. I love this app and I want the staff to know that they are appreciated as well. Thank you for changing my mindset for the greater good!! ❤️🤟🏻🙏🏻
 I typed the above message months ago somehow I didn’t post it, maybe I was fretting being so vulnerable, however it still applies in more ways now. This app is introspective guidance at its finest. Gratitude to this team and all that read this, may your life be full of peace and success of your own way of going. ✌🏻🤟🏻🤘🏻🙏🏻",5,True,panicpoised,Life Changing,"{'id': 11483972, 'body': ""That's great to hear!\xa0Thank you for your feedback, it means a lot to us. ❤️"", 'modified': '2019-10-26T16:36:43Z'}",Motivation Daily quotes
2020-01-03 16:53:41,"So, I got this app, and I was looking through it and everything. Then I notice that practically everything is locked. I press it to see how to unlock it, and you have to pay. Not for that singular one, but to do basically anything on the app at all, you have to pay either monthly or yearly. A decent amount of money, too. I don’t want to spend money on this app MONTHLY just to unlock quotes that I could easily just search up on google or something instead. There is a lifetime option, but thats nearly 50 dollars. WAY too much for something like this, I’ll say. Being already irritated about this, I then come back to the app store to write a review to find that in the pictures that describe the app, it does NOT say ANYTHING about everything being locked. In the picture, there is no lock symbols. Anywhere. It doesn’t warn you about anything. So basically I just spent a half hour only to find that you have to pay for everything.
      In conclusion, for people who like to save their money and not spend it monthly or yearly on an app like this, I suggest just search inspiring quotes up on google, pinterest, or any browser you have. Its easier, and a lot cheaper. Anyway, if the items in this app did not cost so much, it would be a fantastic app to use. Thank you for taking your time to read this, please consider at least lowering the prices or unlocking more options. Have a good day.",3,False,TBShimmerGirl,It would be awesome is everything wasn’t so expensive.,"{'id': 12723792, 'body': ""Hi there, \nI'm sorry you found the premium options too expensive. You can still use most of the features and read thousands of quotes for free, so I hope you will get some value from it. \nWe're constantly adding new free content and features, so stay tuned for next updates! \nPlease contact us at hello@motivation.app if you have any new feedback, we're always trying to improve."", 'modified': '2020-01-04T19:24:54Z'}",Motivation Daily quotes
2022-05-08 23:28:43,"I very rarely write reviews, for restaurants, apps, services, you name it. Even if it’s pretty good or pretty crappy, I’m just not one to take the time. Unless someone or something has gone way above and beyond to help me or that just blows me away. This app is one of those, originally searching for an app with quotes this one looks nice, simple, easy to look at yet some cool functional tools that don’t over complicate it so I downloaded it and tried the free trial with no intention of actually paying for it by the time it was app. I saw that it was $20 for the year and said no way for quotes? I could just Google them every day. Boy, just after the three days of the trial I would’ve been willing to pay $30. I’m not telling them to raise the price because I would not have paid 30 even then but at this point in time I would. I would love to discuss further opportunities for growth and development with the developers of this app if they’re interested. This app is more than worth the money, it helps me constantly throughout the day and it doesn’t bug are annoying me having notifications, I actually have a tail on my homepage of my iPad and that is perfect, no endless texts but new updates just wanted to hear them.",5,False,J Camman,I never write reviews,"{'id': 29776434, 'body': 'Thank you so much for taking the time to leave us a review and thank you for your kind words, it means a lot!\n', 'modified': '2022-05-16T14:40:58Z'}",Motivation Daily quotes
2019-02-09 19:32:24,"I love this app but I love the Valentine's deal even better!  The quotes were unique, I'm a sucker for great inspirational quotes and I have lots of apps for that purpose... But with this Motivation app, I'm surprised to see so many quotes that I wasn't aware of and I love them!   The only thing stopping me from buying a subscription is the price, it's incredibly steep in comparison to my other apps. I don't mind paying for it but not like highway robbery.  If there was more functions, I'd understand but the only great thing about it for me...ok, for me personally... is the great curation of quotes not found in other apps or even places online, one that is convenient and mobile-friendly. 

 If it was the same market price as with the others, it would have been justifiable. So I just did my copy and paste method in my Evernote to collect the quotes I love manually for a couple of months now.  

I'm liking the quotes so much that I decided to try and buy 1 month today (2/9/19), but to my surprise, I saw that they have a Valentine's special for $12 for 1 year ($0.99/a month)!  Now that's what I'm talking about!!!   So I bought it and now I can rate this app high up on the scale and do a review. If you still see the same sale, grab it!!! You won't regret it. I promise.",5,False,Faith_on_Fire,I love this app but I love the Valentine's deal even better!,"{'id': 7283994, 'body': ""Hi there!\nWe're very glad you enjoy the app. Thank you so much for your kind words!"", 'modified': '2019-02-13T18:50:08Z'}",Motivation Daily quotes
2023-03-07 19:31:27,"I have recently been dealing with some hard times in my life. I’ve always been a pretty strong and positive person but there are some things that can just drain a person. Having this app has helped keep me reminded that I am okay. It keeps me centered in reality as my mind can take everything to its absolute worst. It has kept me focused on the things that I can do. I use a couple different apps by this creator and I have to say they are by far the best apps I’ve used in a long while. If you’re in therapy, going through life changing experiences or just having a hard time keeping your mindset on the positive things, then this app is the perfect help! Science has evidence based results showing that keeping your mind on thoughts of positive things can bring you through a difficult phase with a little more ease. I’ve even told my therapist and friends about it! Positive thoughts and energy that are created by using this app 3 times a day becomes a powerful tool in staying connected to yourself and grounded in solutions. I’ve even started using the create your own part of the app to share the positive energy I’ve gained from using it!",5,False,1234$slots,This is my daily dose of positivity!,"{'id': 35321923, 'body': 'Thank you so much for letting us know how much you like our app! It means a lot and we really appreciate it.\n', 'modified': '2023-03-10T20:27:07Z'}",Motivation Daily quotes
2020-12-14 21:14:24,"Quotes can be hit and miss, but most of time helpful. One thing I don’t like about this app is I continuously have to “tap to keep getting reminders”. I’ve noticed lately the notifications will stop coming and not even remind me to tap, tap, tap. Fortunately I don’t get a lot of notifications so I can quickly tell when I need to press on the app to make sure I keep getting these motivational quotes! I’ve also noticed they don’t even come every hour like I scheduled it to. I’ve already paid my subscription for the year so I guess this is something I’ll have to deal with, but I definitely think I will look into using other apps that don’t need me to constantly check to get what I paid for.

Update: I wrote my initial review on Monday and by Friday I got a reminder to keep tapping. i feel like this whole tapping thing once a week can be for people who have the app for free. if i paid for the subscription i shouldn’t have to worry about making sure i get the notifications everyday. if i didn’t ask for them to stop coming then keep sending!

Update #2: Even though I tapped on the notification to keep getting the reminders they still stopped! It’s another Monday and I had to click on the app itself to start it over. I guess it’s better to click on the app itself than click on the notification to be sent to the app. It’s weird.",3,False,Tatiana Perry's Computer,Tap To Keep Getting Reminders!!!,"{'id': 19862667, 'body': 'Hi there, iOS has a limit of\xa060\xa0reminders\xa0that any app can program at a\xa0time, so once these run out you have to open the app to schedule more. If you need further assistance please contact us at hello@motivation.app.', 'modified': '2020-12-18T21:33:59Z'}",Motivation Daily quotes
2021-07-03 07:44:02,"This app is apart of my day...literally.   I have it set mornings, afternoon & late evening to give me that little pep talk throughout the day. I am a female business owner, and there are days that can be a little more tough than others. I may doubt myself, or feel like I may never reach my top goals, but every time I see a quote, it lifts my spirits and reminds me that I am doing well.  Whatever self-doubt I can feel sometimes goes away with just a couple of motivation pick-me-ups. Even when I’m having a wonderful day, it gives me that feeling like “Great! I’m amazing!”...I especially like that I can add them to stories on Facebook and Instagram or my Instagram feed to share with others. I have seen people in just the past week REPOST the quote I shared, because it spoke to them & helped brighten their day. That’s the best feeling!!! Yes, it’s awesome to be able to boost my mood, but if it helps others...that makes it totally worth it!  I have had this app for at least 5 or 6 months, and it’s one of the few paid apps I won’t ever cancel.  So, ty!!! This app not only helps those who subscribe, but others as well...maybe they will end up subscribing too!",5,True,Irisherin95,App I can’t live without!,"{'id': 22593407, 'body': 'Thanks for the awesome review! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. ', 'modified': '2021-05-03T14:33:08Z'}",Motivation Daily quotes
2022-12-29 20:38:09,"I first discovered this simply designed & user-friendly, exquisite and well-developed app quite some time ago. My first thought before even opening the app, was zero faith, and I was preparing myself to be disappointed only because of other “motivational” apps that were unfortunately only created and never truly developed nor built to their full potential. Despite the many hidden, spammy and in-depth file search-remove project. I was VERY impressed with the creator, developer along with the teams work and effort put into creating, building and managing the Motivational Quotes app. One of the top apps I’ve seen to believe, that actually have very inspiring, deep and ‘home-hitting’ quotes that “coincidentally” pop up in your notifications at just the right time, when you needed to hear it the most. Thank you guys for helping me stay strong in my times of weakness. Make sure you clap for all your hard work done, and stop to smell the roses some times! Or things will eventually seem dull, tedious and boring if you don’t. Happy New year, be safe out there!!",5,False,DarlingUnique,Inspiration & Self-love,"{'id': 34071908, 'body': 'Thank you so much for letting us know how much you like our app! It means a lot and we really appreciate it!!\n', 'modified': '2023-01-03T18:58:10Z'}",Motivation Daily quotes
