date,developerResponse,review,rating,isEdited,title,userName,App_Name
2020-09-02 02:55:26,"{'id': 27584823, 'body': 'We are so happy to hear that the MyFitnessPal app has helped you reach your goals!', 'modified': '2022-01-21T14:55:14Z'}","I started using this app seriously in mid-July.  The database for foods is great and I up until recently just used the free version.  During this time I lost 11 lbs.  I set my profile to the lowest setting for activity and have my pedometer set to the app to add calories I get for walking.  My goal is to just keep under the calories based on losing 1.5 LBS a week.  My suggestion is record everything even if you go over (it will happen occasionally).  But that’s ok because you can work harder the next day.  
I finally did buy the premium version mainly for the export feature.  I am an analyst by trade so I like to put my results into graphs and do monitoring beyond the app’s capabilities.   I will stress it is not needed to lose weight.  If you don’t want to spend time looking at your different nutrients then I would not spend the money on it.  If you do it could be worth it.
I like how the app says you have a 67% chance of better success if you pay for the premium.  They don’t tell you about the confounder.  The reason that happens most likely is people who do buy the app in general are more serious about the long hall.  This should not be viewed as a diet it needs to be viewed as a life change that you will do going forward.  Once you reach your goal you then switch to maintenance so you keep your weight and don’t gain it back.",5,False,Great app for people serious about losing weight,Mlazarx,MyFitness Pal Calorie Counter
2022-04-24 17:36:05,"{'id': 29434530, 'body': 'Thank you for providing this feedback. We will definitely share this with our team and we appreciate your help as we continue to improve our program!', 'modified': '2022-04-27T17:32:50Z'}","I really like this app. I use it for calorie counting. It links to Garmin Connect for integrating exercise calories into the overall balance for the day. You can scan barcodes for food  items for easier logging. You can select items from your history of previous entries (great for frequently eaten foods). You can text search for foods, which accesses an enormous list of prior entries that I assume have been entered or scanned by other users. So why only four stars? My only peeve with the program is that it doesn’t seem to let users edit the serving size for many items, beyond being able to select from a too often extremely limited and sometimes arbitrary mix of imperial/metric/liquid/solid measures. The options presented vary widely from item to item, with little apparent logic. The best solution I have is to try to find items that use 1g as a serving size and then list the number of grams for that day’s serving as the number of servings for that entry. Since I’m using a food scale, that works for me. Seems a better solution would be to allow users to edit any food item to select from a full complement of serving sizes (or to just directly enter the desired serving size using the keyboard). Or just provide 1g as a choice in all cases (or at least all solid cases). In any case, I love and recommend the app, with the measurement detail being my only pet peeve.",4,False,Great app but could use more user control of selecting or defining serving sizes,georg-o,MyFitness Pal Calorie Counter
2020-06-29 17:51:29,"{'id': 28070018, 'body': 'Hi there! Our apologies for any problems you are having. For additional support please visit: https://myfitnesspal.zendesk.com/hc/en-us or send us an email to support@myfitnesspal.com.', 'modified': '2022-02-15T20:13:56Z'}","I’ve been using this app for years. There are so many ads now which I understand. But some of them pop up on your feed right when you open the app and there are some really gross images. A lot of times I am eating when I enter my calories and the images for the weird ads are so gross it makes me stop eating and lose my appetite. There was one that came up for weeks that showed someone getting ear wax removed. Now I logged in and it shows a close up of someone removing some type of gross substance from the back of their throat. Why would you have these kinds of ads show up on the home page of a food log app? 

Also, if you sync with Fitbit it enters your workouts automatically but it also tracks your steps and gives you a calorie adjustment for that as well, which Is like double tracking. If you go for a run for example, it will sync the workout from fitbit and give you the calories for that, and then also add in your steps from the run and give you more calories which I don’t think is accurate. 

Other than that, no other food app compares as far as the extensive food database and the ease of being able to enter recipes, meals, etc. I also love the social functionality where friends can comment on your status. Of course they have to scroll through all the ads in the feed to find your updates, and overlook the gross images of earwax and other things.",4,False,Gross Pictures with Ads but extensive database,AliHart1983,MyFitness Pal Calorie Counter
2019-08-04 20:08:12,,"A great service providing a platform for success on a human health quest. The My Fitness Pal application allows anyone to compile a detailed log of nutritional and fitness info into an easy to use, easy to interpret, easy to afford (free), and simple to navigate system. The breakdown of information into multiple charts and graphs is a phenomenal resource. The flexibility of being able to modify multiple facets of your goals such as macro nutrients, weight loss/gain per week, etc. is extremely intuitive and suitable for a wide range of fitness/nutritional goals. Nearly anyone can master this application within a reasonable timeframe of consistent effort and in turn become the master of their fitness/health destiny. My Fitness Pal has provided a great service and allowed for anyone with the desire to do so to achieve the best version of themselves possible. Also, after a long endeavor spanning months or years and reviewing your data in retrospect allows for a particular cognizance for what worked well and what did not. This, in turn, provides a chance to hone an adequate regimen into the ultimate program fine tuned to your personal goals. My Fitness pal provides an amenity that fosters a healthier and happier human race to those who utilize it. This application has earned a large following of motivated individuals for these reasons and stood the test of time. Go forth and conquer your goals with profound efficiency.
-Klahr",5,False,App Review,SSJ Klahr,MyFitness Pal Calorie Counter
2018-04-30 16:58:40,,"I have Limb Girdle Muscular Dystrophy, and I am a recent heart transplant patient. I lost about 30 pounds before my transplant because I knew it would be a hard transition and it is important to give yourself and those helping you the best edge you possibly can. It’s also important to really educate yourself on nutrition and your body, I studied nutrition on my own did all the exercises I could, learned my body type and how I metabolize food. I also consult with my doctors and get blood work done so I know how to best tweak my diet to maximize my diet and health. Get some it’s always wise to consult with your doctors and even get a basic basic metabolic panel done to check your blood work. 

I recently gained a few pounds back from being on high doses of prednisone and others that made me super hangry like that already food loving person I am. As knowledgeable I am about nutrition I’m not a machine and this app keeps me accountable and allows me to make the most of my health habits. The key is to have a healthy balance and not obsess over losing weight and constantly over analyzing everything. It also helps me remember to hydrate. Don’t go crazy extreme, pace yourself and allow yourself to have many of the things you crave don’t over indulge make healthier versions of what you crave and eat smaller portions of the things you really want.",5,False,Great App for someone with a disability,Miles Of Fun,MyFitness Pal Calorie Counter
2022-10-03 20:41:42,"{'id': 32395408, 'body': 'We are truly sorry for any issues you are having with the app. If you could please visit: https://myfitnesspal.zendesk.com/hc/ or send an email to support@myfitnesspal.com for further help. If need be, you can always access the program via our main site at www.myfitnesspal.com.', 'modified': '2022-10-05T03:35:27Z'}","Several years ago, this app was the best out there when it came to tracking calories, nutrition and exercise data.  If you wanted to lose, maintain or gain weight, you could find a good way to make the app work for you. The UI was fairly intuitive.  There was a good ‘free’ service (‘free’ still cost your personal data of course), and an expensive but tolerable expanded service for those that needed to track more details or had some alternative dietary plans.

Over the past year plus, unfortunately, the company continues to make terrible decisions.  The UI was dramatically changed, and it became far more difficult to do the most basic tasks (for most people this was logging food, water, exercise and weight).  Bugs have become the norm.  Features have been reduced or eliminated, especially from the ‘free’ plan.  In short, the value plummeted, yet the price did not.

Now, after years of using this app, I and many others are moving on.  There are better apps out there that make it easy to log calories in and out.  There are still apps out there that let all users log food by scanning barcodes.  There are apps out there that offer more premium options for a much better price.  Like many companies out there. MFP became so focused on raising the price and forcing users into subscriptions, they forgot that if they don’t provide value, they’re just going to lose market share.  Hopefully they’ll change things around and we will see more value in the future.",2,False,No longer a good app,Artigius,MyFitness Pal Calorie Counter
2021-06-14 17:45:15,"{'id': 23420142, 'body': 'Thank you for providing this feedback. We will definitely share this with our team and we appreciate your help as we continue to improve our program. Can you please reach out to us here https://myfitnesspal.zendesk.com/hc/en-us/requests/new or directly at support@myfitnesspal.com for further help? Thank you.', 'modified': '2021-06-16T13:04:34Z'}","I consider myself very tech savvy and the user interface for this app is very confusing for me. My husband who also uses it is totally lost and I have to enter his data for him. What is confusing is searching for foods. Depending on which page you are on, the “scan barcode “ may be in a different place. When creating a meal or recipe, no confirmation a food was added and return back to add in the next food. Multi add should have the ability to scan too. It is also not intuitive to find your recent foods. When you put in a recipe, in order to actually cook the item, you have to edit the recipe to see the amount of ingredients to create it. The other disappointment is sharing meals, recipes, and foods with friends you have added. The ability to favorite individual items should be there that is used weekly or monthly, instead of having to scan the item again as the recent foods is not listed alphabetically. The developers suggested I create a Meal for each of my grocery items to find. I’ve done that, but again, my husband doesn’t have access to that, so if he eats something I bought, but I didn’t, he has to scan it too. This is not usable for couples or families that eat similar items but not the same. I’ve already paid for my premium. I’m not going to continue with my husband’s. $79 is way too expensive for the minimal features provided. Also, it doesn’t sync correctly with my Apple health and watch data. I’m constantly having to edit it.",2,False,Difficult to navigate,Clineomine,MyFitness Pal Calorie Counter
2021-01-09 19:51:57,"{'id': 27814521, 'body': 'Thank you for providing this feedback. We will definitely share this with our team and we appreciate your help as we continue to improve our program!', 'modified': '2022-02-02T22:04:36Z'}","Years ago, I used this app to drop some pounds and really liked its features. I’m at a point where I need to reassess my diet and thought this would be a good option to return to, but the moment I opened the app after re-downloading, I just felt like it wasn’t for me. Calorie counting apps are a dime a dozen now, and a lot of them have worked hard on providing an interface that’s both efficient (because who wants to work around a clunky app when it already takes lots of time out of your busy day to record meals?) and visually pleasing (weight and dieting can be an unpleasant subject, right?).

MyFitnessPal was clunky from the moment it requested my vitals (difficult to scroll and go to the next input field), to the tutorial, to the constant pop ups demanding I consider upgrading to premium. I’ve barely used the app yet, why not leave me alone and try again when I’ve actually had time to experience it? There is no focus on calorie information on the home page, instead dedicating screen space to blog posts etc. that I don’t have the time or desire to read anyway. It’s difficult to find the wearable device/app integration options. The camera scanner is much slower than other apps I’ve used with the same technology. Overall there is no sleek design or cute graphics that would make the this app unique or pleasant to use regularly. I was just disappointed in how far this app has fallen behind, and you probably will feel the same.",3,False,Disliked UI immediately,tobik0,MyFitness Pal Calorie Counter
2017-10-26 22:57:49,,"In my own, personal opinion, the features that would earn fifth star would be to expand compatibility toward Polar brand products and applications, and to allow users to enter in specific ingredient, calorie, macro/micronutrient restrictions to be alerted to in meals & recipes.  It would be great to know if something I ate (or am logging because I'm about to eat) will conflict with a low FODMAP diet, or has more of a specific nutrient than I want at the time.  I recall a previous version that would offer food tips (""this food is high in sodium"", ""this food is a great source of vitamin c"", etc.)

I haven't yet tried the paid version, and these could be included there, but I felt it worth mentioning.  Overall, the app comes packed with so many intuitive, convenient features, I have succeeded in making journaling with it part of my daily dietary considerations.  The terms and conditions of the challenges offered are abjectly terrifying, though, and ought to be more prominently featured before agreeing to them.  Currently, the language you provide allows sponsoring companies the freedom to scour my phone for any notes I've taken to work on business projects of my own during my participation, and hamstrings me to do anything to defend my own privacy and trade secrets afterward if they take any action on them.  Not cool.",4,False,Dietary Restriction Alerts & Polar Compatibility,Casey Alin,MyFitness Pal Calorie Counter
2022-10-04 23:42:58,"{'id': 32423318, 'body': 'Our apologies for any problems you are having. Please reach out to us here https://myfitnesspal.zendesk.com/hc/en-us/requests/new or directly at support@myfitnesspal.com for further help. Thank you.', 'modified': '2022-10-06T12:07:52Z'}","I have been using this App for years. I took an 8 month break and picked it up today. Just found out that you can no longer scan barcodes without buying the premium. I was able to scan barcodes for years. It just feels like a ripoff. I’m not buying your premium even if the entire app is no longer free. I will just go use 1st Phorm’s app. One thing that I learned after studying a lot about nutrition is that your caloric intake should not be below your BMR (Basal Metabolic Rate). At least not for an extended period of time. And yet, years ago in the beginning of my weight loss journey the calories goals had me at 1100 calories and I found out my BMR was closer to 1400. This had a profound effect on my mental health and weight loss. I had chronic fatigue and anxiety. It was awful. There was no warning about consuming lower calorie and being in starvation. There was no place I could add a BMR so the app would take that into account. I really hope you guys can refine that more because you would be able to teach people about BMR and good nutrition. You would be able to make sure people are not starving themselves and putting a wrench in their weight loss journey. You would be able to help people not feel awful and have more energy. You would help people not have their mental health suffer due to starvation. Please fix this and give back my barcode scan and I will change my rating to 5-stars!",3,False,Love this app but...,punker doodle,MyFitness Pal Calorie Counter
