date,review,rating,isEdited,title,userName,developerResponse,App_Name
2018-10-05 21:53:59,"I’m one of those child prodigy genius turned horribly depressed adults, wondering why my brain quit working like it used to. I’ve been training for a couple months now, with my highest streak being 41. I can actually feel myself getting better and better. My memory in everyday life is better, I can focus on my tasks much easier, I’ve started having a MUCH easier time relating to others, and my once horrendous problem solving skills are through the roof. I can tell in everyday life as I come to better solutions much faster than I normally would have. I only have two scores below 400 now (total score above 500) and I’m so very proud of myself. Looking at the progress I’ve made is astonishing. The brain is a muscle like any other. If you want it to be fit, you must train like you do with the rest of your body. I’ve done brain games in the past but lost momentum because the games were just not that fun and it was the same game every day. With Peak, there’s so many different options to chose from and you never really get bored. I do have a few games I dislike playing because I’m not good at them, but it’s easy to remind myself why that means they’re the most important to do. 

I HIGHLY recommend this app to anyone struggling. My depression and anxiety have gotten much more manageable as well, but I’ve been putting in my own separate work for that on top of the training.",5,False,Best App I’ve Spent Money On,RandaRenee,,Peak
2019-02-27 15:33:32,"Wow... I’m so glad I found this app. I was in a bad car accident a year and a half ago and my brain got seriously smashed up. As a result my memory (mostly short term) and math skills disappeared. I’ve been using Peak for about 2 months and I see significant changes in my memory abilities. Just a few weeks ago I was still telling any new person I talked to that I might lose my train of thought and I always felt self-conscious about my memory skills because it was so apparent when you spoke with me that they still hadn’t recovered. And just yesterday I realized that I haven’t had to excuse my poor memory to anyone lately, and in fact I go days where I don’t remember it’s an issue (not because my memory is bad but because it’s no longer such a problem!). And because of this app I actually learned that my math skills disappeared. I always just thought my mind was being lazy but when I saw it first hand how hard it was for me to do simple math on this app I saw the problem. It was really troubling and embarrassing when I realized - I used to be good at math - but I’ve been slowly getting better. So essentially this app has been my brain rehab! And I couldn’t be more happy about my progress! Thank you!!!",5,False,Thank you Peak!,yoginidevi,,Peak
2018-04-29 11:09:33,"I’m not going to lie, the game is super fun to tease your brain and allows you to do something actually more productive than scrolling fake news. But the customer service is a little crooked, I subscribed for a monthly subscription then I got this error saying only one Peak account can be associated with one Apple ID/ credit card method, well I did subscribe for a different account before so it makes sense (though it bugs me a little that they should have warned the customer before they charged them and alerted only afterwards) I logged in the other account to check and the Pro version wasn’t there either so I had to contact them. In the response they said they hung both accounts in idle because they didn’t know which one to officially put into the system, when my email came they put the Pro version into the old account (it bugs me for a second time because even though they solved my problem, they should had asked me which account I would like to make as a primary). I want the new account to be my primary so I ask them maybe, just maybe if they can change it, I would totally understand if they cannot, I just want an answer. Now I’m really irritated that my email went unanswered for days (the other email was answered within hours, so they possibly had to have read this one too). I did not demand to have my account changed. I just ask if they could do it, why do they have to avoid giving an answer?",4,False,Irritated,LanceLance,,Peak
2020-07-27 15:43:54,"The first 13 days of play I got to play through the daily challenge once without ads, and then watched ads for every subsequent play through - of course as is often the case it’s the same obnoxious ad over and over again. But now apparently on day 14 I have to watch an ad for every activity. What happened to the days of buying an app for a couple of bucks instead of these ridiculous subscription models that cost and arm and a leg indefinitely. Unfortunately probably going to delete it if I have to keep watching ads for the basic daily “brain train” there are many other free ways to exercise my mind.

Update: the response on “we need ad revenue” is all fine and good, but if you want people to keep using your program, then either change the model so there aren’t as many ads in the middle, or change how many games you can play per ad or get shorter ads. As someone who fully understands the business model of app development I know there’s a balance to be reached here, and can confidently tell you that customers complaining about ads is something you should address in a more substantial way. Furthermore, your subscription model seems to be overpriced in the market. And I don’t haveany  guarantee that a “lifetime” membership will last anywhere near my lifetime (highly unlikely tbh)",3,False,"An interesting idea, but too many ads",Michigrl,"{'id': 16925443, 'body': 'Hi there. Thank you for taking the time to leave us a review. We value all the feedback we receive and we will pass this on to our product teams. For further queries or support, please contact us at support@peak.net. Thank you -Team@peak.', 'modified': '2020-07-28T11:00:46Z'}",Peak
2020-05-14 01:29:33,"This app is full of full screen 30-second ads. Literally. Before playing, while playing, and even after you’re done you’re going to see a 30-second full screen ad. I have nothing against ads, but when you pass more time seeing ads than playing, there is something wrong with the app. Also I didn’t mention that’s the only app that makes your overall score go down after making the perfect score in a game, why? Because when they introduce new games to you, you’re a beginner in that game, so no matter how well you play this game, your overall score will go down the first time you play new games, to make sure you keep wasting your time on this app and don’t reach the perfect score. Oh and I forgot, if you don’t pay the monthly subscription, some games won’t be available anymore, that means you’re gonna keep your bad score for ever and there’s nothing you can do about it, to make sure you won’t finish the game without paying. Everything in this app is about ads, making you pay and keeping you playing by making sure you’ll never reach the perfect score. Doesn’t worth paying either since their games are not even working, the vocabulary games are limited to their vocabulary, the sorting cards game doesn’t even alert you before switching sides, if you’re too fast the game say you’re wrong even when you’re not. Bottom of the line: great concept, badly developed, don’t waste your time.",1,False,Don’t waste your time watching ads,James R5,"{'id': 15347009, 'body': 'Hi Malcolm. Thank you for taking the time to leave us a review. We value all the feedback we receive and we will pass this on to our product teams. For further queries or support, please contact us at support@peak.net. Thank you -Team@peak.', 'modified': '2020-05-15T17:22:48Z'}",Peak
2019-02-08 20:59:56,"The games are certainly very fun and interesting, but you only get to play a set of 3 games once per day, unless you pay for the pro version (which is a monthly payment). No redos or anything. That would be fine normally, but they then give you a summary of your overall performance which I feel isn’t accurate if you missed something on the instructions or if someone interrupts you while playing and something goes wrong. Also the instructions for the games can be complicated and/or slow going. There were some games with instructions that were too long or went through too slow for me so I skimmed them, but then messed up on an aspect of the game so my overall performance summary shot down on certain skills. The summary is actually very cool, but it kind of threw me off with how skewed my results became when I messed up on one game. I was actually considering paying for the game, but by not allowing me to replay the games for the day and having complicated/long game instructions makes it hard for me to determine its worth so I ultimately decided to just delete it. I was hoping this app would be fun while simultaneously training my brain, but it feels more like a daily pop quiz from high school with daily report cards based only on the pop quiz performance. I’m not interested in doing high school over again.",2,False,"Games are fun, but difficult to determine if worth paying for pro",sae-wat,,Peak
2018-01-06 19:22:17,"I think what really pushes people away from this app is the subscription which do very depending if there’s a sell going on. I upgraded to pro and am now paying 1.37 a month and don’t mind that price. There are issues here and there (LIKE EVERY APP) because nothing in this world is perfect. But I gotta give it to the developers. These games work. You’re giving your brain a daily workout which will help you throughout your day and your future. I think it’s worth the monthly subscription for me. Because I can’t remember the last time my brain got a workout like this. And you instantly feel the difference after playing and that’s MIND BLOWING! I feel if people give the game a chance, pay for the subscription, if it’s worth it for you (If money does play a roll I would wait for some sell), keep writing reviews to help the developer fix the few issues the app DOES HAVE, maybe the developer will listen to the fan base and make the right improvements and the app will become even better than it already is. All I’m saying is that the Human brain is a STATE OF THE ART WEAPON. Why not keep it sharp and active in all areas. Help the app grow. I know I will.",5,False,MIND BLOWING!!!!!,Ray M. Cruz,,Peak
2022-01-31 08:55:16,"Quick review.  I’ve been playing this at the pro level for a few months now and I enjoy seeing the progress and I feel like it helps me expand my mind and improve the skills that it focuses on which improves how I do my work and interact with others.  I enjoy it enough to have it be one of the first things I do on a daily basis.  It’s actually like a required step in my day.  Which brings me to the star reduction. 
Today I logged on and I had been somewhere in the 90’s for my playing streak.  Yesterday, I played it as I always do.  Today I opened it and my streak said 0 days.  I thought it was an error and would reset after I did the daily workout (because I’ve opened it before and observed that the interface behaved “differently”, I just assumed that this was a one off thing).  But after I did my workout, it updated the day count to one.  That is a big that seriously frustrates me.  
All of the other issues I have with these games have been covered by other reviewers except for the fact that if you name a game Word Fresh Zen and push some of the craziest letter combinations as words, then you had better include the word ZEN as a real word.
Thanks.",4,False,Love the app but I hate bugs,XRayman1961,"{'id': 27787819, 'body': 'Hi XRayman1961! Oh no! Sorry about the Streak issue. :-( Would you mind sending us a message to support@peak.net? This way, we will be able to support you better. Thanks a lot!', 'modified': '2022-02-01T14:45:37Z'}",Peak
2022-10-19 03:59:34,"I was trying Neuronation app before I met this one. They structured it and designed very well. I am looking forward to the next day to better my memory and focus. I usually am very forgettable and lose focus too quickly. I give it a 4.5 stars since today was my first day and I liked it. I like the stats where I can see my progress and I will check it over time to see how I improve. I want to build my memory muscles and focus muscles. I think I found the app that will do that for me. What I like, is that it is backed up by universities and science. So I feel good that I have proven exercises to help me train these areas of my brain. I personally can’t wait to see the changes it will make in my daily life after whole of playing this and bettering my brain muscles. I would recommend this app. I really like how they organized it. They built in this streak for you to keep track. Also I like how they have a few levels from “novice” all the way to “legend”. The games feel very professional and I feel good that I will feel the benefits of these exercises in my daily life. I just really liked it how they have all my stats and progress organized.",4,False,Pretty well created app,Pr.abhu,"{'id': 32753582, 'body': 'Hello Pr.abhu! Thank you for taking the time to review us :-) we are happy that you are enjoying Peak!', 'modified': '2022-10-24T13:32:01Z'}",Peak
2022-05-22 18:48:09,"This is as honest a review as you’re going to get. 

I was very annoyed with Peak at first because there was an issue with me subscribing and I ended up getting charged twice. I was eventually able to get a refund on one of the charges and ended up with a lifetime subscription so I said whatever, might as well make good use of it since I paid for it. 

I’m actually kind of glad that I got the subscription because I’ve noticed that where I used to have memory problems, my memory has gotten significantly better. I also find that I am able to verbalize more eloquently than before and that my math skills have improved as well and I can be more focused on tasks than I used to. I feel that this game is definitely worth subscribing to in order to avoid the ads which I see a lot of people are complaining about. It’s the exercise your brain needs and it’s not a task that you hate doing. The games make it easy to commit to playing them every single day and providing a workout for your brain. I would definitely recommend getting the app.",5,False,Memory Improved Drastically,PiggyBank919,"{'id': 30056215, 'body': 'Hello! Thank you for taking the time to review us :-)\n', 'modified': '2022-05-30T15:53:09Z'}",Peak
