date,developerResponse,review,rating,isEdited,userName,title,App_Name
2022-05-18 19:17:18,"{'id': 27154609, 'body': 'We appreciate your feedback. We’re sorry that you’re experiencing issues with your app. Please let our Support team know about it here: http://bit.ly/2kQy19s.\r\n', 'modified': '2021-12-30T22:50:32Z'}","Edited Review…… App is working great after I bought a new phone and I watch.  The  apple store manager said that the iwatch I had could not be updated any longer when apple rolled out updates because it was to old and this could have been causing the issues with the peloton app.  Since I upgraded my watch and bought a new phone everything has been working.  So I am not sure it was the peloton app that was not working properly or the fact that apple was again making it so old phones and watches were not working with some apps so I am changing my rating to better reflect my experience. 

The app still crashes with outdoor workouts sometimes right away sometimes in the middle of the run or walk. This is frustrating and a waste of time having to stop and restart from the beginning. How can a company this big not have an IT team that can fix this! The metrics for the running and walking program for when you walk inside that synced with the watch used to calculate distance nope not anymore! Please fix this and no I don’t need to contact you again I’ve done it serval times and all the troubleshooting you all had me do did not fix the issue. Frustrating when you are tying to keep track of your milage. Please Fix this. Your last update didn’t…ugh use to be a great app.",5,True,D M A 12,Update did not fix Crashes and metrics,Peloton
2022-02-07 16:29:14,"{'id': 27927985, 'body': 'Thank you for your feedback. We love to hear how many different styles of classes you take using the Peloton App! Please reach out to us at support@onepeloton.com if you have any questions or if there is anything we can do to enhance your Peloton experience.', 'modified': '2022-02-08T19:22:46Z'}","No understand that I have a Fitbit app for my Fitbit watch that I also use. However I really only use that to monitor a heart rate in my sleep quality and a half and other other things I don’t use it for the work out because the workouts on that app just didn’t interest me for some reason I guess is the best way to say it. However I’ve worked outA couple what time is very regularly using this peloton app the workouts are fun, they’re just the right difficulty, and I think it’s a little clearer to follow because it’s really just in the videos just the instructor. It’s not like you’re in a whole class which I kind of found distracting with the other app so you feel that it’s just you and the instructor with one on one which is really great. The boxing workouts that I’ve done are excellent and they make you sweat. I just finished an ab workout that was only five minutes and it was it was very very difficult but that’s great because that’s something that I want to work on. Overall I got to say it’s a great app you’re gonna love it you’re going to get some great workouts in you’re going to continuously use it as I will. My one why would the app I guess is sometimes the music is a little bit distracting because I think it’s just a little bit too loud but I I think there’s a way to mediate that. I also just meditated using this app and the meditations are nice the calming perfect so all in all it’s a really really good app that I think you will get your moneys worth out of",4,False,Hulkfan68,Very good,Peloton
2020-04-04 15:47:12,,"Below is my rating from when the app first appeared a few years ago. It wasn’t good. It’s now amazing. I use Chromecast to take it with me on the road and in my condo’s gym. Great, great workouts. 

Old review:
I guess the utility of the app depends upon your goals. If your goal is heart rate training (HRT), or some sort of high intensity fitness training, there are better videos on You Tube. If your goal is to pass the time with a certain type of music, and get ""life coaching"" from a yoga teacher, then this app will work for you. I found Steve Little to be the best, most serious instructor. I found Nicole Meline to be one I wanted to mute as she offered empty platitudes like ""make yourself essential"", ""paint a new masterpiece today"", ""you don't have to accept that inheritance"". Huh? I'm looking to work hard and get my heart rate up to 90-93% That isn't a goal of this program. Apparently, helping the depressed is. What they need to do to cater to serious fitness folks: get some graphics on the screen: heart rate as a percent of maximum; cadence; resistance,; effort level; segment time; total time. Instead, you're gonna get ""favorite playlists"". That's fine for the Lululemon yoga pants in the grocery store ""athlete"", but how about something for the serious folks? They clearly have the technology. For me, it's back to You Tube videos.  I'll check back in six months. Maybe they'll come around.",5,False,loanflyer,Vast improvement from original app,Peloton
2023-03-09 18:01:56,"{'id': 21379664, 'body': ""Thanks for your feedback! We'll be sure to pass this along to our team."", 'modified': '2021-03-01T21:32:47Z'}","I find the workouts to be great and have done almost all categories except the tread. In regards to the actual app: Positive = all the filters you can use to search though the enormous amount of classes and find the specific one you’re looking for. The classes vary greatly in skills and the instructors are great. They do everything they can to make working out enjoyable. Negative = I use the meditation specifically for relaxation and sleep. It works great and I actually fall asleep while doing the video. This is a problem because it wants you to rate at the end and if you don’t, the phone does not lockout (like every other app) and continues to run. This is a huge problem since I woke up this morning with my phone EXTREMELY hot. I don’t even feel safe using it. Also, it could have killed my battery if not on the charger and caused major problems with no alarm. I’ve also noted that the app is not able to load far more than I would like. Jokes have been all over social media about it crashing during times of highly popular classes, but even during times when no live clases are happening the classes are sometimes not available. This is makes it really tough to stay dedicated to a workout regimen when you can’t count on being able to do the work when you’ve carved time out for it.   

 Overall, I would and do recommend but I think there could be some changes to improve the functionality",3,True,tinacristina27,"Like the workouts, app not so much",Peloton
2020-05-29 18:27:18,,"I have been a Peloton bike user (in my building gym) for a year and a half.  I was doing workouts 5 days/wk. When the COVID-19 crisis started unfolding. As many things started changing the directive to close gyms came to fruition & my building complied and closed our gym facilities. 
I knew I’d be able to “deal” with the changes put into place however, one thing that really annoyed me was that I’d have to stop my 5 day a week habit that I have painstakinly made part of my daily week day regimen.  I did not want to break this habit. 
This is where this app came in!  Peloton brilliantly extended a 90 day trial for their app. I am hooked!  I plan on keeping my membership and plan to incorporate it into my routine. I have been able to keep up with workouts from the same people who I have grown to love and more.  While, its not the cycling part I was able to seamelssly continue a workout routine.  Once things start to reopen I will go back to cycling but I definitely will want the other workouts that were not currenty part of using the gym bike. 
I love the variety of workouts, instrutors, playlists...one thing I would love to see is an ability to create a workout “playlist”. Sometimes I want to exercise for 60 minutes total and  I like to do 2 30 minute workouts. I would love the ability to select the 2 workouts and have them play in selected order.",5,False,URMomFromCollege,Love this app!,Peloton
2018-10-28 00:23:47,,"Been using the app for workouts for the last 4 months and I am obsessed with it. Am particularly keen on the treadmill workouts - I love running outdoors but it’s not always practical and boy does this app take away from the monotony of treadmill running. It even spurred me on to my faster 5k, 10k and 1 mile distances for the last 3 years in the short time I have been using it. I love the ranges provided so you can measure profession by taking the same class, the instructors are inspiring, the user experience is sleek and uncomplicated. I too would love to be able to interact with my contacts a bit more (get notifications of them finishing workouts etc.) and see if they signed up for the same live classes - there is a sense of community already but I think it could be built on. As an app user, I’d love the ability to rate the workouts after I complete them to more easily return to the ones I enjoyed most. Personally a bit more information on the run itself would be useful I.e 4 min work up, followed by 3 min sprint intervals followed by 3 mins hill intervals etc. But these are minor points - I have already converted 5+ friends to the app and am thinking of getting the treadmill itself because I love the whole idea so much! #teampeloton",5,False,Minter81,Subscription fitness at its best!,Peloton
2022-06-22 01:59:27,,"Recently I discovered that my health insurance offers a membership to Peloton for free, so I signed up. Why not? I had nothing to lose and I’ve always been curious about it. I can’t tell you how great a resource this has been for me and my fitness journey. When I can’t motivate myself to go to the gym or get outside for a walk, it’s easy to talk myself into a 20 minute workout in my own living room. I feel stronger and I’m learning so much. The instructors are super fun and informative and as a beginner in most fitness activities, I’ve been loving the different program offerings for beginners. I’m currently in the middle of the beginner strength training program. 

I took off a star only because it’s a bit of a pain to get to my program workouts on my Roku app. There’s no place for me to see what programs I’m enrolled in or what classes I need to take next. So every time I want to do a program workout on my tv, I have to start it on my phone, pause it, then find the workout on my “recent classes” list. If there could be another easier way to navigate the programs on my tv, that would be amazing and I’d raise my rating to five stars! 

Either way, I’m grateful for this resource and I’ll definitely be a long time subscriber regardless of my health insurance. Thank you!",4,False,louster89,An amazing resource!!,Peloton
2023-01-11 23:54:19,,"I am a retired law enforcement officer (30 years). I have been a certified “Johnny G” Spin instructor for over 20 years. I am a certified Police Mountain Bike Instructor (I.P.M.B.A) and have taught police cycling for 25 years. I LOVE MY PELOTON BIKE!!! Purchased a Bike+ December 2022 and have been on it every day! Great instructors, amazing environment, love the awards and the “competition” (leaderboard). Whether you are a cyclist (Peloton Bike), a runner (Peloton Tread) or a rower (Peloton Rower) this community is amazing. Class from beginner to advanced. You don’t even need a machine to start your new life journey of being fit and healthy. They have classes for everyone (beginner to advanced). Sign up! Make the commitment to yourself. Just to a little every day. Print a calendar, do your class and put an X on the day after your class. Those X’s will add up to a week and then a month. I committed myself to a 100 push-up/day challenge. That led me to my Peloton Bike and then strength and core classes on my Peloton App. I FEEL AMAZING and it’s only been 10 days with Peloton. In that 10 days I have attended 21 Cycling classes, 12 Strength classes and 8 stretching classes (and I really don’t like stretching, haha). It’s so addicting! It will absolutely change your life.",5,False,Kalamazoo123456,New to the Peloton Family,Peloton
2019-07-20 00:51:48,,"My orthopedic surgeon told me I was a classic exercise addict when I was sitting in his office a few years ago for my 3rd knee surgery in as many years. I was a mixed martial artist, a CrossFitter and an all around glutton for punishment when it came to the way I treated my body.
If it didn’t hurt, I wasn’t interested. My husband told me to look at Peloton but I was never interested in cycling because it didn’t seem intense enough. Well... after much coaxing, I bought a Peloton and I freaking loved it from the minute I started. Totally surprised myself. The other thing I didn’t count on was the community. Similar to what I was used to in CrossFit and in fighting. Peloton has built a wonderful platform that everyone feels welcome. I also didn’t count on the amazing content that this app has. It’s not just about the bike or the tread. It’s about workouts I can do when I travel for work. Everything from strength workouts to outdoor running to yoga and meditation. It’s worth every penny. And the instructors... I realize none of them know me, but they are a big part of my life. They are knowledgeable and vulnerable and real and inspiring on so many levels. I highly recommend this app, the bike, the tread and everything this company does.",5,False,ChaceCee,Exercise addict,Peloton
2022-11-03 00:43:03,,"I love Peloton app. It’s my go-to mostly for all around workout(strength/hiit/yoga/meditation/stretching)& my 100% go to for cycling/boxing/bootcamps in all their forms. My issue and why I am taking off stars is bc as of recently(maybe past couple months it seems?)the live classes are buggier than ever. The app tells me I don’t have a subscription when I go to join from my homepage. I have to then click in from my scheduled classes to access the class. Once I’m in, my HR is not displayed and it’s typically cutting out portions of the classes(more than a typical amount)since this bug started. The most RECENT issue is the calories from live classes will show something like 0 or 3(like today.. I rode the hardest 20 min live class to date and it showed 0 cals). Not the biggest thing but I expect the classes to load to my watch rings.. it doesn’t count those cals anymore. Thennnn today I went to log in again(around the time of the Kendrick live Bike Bootcamp)the app is COMPLETELY down. Can’t sign in. Come on Peloton- upgrade your servers. I know it’s expensive but you have so many members paying good money.. it’s the name of the game. We want metrics/we want to see the live classes and we want them to count towards our rings and goals. Should be easy peasy. I’ll update my review once the issues are resolved. Thanks.",3,False,MoMo~Asana,Live Class Issues,Peloton
2020-03-20 20:34:00,"{'id': 14170411, 'body': 'Hi there, thank you for reaching out with your feedback. To hide explicit language, please view the ""More"" tab on the bottom right of your screen, then visit Preferences to select ""Hide Explicit Classes"". ', 'modified': '2020-03-22T21:53:03Z'}",I typically use the less mills app and those instructors never swear. The peloton app is a different story. While I appreciate that they warn you if the video is explicit it doesn’t help when they’re almost ALL explicit with no way to filter out the bad language. I’d like the instructors to buy a thesaurus and use cleaner language. Never heard so much swearing by instructors in any fitness app I’ve tried. It’s the only reason I probably won’t be purchasing after free trial ends. The video editors could bleep out some of the bad words but don’t seem to care. If you have kids then les mills tv app is superior. They too offer cycling workout videos. The peloton workouts are good but I have to watch them on silent with subtitles when my young child is awake and play my own music. The frequent swearing ruins this otherwise great app. My other gripe is the lack of a pause button. Les mills has it so why not add it to peloton videos? All our kids are home due to the pandemic and not being able to pause it when they enter the room is a huge problem. These are not family friendly workouts which is too bad since son no longer gets PE in school. If you’d remove all the swearing kids could use them for home PE purposes with us. I haven’t tried the live classes in app yet but am assuming they have swearing too.,3,False,CardioQueen😂,The instructors need to clean up their explicit language,Peloton
2018-05-02 04:00:26,"{'id': 3674361, 'body': 'Thanks for taking the time to share your suggestions with us! We will be sure to pass along your thoughts on displaying playlists, achievement badges, comparison of metrics with connections, push notifications, and filtering theme rides to the rest of our team for consideration as they work on future improvements based on Members’ feedback. Thank you for riding, and we hope you enjoy your future workouts.', 'modified': '2018-05-31T20:02:16Z'}","I’ve been using my Peloton and the app religiously since I bought my Peloton in early March. I am absolutely obsessed with my Peloton and look forward to my rides every day. I have a couple suggestions for the app and experience. First, I like to plan out my next ride on the app when I’m commuting or in between meetings. (I always do on demand rides because of my work schedule). I really really need to see the playlist on the app because music is an important part of a ride. Second, I’d also like to see my achievement badges on the app. Third, it would be great to see side by side comparisons of output/cadence/resistance with connections who have completed the same ride. Fourth, it would be interesting to think about sending push notifications when your connections finish a ride - I love giving my friends kudos when they complete rings on the Apple Watch. This totally helps build community.  Finally, I’d really like functionality to be able to search for theme rides (ie Madonna, Lady Gaga etc). They’re a pain to search for now because you have to rely on comments on the Facebook page and then search for a specific date and instructor.  I am a HUGE fan of the Peloton and am offering these suggestions to make the experience even more life changing. Thanks!",4,False,Dan SF,More functionality needed on App,Peloton
