date,developerResponse,review,rating,isEdited,title,userName,App_Name
2022-06-12 15:55:08,"{'id': 30466232, 'body': 'It’s great to hear you found our sleep recorder and tracker helpful. We believe the analysis really helps users better understand their sleep quality and habits like grinding or snoring. We also think understanding our sleep can help us improve it and resolve problems. Thanks so much for sharing your thoughts!\r\n', 'modified': '2022-06-21T02:27:06Z'}","I am so grateful for this app. I keep odd sleep hours and they fluctuate weekly. This app is teaching me better sleeP Habits. I worked so much for years at all different hours of the day that I just got used to sleeping two or three hours a night. Because of the programs, music, meditation and stories I’m sleeping more at the same time. And even at night. I’ve stopped having to take a nap. If I get tired, I find something else to unpack clean and repack.  It keeps me moving.  Their guidance was good in the free portion of the app there are still alot of choices for sleeping, but after paying the fee for premium, I’m getting one-on-one help. I’m  getting an analysis of my sleeping habits. It has opened my eyes.  It’s been over 90 days and I slept five hours straight last night guys. but listen to this. I got up walked around taking deep breathes and got a drink of water. I laid back down and closed my eyes. When I awoke, 4 hours had gone by. That’s the most of slept in 24 hours over the past 50 years.  I sleep better and I feel better. I just needed to realize that I’m not in a hurry to do anything anymore and I only have to make myself happy. If you really want to take your sleeping problem under hand, try this app for thirty days. See what happens.  Deep breath.     Love this app and those who have given their precious time to me. Thank you.",5,False,Blessings,Angelmuyer,ShutEye Sleep Tracker Sound
2023-09-11 04:04:15,"{'id': 39002573, 'body': 'We’re so happy to hear ShutEye was able to help you! We hope all the different meditations and sleep sounds can send you right to bed. We also spend a lot of time making sure our library offers high-quality content. Thanks so much for the feedback.\nAlso, please let us know if you have any suggestions for how we could further improve. And, again, thanks so much for the feedback!', 'modified': '2023-09-19T08:31:46Z'}","I absolutely enjoy it, it has helped me a lot within my sleep it gives me the important info with in my sleep, tells me how bad my snoring is and if I should talk to my doctor about it, it tells me if I sleep talked, it also tells me about what is happening around me while I sleep it also tells me how deep of sleep I’m in, it also gives you a chance to experiment with different types of sounds and music that you like and stories that you would like, it also gives you a chance to put on smart alarm which basically means that you pick a time and whenever you’re in the light sleep, it will put on that alarm so then you can wake up, and a bunch of people may be wondering, does it cost any money? Yes, it does only for the VIP. Otherwise, it is totally worth it. And if you’re curious about what your dream means. There’s a little dream list and it tells you what they mean I hope you consider getting it.

NOTE TO DEVELOPER BELOW👇🏻

Dear developer I have a request could you please add him some more dream meanings and also the little present box has been saying one more day but then the next day it is still there could you fix that? thanks.",5,False,Please read through all of it. There’s a note to the developer at the end.,I hope it help’s,ShutEye Sleep Tracker Sound
2022-08-11 20:33:05,"{'id': 31590667, 'body': 'Thank you very much for your feedback! We are glad to hear that ShutEye was able to help you and hope that your sleep quality is getting better and better!', 'modified': '2022-08-22T09:13:35Z'}","I had always had trouble sleeping at night and waking up feeling tired as if I never slept at all. This has always been happening since I moved into this house. After purchasing this app, I quickly became shocked as to what it was capturing at night for the audio. I would hear other peoples voices talking to me keeping me somewhat awake at night. I was never conscious enough to realize this was going on. At first I thought the app was just adding fake audio to make it seem like a special feature so I ended up setting up a camera to record myself sleep in addition to the recording audio from the app. Not only was the app extremely accurate, my camera captured paranormal activity occurring with the audio. My blankets would be pulled off of me, my head would get hit into the wall by force, and I would even get up and stand in front of whatever this was and talk to it. Extremely scary stuff but grateful this app actually worked so well to help me realize what has been going on",5,False,Caught Voices from Ghosts at Night,Varly_40,ShutEye Sleep Tracker Sound
2023-03-02 11:54:29,"{'id': 35216091, 'body': 'Hi TheStinkyRebel, thanks for your feedback. If you could send a detailed account of the problem to\xa0shuteye_support@enerjoy.life, it would really help us resolve this problem quickly.\xa0Thanks.', 'modified': '2023-03-06T03:13:29Z'}","I bought a year subscription to try it out since the one week free trial isn’t enough. After having it for 40 days, I’m not impressed. It “tracks” every little thing. The recordings aren’t accurate and you can’t correct the information yourself except delete the recordings. Says I have bruxism when I wear a mouth guard to prevent bruxism. And the recording literally heard nothing. Not exactly sure how it knows when you’ve fallen asleep or gone into deep sleep without tracking your heart rate or movements. All it’s doing is listening for sounds. Last night it said I fell asleep in an hour. I know that’s not possible because I was extremely tired and normally fall asleep in <15min. on regular nights. Don’t waste your money. If you want a real sleep tracker, invest in a Garmin or an Oura ring. Might be more expensive for a one time upfront cost, but at least you’ll get accurate consistent data. I’m only giving this 2 stars because I do like the sounds features. Other than that, the app is useless and unless there’s a way they can start tracking your HR there’s nothing this app can do to improve. 
Response to developer: no my phone is not shutting off prematurely. I always have it plugged in at night. Yesterday it also said I was awake for two hours in the middle of the night. When I know for a fact I wasn’t.",2,False,This isn’t accurate…,TheStinkyRebel,ShutEye Sleep Tracker Sound
2022-08-04 23:08:47,"{'id': 31357409, 'body': 'Thank you for the feedback, we’ll take your suggestion into consideration, we are always looking for new ways to continue improving.', 'modified': '2022-08-09T07:45:34Z'}","This is such an awesome app. I forget how I stumbled upon it but it’s a good one. Not great but pretty good. I am currently using a competitors sleep app at a premium level and I really like it but Shut Eye looked interesting so I took it for a test ride. I love all the sounds and stories and that stuff. I love all the reports. Pretty darn accurate. But here’s the deal breaker for me. I need to use a sleep app that knows when I’m sleeping and knows when I’m up in the morning. You have to manually tell this app you are going to bed. And then I need to manually turn the alarm off (every night) because I don’t need to be waking my wife at 3:30am. And then I need to tell the Shut Eye app that I’m up. And I forgot a few times to say I’m up in my trial (which I wish was 14 days since I forgot to start the app two nights and never saw how the app really works before the trial expired) Nope, I need an app that talks to my watch. I need an app that wakes me on my watch with a vibration, not have an alarm go off that wakes my wife and the dogs. I need a sleep app that is smart enough to know I’m in bed and an app that is smart enough to know I’m up for good. If this app ever syncs with my watch I’ll pay a lifetime premium for the app. But as it is, I can’t use it. I’m used to my current sleep app that works all by itself with no manual input from me. Sorry.",2,False,So close to being a perfect sleep app,rsd22,ShutEye Sleep Tracker Sound
2023-03-20 11:59:35,"{'id': 35514644, 'body': 'Hi Kwluv44, we’re sorry for the inconvenience. We’ve already alerted the designers to this problem. If you could send a detailed account of the problem to\xa0shuteye_support@enerjoy.life, it would really help us resolve this problem quickly.\xa0', 'modified': '2023-03-22T01:47:33Z'}","I have severe sleep apnea, so a friend of mine suggested I try this app to see what happens when I sleep. It worked for 3 nights. Last night the app shut itself off. I restarted it at midnight and come morning I could not even open my phone. It told me the app crashed and it locked me out of my phone by saying phone is unavailable try again in 1 minute that 1 minute turned into 5. I was able to shut my phone down buy pushing every side button at the same time. To be honest I expected this app to be so much more. It doesn’t give you a sleep score and when it tells you that it tells you when you talk in your sleep and so on. It gets it all wrong. This app needs a lot more improvement in order to tell when your awake or Animal noises is me struggling to breathe. I guess the way I look at it is this needs a lot more work because it can tell you if you have sleep apnea or not. The first night it said I had mild sleep apnea but the next night was severe and the following night it was call a doctor immediately. Just so everyone knows I am aware I have severe sleep apnea. I can not wear those masks over my face I feel like I’m suffocating.",3,False,I have severe Sleep Apnea,Kwluv44,ShutEye Sleep Tracker Sound
2023-01-13 00:47:11,"{'id': 34158665, 'body': 'Hi Sis Dec, thank you for the feedback, we’ll take your suggestion into consideration, we are always looking for new ways to continue improving.\r\n', 'modified': '2023-01-09T02:29:04Z'}","People, stop believing this nonsense! I gave this two stars instead of one because I enjoyed the white noise options. However, when this app says you were in deepest sleep for the two hours you were *awake and moving around*, it’s bull. I made noise, they can’t claim I was “too quiet”. And the patterns of sleep were nearly identical every night, which is suspicious. There is NO WAY for any app based on sound to know where you are in your sleep. That’s ridiculous. And please, Shut Eye team, don’t give me your pat responses I read elsewhere like, “We’re sorry you had this experience.” (No, you’re not.) Or “Thank you for bringing it to our attention and we’re doing our best to resolve this issue.” (No, you’re not, because you CAN’T. Sound simply does not indicate depth of sleep!) Now, if you just sold all the great white noise sounds for one fixed price, I might actually do that!

EDIT: As you can see from their response, it’s a ‘bot reply. No humans are engaging here. It says they’ll “take my suggestion into consideration”. There is no suggestion. So not only is an app based on sound no way to truly measure the quality of your sleep, they don’t even have humans paying attention.",2,True,This Isn’t Possible,Sis Dec,ShutEye Sleep Tracker Sound
2023-05-28 13:00:25,"{'id': 37308111, 'body': ""Thank you so much for your glowing review of our app! We're thrilled to hear that you love the many features we offer and our app has helped you fall asleep faster without having to rely on TV, and that you find the various white noise options helpful. We're also glad to hear that you like the sleep tracking feature and find it cool to see your sleep score and breakdown of light and heavy sleep. We strive to make our app accessible to everyone, which is why we offer a variety of features for free and keep our premium subscription at an affordable price. Thank you again for your kind words and for recommending our app to others who may be struggling with sleep problems. We're thrilled to have you as a satisfied user!\r\n\r"", 'modified': '2023-06-25T03:03:15Z'}","I 🅛🅞🅥🅔 this app because it has SO many features like sleep meditations, white noise, and SO much more. It helps me fall asleep right away without having to watch TV. I also love how it tells you about why your having certain dreams and I think that's really cool. In the white noise, they have so many things like rain, fire place, exhaust fan, ocean waves, seagulls, keyboard, and MORE. 
I think that you should get this app because not EVERYTHING requires premium like a few things do, but not a lot. Also the premium is only around $2.99 a month! It's so nice. I have been able to sleep so much better from this app. 
It also tracks your sleep if you press the sleep button in the center of your screen and you answer questions like how have you been feeling (it gives you multiple choice or you can choose other) then, you set your phone next to your bed on the charger and when you go to sleep, it tracks if you talked, snoring loud or tossing and turning. It also tells you your sleep score after six days of tracking your sleep with the app, and it tells you how much light sleep or heavy sleep. It's cool to listen to what you said in your sleep, what you did, or how much you snored. 
This app is very good for me because i haven't been able to fall asleep. But this app makes me fall asleep right when i turn on the white noise or sleep meditation. 

⚠GET THIS SLEEP APP IF YOU HAVE SLEEP PROBLEMS / WANT TO TRACK YOUR SLEEP/ FALL ASLEEP FASTER!!! ⚠",5,False,This app is so cool,SJosephinehas1412,ShutEye Sleep Tracker Sound
2022-11-27 15:53:19,"{'id': 33425005, 'body': 'Dear Cleo55Levismom, thank you for the feedback! We’ll take your suggestion into consideration as we are always looking for new ways to continue improving. Stay tuned for our future improvement. Thank you for your support and understanding!', 'modified': '2022-11-29T08:30:06Z'}","The app is actually pretty cool, I enjoy a lot of the features it comes with. The music and sounds offered actually help me fall asleep which is surprising and I have interestingly found out some things about my sleeping pattern. Now I will say though, as every other app, this one also is not perfect. I was careless the one night (no like literally my fault 😂) and set up my tracker in the middle of the night after waking up and falling back asleep, the app now thought that I had only slept for 4 hrs and I wasn’t able to actually change the time to the time I had fallen asleep so now I had “poor sleep” and suggestions on how to sleep better 😂. Same thing happened today, but opposite, I woke up in the middle of the night to give my son some medicine and grabbed my phone to check the time, I guess the app took that as a “ok she’s awake cause her phone shook” and I have now only “slept for one hour” which I didn’t realize until I actually woke up. I wish I could just change the time or disable the “shake to stop tracker” feature.",4,False,It’s fine,Cleo55Levismom,ShutEye Sleep Tracker Sound
2022-11-07 06:13:35,"{'id': 33056961, 'body': 'Dear BeeRadbeluga, we’re so happy to hear ShutEye was able to help you! We hope all the different sleep sounds can send you right to bed. We also spend a lot of time making sure our library offers high-quality content. Also, please let us know if you have any suggestions for how we could further improve. And, again, thanks so much for the feedback!', 'modified': '2022-11-09T06:27:02Z'}","I’ve had ShutEye for a while now and it’s amazing! It tracks when you talk, fart, snore, burp, and much more! It also tracks when you woke up, in deepest sleep, lightest sleep, and when you went to bed! It has a bunch of white noises most need a subscription but even if you don’t have one there’s still some free ones! 😁 It also has a survey every night which makes me feel at home and comfortable for some reason. 😅 It also makes you feel like your friends with the all even tho it’s an app 😃 I have no subscription but is able to enjoy the app freely! ☺️ It can also help you if someone breaks into your house and it’s recording, cause now you have proof! 😉 I feel it’s an amazing app and should get more attention!😄 Also these reply’s are saying that it’s horrible and stuff but I truly love it and think it’s an amazing app created! 😊 The creators helped a lot with sleeping, I wasn’t able to sleep easily but this app helps a lot! ☝️

I’m not a bot.",5,False,Love it!,BeeRadbeluga,ShutEye Sleep Tracker Sound
