date,review,rating,isEdited,title,userName,developerResponse,App_Name
2022-08-24 14:01:06,"I discovered this app on Tiktok about a week ago and I’m blown away by how much I have learned already. It is so so so helpful for my health journey to be able to see all the ingredients in my diet. People always say not to eat anything with ingredients you can’t pronounce, but who actually has the time to look up all these scary ingredients? This app is doing the work for you and making it a CONVENIENT way to make more conscious choices while grocery shopping. The blurbs of information regarding why an ingredient is bad or good is very easy to understand (in my opinion) and it is giving me a lot to think about in my life. I don’t want to put these things into my body, especially if they can build up and cause problems to me later in life. It’s shocking to see what kinds of things are being absorbed into my body. Packaging and marketing of products can be VERY misleading and I’m glad I have the science in this app to help me when all the choices of products may be misleading me. 
One thing to note is that it is very important to be reading WHY the products are bad, because Yuka is not only looking at the harmful things but also taking into account nutrition. I don’t mind eating something that’s way too fatty for me (in moderation) as long as it doesn’t have anything harmful :).",5,False,So helpful with mindfulness!,rach212000,,Yuka Food Cosmetic Scanner
2022-07-26 19:55:02,"I think everyone should have this app. It makes it so much easier to read between the lines of all ingredients. Especially beauty products. I am a scientist and half the time I don’t even know what some of these ingredients are. When it comes to food, I think it is very eye opening to see that just because something is labeled as organic, non gmo, blah, blah… it doesn’t always have the best ingredients. Now to my complain. I don’t buy anything with corn syrup or added sugars. This i already know by heart after going for clean only foods about 10 years ago. However, for someone who is just starting to navigate this confusing world of food, it may be misleading to read that ice cream is rated as poor. Now, hear me out. This was my husband’s thinking when we scanned an ice cream brand at Sprouts. The rating was poor. It said it had high fat and high sugar. According to my husband, ice cream should be fatty and sugary. Can’t argue with that if we are talking about a standard ice cream recipe. In his eyes, there was nothing wrong with the ice cream. The app fails to indicate that the brand contains corn syrup. I think it should be broken down better. The rating is poor because it has high sugar content, but not just any sugar. It has corn syrup. I feel the developers should work more into explaining why a high sugar rating deems a product poor. Not everyone is well versed with the dangers of sugars, real or fake.",4,False,Amazing! But…,maligatormomtx,,Yuka Food Cosmetic Scanner
2023-01-07 02:28:16,"I have to say i really enjoy this app. I'm a licensed cosmetologist/esthetician and of course like to be mindful of the products that I'm using on my self but not only that but also on my clients. This app makes it so easy to break down whats in a product so easily. ive shown everyone i know and even paid for the premium version. (this app is consumer funded. company's do not pay them to say their product is this or that) me being superstitious compared what the app said to what the label of ingredients said and its always right. 
i know the app is still fairly new and the interface and features it offers outside of just listing ingredients and letting you know if there bad then offering recommendations it doesn't do a whole lot more. I like that it keeps of history of barcode scans, i wish it had a feature to incorporate online shopping. Me personally i dont shop alot in stores and without a physical barcode it makes buying things online still risky. so that could be a cool feature. As well as creating like brands and like ranking them by a collective of what their product scores are. I love this idea of putting the power back in the consumers hands though. knowledge is power, and it starts with our daily habits to really see change. THANK YOU!",5,False,Just the start,Cassidy 😱😂😋,"{'id': 34177275, 'body': 'Hey Cassidy! Thank you so much for your kind review, we are happy to hear you are enjoying the app and finding it useful! :) \n\nHave a wonderful week! \nBriana ', 'modified': '2023-01-09T13:49:45Z'}",Yuka Food Cosmetic Scanner
2022-11-11 15:13:41,"Some apps are fun, many are useful, and a very few are life-changing. Yuka is one of the latter. I initially used it to scan my previously purchased foods and hygiene/cosmetic products, and now I use it every time I shop. I even became a Premium member in order to look up products I can’t scan (like when I’m shopping online). I have very sensitive skin and have often dealt with contact dermatitis, burning, itching, and other adverse reactions. Being able to find and switch to products that don’t contain potential allergens or harmful chemicals has given me peace of mind and much happier skin. I also like to eat as cleanly as I can, and Yuka facilitates that. It’s a lot easier to simply not buy a food at the store when it’s rated poor or bad, and, if I decide to buy it anyway, it’s a no-brainer to eat it sparingly. It’s amazing and disheartening how many processed foods that claim to be super healthy actually aren’t healthy at all. Needless to say, Yuka has saved me from being deceived and wasting money. In a world full of vendors whose bottom line is financial gain rather than creating and selling safe, effective products, Yuka is an enormous blessing. Thank you, Yuka developers, for putting people’s health above profit!",5,False,Yay for Yuka!,BeamishBeth,,Yuka Food Cosmetic Scanner
2022-05-28 05:48:00,"Ok so I just downloaded this app, and fell in love with it. A very close relative of mine has been trying to eat healthy for the past year or so now and feels like nothing was working. I showed her this app, and that many products she thought were healthy were actually contributing to gaining weight, migranes, and even more conditions. She was ecstatic about this app, and next time she goes to the store this app will be with her. 
I  personally love how you get recommendations on similar products that are healthier alternatives. Not only that but I feel much better knowing that what I am going to eat In the future is healthy, and tasty. 
 Some ideas I have for this app are ones that will make it easier to purchase items, for example… let’s say a cereal brand you have been buying products from is not healthy, and you tap on a similar, but healthier alternative, it would make it very convenient if you could tap it and add it to a personalized in app grocery list, for when you go to the store. That way you have a picture of this unfamiliar product along with the name of it.
I am very excited to use this app, and hope it will make my future healthier! Thanks a million!",5,False,Love this app,SavyBussinessWoman,"{'id': 30080640, 'body': 'Thank YOU for this amazing review, we are sooooooo happy that our app is useful to you and to your loved ones. ', 'modified': '2022-05-31T15:36:13Z'}",Yuka Food Cosmetic Scanner
2023-03-04 14:34:12,"I have since replaced my deodorant, toothpaste body wash using this. I only buy products it says that are good AT THE LEAST!!! It’s an independent app. There’s no outside push by corporations. It seems and is like the best app ever made because it’s saving us from harmful chemicals, like parabens, sulfates, artificial sweeteners, texturizers, food dyes and soooo much more that is harmful to ingest.
When I shop at the local wholefoods, I find MANY products within that store harmful and not everything is perfectly clean there to buy. I share it with people in the store as I’m shopping and with the cashiers. It blows their mind! But then, I see them go straight to their phone and look for it to get it. I usually show people how it works on the spot. These are just strangers and I am telling everybody about it. When I’m at work, and people are eating microwave foods, and what not, scanning those products is all bad and hazardous to eat. Finding typical products that seem to be good for you, actually most name brand products are hazardous for you! 
I hope everybody gets this app and this doesn’t get shut down. It’s truly a blessing that this exists.🙌🏽👏🏽👏🏽👏🏽🙌🏽
I’m so thankful! 💪🏽❤️🤙🏽",5,False,BEST APP EVER MADE,mauimikal311,,Yuka Food Cosmetic Scanner
2022-11-16 19:11:57,"I wish I could say something short and simple where you would try this app. Maybe you’re like me and try to eat healthy but not entirely sure of what you’re putting into your body. Maybe like me you’ve tried some food nutrition apps but find them to be confusing or just out to spam you. Maybe you too think that because the packaging looks healthy, the food is healthy. NOT SO!!  I have learned a lot about that from Yuka. This app has really improved my life. 
   Even though I could use it for free, I am so grateful that I donated to them anyway. I want this app to be around for my kids and grandkids so that they can have a better life.
   I try to tell everyone about Yuka and even demonstrate it to random people in the grocery store. The app and its developers are giving millions of people, tons of easy to understand food data and a chance to really improve quality of life FOR FREE. The app is very fast, easy to use, works just like they describe, and it helps with food choices.
   Honestly, you won’t regret getting it but your body will regret if you don’t use it.",5,False,The foods I eat have improved so much because of this app,Ran dial,,Yuka Food Cosmetic Scanner
2023-03-21 05:38:22,"While I don’t agree with absolutely everything said in the app (I mean, who 100% agrees with anyone one everything), I absolutely love that they CITE THEIR SOURCES! Most articles I find don’t source information or source possibly 2 other studies/articles, but 90% of the original articleis just  personal opinion or experience. Sometimes, items will say they contain harmful materials, but READ THE DESCRIPTION! I have found, with my own scans, sometimes the harmful ingredient is only harmful in certain situations, and the product I scanned DOES NOT fall in that category. So the descriptions of these ingredients is, in a sense, a copy/paste, but not in a bad way. This actually means they research and review ingredients, not products.
Also, as a personal side note, it is NOT an American website/app, which gives it more credibility, to me. I can’t trust these processed-loving Americans….

If the developers are reading this, I would hope that descriptions for healthy/well-rated ingredients will be introduced as well. I know that comes with more liability, but knowing what GOOD is contained is just as important as knowing what BAD is contained. I think so, at least.",5,False,Truly Unbiased and Unfiltered,Palmer Evans,,Yuka Food Cosmetic Scanner
2023-02-11 22:37:31,"In eating plant based foods and fish, I thought I was doing pretty decent. Until I got this app. Yuka is a life saver!! I’ve been scanning everything in my house and I’m shocked! You cannot trust these companies to do right by you. I’ve been throwing stuff away left and right!! I had just gotten a heath scan and my gastrointestinal system is severely off balanced. No wonder!! A family member suggested Yuka the same day. I couldn’t be more grateful for this app. It was right on time. 
What I love about this app is it tells you why foods are bad and what harmful ingredients do to your body. That is overly appreciated! It also gives you recommendations for better products! I can only imagine the time it took to put all of this together. This here is your best defense against big name companies who care more about a dollar than your health. We are exposed to toxins more than ever now. I was so paranoid about buying food and Yuka has eased a lot of those fears and will assist me in getting my gut health back balanced! It’s definitely worth buying the app and for all the goodies, it’s super inexpensive. 
Thank you for putting this together! The greatest app yet!!",5,False,Thank you!,E.Iyah,"{'id': 34842067, 'body': 'Hi! Thank you so so much for taking the time to write this lovely review! We love hearing from all our users and are grateful and overwhelmed by the positive feedback we get from you all.\n\nAll our best, Briana', 'modified': '2023-02-13T16:01:05Z'}",Yuka Food Cosmetic Scanner
2023-09-13 08:05:41,"I was blessed to run into a woman at my local Costco. She must have seen me laboring over the exhausting ingredient labels of the variety of items packed into my shopping cart. Due to the very concerning preservatives and additives as well as other unhealthy ingredients being added to the many foods families eat daily I have become diligent (even my 12 year old daughter is the same - We LOVE and appreciate this app so much!).  So the woman shares the app and how much she loves it and for the same reasons (very thorough, huge time saver, etc) and shares how easy it is and took it immediately into action scanning am item loaded with additives and some Risky ones too so I immediately put that one back but since I’ve had the app I’ve become more educated and also saddened by what’s being allowed by the FDA, I’m so concerned. But huge thank you to Yuka Website and the app developers. Please keep doing what you do and ALWAYS no matter what keep your integrity 🙏😊♥️ I ended up doing the pro version for 1 year to support this wonderful work you’re doing. Thank you again!",5,False,So Very Grateful For This App,Jahsheli,,Yuka Food Cosmetic Scanner
