date,developerResponse,review,rating,isEdited,userName,title,App_Name
2021-02-13 15:55:39,"{'id': 20941868, 'body': ""Hello. I'm so sorry you've had trouble and I'd like to look into this for you. Please email me at LetUsHelpU@cigna.com. I can help. -CM"", 'modified': '2021-02-09T03:04:06Z'}","Update 
After I posted my review, customer support contacted me the same day. A case was opened and fixed in two days after they figured out what was going on. Thanks for the quick response 

[Previous review]
When I first downloaded the app it worked however I got a new iPhone in November. My old iPhone had a touchID and my new iPhone has faceID. According to the app I’m only allowed one biometric scan so I couldn’t switch to faceID. I contacted customer support to fix the issue. After uninstalling/reinstalling the app, resetting the password, etc., per the advice of customer service, the app no longer works. While I can login on my desktop, the app keeps giving me the same invalid credentials message when I try to log in. The app was nice when it worked but now it’s useless.",5,True,Aarbee222,App doesn’t work,myCigna
2021-09-17 17:13:44,"{'id': 25205150, 'body': ""Hello. I’m so sorry you haven't been pleased with the app or your plan. Please email me at LetUsHelpU@cigna.com. I would like to look into each piece of your experience. -CM"", 'modified': '2021-09-20T10:45:25Z'}","You expect that an online app will be accurate. Not with Cigna. I was called this morning and was told that my eligibility was confirmed and my insurance card was on the My Cigna app. Not true. There was a card online but it was populated with out of date information. I discovered this at Walgreens after waiting in line and being told that the BIN and PCN numbers were in error and my six prescriptions would not be covered by Cigna until they were corrected. 

I fully expect that Cigna will soon correct their errors but I do not why they allow the application to post out of date information. Had they posted that information was being updated and a revised medical card would be available in 24 hours I would understand and I would have avoided a public discussion concerning the online insurance card and why it was no longer accepted. 

Cigna’s errors and omissions are sadly not limited to bad data.  Their supposedly professional staff (Rn’s not MD’s) are quite willing to debate medical issues with cardiologists and their staff. Ultimately the doctors rule the day but only after wasting time by the doctor, patient and pharmacist.  These issues are rarely documented in the patient’s file resulting a repeat performance by fresh Walgreen personnel who are ignorant of the past history and who are quite willing to further expose their ignorance in a refreshed debate.",1,False,ccweems,Do not trust,myCigna
2023-10-11 15:31:29,,"It’s a bit archaic these days to have an app that you have to physically input a password every time. There’s no Face ID option. I have to go into my phone’s password storage each time and search for Cigna to pull up what my password is, and it’s frankly just kind of a time waster. Especially as the mobile website will fill in the password automatically (although, I have to submit to two-factor authentication when I go that route, despite having already checked the ‘remember me on this device’ box 🙄). Also, you can’t pay your premium or bills on the app! That’s… ridiculous. After wasting my time hunting fruitlessly on the app for a way to pay, I went to the website. Makes me wonder why there’s an app at all! 

That said, the app is set up in a user-friendly way. I like the way “find care” part is divvied up to help you determine the best option for your current situation. But last week, while attempting to set up a virtual appointment, I ran into a bug and couldn’t complete my registration. I had to start over completely on the website. Which, again, just wasted my time and irritated me. How does this app have such a high rating?",3,False,Raynewatre,Doesn’t save login info,myCigna
2021-01-04 15:18:54,"{'id': 20203316, 'body': ""Hello. I'm so sorry for all you've experienced with the app and I'd be glad to look into the issue for you. Please email me at LetUsHelpU@cigna.com. We're always here to help. -CM"", 'modified': '2021-01-06T00:15:27Z'}","For the last month or so, none of my claims appear in the app. It’s bizarre - I have many many medical claims from the last 180 days, yet when I try to view them in the app, it says “You have no claims in this period.” I then go on the Cigna website and can see all the claims, some of which were processed only a week prior. It’s like the app can’t connect to their database for some reason; it’s really bizarre and makes the app next to useless.

Furthermore, it’s 2021; there should be a SIMPLE, automated, electronic secure system with which us CIGNA customers can submit our claims. There isn’t - they still demand that people physically mail their claim forms in, which is time-consuming, error prone, and wasteful.

Get your act together, CIGNA; you’re supposed to be among the higher-end providers in the US. Start acting like it. I do know a ton of recruiters have reached out to me recently trying to fill technical positions at CIGNA (I’m a software developer), so hopefully they recognize and implement the critical features that remain missing from their service.",3,False,JKinney,It’s “okay”... when it’s actually working,myCigna
2020-10-04 09:50:54,,"Wife and I have been with Cigna Medicare since they have been in Arizona.  I believe that covers over thirty years. We have been mostly pleased with the care we have received, especially with hospitalizations and serious treatments.

I wear a hearing aid and was especially please to see a $1400 allowance for the devices.  However, it was only an allowance in products sold by Cigna Audiology. The allowance disappears when the products offered are in the $5,000 range. Tech and quality product availability has produced hearing aids significantly less expensive.  For example, I had purchased an excellent pair four years ago from Costco. Their testing was free, service beyond exceptional and the prices thousands of dollars less expensive  I wear the Re Sound, which is Bluetooth compatible. I filed a request several months ago to allow me to apply the $1400 to products like this from other sources .  I never heard back.  That is so unlike Cigna,I wonder why. Will someone have the courtesy to respond to that request?",4,False,arizonaeskimo,Significant Complaint,myCigna
2021-02-16 22:11:29,"{'id': 20795674, 'body': ""Hello. I'm so sorry for the trouble you've experienced when trying to log into the app. Please email me at LetUsHelpU@cigna.com. We're always here to help. -CM"", 'modified': '2021-02-02T02:48:12Z'}","UPDATE: The same customer service representative who tried to help me the first time called today to follow up. She waited as I tested and retested the process, which now functions as expected. Kudos to Cigna for fixing it and this particular CSR for following up with me.

ORIGINAL COMMENTS: After getting a repeated login error message, three calls to Cigna tech support totaling 30 minutes, being told (twice) to delete and reinstall the app, being told to change my password using the website, being told to limit my password to 11 characters (despite the website instructions to make it 8-12 characters) because the app doesn’t handle 12-character passwords well, all to no avail...

I give up and will just log into the Cigna page on AOL using my dial-up modem. Maybe they have a MySpace page or an island on Second Life where I can see my insurance information.",4,True,The Dark Statesman,UPDATE: (Fixed) Password reset issues,myCigna
2020-02-09 22:33:20,"{'id': 13401115, 'body': ""Hello, thank you for providing your feedback in regards to the app. I'll be happy to look into the trouble you've been having with the app constantly refreshing. Please email me at LetUsHelpU@cigna.com - JW "", 'modified': '2020-02-10T14:56:08Z'}","Has many extremely useful features and an amazingly well thought out, user friendly base design, but if I can’t review things because it is constantly updating, refreshing, or whatever else it is doing and kicking be back to the top of the page from the base of every feature, those features quickly become USELESS. I do not want to scroll down 50,000 times because the app only updates 5 items at a time then carries you back to the top of the screen and makes you scroll all the way back down before taking you back up to the top while it updates 5 more items by the time you get to a total of 30 items to review you have already spent your time scrolling back down most of the same list 6 times and you still haven’t gotten far past the initial 5 when you get to start all over again. Tired of reading all that run on sentence? Try reading a rerun run on sentence that starts all over every 5 words... 😡",2,False,Miq2u,Lots of nice useless features,myCigna
2019-03-01 03:51:30,,"I spent almost 40 minutes searching for my insurance card around my house after a long day at work..  I am young and moved to a new state for work, so haven’t used my insurance in 2+ years..  I finally have a dentist appointment for the next day, so was trying to get everything ready. Unfortunately, I was unable to find it.  I finally gave up and decided to see if I could screenshot it on my phone or email it to myself and print out at work...  to my surprise, after downloading this great app, they offer electronic ID cards!!!!!!  That’s not the best part yet..... you CAN also add it to your wallet.. my life is made and I cannot wait for tomorrow!! Keep it up :)",5,False,@MyLifeAsChris25,Electronic ID Cards,myCigna
2022-01-19 20:45:40,"{'id': 27570043, 'body': 'Hello, I apologize for the trouble you are experiencing with our provider directory. Please write to us at LetUsHelpU@Cigna.com and we will be happy to help. Thank you - N.J.', 'modified': '2022-01-21T02:47:41Z'}","I have been attempting to contact providers which Cigna displays as in-network, accepting new patients, etc, etc. 

I have complete understanding that they may be unable to keep this list updated to the minute, but when I call providers or facilities and request to make an appointment, 7/10 times I get told this provider doesn’t work here anymore.

The best answer I received was that a specific doctor hadn’t worked there in 5 years. 

Come on Cigna, get it together. You decide what to charge your insurance customers, if the money you’re charging us isn’t enough to manage your company properly, then charge more. 

If you’re just inept at running a business, then start handing out refunds or discounts. 

This is a disgrace to insurance providers and medical professionals through the country. 

Get it together. 

P.S. I try to do the right thing and notify you each time I come across incorrect information, so that someone else may not have to experience the same failures; but when I click on the “Let us know” button (which is directly referring to incorrect information in the listing) you re-route me, out of the app, into safari, I have to login again and to then have to find the provider again  and go through the whole process again is just ridiculously cumbersome. 

Another sign that you are not able to manage an app as it should be in the 21st century.",1,False,C.Vegas,Completely Outdated Provider Lists,myCigna
2023-08-06 16:02:39,,"I rarely think to leave a review for an app, but the Cigna app is uniquely bad enough that I am. This app used to be able to store my password but now it makes me re enter my password every time. Even my banking app is able to enter my password with Face ID so i’m not sure why Cigna isn’t able to use the same functionality even if there is sensitive information on the app. I used to teach coding to elementary aged children and am beginning to wonder if this app was a child’s school project. 

Worse yet, when I was at the optometrist recently I noticed that when I click on the section that is supposed to show me my vision coverage, I am instead shown my medical and behavioral health coverage. How can I verify that I am getting the rates I am supposed to get from my doctor if I can’t access this information on the go? I’m pretty sure I got ripped off on my purchase of contacts because of this.",1,False,Definitely Displeased.,Missing several core functionalities,myCigna
